step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
10000,2106,1.447,0.061,10.99,77141,74057,67,1,2347,2409,1248347.8,85576.8,0.058,0.565,0.163,0.215,166,8.38,2.19,0.01,0.22,0.00,0.09,0.02,0.54,8.34,2.14,0.00,0.00,0.001,0.014,166,0.272,0.255,0.744,0.000,0.001,59273,44048,5,0.460,0.082,0.005,832169,0.125,0.138,0.000,115.14,38700,66,35.524,0.000,0.000,2139060,1.00,16.16,0.000,0.001,0.000,6,8,11,35,17651,0.067,1.65,0.0071,0.099,687,0.210,0.000,0.205,0.246,2.79,2.08,5.99,0.00,0.000,1.00,1.01,1.01,0.211,0.00619,44.27,12.6056,14.97,135284.3,139737.3,2.784,4.0310,124.643,920.970,0.991,0.443,55.3,62.316,31.493,14,46.5,8.00,38.780
20000,2060,1.477,0.049,11.60,46406,43652,611,0,2189,3,1088730.5,11188.8,0.006,0.525,0.119,0.350,197,8.47,2.19,0.03,0.57,0.00,0.10,0.04,0.54,8.40,1.88,0.00,0.00,0.000,0.009,112,0.374,0.250,0.748,0.000,0.002,12196,4318,4,0.943,0.030,0.008,132740,0.107,0.072,0.000,109.84,18609,0,3729.613,0.000,0.000,1140103,1.01,13.96,0.000,0.000,0.000,7,8,10,39,17440,0.067,0.00,0.0063,0.102,671,0.103,0.000,0.149,0.000,2.98,1.53,7.68,0.00,0.000,1.01,1.01,1.01,0.103,0.00406,53.46,1.2534,11.20,135486.7,139737.4,0.533,0.1348,109.729,596.899,0.992,0.440,54.5,54.865,7.023,6,10.2,2.77,0.361
30000,2111,1.405,0.047,11.24,47478,44315,617,0,2495,0,1076927.4,11417.0,0.003,0.532,0.025,0.440,201,7.93,1.59,0.02,0.50,0.01,0.14,0.02,0.48,7.87,1.31,0.00,0.00,0.001,0.013,103,0.581,0.243,0.752,0.000,0.005,10722,4445,2,0.937,0.003,0.007,137694,0.118,0.068,0.000,108.89,18863,0,11417.008,0.000,0.000,1184766,1.01,14.45,0.000,0.000,0.000,7,8,9,45,16733,0.064,0.00,0.0065,0.105,692,0.105,0.000,0.169,0.000,2.89,1.21,7.86,0.00,0.001,1.00,1.00,1.01,0.105,0.00384,54.45,1.2749,16.55,135608.7,139737.5,0.494,0.1324,108.775,584.587,0.993,0.440,54.3,54.387,6.570,7,10.5,2.48,0.328
40000,2108,1.424,0.046,11.06,46129,43041,736,0,2355,0,1077820.2,11075.6,0.006,0.506,0.022,0.466,206,7.94,1.30,0.01,0.30,0.01,0.16,0.03,0.45,7.89,1.13,0.00,0.00,0.001,0.017,90,0.753,0.237,0.760,0.000,0.003,9715,4952,2,0.958,0.019,0.009,120884,0.123,0.100,0.000,109.09,16287,0,11075.591,0.000,0.000,916855,1.00,14.34,0.000,0.000,0.000,7,8,8,34,16748,0.064,0.00,0.0065,0.103,700,0.085,0.000,0.157,0.000,2.87,1.12,7.81,0.00,0.000,1.00,1.00,1.01,0.085,0.00368,54.30,1.2304,9.42,135596.7,139737.6,0.446,0.1233,108.970,586.358,0.993,0.440,54.3,54.485,6.188,4,18.1,8.00,0.230
50000,2141,1.406,0.043,11.01,44951,41698,882,0,2338,1,1078293.0,11065.7,0.007,0.494,0.021,0.478,201,7.92,1.31,0.02,0.38,0.00,0.08,0.02,0.48,7.87,1.15,0.00,0.00,0.001,0.032,87,0.721,0.250,0.747,0.000,0.003,9342,6179,2,0.964,0.024,0.007,110274,0.127,0.059,0.000,109.27,16526,0,11065.740,0.000,0.000,790762,1.01,14.40,0.000,0.000,0.000,7,8,8,36,16949,0.065,0.00,0.0064,0.110,726,0.075,0.000,0.150,0.000,2.86,1.11,7.78,0.00,0.000,1.01,1.01,1.02,0.075,0.00359,54.16,1.2294,9.76,135635.8,139737.6,0.414,0.1226,109.150,586.707,0.991,0.440,55.0,54.575,6.027,3,4.0,1.52,0.194
60000,2128,1.395,0.044,11.00,45137,41832,950,0,2368,0,1078685.2,11195.8,0.007,0.489,0.020,0.484,201,7.85,1.17,0.02,0.39,0.01,0.12,0.01,0.19,7.81,1.03,0.00,0.00,0.001,0.015,78,0.685,0.232,0.767,0.000,0.001,9255,5218,4,0.923,0.049,0.005,107873,0.126,0.061,0.000,109.37,17836,0,11195.847,0.000,0.000,768402,1.00,14.51,0.000,0.000,0.000,7,8,8,26,16709,0.064,0.00,0.0065,0.087,709,0.073,0.000,0.149,0.000,2.82,1.09,7.73,0.00,0.000,1.00,1.01,1.01,0.073,0.00358,54.06,1.2448,12.85,135656.7,139737.7,0.412,0.1247,109.249,586.953,0.992,0.441,54.4,54.625,6.048,3,3.9,1.47,0.200
70000,2134,1.390,0.044,10.98,44870,41720,932,0,2212,0,1078755.2,10965.4,0.007,0.485,0.020,0.488,202,7.84,1.21,0.01,0.22,0.02,0.20,0.01,0.30,7.80,1.12,0.00,0.00,0.002,0.036,73,0.681,0.226,0.768,0.000,0.006,9002,4300,3,0.948,0.000,0.004,110051,0.123,0.059,0.000,109.48,18256,0,10965.418,0.000,0.000,749144,1.00,14.52,0.000,0.000,0.000,7,8,8,28,16730,0.064,0.00,0.0065,0.094,715,0.072,0.000,0.146,0.000,2.82,1.08,7.71,0.00,0.000,1.00,1.00,1.01,0.072,0.00354,53.96,1.2179,9.20,135654.9,139737.7,0.406,0.1216,109.357,588.610,0.991,0.441,54.8,54.678,6.041,5,5.7,1.35,0.190
80000,2140,1.381,0.045,10.99,45342,42115,914,0,2307,0,1077468.0,11054.4,0.007,0.485,0.020,0.488,198,7.72,1.28,0.02,0.35,0.02,0.22,0.02,0.36,7.66,1.23,0.00,0.00,0.002,0.033,93,0.600,0.251,0.743,0.000,0.006,9168,3298,2,0.857,0.000,0.006,113896,0.123,0.057,0.000,109.39,18628,0,11054.411,0.000,0.000,768873,1.01,14.76,0.000,0.000,0.000,7,8,8,25,16515,0.063,0.00,0.0066,0.097,727,0.074,0.000,0.148,0.000,2.82,1.08,7.67,0.00,0.000,1.01,1.01,1.02,0.074,0.00352,54.05,1.2288,8.10,135665.8,139737.8,0.405,0.1233,109.263,587.830,0.993,0.440,54.5,54.632,6.066,0,-0.0,0.85,0.204
90000,2157,1.382,0.045,10.98,45455,42238,949,0,2251,0,1074807.1,10946.8,0.007,0.491,0.018,0.484,199,7.63,1.46,0.03,0.72,0.01,0.14,0.01,0.10,7.58,1.42,0.00,0.00,0.001,0.015,83,0.495,0.246,0.748,0.000,0.006,9674,2659,3,0.697,0.000,0.005,120255,0.137,0.063,0.000,109.28,18457,0,10946.835,0.000,0.000,824339,1.02,14.96,0.000,0.000,0.000,7,8,8,44,16452,0.063,0.00,0.0066,0.094,725,0.078,0.000,0.147,0.000,2.82,1.07,7.74,0.00,0.000,1.01,1.01,1.03,0.078,0.00348,54.14,1.2175,17.31,135633.7,139737.9,0.419,0.1218,109.153,587.413,0.992,0.440,54.6,54.577,6.079,5,7.4,1.67,0.202
100000,2178,1.372,0.044,10.99,45762,42517,901,0,2323,0,1069429.9,10851.8,0.006,0.501,0.015,0.477,195,7.46,1.18,0.01,0.28,0.00,0.09,0.02,0.28,7.43,1.03,0.00,0.00,0.001,0.025,76,0.379,0.235,0.763,0.000,0.002,9987,3048,2,0.504,0.023,0.005,125128,0.146,0.061,0.000,109.07,17793,0,10851.842,0.000,0.000,955221,1.00,15.23,0.000,0.000,0.000,7,7,8,30,16247,0.062,0.00,0.0066,0.104,727,0.087,0.000,0.147,0.000,2.84,1.08,7.76,0.00,0.000,1.00,1.00,1.00,0.087,0.00341,54.36,1.2086,13.15,135645.1,139738.0,0.406,0.1237,108.947,586.807,0.992,0.440,54.8,54.474,6.106,5,6.6,1.63,0.196
