step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
100000,7,7,0,0,0,7,0,1.00,16,0.000,2989,2.43,156.49,2.48,1,0,1,0,1.00,1.00,1.00,2,2,8,19.2
100000,9,9,0,0,0,9,0,1.00,12,0.000,2985,0.75,173.90,1.45,1,1,1,0,1.00,1.00,1.00,3,2,8,33.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2971,2.40,169.27,1.82,1,1,2,0,1.00,1.00,1.00,3,2,8,30.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2962,2.14,168.09,1.82,1,2,2,0,1.00,1.00,1.00,3,2,8,56.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2879,0.66,164.93,1.10,1,2,2,0,1.00,1.00,1.00,4,2,8,54.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,2873,1.49,165.60,1.27,1,0,0,0,1.00,1.00,1.00,2,2,8,13.3
100000,6,6,0,0,0,6,0,1.00,18,0.000,2860,0.13,139.42,0.92,1,1,1,0,1.00,1.00,1.00,2,2,8,28.1
100000,10,10,0,0,0,10,0,1.00,12,0.000,2856,0.01,164.70,1.31,1,1,1,0,1.00,1.00,1.00,3,2,8,31.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2855,1.13,161.34,1.93,1,0,0,0,1.00,1.00,1.00,3,2,8,8.6
100000,10,10,0,0,0,10,0,1.00,12,0.000,2851,2.13,168.20,2.65,1,1,1,0,1.00,1.00,1.00,4,2,8,33.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2846,1.14,156.22,2.11,1,0,0,0,1.00,1.00,1.00,2,2,8,9.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2823,1.24,154.51,1.35,1,1,1,0,1.00,1.00,1.00,3,2,8,31.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2819,0.94,161.15,0.88,1,1,2,0,1.00,1.00,1.00,3,2,8,34.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2798,0.93,154.03,0.81,1,2,2,0,1.00,1.00,1.00,3,2,8,48.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2771,2.54,159.01,1.73,1,0,0,0,1.00,1.00,1.00,3,2,8,8.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,2769,1.74,159.19,2.26,1,1,1,0,1.00,1.00,1.00,3,2,8,34.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2752,1.91,151.54,1.60,1,2,2,0,1.00,1.00,1.00,3,2,8,42.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2748,2.77,155.37,1.90,1,0,0,0,1.00,1.00,1.00,3,2,8,21.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2740,1.84,155.57,0.87,1,2,2,0,1.00,1.00,1.00,3,2,8,47.7
100000,7,7,0,0,0,7,0,1.00,16,0.000,2732,2.28,142.31,1.46,1,0,0,0,1.00,1.00,1.00,3,2,8,22.4
100000,7,7,0,0,0,7,0,1.00,16,0.000,2712,1.99,145.27,0.68,1,2,1,0,1.00,1.00,1.00,3,2,8,39.9
100000,9,9,0,0,0,9,0,1.00,12,0.000,2706,0.87,164.38,1.61,1,0,0,0,1.00,1.00,1.00,4,2,8,7.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2689,2.62,143.39,1.06,1,1,1,0,1.00,1.00,1.00,3,2,8,31.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2654,1.51,154.73,2.21,1,2,2,0,1.00,1.00,1.00,4,2,8,49.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2634,1.85,150.32,1.65,1,0,0,0,1.00,1.00,1.00,4,2,8,18.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2630,0.48,145.20,2.28,1,2,2,0,1.00,1.00,1.00,4,2,8,41.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2603,1.09,146.71,1.80,1,2,2,0,1.00,1.00,1.00,3,2,8,41.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2587,0.72,146.21,2.03,1,0,1,0,1.00,1.00,1.00,3,2,8,25.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2587,1.47,139.75,1.82,1,0,0,0,1.00,1.00,1.00,3,2,8,14.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2578,1.75,143.34,1.15,1,0,0,0,1.00,1.00,1.00,3,2,8,20.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,2574,1.16,141.42,1.97,1,2,2,0,1.00,1.00,1.00,4,2,8,44.2
100000,9,9,0,0,0,9,0,1.00,12,0.000,2559,2.87,143.75,1.02,1,2,2,0,1.00,1.00,1.00,3,2,8,39.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2554,1.27,140.81,1.91,1,2,2,0,1.00,1.00,1.00,3,2,8,53.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2507,1.64,140.85,1.48,1,2,1,0,1.00,1.00,1.00,3,2,8,40.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2496,1.55,140.13,1.66,1,0,0,0,1.00,1.00,1.00,4,2,8,18.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2494,1.24,140.85,1.04,1,1,1,0,1.00,1.00,1.00,3,2,8,37.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2483,1.37,136.72,0.77,1,2,1,0,1.00,1.00,1.00,4,2,8,44.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2482,1.72,141.36,1.35,1,0,0,0,1.00,1.00,1.00,3,2,8,19.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2482,0.98,141.74,0.80,1,1,1,0,1.00,1.00,1.00,3,2,8,29.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2479,0.79,142.63,0.90,1,0,0,0,1.00,1.00,1.00,2,2,8,20.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,2477,0.85,145.33,0.95,1,1,1,0,1.00,1.00,1.00,3,2,8,30.3
100000,10,10,0,0,0,10,0,1.00,12,0.000,2468,1.47,150.01,1.61,1,0,0,0,1.00,1.00,1.00,4,2,8,12.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2465,1.57,138.95,1.27,1,0,1,0,1.00,1.00,1.00,3,2,8,24.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2454,0.87,137.00,1.92,1,0,0,0,1.00,1.00,1.00,3,2,8,23.4
100000,9,9,0,0,0,9,0,1.00,12,0.000,2449,1.25,140.08,0.63,1,0,0,0,1.00,1.00,1.00,4,2,8,25.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2427,1.65,127.95,1.87,1,2,2,0,1.00,1.00,1.00,3,2,8,41.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2425,1.94,133.89,1.70,1,1,1,0,1.00,1.00,1.00,4,2,8,35.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2419,0.92,138.21,1.37,1,1,0,0,1.00,1.00,1.00,3,2,8,26.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2416,1.21,130.66,1.04,1,2,2,0,1.00,1.00,1.00,3,2,8,51.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2414,2.31,136.51,1.11,1,0,0,0,1.00,1.00,1.00,3,2,8,12.7
100000,9,9,0,0,0,9,0,1.00,12,0.000,2403,1.39,134.24,0.58,1,1,2,0,1.00,1.00,1.00,3,2,8,37.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2403,0.75,133.22,0.69,1,1,1,0,1.00,1.00,1.00,3,2,8,35.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2402,1.24,135.87,1.64,1,2,1,0,1.00,1.00,1.00,4,2,8,40.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2388,0.45,129.90,1.71,1,2,2,0,1.00,1.00,1.00,3,2,8,42.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,2385,2.05,135.47,1.07,1,2,1,0,1.00,1.00,1.00,3,2,8,40.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2382,1.42,132.52,1.54,1,2,2,0,1.00,1.00,1.00,3,2,8,55.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2316,0.76,127.42,2.24,1,2,2,0,1.00,1.00,1.00,4,2,8,51.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2316,1.25,130.51,2.20,1,0,0,0,1.00,1.00,1.00,4,2,8,19.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2307,1.04,129.04,1.45,1,1,2,0,1.00,1.00,1.00,3,2,8,32.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2297,1.55,128.97,0.69,1,1,1,0,1.00,1.00,1.00,3,2,8,29.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2296,0.73,125.14,1.23,1,2,1,0,1.00,1.00,1.00,3,2,8,41.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2295,1.16,130.47,1.09,1,0,0,0,1.00,1.00,1.00,4,2,8,21.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2281,0.36,129.78,2.41,1,0,1,0,1.00,1.00,1.00,3,2,8,23.6
100000,7,7,0,0,0,7,0,1.00,16,0.000,2274,0.68,125.91,1.50,1,0,0,0,1.00,1.00,1.00,2,2,8,10.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2272,1.33,130.91,0.95,1,0,0,0,1.00,1.00,1.00,4,2,8,23.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2267,1.24,128.07,1.27,1,2,2,0,1.00,1.00,1.00,3,2,8,42.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2266,0.85,123.10,1.32,1,1,2,0,1.00,1.00,1.00,3,2,8,32.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2241,1.87,129.77,0.42,1,0,0,0,1.00,1.00,1.00,3,2,8,15.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2234,1.11,122.11,1.46,1,1,1,0,1.00,1.00,1.00,3,2,8,28.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2225,2.22,115.69,1.33,1,1,1,0,1.00,1.00,1.00,4,2,8,28.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2197,1.06,121.48,0.71,1,2,2,0,1.00,1.00,1.00,3,2,8,43.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2196,2.34,124.17,0.53,1,2,1,0,1.00,1.00,1.00,3,2,8,44.0
100000,7,7,0,0,0,7,0,1.00,16,0.000,2196,2.51,120.02,1.85,1,1,1,0,1.00,1.00,1.00,3,2,8,36.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2183,0.64,125.15,2.28,1,2,2,0,1.00,1.00,1.00,4,2,8,51.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2175,2.69,119.59,1.63,1,0,1,0,1.00,1.00,1.00,3,2,8,21.0
100000,7,7,0,0,0,7,0,1.00,16,0.000,2171,1.81,120.26,0.94,1,0,0,0,1.00,1.00,1.00,3,2,8,20.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2168,2.18,120.24,1.76,1,2,2,0,1.00,1.00,1.00,3,2,8,44.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2156,1.16,117.81,1.82,1,2,1,0,1.00,1.00,1.00,4,2,8,43.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2146,2.37,120.77,1.69,1,2,2,0,1.00,1.00,1.00,4,2,8,47.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2137,2.00,118.84,1.08,1,0,0,0,1.00,1.00,1.00,3,2,8,16.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2134,2.42,117.62,2.66,1,2,1,0,1.00,1.00,1.00,3,2,8,39.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2132,0.94,119.65,1.05,1,2,2,0,1.00,1.00,1.00,3,2,8,52.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2124,1.27,119.24,1.16,1,0,0,0,1.00,1.00,1.00,3,2,8,2.8
100000,12,12,0,0,0,12,0,1.00,12,0.000,2119,2.36,129.23,0.96,1,2,2,0,1.00,1.00,1.00,2,2,8,46.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2116,1.88,120.58,1.42,1,0,0,0,1.00,1.00,1.00,3,2,8,10.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2105,1.22,116.40,1.32,1,2,1,0,1.00,1.00,1.00,3,2,8,39.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2099,1.77,118.44,1.45,1,2,2,0,1.00,1.00,1.00,3,2,8,43.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2098,2.13,113.53,0.79,1,0,0,0,1.00,1.00,1.00,3,2,8,22.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2091,1.31,120.30,1.31,1,2,2,0,1.00,1.00,1.00,3,2,8,45.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2086,1.90,117.52,1.96,1,1,2,0,1.00,1.00,1.00,3,2,8,37.8
100000,10,10,0,0,0,10,0,1.00,12,0.000,2084,2.44,124.50,0.82,1,0,1,0,1.00,1.00,1.00,3,2,8,18.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,2073,1.62,126.09,0.63,1,2,2,0,1.00,1.00,1.00,3,2,8,52.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2072,2.51,112.79,1.31,1,2,2,0,1.00,1.00,1.00,3,2,8,38.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2069,1.91,115.87,1.64,1,2,2,0,1.00,1.00,1.00,3,2,8,50.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,2063,1.50,120.83,1.10,1,2,2,0,1.00,1.00,1.00,4,2,8,48.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2058,0.63,115.41,1.14,1,1,1,0,1.00,1.00,1.00,3,2,8,32.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2057,0.53,114.99,2.08,1,2,2,0,1.00,1.00,1.00,3,2,8,51.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2046,0.45,107.84,0.93,1,2,2,0,1.00,1.00,1.00,4,2,8,50.5
100000,9,9,0,0,0,9,0,1.00,12,0.000,2046,2.39,125.48,1.05,1,0,0,0,1.00,1.00,1.00,4,2,8,23.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2031,2.16,116.06,1.04,1,0,1,0,1.00,1.00,1.00,3,2,8,24.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2030,0.28,110.49,1.04,1,2,2,0,1.00,1.00,1.00,2,2,8,48.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2026,2.67,107.47,1.01,1,2,2,0,1.00,1.00,1.00,3,2,8,51.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2020,1.89,112.01,1.72,1,1,0,0,1.00,1.00,1.00,3,2,8,26.8
