step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees
10000,0,656,9.02,0.02,0.05,0.00,8.95,0.00,1.00,0.000,0.067,432694.2,26343.7,1,78,3.02,1.00,1.01,3.9735,4.10,91876.9,0.0002,37.4485,5462,10.9420,3
10000,1,661,9.00,0.00,0.01,0.00,8.99,0.00,1.00,0.000,0.068,432328.1,25485.7,1,91,2.98,1.00,1.00,3.8434,4.29,39154.0,0.0360,37.4221,5461,20.2311,3
10000,2,687,8.52,0.01,0.01,0.00,8.50,0.00,1.00,0.000,0.067,430358.2,25851.1,1,87,2.90,1.00,1.00,3.8941,4.21,4780.6,0.6353,37.2243,5461,29.6912,2
20000,0,714,7.87,0.00,0.00,0.00,7.87,0.00,1.00,0.000,0.064,378489.1,3634.0,3,87,2.90,1.00,1.00,0.4095,1.78,92520.6,0.0000,36.7425,5462,9.9005,1
20000,1,741,7.80,0.00,0.00,0.00,7.80,0.00,1.00,0.000,0.066,378103.6,3688.9,3,77,2.85,1.00,1.00,0.4163,6.38,38693.5,0.0072,36.7138,5461,18.3054,3
20000,2,700,7.92,0.00,0.00,0.00,7.92,0.00,1.00,0.000,0.064,379352.9,3738.2,3,68,2.93,1.00,1.00,0.4211,3.34,4660.6,0.0813,36.8203,5461,26.8650,3
30000,0,706,7.77,0.00,0.01,0.00,7.76,0.00,1.00,0.000,0.063,375509.2,3507.4,4,99,2.93,1.00,1.00,0.3965,7.50,92654.0,0.0000,36.4263,5462,9.7939,3
30000,1,721,7.85,0.00,0.00,0.00,7.85,0.00,1.00,0.000,0.064,374570.3,3562.0,5,80,2.93,1.00,1.00,0.4018,3.56,38645.4,0.0075,36.3266,5461,18.1084,2
30000,2,702,7.87,0.00,0.00,0.00,7.87,0.00,1.00,0.000,0.064,374716.7,3490.7,5,87,2.93,1.00,1.00,0.3943,3.56,4600.4,0.0740,36.3370,5461,26.5758,2
40000,0,692,7.85,0.00,0.00,0.00,7.85,0.00,1.00,0.000,0.062,373603.7,3424.3,2,66,2.96,1.00,1.00,0.3870,6.82,92797.6,0.0000,36.2422,5462,9.7599,4
40000,1,689,7.89,0.00,0.02,0.00,7.88,0.00,1.00,0.000,0.062,373727.7,3445.4,3,72,2.96,1.00,1.00,0.3894,3.17,38589.0,0.0087,36.2558,5461,18.0456,1
40000,2,701,7.88,0.00,0.00,0.00,7.88,0.00,1.00,0.000,0.063,373273.1,3484.5,3,89,2.98,1.00,1.00,0.3931,7.05,4564.4,0.0844,36.2089,5461,26.4837,2
50000,0,714,7.91,0.00,0.00,0.00,7.91,0.00,1.00,0.000,0.064,373308.9,3456.1,2,76,2.97,1.00,1.00,0.3898,4.81,92775.9,0.0000,36.2121,5462,9.7547,1
50000,1,687,7.94,0.01,0.01,0.00,7.92,0.00,1.00,0.000,0.063,373365.1,3471.7,2,75,2.96,1.00,1.00,0.3909,1.68,38601.5,0.0094,36.2370,5461,18.0359,1
50000,2,698,7.94,0.00,0.01,0.00,7.93,0.00,1.00,0.000,0.064,373270.6,3371.0,2,78,2.96,1.00,1.00,0.3793,3.35,4546.5,0.0800,36.2048,5461,26.4695,1
60000,0,696,8.03,0.00,0.00,0.00,8.03,0.00,1.00,0.000,0.064,372722.3,3372.8,3,71,3.02,1.00,1.00,0.3801,4.42,92813.9,0.0000,36.1758,5462,9.7305,3
60000,1,691,8.06,0.00,0.00,0.00,8.05,0.00,1.00,0.000,0.064,372493.8,3479.6,3,81,3.04,1.00,1.00,0.3943,3.09,38586.6,0.0111,36.1379,5461,17.9911,2
60000,2,719,7.95,0.00,0.00,0.00,7.95,0.00,1.00,0.000,0.065,371809.2,3406.8,3,77,3.03,1.00,1.00,0.3852,5.82,4477.2,0.0813,36.0747,5461,26.4037,2
70000,0,692,8.02,0.00,0.00,0.00,8.02,0.00,1.00,0.000,0.064,370338.1,3479.1,3,63,3.09,1.00,1.00,0.3951,5.47,92976.5,0.0000,35.9583,5462,9.6848,3
70000,1,681,7.96,0.01,0.00,0.00,7.96,0.00,1.00,0.000,0.062,370441.6,3523.6,3,54,3.03,1.00,1.00,0.3991,7.55,38515.8,0.0095,35.9414,5461,17.9066,4
70000,2,696,7.90,0.00,0.00,0.00,7.90,0.00,1.00,0.000,0.063,370518.3,3489.7,3,89,3.05,1.00,1.00,0.3942,1.90,4440.1,0.0822,35.9758,5461,26.2797,0
80000,0,677,8.01,0.00,0.00,0.00,8.01,0.00,1.00,0.000,0.062,365910.9,3403.5,2,52,3.14,1.00,1.00,0.3887,3.76,93082.0,0.0000,35.5475,5462,9.5494,2
