step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,6,1277,9.8,0.0,0.1,0.1,9.7,0.0,1.00,12.0,61,305,19.56,0.30,248,431,598,0.0,1.00,1.00,1.00,3.17,2.16,7.87,37.4
5000,9,163,9.4,0.0,0.0,0.0,9.4,0.0,1.00,15.5,24,666,40.37,0.50,40,74,49,0.0,1.00,1.00,1.00,3.42,3.12,6.16,32.7
6000,6,1302,9.5,0.0,0.1,0.0,9.4,0.0,1.00,12.3,54,335,21.31,0.33,237,446,619,0.0,1.00,1.00,1.00,3.16,2.06,7.85,37.4
6000,9,129,8.7,0.0,0.0,0.0,8.7,0.0,1.01,16.0,15,615,35.60,0.46,35,64,30,0.0,1.00,1.02,1.01,3.22,3.02,6.01,32.0
7000,6,1368,9.3,0.0,0.1,0.1,9.1,0.0,1.00,12.7,64,328,20.45,0.32,243,481,644,0.0,1.00,1.00,1.00,3.15,1.94,7.86,37.3
7000,9,125,8.3,0.0,0.0,0.0,8.3,0.0,1.00,16.9,12,561,31.35,0.44,53,42,30,0.0,1.00,1.00,1.00,3.02,2.98,5.69,28.7
8000,6,1387,8.9,0.1,0.1,0.0,8.7,0.0,1.02,13.2,74,359,21.84,0.34,260,515,612,0.0,1.02,1.02,1.02,3.11,1.84,7.87,36.8
8000,9,91,7.8,0.1,0.0,0.0,7.8,0.0,1.01,17.6,9,586,31.61,0.48,21,31,39,0.0,1.00,1.02,1.01,2.70,3.03,4.21,35.4
9000,6,1444,8.7,0.0,0.1,0.1,8.5,0.0,1.00,13.7,81,344,20.44,0.33,284,533,627,0.0,1.00,1.00,1.00,3.09,1.80,7.85,36.4
9000,9,93,7.0,0.0,0.0,0.0,7.0,0.0,1.00,18.4,10,501,26.09,0.38,12,38,43,0.0,1.00,1.00,1.00,2.45,3.03,3.88,37.3
10000,6,1469,8.3,0.0,0.0,0.1,8.2,0.0,1.01,14.3,74,382,22.21,0.31,323,535,611,0.0,1.00,1.01,1.01,3.10,1.80,7.88,35.8
10000,9,86,6.5,0.1,0.0,0.0,6.4,0.0,1.01,19.7,5,436,21.88,0.31,10,44,32,0.0,1.00,1.03,1.01,2.34,3.08,3.09,35.6
11000,6,1483,8.5,0.0,0.1,0.0,8.3,0.0,1.00,14.1,71,417,23.86,0.32,304,555,624,0.0,1.00,1.00,1.00,3.14,1.97,7.87,36.0
11000,9,82,6.2,0.0,0.0,0.0,6.2,0.0,1.00,19.5,6,456,22.40,0.26,2,26,54,0.0,1.00,1.00,1.00,2.34,3.13,3.22,42.2
12000,6,1508,8.1,0.0,0.0,0.0,8.1,0.0,1.00,14.4,60,417,23.58,0.29,320,544,644,0.0,1.00,1.00,1.00,3.14,1.94,7.89,36.1
12000,9,55,6.6,0.0,0.0,0.0,6.6,0.0,1.00,19.5,6,594,29.51,0.43,5,31,19,0.0,1.00,1.00,1.00,2.38,3.11,3.15,37.8
13000,6,1522,7.9,0.0,0.0,0.0,7.8,0.0,1.00,14.8,64,457,25.47,0.32,310,573,639,0.0,1.00,1.00,1.00,3.14,1.91,7.88,36.0
13000,9,63,6.0,0.0,0.0,0.0,6.0,0.0,1.00,19.9,4,374,18.63,0.25,11,21,31,0.0,1.00,1.00,1.00,2.27,2.98,3.11,38.5
