step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,1,535,24.8,1.7,1.5,1.5,20.1,0.0,1.33,7.3,111,130,23.62,4.33,276,198,61,0.3,1.43,1.44,1.25,5.93,7.92,5.88,24.7
6000,1,645,24.4,1.7,1.8,1.4,19.5,0.0,1.32,7.3,109,169,29.80,5.60,310,225,110,0.1,1.42,1.44,1.25,6.27,7.84,6.39,24.5
7000,1,688,23.7,2.4,2.4,1.2,17.8,0.0,1.47,7.1,130,234,39.34,7.04,376,256,56,0.2,1.58,1.62,1.38,6.23,7.95,6.50,23.9
8000,1,771,22.9,2.3,1.7,0.9,18.0,0.0,1.44,7.3,139,219,35.24,6.96,297,343,131,0.2,1.58,1.60,1.34,6.29,7.91,6.65,27.2
9000,1,702,23.0,2.5,2.1,1.2,17.2,0.0,1.46,7.5,145,296,48.48,7.29,362,249,91,0.3,1.57,1.59,1.38,6.01,7.91,6.29,24.1
10000,1,740,21.0,2.1,2.0,1.2,15.8,0.0,1.37,8.7,132,299,45.55,7.87,319,346,75,0.2,1.50,1.44,1.31,5.69,7.93,5.89,24.3
11000,1,659,23.2,2.2,1.8,1.6,17.7,0.0,1.40,6.9,128,256,40.88,6.41,284,287,88,0.1,1.54,1.52,1.33,6.38,7.95,6.74,25.4
12000,1,623,24.1,2.1,1.2,1.0,19.8,0.1,1.39,6.7,98,245,38.90,8.37,256,232,135,0.2,1.50,1.50,1.32,6.47,7.98,6.79,27.8
13000,1,568,21.6,1.8,1.5,1.1,17.2,0.0,1.31,8.2,90,203,33.40,7.79,269,258,41,0.3,1.45,1.45,1.24,6.20,7.91,6.80,24.3
14000,1,776,21.2,1.6,1.4,0.7,17.6,0.0,1.27,7.9,110,217,33.36,7.01,353,359,64,0.1,1.38,1.39,1.21,6.05,7.94,6.56,24.8
15000,1,725,21.0,1.7,1.3,1.1,16.8,0.0,1.33,8.3,133,252,37.65,7.28,346,294,85,0.1,1.42,1.45,1.27,6.05,7.89,6.37,24.6
16000,1,654,21.0,1.6,1.2,1.6,16.6,0.0,1.28,8.4,103,209,33.79,6.87,294,280,80,0.1,1.38,1.37,1.23,5.87,7.83,6.13,25.2
17000,1,661,21.7,1.7,1.6,1.2,17.2,0.0,1.31,7.8,125,242,40.52,9.30,349,257,55,0.1,1.40,1.40,1.25,6.20,7.86,6.46,23.3
18000,1,621,22.5,2.1,1.3,0.3,18.8,0.0,1.42,7.1,99,209,34.99,8.60,331,246,44,0.2,1.57,1.57,1.31,6.19,7.92,6.31,23.4
19000,1,861,21.8,2.4,1.0,0.8,17.6,0.0,1.49,7.6,132,210,34.99,7.14,410,329,122,0.1,1.65,1.64,1.38,6.22,7.77,6.43,25.1
20000,1,710,24.4,3.6,1.4,1.3,18.1,0.0,1.80,6.6,131,275,48.77,9.38,329,301,80,0.1,1.95,2.01,1.65,6.28,7.90,6.58,24.2
21000,1,716,22.7,3.5,1.1,0.8,17.4,0.0,1.76,6.4,134,268,46.29,8.97,318,332,66,0.1,1.91,1.98,1.62,6.36,7.84,6.66,24.3
22000,1,802,22.5,3.4,1.0,0.7,17.3,0.0,1.77,6.8,161,306,48.56,8.91,330,390,82,0.1,1.94,1.97,1.65,6.49,7.86,6.75,24.6
23000,1,708,21.2,3.9,0.4,0.5,16.4,0.0,1.88,7.7,128,363,58.73,9.47,341,318,49,0.0,2.06,2.12,1.73,6.35,7.90,6.68,22.5
24000,1,748,23.4,3.7,0.8,1.0,17.9,0.0,1.83,6.7,133,269,44.63,6.70,324,271,153,0.2,2.05,2.06,1.66,6.85,7.87,7.17,26.5
25000,1,933,22.3,3.3,0.9,1.1,16.9,0.0,1.73,6.6,155,314,51.30,8.65,421,406,106,0.2,1.95,1.96,1.58,6.74,7.87,7.25,24.7
26000,1,803,22.2,3.5,0.9,1.3,16.6,0.0,1.79,6.5,131,414,67.59,12.89,353,365,85,0.1,2.03,2.06,1.61,6.60,7.93,7.24,24.2
27000,1,779,22.1,3.8,0.8,1.3,16.3,0.0,1.83,6.8,126,315,50.07,9.51,334,328,117,0.1,2.09,2.11,1.63,6.65,7.85,7.22,24.9
28000,1,807,24.2,4.7,0.9,1.3,17.3,0.0,2.07,5.3,116,336,55.23,10.59,329,376,102,0.2,2.43,2.44,1.81,6.87,7.96,7.56,25.6
29000,1,721,23.4,4.4,0.6,1.1,17.4,0.0,1.99,5.6,118,414,71.23,12.11,279,359,83,0.1,2.29,2.29,1.77,6.88,7.72,7.47,26.3
30000,1,819,24.5,5.5,0.8,0.9,17.4,0.0,2.17,5.1,136,401,66.34,11.92,374,321,124,0.1,2.41,2.39,1.97,7.04,7.72,7.48,26.0
31000,1,823,23.8,4.7,0.5,0.8,17.8,0.0,2.02,5.4,120,351,59.48,10.63,386,320,117,0.0,2.21,2.16,1.86,7.04,7.74,7.36,25.7
32000,1,699,24.9,6.1,0.4,1.0,17.4,0.0,2.39,4.6,118,394,66.17,11.10,328,293,78,0.0,2.71,2.74,2.13,7.13,7.93,7.40,24.1
33000,1,804,22.8,5.4,0.3,0.7,16.5,0.0,2.26,5.8,135,360,56.77,10.00,395,297,112,0.0,2.63,2.70,1.98,6.63,7.47,6.89,24.9
34000,1,820,24.9,6.3,0.3,0.8,17.5,0.0,2.43,4.1,139,386,63.98,10.65,376,353,91,0.0,2.69,2.84,2.18,7.16,7.70,7.45,24.5
35000,1,810,25.5,6.7,0.3,0.6,17.9,0.0,2.52,4.0,144,461,78.81,13.16,397,279,134,0.0,2.82,2.89,2.23,7.10,7.74,7.01,25.3
36000,1,680,25.7,6.8,0.4,0.6,17.9,0.0,2.51,3.5,123,509,80.67,13.70,377,221,82,0.0,2.70,2.82,2.25,7.37,7.90,7.54,23.3
37000,1,844,24.3,6.3,0.4,0.8,16.9,0.0,2.41,4.9,145,452,71.00,11.91,414,314,116,0.1,2.69,2.77,2.15,7.20,7.74,7.34,24.7
38000,1,900,23.4,5.7,0.1,0.7,16.9,0.0,2.28,4.7,112,474,74.52,12.74,448,364,88,0.0,2.53,2.58,2.08,7.03,7.82,7.26,23.7
39000,1,900,22.9,5.6,0.1,0.4,16.8,0.0,2.20,5.4,133,468,74.07,13.20,401,336,163,0.0,2.41,2.43,2.04,7.07,7.75,7.21,26.5
40000,1,916,23.2,5.4,0.4,0.4,17.1,0.0,2.16,5.5,136,430,68.85,12.25,365,405,146,0.0,2.32,2.32,2.06,7.05,7.65,7.09,26.3
41000,1,961,22.8,5.9,0.1,0.2,16.5,0.0,2.27,5.7,160,451,71.46,12.89,440,410,111,0.0,2.42,2.42,2.18,7.07,7.83,7.31,24.4
42000,1,904,23.1,5.4,0.2,0.5,17.0,0.0,2.11,5.4,144,477,76.87,13.56,378,406,120,0.0,2.19,2.21,2.05,7.17,7.81,7.30,25.0
43000,1,887,22.0,5.3,0.1,0.3,16.3,0.0,2.13,6.3,148,491,76.45,14.04,397,410,80,0.0,2.22,2.26,2.07,7.01,7.82,7.12,23.8
44000,1,823,23.7,5.4,0.1,0.3,17.9,0.0,2.16,5.6,140,487,79.23,13.99,391,359,73,0.0,2.40,2.28,2.06,6.90,7.84,6.76,23.7
45000,1,967,23.3,4.8,0.3,0.2,18.0,0.0,2.02,5.6,178,385,62.62,10.46,421,359,187,0.0,2.24,2.14,1.91,7.01,7.77,7.07,27.7
46000,1,930,23.3,5.7,0.1,0.3,17.2,0.0,2.28,5.0,154,491,79.20,13.88,392,404,134,0.0,2.53,2.54,2.13,7.11,7.81,7.17,25.1
47000,1,769,25.1,6.7,0.4,0.4,17.6,0.0,2.56,4.8,121,535,87.65,15.77,278,338,153,0.0,2.92,2.97,2.26,7.24,7.86,7.43,27.8
48000,1,880,25.7,7.1,0.4,0.2,18.0,0.0,2.69,3.6,134,482,79.83,13.95,392,384,104,0.0,3.15,3.23,2.36,7.39,7.71,7.52,25.2
49000,1,757,24.8,6.9,0.5,0.3,17.2,0.0,2.54,3.8,121,530,87.31,14.39,376,329,52,0.0,2.85,2.94,2.31,7.24,7.82,7.46,23.0
50000,1,818,25.1,7.4,0.2,0.2,17.3,0.0,2.73,3.7,139,535,87.40,14.35,402,323,93,0.0,3.16,3.09,2.48,7.40,7.78,7.37,24.0
51000,1,886,23.9,7.3,0.2,0.1,16.3,0.0,2.64,4.3,131,526,82.68,13.33,446,341,99,0.0,2.94,2.95,2.39,7.35,7.66,7.47,23.7
52000,1,884,26.0,7.3,0.5,0.2,18.1,0.0,2.65,3.5,154,518,81.78,13.83,443,311,130,0.0,2.87,2.88,2.43,7.56,7.82,7.55,25.4
53000,1,777,26.1,7.7,0.2,0.2,17.9,0.0,2.73,3.0,113,545,87.27,14.47,358,324,95,0.0,3.19,3.11,2.45,7.74,7.95,7.59,25.0
54000,1,851,26.2,8.0,0.2,0.5,17.6,0.0,2.78,3.2,142,506,84.07,12.57,360,362,129,0.0,3.10,3.02,2.55,7.59,7.80,7.57,25.6
55000,1,872,24.9,7.0,0.2,0.4,17.3,0.0,2.64,4.0,150,527,89.35,13.22,423,346,103,0.0,2.97,3.01,2.37,7.32,7.91,7.23,25.0
56000,1,843,25.8,7.0,0.3,0.7,17.7,0.0,2.65,4.1,169,525,87.99,13.33,412,342,89,0.0,2.99,3.02,2.35,7.45,7.84,7.51,24.4
57000,1,925,23.7,6.0,0.3,0.5,16.8,0.0,2.42,5.4,151,478,77.00,12.90,395,412,118,0.0,2.68,2.74,2.20,7.22,7.76,7.37,25.1
58000,1,835,26.1,7.3,0.3,0.5,17.9,0.0,2.72,4.0,151,539,90.11,14.22,376,341,118,0.0,3.10,3.03,2.49,7.70,7.89,7.62,24.9
59000,1,880,24.0,6.2,0.1,0.7,16.9,0.0,2.44,5.1,140,453,71.15,11.77,424,322,134,0.0,2.69,2.62,2.33,7.26,7.93,7.39,24.4
60000,1,866,24.2,5.6,0.3,0.6,17.7,0.0,2.30,4.8,155,478,77.07,13.22,383,352,131,0.0,2.46,2.45,2.19,7.33,7.90,7.41,25.4
