step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
100000,27,27,0,8,8,11,0,1.00,0,0.296,2379,2.35,380.36,42.62,20,0,0,0,1.00,1.00,1.00,8,8,8,13.6
100000,27,27,0,8,8,11,0,1.00,0,0.296,2214,3.35,376.36,55.48,20,0,0,0,1.00,1.00,1.00,5,8,8,13.5
100000,23,23,0,7,10,6,0,1.00,6,0.304,2208,3.77,250.84,8.19,20,0,0,0,1.00,1.00,1.00,6,8,5,11.9
100000,10,10,0,0,0,10,0,1.00,12,0.000,2163,2.16,135.31,1.48,20,0,0,0,1.00,1.00,1.00,3,2,8,15.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,2050,2.53,131.70,1.55,20,1,1,0,1.00,1.00,1.00,3,2,8,27.4
100000,10,10,0,0,0,10,0,1.00,12,0.000,2044,2.38,308.59,28.67,20,1,1,0,1.00,1.00,1.00,3,2,8,34.0
100000,20,20,0,0,0,20,0,1.00,8,0.000,2025,2.25,336.83,10.63,20,1,1,0,1.00,1.00,1.00,4,4,8,34.5
100000,11,11,0,0,0,11,0,1.00,12,0.000,2019,2.83,132.86,1.06,20,0,0,0,1.00,1.00,1.00,3,2,8,22.2
100000,11,11,0,0,0,11,0,1.00,10,0.000,2003,2.51,133.54,2.28,20,0,0,0,1.00,1.00,1.00,3,3,8,15.3
100000,30,30,7,0,0,23,0,2.06,0,0.000,1977,2.77,426.70,153.67,20,1,1,0,1.00,2.88,2.19,7,8,8,34.7
100000,11,11,0,0,0,11,0,1.00,10,0.000,1965,0.73,127.66,0.69,20,0,1,0,1.00,1.00,1.00,2,3,8,25.1
100000,30,30,7,0,0,23,0,2.06,0,0.000,1951,3.48,388.79,97.91,20,1,1,0,1.00,2.88,2.19,9,8,8,35.0
100000,11,11,0,0,0,11,0,1.00,12,0.000,1932,2.01,125.67,0.59,20,0,0,0,1.00,1.00,1.00,3,2,8,20.5
100000,22,22,0,18,0,4,0,1.00,4,0.818,1848,0.80,139.58,4.24,20,0,0,0,1.00,1.00,1.00,7,8,6,10.9
100000,11,11,0,0,0,11,0,1.00,10,0.000,1837,1.07,124.24,0.82,20,1,1,0,1.00,1.00,1.00,4,3,8,27.2
100000,47,47,0,29,0,18,0,1.00,0,0.617,1734,5.86,438.02,28.96,20,0,0,0,1.00,1.00,1.00,9,8,8,9.8
100000,10,10,0,0,0,10,0,1.00,12,0.000,1733,1.51,182.00,22.91,20,1,1,0,1.00,1.00,1.00,5,2,8,27.2
100000,11,11,0,0,0,11,0,1.00,12,0.000,1621,0.83,103.59,0.92,20,0,1,0,1.00,1.00,1.00,5,2,8,25.8
100000,10,10,0,0,0,10,0,1.00,12,0.000,1578,2.55,98.17,1.07,20,1,0,0,1.00,1.00,1.00,3,2,8,27.2
100000,10,10,0,0,0,10,0,1.00,12,0.000,1538,1.76,97.80,1.89,20,0,0,0,1.00,1.00,1.00,3,2,8,17.7
100000,11,11,0,0,0,11,0,1.00,10,0.000,1481,0.39,100.22,0.41,20,0,0,0,1.00,1.00,1.00,4,3,8,12.3
100000,10,10,0,0,0,10,0,1.00,12,0.000,1451,2.83,93.99,1.97,20,0,0,0,1.00,1.00,1.00,3,2,8,12.9
100000,11,11,0,0,0,11,0,1.00,10,0.000,1448,1.88,93.60,0.63,20,0,0,0,1.00,1.00,1.00,4,3,8,20.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,1427,0.75,86.09,1.37,20,0,0,0,1.00,1.00,1.00,3,2,8,13.1
100000,41,41,14,0,0,27,0,3.22,0,0.000,1423,5.39,498.72,177.81,108,1,1,0,1.00,5.00,3.44,9,8,8,36.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,1387,2.62,93.99,0.73,20,1,0,0,1.00,1.00,1.00,3,2,8,34.3
100000,11,11,0,0,0,11,0,1.00,10,0.000,1386,2.56,93.97,0.78,20,2,0,0,1.00,1.00,1.00,4,3,8,38.4
100000,21,21,0,8,0,13,0,1.00,4,0.381,1384,1.55,143.61,38.52,108,1,1,0,1.00,1.00,1.00,7,8,8,37.0
100000,14,14,0,0,0,14,0,1.00,8,0.000,1347,1.74,48.46,55.32,20,1,1,0,1.00,1.00,1.00,6,4,8,36.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,1344,0.48,82.65,1.41,20,0,0,0,1.00,1.00,1.00,3,2,8,17.0
100000,11,11,0,0,0,11,0,1.00,10,0.000,1333,1.53,87.54,0.76,20,0,0,0,1.00,1.00,1.00,4,3,8,25.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,1321,1.02,80.44,1.03,20,0,0,0,1.00,1.00,1.00,3,2,8,15.1
100000,11,11,0,0,0,11,0,1.00,10,0.000,1319,0.92,84.71,0.97,20,1,1,0,1.00,1.00,1.00,3,3,8,35.6
100000,11,11,0,0,0,11,0,1.00,10,0.000,1318,0.38,83.65,0.66,20,0,1,0,1.00,1.00,1.00,4,3,8,18.0
100000,11,11,0,0,0,11,0,1.00,12,0.000,1298,1.13,84.83,0.93,20,1,1,0,1.00,1.00,1.00,3,2,8,31.5
100000,44,44,20,0,0,24,0,4.62,0,0.000,1298,4.96,259.27,26.68,108,1,1,0,2.38,7.12,4.50,9,8,8,34.0
100000,20,20,0,7,0,13,0,1.00,0,0.350,1265,1.65,182.36,44.48,20,1,1,0,1.00,1.00,1.00,7,8,8,30.6
100000,10,10,0,0,0,10,0,1.00,12,0.000,1262,2.75,77.23,0.89,20,1,0,0,1.00,1.00,1.00,3,2,8,27.6
100000,24,24,0,8,0,16,0,1.00,0,0.333,1235,0.58,144.24,48.44,20,1,1,0,1.00,1.00,1.00,7,8,8,29.5
100000,41,41,14,0,0,27,0,3.22,0,0.000,1214,4.36,213.10,56.20,108,2,2,0,1.00,5.00,3.44,8,8,8,38.7
100000,48,48,2,0,0,46,0,1.00,0,0.000,1190,3.19,346.08,131.36,108,1,1,0,1.00,1.00,1.00,6,8,8,35.9
100000,11,11,0,0,0,11,0,1.00,12,0.000,1188,1.97,76.25,0.29,20,1,1,0,1.00,1.00,1.00,5,2,8,36.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,1180,1.76,136.33,12.39,20,0,0,0,1.00,1.00,1.00,3,2,8,18.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,1176,1.91,80.81,0.97,20,0,0,0,1.00,1.00,1.00,5,2,8,17.8
100000,11,11,0,0,0,11,0,1.00,10,0.000,1161,2.63,74.84,1.32,20,1,1,0,1.00,1.00,1.00,4,3,8,28.2
100000,11,11,0,0,0,11,0,1.00,10,0.000,1150,2.06,73.94,0.26,20,0,0,0,1.00,1.00,1.00,5,3,8,25.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,1149,1.75,73.85,0.37,20,1,0,0,1.00,1.00,1.00,3,2,8,30.3
100000,11,11,0,0,0,11,0,1.00,12,0.000,1143,0.09,75.08,1.03,20,1,1,0,1.00,1.00,1.00,6,2,8,35.9
100000,10,10,0,0,0,10,0,1.00,12,0.000,1141,1.60,68.81,1.43,20,0,0,0,1.00,1.00,1.00,4,2,8,13.6
100000,10,10,0,0,0,10,0,1.00,12,0.000,1139,2.16,72.18,0.73,20,0,0,0,1.00,1.00,1.00,3,2,8,19.2
100000,10,10,0,0,0,10,0,1.00,12,0.000,1108,2.17,77.70,1.05,20,1,0,0,1.00,1.00,1.00,4,2,8,35.4
100000,11,11,0,0,0,11,0,1.00,12,0.000,1089,0.86,68.98,0.38,20,1,1,0,1.00,1.00,1.00,5,2,8,35.4
100000,11,11,0,0,0,11,0,1.00,10,0.000,1076,2.29,70.34,0.32,20,1,1,0,1.00,1.00,1.00,4,3,8,27.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,1070,2.23,70.29,0.31,20,1,1,0,1.00,1.00,1.00,3,2,8,28.0
100000,11,11,0,0,0,11,0,1.00,10,0.000,1064,0.85,67.13,0.79,20,0,0,0,1.00,1.00,1.00,4,3,8,11.4
100000,13,13,0,0,0,13,0,1.00,10,0.000,1061,2.29,69.91,2.26,20,0,0,0,1.00,1.00,1.00,4,3,8,14.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,1038,1.58,68.03,0.66,20,1,1,0,1.00,1.00,1.00,4,2,8,30.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,1037,1.52,67.21,0.41,20,0,0,0,1.00,1.00,1.00,4,2,8,19.6
100000,10,10,0,0,0,10,0,1.00,12,0.000,1036,2.60,68.82,0.03,20,0,0,0,1.00,1.00,1.00,3,2,8,18.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,1027,2.96,69.11,0.56,20,1,0,0,1.00,1.00,1.00,4,2,8,30.5
100000,11,11,0,0,0,11,0,1.00,10,0.000,1021,2.47,67.98,0.16,20,1,0,0,1.00,1.00,1.00,5,3,8,31.8
100000,22,22,0,18,0,4,0,1.00,4,0.818,999,4.19,78.86,0.95,20,0,0,0,1.00,1.00,1.00,4,8,6,12.6
100000,50,50,0,0,0,50,0,1.00,0,0.000,997,6.32,462.75,276.12,108,2,2,0,1.00,1.00,1.00,6,8,8,38.2
100000,16,16,0,0,0,16,0,1.00,10,0.000,987,1.14,108.29,71.25,20,0,0,0,1.00,1.00,1.00,3,3,8,11.9
100000,11,11,0,0,0,11,0,1.00,10,0.000,968,1.34,66.89,0.54,20,1,1,0,1.00,1.00,1.00,3,3,8,26.7
100000,9,9,0,0,0,9,0,1.00,12,0.000,964,2.51,66.40,9.46,20,0,1,0,1.00,1.00,1.00,4,2,8,17.9
100000,10,10,0,0,0,10,0,1.00,12,0.000,963,1.57,59.88,0.50,20,0,1,0,1.00,1.00,1.00,3,2,8,25.3
100000,11,11,0,0,0,11,0,1.00,10,0.000,948,2.22,63.24,0.24,20,0,0,0,1.00,1.00,1.00,3,3,8,22.0
100000,20,20,0,0,0,20,0,1.00,10,0.000,935,3.43,128.68,62.54,20,0,0,0,1.00,1.00,1.00,6,3,8,11.9
100000,10,10,0,0,0,10,0,1.00,12,0.000,908,1.82,60.49,0.05,20,0,0,0,1.00,1.00,1.00,5,2,8,18.9
100000,9,9,0,0,0,9,0,1.00,12,0.000,900,0.99,160.45,0.73,20,0,0,0,1.00,1.00,1.00,3,2,8,21.5
100000,9,9,0,0,0,9,0,1.00,12,0.000,900,1.01,62.20,10.06,20,0,0,0,1.00,1.00,1.00,3,2,8,18.8
100000,10,10,0,0,0,10,0,1.00,12,0.000,896,2.07,58.94,1.19,20,1,1,0,1.00,1.00,1.00,3,2,8,27.6
100000,10,10,0,0,0,10,0,1.00,12,0.000,895,0.97,52.34,0.49,20,1,1,0,1.00,1.00,1.00,3,2,8,31.1
100000,9,9,0,0,0,9,0,1.00,12,0.000,894,1.33,96.62,3.18,20,0,0,0,1.00,1.00,1.00,2,2,8,20.4
100000,10,10,0,0,0,10,0,1.00,12,0.000,893,1.10,105.03,25.42,20,0,0,0,1.00,1.00,1.00,2,2,8,17.4
100000,10,10,0,0,0,10,0,1.00,12,0.000,883,2.09,54.17,0.26,20,2,1,0,1.00,1.00,1.00,3,2,8,41.6
100000,10,10,0,0,0,10,0,1.00,12,0.000,882,2.54,54.00,0.57,20,0,0,0,1.00,1.00,1.00,4,2,8,21.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,878,0.81,51.97,0.64,20,0,0,0,1.00,1.00,1.00,3,2,8,20.4
100000,11,11,0,0,0,11,0,1.00,10,0.000,877,2.55,54.61,0.44,20,0,0,0,1.00,1.00,1.00,4,3,8,20.2
100000,48,48,2,0,0,46,0,1.00,0,0.000,876,3.51,181.15,138.45,108,1,1,0,1.00,1.00,1.00,9,8,8,37.8
100000,10,10,0,0,0,10,0,1.00,12,0.000,875,1.00,54.31,0.08,20,0,0,0,1.00,1.00,1.00,3,2,8,16.7
100000,9,9,0,0,0,9,0,1.00,12,0.000,875,2.41,132.73,20.03,20,0,0,0,1.00,1.00,1.00,2,2,8,19.1
100000,9,9,0,0,0,9,0,1.00,12,0.000,872,2.58,92.58,0.58,20,0,0,0,1.00,1.00,1.00,3,2,8,18.0
100000,9,9,0,0,0,9,0,1.00,12,0.000,872,1.67,127.08,29.82,20,0,0,0,1.00,1.00,1.00,4,2,8,21.5
100000,9,9,0,0,0,9,0,1.00,12,0.000,869,0.62,52.53,0.36,20,0,0,0,1.00,1.00,1.00,3,2,8,19.4
100000,10,10,0,0,0,10,0,1.00,12,0.000,869,2.86,51.36,0.50,20,1,1,0,1.00,1.00,1.00,5,2,8,31.7
100000,9,9,0,0,0,9,0,1.00,12,0.000,868,2.86,99.07,9.62,20,0,0,0,1.00,1.00,1.00,3,2,8,19.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,866,2.55,172.10,0.69,20,0,0,0,1.00,1.00,1.00,2,2,8,21.0
100000,9,9,0,0,0,9,0,1.00,12,0.000,864,1.84,109.39,2.79,20,0,0,0,1.00,1.00,1.00,3,2,8,20.0
100000,9,9,0,0,0,9,0,1.00,12,0.000,864,2.67,132.88,20.71,20,0,0,0,1.00,1.00,1.00,2,2,8,20.3
100000,19,19,0,7,0,12,0,1.00,0,0.368,863,3.83,171.84,8.12,20,0,0,0,1.00,1.00,1.00,5,8,8,18.5
100000,9,9,0,0,0,9,0,1.00,12,0.000,863,2.86,86.23,16.45,20,0,0,0,1.00,1.00,1.00,3,2,8,19.2
100000,10,10,0,0,0,10,0,1.00,12,0.000,861,1.67,53.41,0.55,20,0,0,0,1.00,1.00,1.00,2,2,8,21.2
100000,38,38,22,0,0,16,0,6.12,0,0.000,860,3.57,160.51,31.50,20,2,2,0,1.00,8.25,7.62,6,8,8,40.0
100000,17,17,0,7,0,10,0,1.00,4,0.412,859,3.21,114.29,51.41,20,0,0,0,1.00,1.00,1.00,5,8,8,22.4
100000,9,9,0,0,0,9,0,1.00,12,0.000,856,2.23,89.63,50.55,20,0,0,0,1.00,1.00,1.00,3,2,8,22.4
100000,10,10,0,0,0,10,0,1.00,12,0.000,853,2.58,53.16,0.25,20,0,1,0,1.00,1.00,1.00,3,2,8,25.6
100000,45,45,25,0,0,20,0,5.56,0,0.000,849,3.80,264.17,50.62,20,2,2,0,1.00,9.50,5.88,9,8,8,39.4
100000,10,10,0,0,0,10,0,1.00,12,0.000,848,1.99,53.61,0.41,20,0,0,0,1.00,1.00,1.00,3,2,8,18.1
100000,10,10,0,0,0,10,0,1.00,12,0.000,845,2.67,97.74,14.35,20,0,0,0,1.00,1.00,1.00,3,2,8,19.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,844,0.90,52.13,0.95,20,0,0,0,1.00,1.00,1.00,5,2,8,16.2
100000,10,10,0,0,0,10,0,1.00,12,0.000,842,2.54,48.65,87.54,20,0,0,0,1.00,1.00,1.00,3,2,8,22.4
100000,6,6,0,0,0,6,0,1.00,20,0.000,840,0.07,59.03,29.43,20,0,0,0,1.00,1.00,1.00,2,2,4,23.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,827,1.97,64.83,1.53,20,0,0,0,1.00,1.00,1.00,4,2,8,20.6
100000,12,12,0,6,0,6,0,1.00,14,0.500,822,1.92,98.11,0.43,20,0,0,0,1.00,1.00,1.00,3,8,3,10.2
100000,3,3,0,0,0,3,0,1.00,24,0.000,822,1.93,47.30,2.02,20,0,0,0,1.00,1.00,1.00,1,2,2,21.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,820,2.78,50.13,9.34,20,0,1,0,1.00,1.00,1.00,3,2,8,25.1
100000,10,10,0,0,0,10,0,1.00,12,0.000,818,2.12,49.57,0.97,20,0,0,0,1.00,1.00,1.00,5,2,8,20.1
100000,10,10,0,0,0,10,0,1.00,12,0.000,817,0.43,47.11,0.21,20,1,0,0,1.00,1.00,1.00,3,2,8,27.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,811,1.97,44.66,2.56,20,1,0,0,1.00,1.00,1.00,3,1,8,30.8
100000,10,10,0,0,0,10,0,1.00,12,0.000,811,1.49,47.71,0.38,20,0,0,0,1.00,1.00,1.00,3,2,8,21.5
100000,11,11,0,0,0,11,0,1.00,10,0.000,810,2.63,53.17,0.29,20,1,1,0,1.00,1.00,1.00,4,3,8,26.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,805,1.05,50.31,0.41,20,0,0,0,1.00,1.00,1.00,3,2,8,16.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,804,1.60,49.58,0.62,20,0,1,0,1.00,1.00,1.00,3,2,8,18.6
100000,10,10,0,0,0,10,0,1.00,12,0.000,801,1.48,48.28,1.05,20,1,0,0,1.00,1.00,1.00,3,2,8,26.4
100000,45,45,25,0,0,20,0,5.56,0,0.000,795,5.35,120.06,42.09,20,2,2,0,1.00,9.50,5.88,9,8,8,40.7
100000,11,11,0,0,0,11,0,1.00,10,0.000,790,1.24,48.52,0.04,20,0,0,0,1.00,1.00,1.00,4,3,8,21.1
100000,10,10,0,0,0,10,0,1.00,12,0.000,790,2.73,51.53,0.80,20,2,2,0,1.00,1.00,1.00,3,2,8,41.8
100000,11,11,0,0,0,11,0,1.00,12,0.000,786,1.39,50.81,0.97,20,0,0,0,1.00,1.00,1.00,5,2,8,18.6
100000,11,11,0,0,0,11,0,1.00,12,0.000,786,2.00,50.57,0.24,20,0,0,0,1.00,1.00,1.00,3,2,8,22.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,783,2.05,48.33,0.39,20,0,0,0,1.00,1.00,1.00,3,2,8,18.2
100000,10,10,0,0,0,10,0,1.00,12,0.000,782,1.00,48.79,1.12,20,1,2,0,1.00,1.00,1.00,3,2,8,31.9
100000,19,19,0,7,0,12,0,1.00,0,0.368,775,3.24,103.94,1.11,20,0,0,0,1.00,1.00,1.00,5,8,8,20.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,774,2.21,53.67,0.47,20,0,0,0,1.00,1.00,1.00,3,2,8,12.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,773,1.67,59.52,1.48,20,2,2,0,1.00,1.00,1.00,3,2,8,44.8
100000,11,11,0,0,0,11,0,1.00,10,0.000,772,2.30,51.41,0.60,20,0,0,0,1.00,1.00,1.00,3,3,8,20.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,771,1.22,45.82,1.16,20,1,1,0,1.00,1.00,1.00,3,2,8,30.4
100000,10,10,0,0,0,10,0,1.00,12,0.000,770,1.84,49.78,0.45,20,2,0,0,1.00,1.00,1.00,4,2,8,40.1
100000,6,6,0,0,0,6,0,1.00,20,0.000,769,0.00,47.49,25.39,20,0,0,0,1.00,1.00,1.00,2,2,4,25.5
100000,45,45,25,0,0,20,0,5.56,0,0.000,768,3.54,82.77,94.21,20,2,2,0,1.00,9.50,5.88,9,8,8,38.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,765,2.51,51.83,0.69,20,1,1,0,1.00,1.00,1.00,4,2,8,34.1
100000,12,12,0,0,0,12,0,1.00,10,0.000,760,1.45,52.03,0.81,20,2,2,0,1.00,1.00,1.00,3,3,8,54.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,758,1.97,46.06,0.66,20,1,1,0,1.00,1.00,1.00,4,2,8,30.2
100000,10,10,0,0,0,10,0,1.00,12,0.000,756,1.11,44.48,0.22,20,0,0,0,1.00,1.00,1.00,5,2,8,13.6
100000,29,29,8,0,0,21,0,2.22,0,0.000,748,4.57,154.99,51.84,20,0,0,0,1.00,3.12,2.38,8,8,8,18.1
100000,10,10,0,0,0,10,0,1.00,12,0.000,744,2.13,46.32,0.44,20,0,0,0,1.00,1.00,1.00,3,2,8,15.6
100000,48,48,2,0,0,46,0,1.00,0,0.000,737,3.92,138.98,4.40,108,2,2,0,1.00,1.00,1.00,6,8,8,40.3
100000,10,10,0,0,0,10,0,1.00,12,0.000,734,2.42,42.54,0.14,20,1,1,0,1.00,1.00,1.00,3,2,8,30.2
100000,23,23,1,0,0,22,0,1.12,0,0.000,731,2.64,221.48,36.57,20,0,0,0,1.00,1.25,1.12,6,8,8,18.8
100000,10,10,0,0,0,10,0,1.00,12,0.000,728,2.92,74.18,15.48,20,0,0,0,1.00,1.00,1.00,3,2,8,16.5
100000,11,11,0,0,0,11,0,1.00,10,0.000,727,1.34,46.33,0.00,20,1,0,0,1.00,1.00,1.00,3,3,8,26.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,726,2.52,45.01,0.75,20,0,0,0,1.00,1.00,1.00,3,2,8,23.4
100000,10,10,0,0,0,10,0,1.00,12,0.000,726,1.54,46.38,0.38,20,0,0,0,1.00,1.00,1.00,3,2,8,18.3
100000,20,20,0,0,0,20,0,1.00,10,0.000,725,2.86,89.87,59.39,20,0,0,0,1.00,1.00,1.00,3,3,8,11.0
100000,10,10,0,0,0,10,0,1.00,12,0.000,722,1.52,48.78,0.03,20,1,1,0,1.00,1.00,1.00,3,2,8,33.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,722,1.74,58.56,1.87,20,0,0,0,1.00,1.00,1.00,2,2,8,23.9
100000,20,20,0,7,0,13,0,1.00,0,0.350,720,3.08,92.39,8.37,20,1,1,0,1.00,1.00,1.00,4,8,8,27.6
100000,4,4,0,0,0,4,0,1.00,22,0.000,716,0.78,27.41,0.50,20,0,0,0,1.00,1.00,1.00,2,2,3,22.7
100000,11,11,0,0,0,11,0,1.00,10,0.000,712,1.08,46.17,1.10,20,0,0,0,1.00,1.00,1.00,4,3,8,22.1
100000,10,10,0,0,0,10,0,1.00,12,0.000,710,1.08,43.64,1.41,20,0,0,0,1.00,1.00,1.00,3,2,8,18.7
100000,11,11,0,0,0,11,0,1.00,10,0.000,707,1.53,47.04,0.55,20,0,0,0,1.00,1.00,1.00,3,3,8,23.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,706,0.81,43.96,0.14,20,0,0,0,1.00,1.00,1.00,4,2,8,24.0
100000,23,23,1,0,0,22,0,1.12,0,0.000,705,3.78,170.53,100.09,20,0,0,0,1.00,1.25,1.12,6,8,8,17.5
100000,11,11,0,0,0,11,0,1.00,10,0.000,704,2.44,46.13,0.49,20,1,1,0,1.00,1.00,1.00,3,3,8,32.3
100000,10,10,0,0,0,10,0,1.00,12,0.000,699,0.14,40.93,0.35,20,1,1,0,1.00,1.00,1.00,3,2,8,29.3
100000,10,10,0,0,0,10,0,1.00,12,0.000,699,2.43,47.94,0.57,20,0,1,0,1.00,1.00,1.00,4,2,8,14.9
100000,10,10,0,0,0,10,0,1.00,12,0.000,699,2.45,40.59,0.63,20,0,1,0,1.00,1.00,1.00,5,2,8,23.6
100000,9,9,0,0,0,9,0,1.00,12,0.000,698,1.79,40.99,0.28,20,0,0,0,1.00,1.00,1.00,3,2,8,18.6
100000,11,11,0,0,0,11,0,1.00,10,0.000,691,2.48,44.84,0.42,20,0,0,0,1.00,1.00,1.00,3,3,8,21.1
100000,11,11,0,0,0,11,0,1.00,12,0.000,691,2.20,39.94,1.22,20,0,1,0,1.00,1.00,1.00,5,2,8,24.2
