step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,1,367,21.8,1.6,0.6,0.2,19.4,0.0,1.36,8.9,128,128,20.57,5.02,165,138,64,0.0,1.28,1.53,1.33,4.22,6.66,4.97,26.6
6000,1,183,21.6,3.2,1.3,0.1,17.0,0.0,1.73,9.8,66,99,15.95,2.88,8,96,79,0.1,1.38,2.02,1.76,4.07,6.29,4.83,38.5
7000,1,507,18.1,1.4,0.8,0.0,15.9,0.0,1.28,10.8,154,94,13.34,2.94,214,140,153,0.1,1.11,1.51,1.28,3.84,5.95,4.66,28.8
8000,1,384,21.6,2.4,0.9,0.0,18.4,0.0,1.49,8.9,138,140,21.89,4.76,225,133,26,0.1,1.07,1.74,1.58,4.36,5.17,6.65,23.0
9000,1,546,22.9,1.0,0.6,0.6,20.7,0.0,1.22,9.1,170,105,17.73,4.68,254,183,109,0.0,1.11,1.33,1.24,4.46,5.37,6.08,28.2
9000,20,266,18.1,0.8,0.7,0.0,16.7,0.0,1.20,8.1,80,144,18.54,4.39,88,118,60,0.0,1.10,1.24,1.25,4.18,4.52,7.58,28.7
10000,20,558,14.0,1.3,0.9,0.1,11.7,0.0,1.35,11.8,179,154,20.56,3.68,321,187,50,0.1,1.24,1.40,1.39,3.76,3.59,6.74,23.6
10000,1,217,17.4,0.2,0.4,0.1,16.7,0.0,1.05,12.7,47,121,14.83,2.61,58,97,62,0.0,1.02,1.08,1.06,3.76,4.01,5.92,32.9
11000,20,623,15.4,1.3,1.0,0.4,12.7,0.0,1.32,11.5,198,195,22.57,3.76,307,172,144,0.1,1.19,1.37,1.36,3.85,3.77,6.79,27.6
11000,1,111,24.4,1.0,1.3,0.0,22.0,0.0,1.19,10.9,23,210,32.41,7.13,64,25,22,0.1,1.00,1.34,1.21,4.48,5.66,5.04,27.7
12000,20,392,14.1,1.1,0.9,0.2,11.9,0.0,1.27,12.2,95,216,26.20,4.90,276,95,21,0.1,1.15,1.30,1.32,3.65,3.63,6.53,21.5
12000,1,144,19.1,0.5,0.2,0.5,18.0,0.0,1.16,12.0,46,370,54.45,14.41,75,33,36,0.0,1.09,1.21,1.18,3.88,5.24,5.01,28.1
12000,39,57,15.0,0.8,0.0,0.0,14.2,0.0,1.21,13.4,16,124,13.76,2.64,36,9,12,0.0,1.07,1.25,1.26,3.75,2.88,6.51,28.9
13000,20,596,13.6,0.7,0.7,0.1,12.1,0.0,1.15,12.7,131,145,14.71,3.00,399,148,49,0.0,1.06,1.20,1.18,3.51,3.45,6.41,22.5
13000,39,51,22.3,5.0,0.3,0.1,16.8,0.0,2.13,9.5,20,147,26.31,5.31,0,13,38,0.0,1.00,2.73,2.39,4.53,4.51,6.73,41.6
13000,1,17,37.2,5.1,0.0,0.0,32.2,0.0,2.08,2.1,7,246,56.59,24.64,17,0,0,0.0,2.20,2.65,1.73,6.29,7.47,7.47,14.6
14000,20,801,13.6,1.0,0.8,0.2,11.7,0.0,1.22,13.2,191,203,22.80,3.94,481,224,96,0.0,1.11,1.28,1.26,3.40,3.39,6.26,24.4
14000,45,81,15.5,0.3,1.1,0.2,13.9,0.0,1.06,11.1,26,311,35.86,8.94,0,81,0,0.2,1.00,1.09,1.07,3.89,3.46,7.31,30.4
15000,20,944,12.8,0.4,0.6,0.2,11.6,0.0,1.08,13.4,206,209,23.36,4.06,508,368,68,0.0,1.06,1.09,1.08,3.35,3.26,6.30,24.2
15000,48,103,15.1,0.0,2.5,0.0,12.6,0.0,1.00,10.7,40,112,13.56,2.98,0,27,76,0.0,1.00,1.00,1.00,3.88,3.57,7.39,45.6
15000,45,61,21.6,0.6,1.9,0.0,19.1,0.0,1.14,7.3,18,190,27.55,7.87,0,51,10,0.0,1.00,1.18,1.20,4.95,4.66,7.75,33.3
16000,20,861,12.7,0.3,1.2,0.0,11.1,0.0,1.09,13.5,171,287,28.67,5.03,417,394,50,0.0,1.09,1.09,1.10,3.36,3.00,6.60,24.7
