step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
10000,992,1.876,0.555,7.47,84695,82196,1,2,2987,2689,737372.1,188131.4,0.206,0.523,0.146,0.124,102,15.86,9.54,0.84,3.08,0.75,4.09,0.11,0.97,14.16,8.01,0.00,0.00,0.027,0.112,275,0.061,0.094,0.869,0.001,0.036,172024,168241,2,0.562,0.218,0.016,581571,0.145,2.270,0.044,10.84,56528,9,69.963,1.000,0.168,3418143,1.22,11.37,0.001,0.002,0.000,6,15,27,64,15732,0.060,0.00,0.0052,0.037,141,0.694,0.000,0.659,0.530,3.85,3.83,6.71,0.05,0.016,1.14,1.27,1.24,0.694,0.00264,1.08,29.6672,709.12,128771.9,140074.5,28.693,83.1095,63.839,820.693,0.997,0.432,33.4,31.916,159.035,739,3097.1,35.61,32.879,123.229,4720.7,50.415,0.134,2.00
20000,1560,1.617,0.224,5.75,123567,117390,31,0,5578,413,874230.2,164602.4,0.086,0.535,0.257,0.122,144,11.35,6.52,0.10,0.93,0.40,2.76,0.29,1.74,10.56,4.78,0.00,0.00,0.015,0.084,204,0.272,0.196,0.784,0.000,0.021,204456,200945,2,0.976,0.024,0.054,542688,0.117,1.484,0.014,25.90,61968,0,398.553,0.000,0.113,5008593,1.02,12.78,0.003,0.001,0.000,6,10,18,64,17707,0.068,0.00,0.0053,0.056,305,0.546,0.000,0.651,0.434,3.36,2.71,7.11,0.01,0.005,1.01,1.03,1.03,0.546,0.00247,8.33,24.0893,617.80,133487.6,140074.2,34.308,41.7129,79.962,789.001,0.996,0.448,45.4,39.980,136.727,157,641.8,45.75,10.547,95.306,1765.0,61.483,0.135,2.00
30000,1698,1.541,0.274,5.62,116350,110383,77,0,5752,30,913626.5,136962.2,0.069,0.540,0.332,0.059,159,10.32,4.96,0.22,1.73,0.19,1.70,0.22,1.58,9.69,3.97,0.00,0.00,0.009,0.069,212,0.273,0.155,0.804,0.001,0.041,183858,180720,1,1.000,0.000,0.031,543694,0.122,1.609,0.020,44.50,46122,0,4565.406,0.000,0.176,5280693,1.07,13.33,0.000,0.000,0.000,5,10,15,48,17517,0.067,0.00,0.0056,0.025,243,0.453,0.000,0.504,0.427,3.23,2.50,7.07,0.00,0.001,1.06,1.08,1.08,0.453,0.00270,19.28,19.0545,678.33,132565.8,140073.8,29.036,29.3521,86.076,815.080,0.999,0.453,46.4,43.038,106.124,251,1253.0,46.26,5.848,71.023,2049.7,46.972,0.135,2.00
40000,1492,1.640,0.317,5.60,117259,112132,50,0,5283,368,844685.5,150850.6,0.075,0.529,0.323,0.073,151,11.57,6.45,0.15,1.08,0.26,1.54,0.37,2.45,10.79,4.77,0.00,0.00,0.011,0.064,196,0.286,0.155,0.823,0.000,0.021,194745,192307,1,0.999,0.001,0.042,563048,0.133,1.728,0.024,30.80,46724,0,409.920,0.000,0.164,5510856,1.03,12.13,0.000,0.004,0.000,6,10,20,56,17263,0.066,0.00,0.0052,0.034,185,0.553,0.000,0.569,0.441,3.49,2.74,7.43,0.03,0.017,1.00,1.04,1.04,0.553,0.00233,12.15,21.5097,636.53,132042.9,140073.8,32.448,40.8573,78.328,789.718,0.999,0.435,43.0,39.164,126.908,326,1515.9,55.20,7.461,88.434,2529.5,53.931,0.135,2.00
50000,1363,1.579,0.440,5.45,125494,119605,50,0,5968,393,881297.6,149135.0,0.064,0.517,0.325,0.094,152,10.95,6.41,0.38,2.70,0.28,2.00,0.35,2.52,9.94,4.41,0.00,0.00,0.014,0.092,163,0.222,0.136,0.831,0.000,0.032,201757,199215,2,0.984,0.000,0.044,517455,0.149,2.049,0.034,32.86,47946,0,379.478,0.000,0.163,5821733,1.10,12.76,0.001,0.001,0.000,6,10,16,64,14925,0.057,0.00,0.0065,0.042,140,0.548,0.000,0.591,0.424,3.39,2.56,7.52,0.00,0.001,1.03,1.13,1.14,0.548,0.00255,13.09,20.8772,499.09,130375.8,140073.7,31.507,36.7002,82.377,836.974,0.997,0.444,38.2,41.189,124.341,514,2417.0,44.99,7.515,86.380,3729.4,55.502,0.135,2.00
60000,1479,1.573,0.315,5.16,127293,121401,48,1,5727,243,893787.3,152462.5,0.056,0.527,0.328,0.090,158,10.25,4.44,0.05,0.50,0.08,0.89,0.16,1.22,9.95,3.81,0.00,0.00,0.003,0.030,133,0.293,0.151,0.817,0.000,0.032,206078,203340,1,0.993,0.007,0.047,676692,0.118,1.622,0.025,35.85,46842,5,627.418,1.000,0.136,5965169,1.01,12.78,0.000,0.000,0.000,5,10,14,53,15160,0.058,0.00,0.0061,0.042,174,0.528,0.000,0.588,0.431,3.31,2.47,7.40,0.00,0.002,1.00,1.02,1.02,0.528,0.00260,14.64,21.1993,496.26,132245.9,140073.5,32.634,33.1289,83.626,808.706,0.998,0.447,40.6,41.813,119.691,355,1736.6,38.64,7.186,80.719,2408.4,53.643,0.136,2.00
70000,1452,1.728,0.269,5.67,112306,107568,27,0,4738,286,894462.2,170257.6,0.063,0.534,0.320,0.083,161,13.21,9.03,0.40,2.02,0.26,1.93,0.36,2.06,12.20,7.37,0.00,0.00,0.010,0.067,209,0.271,0.161,0.817,0.000,0.021,197926,196151,1,1.000,0.000,0.043,637936,0.121,1.563,0.019,37.24,44242,0,595.306,0.000,0.158,5259843,1.07,10.70,0.008,0.003,0.000,8,10,25,64,19183,0.073,0.00,0.0051,0.033,244,0.503,0.000,0.528,0.480,3.74,3.34,7.65,0.02,0.009,1.01,1.12,1.08,0.503,0.00276,15.73,24.1547,816.69,132734.4,140073.3,34.207,31.3557,82.599,812.664,1.000,0.448,44.3,41.299,116.902,254,1198.3,67.71,6.068,76.665,1854.3,52.433,0.135,2.00
80000,1329,1.663,0.391,5.18,117710,112758,86,0,4989,280,920940.3,168644.9,0.063,0.534,0.325,0.078,160,11.72,7.84,0.15,2.20,0.38,2.37,0.21,1.80,10.98,5.65,0.00,0.08,0.013,0.072,168,0.287,0.154,0.820,0.001,0.025,199683,197612,2,0.980,0.017,0.038,1002958,0.127,1.900,0.029,35.48,47858,0,602.303,0.000,0.160,5645684,1.04,12.08,0.004,0.002,0.001,6,10,19,64,15571,0.059,0.00,0.0063,0.040,169,0.529,0.000,0.564,0.457,3.57,2.82,7.52,0.01,0.003,1.03,1.04,1.05,0.529,0.00292,14.54,24.1493,614.37,131106.0,140072.9,31.080,33.0078,85.050,791.211,0.997,0.448,38.3,42.526,120.169,465,2279.3,42.48,6.231,82.746,2945.8,56.897,0.135,2.00
90000,1346,1.719,0.313,5.28,121808,116134,80,0,5577,125,885102.3,168343.0,0.059,0.535,0.310,0.096,153,12.64,8.53,0.26,1.71,0.85,3.82,0.30,1.42,11.23,5.80,0.00,0.00,0.030,0.107,195,0.288,0.132,0.851,0.000,0.017,208876,207263,1,1.000,0.000,0.076,663831,0.124,1.744,0.022,32.78,48462,0,1346.744,0.000,0.137,5921470,1.06,11.78,0.003,0.000,0.000,6,10,21,64,17018,0.065,0.00,0.0059,0.056,227,0.561,0.000,0.610,0.459,3.59,3.18,7.47,0.00,0.002,1.02,1.09,1.06,0.561,0.00266,13.18,23.6437,665.44,132242.7,140072.7,32.804,36.0633,81.908,824.211,0.998,0.446,40.4,40.954,124.078,330,1541.7,42.75,7.367,85.075,2363.2,55.837,0.134,2.00
100000,1451,1.651,0.367,5.33,112393,106975,26,0,5287,122,869392.0,140003.5,0.042,0.535,0.327,0.096,157,11.58,6.07,0.29,2.29,0.31,1.79,0.19,1.44,10.78,4.61,0.00,0.00,0.016,0.082,166,0.378,0.185,0.786,0.001,0.029,180808,179658,1,0.988,0.012,0.029,490685,0.134,1.775,0.029,37.39,40700,0,1147.569,0.000,0.118,5471826,1.06,11.44,0.000,0.000,0.000,8,10,18,50,16797,0.064,0.00,0.0056,0.037,243,0.513,0.000,0.561,0.434,3.56,2.81,7.66,0.00,0.001,1.03,1.11,1.06,0.513,0.00269,15.77,19.7623,534.83,131285.8,140072.6,34.658,31.9850,81.328,811.840,0.999,0.436,41.7,40.664,116.975,485,2212.7,35.91,6.473,76.015,2718.8,49.745,0.136,2.00
