step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,307,7.28,0.00,0.01,0.00,7.27,0.00,1.00,0.000,0.026,248813.3,25843.5,1,124,2.58,1.00,1.00,3.9507,6.04,205.6,25.9859,20.2983,5462,12.2878,0,0.0000,0.0
10000,1,587,7.61,0.00,0.05,0.01,7.55,0.00,1.00,0.000,0.051,340555.7,24443.8,1,51,2.57,1.00,1.00,3.7552,4.29,599.1,13.8954,28.9461,5461,25.4500,0,0.0000,0.0
10000,2,734,7.80,0.00,0.00,0.01,7.79,0.00,1.00,0.000,0.066,417435.7,25761.9,1,77,2.61,1.00,1.00,3.8263,7.06,1998.3,3.8732,36.3148,5461,44.1740,0,0.0000,0.0
20000,0,326,7.47,0.01,0.06,0.04,7.37,0.00,1.00,0.000,0.028,159148.8,1625.0,1,140,2.88,1.00,1.00,0.2098,6.03,291.1,30.7200,15.8101,5462,12.2890,0,0.0000,0.0
20000,1,608,7.27,0.00,0.00,0.02,7.24,0.00,1.00,0.000,0.050,296528.2,3030.4,1,39,2.79,1.00,1.00,0.3489,4.82,654.4,11.2244,29.3000,5461,25.4526,0,0.0000,0.0
20000,2,735,8.01,0.07,0.01,0.04,7.88,0.00,1.02,0.000,0.068,379737.0,4790.7,1,72,2.75,1.01,1.03,0.5396,7.87,2030.2,0.4528,36.9461,5461,44.1785,2,0.0000,0.0
30000,0,341,7.38,0.00,0.00,0.05,7.33,0.00,1.00,0.000,0.028,166365.5,1678.8,2,155,3.01,1.00,1.00,0.2158,3.45,366.0,29.0576,16.4924,5462,12.2890,0,0.0000,0.0
30000,1,572,7.60,0.00,0.01,0.00,7.59,0.00,1.00,0.000,0.050,297365.4,2998.3,2,31,3.03,1.00,1.00,0.3494,9.93,774.3,10.0393,29.2862,5461,25.4526,1,0.0000,0.0
30000,2,698,8.22,0.05,0.07,0.04,8.06,0.00,1.01,0.000,0.066,373012.0,4483.4,2,50,2.96,1.01,1.02,0.5029,6.04,2195.2,0.3327,36.2574,5461,44.1785,0,0.0000,0.0
40000,0,330,8.22,0.12,0.00,0.00,8.10,0.00,1.07,0.000,0.031,170956.6,1797.1,4,143,3.17,1.06,1.06,0.2297,5.02,405.5,28.1875,16.9832,5462,12.2890,0,0.0000,0.0
40000,1,553,8.18,0.03,0.05,0.00,8.10,0.00,1.01,0.000,0.052,296387.5,2837.0,4,24,3.08,1.00,1.01,0.3283,6.45,813.4,9.7039,29.2556,5461,25.4526,1,0.0000,0.0
40000,2,676,8.63,0.04,0.02,0.00,8.57,0.00,1.01,0.000,0.067,369761.0,4204.3,4,50,3.07,1.01,1.01,0.4732,4.68,2251.6,0.2620,35.8153,5461,44.1785,0,0.0000,0.0
50000,0,335,7.79,0.07,0.00,0.03,7.69,0.00,1.01,0.000,0.029,171820.6,1781.5,5,161,3.06,1.00,1.02,0.2298,6.81,421.7,27.9905,17.1035,5462,12.2890,18,0.0000,0.0
50000,1,550,7.75,0.00,0.01,0.01,7.73,0.00,1.00,0.000,0.050,296161.7,2708.8,5,26,3.05,1.00,1.00,0.3131,5.36,815.3,9.5584,29.2676,5461,25.4526,0,0.0000,0.0
50000,2,684,8.80,0.04,0.10,0.00,8.66,0.00,1.01,0.000,0.069,367798.8,4006.6,4,47,3.07,1.01,1.01,0.4525,4.67,2245.9,0.2729,35.6934,5461,44.1785,2,0.0000,0.0
60000,0,341,7.70,0.04,0.00,0.00,7.67,0.00,1.02,0.000,0.030,173144.8,1802.9,2,180,3.08,1.02,1.02,0.2329,5.47,416.4,27.8105,17.1893,5462,12.2890,4,0.0000,0.0
60000,1,586,7.66,0.05,0.08,0.04,7.49,0.01,1.01,0.002,0.051,296342.4,2682.8,2,26,3.10,1.01,1.01,0.3103,5.42,820.5,9.3687,29.2901,5461,25.4526,0,0.0000,0.0
60000,2,674,8.89,0.08,0.01,0.01,8.79,0.00,1.03,0.000,0.068,366478.8,3889.9,1,47,3.13,1.02,1.03,0.4370,1.49,2284.3,0.2346,35.5801,5461,44.1785,1,0.0000,0.0
70000,0,355,8.13,0.09,0.06,0.04,7.94,0.00,1.03,0.000,0.033,173321.7,2006.8,1,181,3.15,1.01,1.03,0.2595,5.70,436.6,27.8555,17.2298,5462,12.2890,27,0.0000,0.0
70000,1,574,7.69,0.13,0.03,0.01,7.52,0.00,1.06,0.000,0.051,296159.0,2657.0,1,26,3.10,1.05,1.05,0.3078,4.14,827.4,9.2386,29.2880,5461,25.4526,0,0.0000,0.0
70000,2,668,8.71,0.04,0.05,0.01,8.60,0.00,1.01,0.000,0.066,365699.9,3977.2,1,62,3.12,1.00,1.01,0.4491,1.92,2276.5,0.2346,35.5526,5461,44.1785,0,0.0000,0.0
80000,0,340,8.23,0.04,0.07,0.06,8.06,0.00,1.01,0.000,0.032,173164.6,1947.3,1,179,3.16,1.00,1.02,0.2529,5.14,421.0,27.8060,17.2021,5462,12.2890,66,0.0000,0.0
80000,1,586,7.40,0.02,0.01,0.00,7.37,0.00,1.01,0.000,0.050,296826.8,2733.5,1,17,3.11,1.01,1.01,0.3147,3.51,828.2,9.0971,29.2891,5461,25.4526,0,0.0000,0.0
80000,2,680,8.59,0.15,0.03,0.02,8.39,0.00,1.05,0.000,0.067,365806.8,3956.3,1,46,3.15,1.03,1.05,0.4455,2.38,2269.3,0.2282,35.5807,5461,44.1785,1,0.0000,0.0
90000,0,352,8.02,0.00,0.11,0.00,7.91,0.00,1.00,0.000,0.033,174265.8,2239.9,1,176,3.14,1.00,1.00,0.2902,6.64,429.3,27.8960,17.2996,5462,12.2890,100,0.0000,0.0
90000,1,589,7.84,0.16,0.00,0.00,7.67,0.00,1.06,0.000,0.053,297080.6,2935.9,1,29,3.18,1.04,1.06,0.3415,8.48,848.8,9.1812,29.3077,5461,25.4526,18,0.0000,0.0
90000,2,678,8.24,0.08,0.03,0.05,8.08,0.00,1.03,0.000,0.064,364152.6,3969.3,1,60,3.13,1.02,1.03,0.4483,4.80,2307.9,0.2379,35.4709,5461,44.1785,2,0.0000,0.0
100000,0,344,7.61,0.09,0.01,0.00,7.51,0.00,1.02,0.000,0.030,175487.6,2350.3,1,180,3.24,1.01,1.03,0.3096,6.28,480.0,27.9781,17.4134,5462,12.2890,125,0.0000,0.0
100000,1,573,7.56,0.10,0.01,0.00,7.45,0.00,1.03,0.000,0.050,297844.8,2929.6,1,22,3.17,1.02,1.03,0.3399,2.88,870.8,9.0498,29.3556,5461,25.4526,1,0.0000,0.0
100000,2,676,8.16,0.05,0.12,0.03,7.96,0.00,1.01,0.001,0.063,362273.8,3926.7,1,55,3.20,1.00,1.01,0.4437,5.50,2349.4,0.2185,35.3130,5461,44.1785,2,0.0000,0.0
110000,0,348,7.74,0.09,0.03,0.01,7.61,0.00,1.02,0.000,0.031,178962.9,2105.5,2,178,3.27,1.01,1.03,0.2713,3.97,513.0,27.1083,17.6586,5462,12.2890,24,0.0000,0.0
110000,1,568,7.65,0.15,0.06,0.05,7.40,0.00,1.06,0.000,0.049,297017.0,2796.9,2,29,3.18,1.04,1.06,0.3253,5.16,881.9,8.7806,29.2649,5461,25.4526,0,0.0000,0.0
110000,2,689,7.70,0.04,0.01,0.03,7.63,0.00,1.02,0.000,0.061,360751.8,3952.7,2,67,3.11,1.01,1.02,0.4484,4.87,2348.0,0.2280,35.1519,5461,44.1785,0,0.0000,0.0
120000,0,371,7.63,0.11,0.02,0.01,7.49,0.00,1.03,0.000,0.032,179487.3,1903.2,4,161,3.21,1.01,1.04,0.2469,9.17,533.9,26.5931,17.7989,5462,12.2890,77,0.0000,0.0
