step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
10000,1544,1.468,0.053,9.45,54793,53340,35,8,1371,1696,995305.3,73108.6,0.054,0.530,0.023,0.394,144,8.81,1.88,0.00,0.00,0.03,0.36,0.01,0.18,8.77,1.87,0.00,0.00,0.003,0.030,82,0.314,0.261,0.735,0.000,0.004,45855,39728,1,0.531,0.469,0.006,920989,0.128,0.068,0.000,85.82,23037,31,43.107,0.750,0.000,1571190,1.00,13.20,0.000,0.000,0.000,6,9,10,32,13601,0.052,1.94,0.0074,0.102,667,0.209,0.000,0.162,0.301,3.11,1.85,7.72,0.00,0.000,1.00,1.00,1.00,0.209,0.00541,37.41,11.3966,14.46,1629.1,140221.2,38.669,4.0732,95.430,361.649,0.535,0.000,135181.5,81.912,35.120,0,-0.0,1.47,32.426,0.000,0.0,0.000,0.138,1.99
20000,1537,1.442,0.051,9.18,33355,31588,379,0,1395,0,831362.9,8281.6,0.004,0.474,0.002,0.520,178,8.60,1.89,0.00,0.04,0.00,0.16,0.04,0.71,8.55,1.76,0.00,0.00,0.001,0.019,59,0.614,0.249,0.748,0.000,0.003,5137,4221,2,0.880,0.000,0.005,75745,0.131,0.068,0.000,82.05,8073,0,8281.633,0.000,0.000,530128,1.00,13.25,0.000,0.000,0.000,6,9,10,27,13219,0.050,0.00,0.0063,0.101,658,0.072,0.000,0.098,0.000,3.15,1.85,7.94,0.00,0.000,1.00,1.00,1.00,0.072,0.00383,43.68,0.9640,13.31,1651.3,140221.3,38.104,0.1359,81.928,161.801,0.530,0.000,135259.7,81.920,6.621,2,3.6,2.48,0.057,0.000,0.0,0.000,0.135,2.00
30000,1588,1.434,0.049,9.50,33162,31393,397,0,1321,0,828737.7,7949.6,0.001,0.499,0.003,0.497,177,8.16,2.71,0.00,0.18,0.00,0.07,0.06,1.30,8.10,2.42,0.00,0.00,0.000,0.004,69,0.373,0.258,0.738,0.000,0.004,5495,4549,3,0.977,0.000,0.008,77190,0.145,0.071,0.000,82.05,8727,0,7949.643,0.000,0.000,600331,1.00,14.22,0.001,0.000,0.000,6,8,9,64,12958,0.049,0.00,0.0064,0.108,664,0.076,0.000,0.090,0.000,3.11,1.90,7.90,0.00,0.000,1.00,1.00,1.00,0.076,0.00378,44.01,0.9264,13.56,1648.7,140221.5,37.782,0.1314,81.918,164.632,0.543,0.000,135234.9,81.920,6.408,3,7.5,3.55,0.058,0.000,0.0,0.000,0.134,1.99
40000,1612,1.375,0.046,9.99,33880,31939,388,0,1529,0,828064.1,8077.2,0.001,0.519,0.004,0.477,174,7.91,1.81,0.00,0.00,0.00,0.15,0.05,1.03,7.85,1.56,0.00,0.00,0.001,0.025,71,0.449,0.256,0.741,0.000,0.003,5879,4577,1,1.000,0.000,0.007,106191,0.144,0.060,0.000,82.06,9732,0,8077.217,0.000,0.000,668718,1.00,14.54,0.000,0.000,0.000,7,7,9,36,12746,0.049,0.00,0.0065,0.105,686,0.080,0.000,0.084,0.000,3.12,1.94,7.88,0.00,0.000,1.00,1.00,1.00,0.080,0.00372,44.70,0.9453,13.58,1669.3,140221.7,37.082,0.1376,81.930,165.911,0.549,0.000,135330.2,81.920,6.174,1,1.0,1.23,0.062,0.000,0.0,0.000,0.131,2.00
50000,1581,1.424,0.045,10.21,33135,31249,429,0,1488,0,825342.2,8079.8,0.001,0.509,0.003,0.487,170,8.20,1.57,0.00,0.15,0.01,0.18,0.02,0.25,8.17,1.47,0.00,0.00,0.000,0.009,64,0.345,0.259,0.738,0.000,0.003,5165,3781,1,1.000,0.000,0.008,157739,0.136,0.057,0.000,82.06,10245,0,8079.798,0.000,0.000,577720,1.00,13.94,0.000,0.000,0.000,7,8,9,27,12958,0.049,0.00,0.0064,0.100,663,0.071,0.000,0.079,0.000,3.12,1.94,7.80,0.00,0.000,1.00,1.00,1.00,0.071,0.00383,44.69,0.9459,10.41,1619.3,140221.8,37.085,0.1382,81.922,163.748,0.538,0.000,135353.1,81.920,5.971,0,-0.0,1.32,0.050,0.000,0.0,0.000,0.135,1.99
60000,1584,1.426,0.044,10.10,32943,30942,464,0,1534,0,821761.6,8231.7,0.001,0.502,0.003,0.494,171,8.16,1.55,0.00,0.08,0.02,0.46,0.05,0.75,8.09,1.32,0.00,0.00,0.001,0.023,83,0.263,0.256,0.740,0.000,0.004,4841,2627,1,1.000,0.000,0.018,204516,0.123,0.055,0.000,82.07,11056,0,8231.655,0.000,0.000,510950,1.00,13.98,0.000,0.000,0.000,7,8,9,35,12928,0.049,0.00,0.0064,0.104,682,0.064,0.000,0.079,0.000,3.07,1.91,7.62,0.00,0.000,1.00,1.00,1.00,0.064,0.00382,44.07,0.9642,9.96,1559.4,140222.1,37.697,0.1411,81.927,159.414,0.529,0.000,135423.3,81.920,5.899,0,-0.0,1.15,0.050,0.000,0.0,0.000,0.134,2.00
70000,1574,1.408,0.045,10.01,32008,30059,461,0,1498,0,820192.7,7965.8,0.001,0.489,0.003,0.507,171,8.17,2.09,0.00,0.04,0.01,0.33,0.05,1.50,8.10,1.41,0.00,0.00,0.001,0.017,69,0.315,0.261,0.736,0.000,0.003,4530,2350,1,1.000,0.000,0.011,253596,0.106,0.056,0.000,82.05,10884,0,7965.783,0.000,0.001,460563,1.00,14.01,0.001,0.000,0.000,6,8,9,64,12855,0.049,0.00,0.0064,0.104,665,0.059,0.000,0.076,0.000,3.04,1.89,7.55,0.00,0.000,1.00,1.00,1.00,0.059,0.00376,43.66,0.9313,7.87,1597.1,140222.2,38.128,0.1349,81.919,156.852,0.528,0.000,135411.1,81.920,5.890,0,-0.0,1.43,0.047,0.000,0.0,0.000,0.137,2.01
80000,1597,1.388,0.044,9.94,32211,30079,477,0,1632,0,820349.7,8051.0,0.001,0.499,0.003,0.497,172,7.84,1.86,0.01,0.33,0.00,0.00,0.05,0.61,7.79,1.68,0.00,0.00,0.000,0.000,71,0.289,0.256,0.741,0.000,0.003,4676,2171,1,1.000,0.000,0.019,257222,0.101,0.056,0.000,82.06,10742,0,8050.960,0.000,0.000,490313,1.00,14.62,0.000,0.000,0.000,6,8,9,32,12526,0.048,0.00,0.0066,0.113,683,0.061,0.000,0.076,0.000,3.02,1.73,7.55,0.00,0.000,1.00,1.00,1.00,0.061,0.00371,43.56,0.9418,10.62,1566.6,140222.3,38.219,0.1365,81.925,157.691,0.528,0.000,135464.2,81.920,5.811,1,1.0,1.45,0.048,0.000,0.0,0.000,0.135,2.00
90000,1594,1.390,0.045,9.81,32383,30334,493,0,1559,10,820843.0,7863.8,0.001,0.496,0.002,0.501,173,8.00,2.43,0.02,0.47,0.02,0.49,0.10,1.65,7.86,1.69,0.00,0.00,0.001,0.018,83,0.287,0.261,0.735,0.000,0.004,4613,2152,1,1.000,0.000,0.019,226907,0.103,0.060,0.000,82.05,10897,0,786.377,0.000,0.000,483909,1.01,14.47,0.000,0.000,0.000,6,8,9,55,12751,0.049,0.00,0.0066,0.102,683,0.061,0.000,0.078,0.000,3.03,1.76,7.60,0.00,0.001,1.00,1.01,1.01,0.061,0.00366,43.65,0.9177,12.39,1582.3,140222.3,38.145,0.1312,81.917,157.356,0.527,0.000,135430.9,81.920,5.706,0,-0.0,1.52,0.034,0.000,0.0,0.000,0.135,2.00
100000,1608,1.397,0.045,9.71,32142,30056,534,0,1538,0,821205.5,7793.0,0.001,0.497,0.002,0.500,171,7.58,1.86,0.02,0.43,0.03,0.68,0.02,0.27,7.51,1.71,0.00,0.00,0.001,0.028,71,0.274,0.243,0.752,0.000,0.006,4660,1996,1,1.000,0.000,0.007,166557,0.116,0.058,0.000,82.05,10528,0,7792.984,0.000,0.000,510754,1.01,15.11,0.000,0.000,0.000,6,8,9,32,12181,0.046,0.00,0.0068,0.113,665,0.063,0.000,0.077,0.000,2.99,1.64,7.62,0.00,0.000,1.01,1.01,1.02,0.063,0.00359,43.85,0.9099,14.84,1567.1,140222.3,37.937,0.1304,81.920,158.322,0.525,0.000,135426.9,81.920,5.659,0,-0.0,1.62,0.025,0.000,0.0,0.000,0.134,2.00
110000,1651,1.358,0.045,9.66,32817,30521,579,0,1674,1,821140.8,7950.5,0.001,0.501,0.002,0.496,172,7.38,1.74,0.00,0.10,0.00,0.12,0.06,0.84,7.32,1.55,0.00,0.00,0.000,0.006,73,0.338,0.267,0.731,0.000,0.002,5196,2125,1,1.000,0.000,0.013,149277,0.118,0.059,0.000,82.05,10287,0,7950.501,0.000,0.000,570879,1.00,15.49,0.000,0.000,0.000,6,8,9,36,12184,0.046,0.00,0.0068,0.116,707,0.069,0.000,0.080,0.000,2.96,1.58,7.67,0.00,0.000,1.00,1.00,1.00,0.069,0.00342,44.00,0.9266,9.14,1611.5,140222.3,37.789,0.1321,81.917,159.130,0.536,0.000,135394.0,81.920,5.658,1,1.3,1.94,0.035,0.000,0.0,0.000,0.135,1.99
120000,1644,1.356,0.044,9.68,33110,30839,526,0,1752,0,821640.8,7891.7,0.001,0.497,0.002,0.501,172,7.39,1.46,0.00,0.02,0.00,0.10,0.03,0.49,7.35,1.41,0.00,0.00,0.001,0.025,62,0.342,0.249,0.746,0.000,0.005,5109,2223,1,1.000,0.000,0.009,128075,0.127,0.069,0.000,82.05,10186,0,7891.718,0.000,0.000,580980,1.00,15.38,0.000,0.000,0.000,6,8,9,25,12148,0.046,0.00,0.0068,0.116,697,0.071,0.000,0.081,0.000,2.98,1.59,7.67,0.00,0.000,1.00,1.00,1.00,0.071,0.00340,44.09,0.9237,13.79,1602.9,140222.2,37.696,0.1340,81.923,160.958,0.535,0.000,135425.2,81.920,5.675,1,5.2,5.21,0.033,0.000,0.0,0.000,0.132,2.00
130000,1631,1.397,0.044,9.60,32746,30379,553,0,1827,0,820925.9,7990.9,0.001,0.490,0.002,0.508,172,7.48,1.95,0.00,0.02,0.02,0.55,0.03,0.55,7.44,1.56,0.00,0.00,0.001,0.014,55,0.305,0.258,0.741,0.000,0.001,5095,2346,1,1.000,0.000,0.008,130319,0.131,0.059,0.000,82.06,9949,0,7990.942,0.000,0.000,554590,1.00,15.28,0.000,0.000,0.000,6,8,9,52,12208,0.047,0.00,0.0068,0.112,690,0.069,0.000,0.078,0.000,3.00,1.65,7.68,0.00,0.001,1.00,1.00,1.00,0.069,0.00340,44.09,0.9353,13.84,1609.2,140222.2,37.692,0.1362,81.914,160.242,0.538,0.000,135366.9,81.920,5.719,2,3.3,1.89,0.035,0.000,0.0,0.000,0.128,2.01
140000,1627,1.393,0.045,9.71,32653,30220,556,0,1881,0,821267.9,8062.9,0.001,0.496,0.002,0.502,174,7.53,1.72,0.01,0.32,0.01,0.21,0.03,0.57,7.49,1.56,0.00,0.00,0.000,0.013,60,0.320,0.258,0.738,0.000,0.004,5151,2396,1,0.615,0.385,0.005,118427,0.135,0.058,0.000,82.06,9960,0,8062.935,0.000,0.000,557257,1.00,15.20,0.000,0.000,0.000,6,8,9,34,12245,0.047,0.00,0.0067,0.103,694,0.068,0.000,0.077,0.000,3.00,1.64,7.64,0.00,0.000,1.00,1.00,1.00,0.068,0.00346,44.12,0.9464,15.46,1590.3,140222.2,37.657,0.1399,81.922,160.026,0.529,0.000,135382.4,81.920,5.682,0,-0.0,1.67,0.033,0.000,0.0,0.000,0.137,2.00
150000,1617,1.392,0.044,9.69,32053,29715,528,0,1820,0,820808.2,7842.1,0.001,0.491,0.001,0.507,173,7.52,1.99,0.00,0.00,0.01,0.26,0.08,1.31,7.42,1.46,0.00,0.00,0.001,0.015,63,0.288,0.243,0.753,0.000,0.004,4707,2206,1,0.619,0.381,0.011,105059,0.139,0.057,0.000,82.06,9771,0,7842.145,0.000,0.000,524201,1.00,15.26,0.000,0.000,0.000,6,8,9,41,12156,0.046,0.00,0.0068,0.108,696,0.065,0.000,0.078,0.000,2.95,1.62,7.55,0.00,0.000,1.00,1.00,1.00,0.065,0.00347,43.82,0.9203,17.08,1584.0,140222.1,37.965,0.1359,81.924,158.126,0.527,0.000,135420.0,81.920,5.652,1,1.0,1.42,0.031,0.000,0.0,0.000,0.137,2.00
160000,1628,1.376,0.044,9.64,32343,29910,596,0,1826,0,821267.8,7918.3,0.001,0.491,0.001,0.507,174,7.56,1.60,0.01,0.23,0.02,0.53,0.01,0.21,7.52,1.46,0.00,0.00,0.001,0.026,60,0.247,0.249,0.749,0.000,0.002,4965,2202,3,0.415,0.229,0.004,109980,0.138,0.063,0.000,82.06,10053,0,7918.318,0.000,0.000,543636,1.00,15.10,0.000,0.000,0.000,6,8,9,27,12314,0.047,0.00,0.0067,0.111,698,0.067,0.000,0.079,0.000,2.97,1.63,7.63,0.00,0.001,1.00,1.00,1.00,0.067,0.00343,43.92,0.9290,18.96,1600.5,140222.1,37.863,0.1369,81.919,159.356,0.530,0.000,135411.6,81.920,5.673,3,4.2,1.91,0.032,0.000,0.0,0.000,0.133,2.01
170000,1606,1.401,0.047,9.65,32321,29961,610,0,1772,0,820061.5,7907.1,0.001,0.493,0.002,0.505,174,7.58,1.52,0.00,0.12,0.00,0.05,0.03,0.46,7.55,1.38,0.00,0.00,0.000,0.003,65,0.291,0.251,0.747,0.000,0.002,4876,2258,3,0.379,0.212,0.008,103493,0.147,0.063,0.000,82.06,10163,0,7907.113,0.000,0.000,546170,1.00,15.03,0.000,0.000,0.000,6,8,9,27,12178,0.046,0.00,0.0068,0.110,692,0.068,0.000,0.077,0.000,2.96,1.68,7.57,0.00,0.001,1.00,1.00,1.00,0.068,0.00351,43.94,0.9269,13.18,1598.8,140222.1,37.848,0.1368,81.915,160.822,0.527,0.000,135361.4,81.920,5.686,0,-0.0,1.50,0.033,0.000,0.0,0.000,0.137,2.00
