step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,1,1228,13.2,0.4,0.7,0.0,12.1,0.0,1.10,12.8,255,106,11.96,2.06,485,403,340,0.0,1.04,1.12,1.14,3.44,3.01,7.13,29.7
6000,1,876,13.2,0.7,0.8,0.1,11.4,0.0,1.25,12.7,246,173,21.79,3.77,248,304,324,0.0,1.13,1.27,1.40,3.35,3.15,6.96,32.4
7000,1,372,13.7,1.1,0.6,0.2,11.9,0.0,1.28,12.6,105,150,15.51,2.01,159,112,101,0.1,1.13,1.31,1.39,3.55,3.41,6.41,27.7
8000,1,548,13.8,0.8,0.8,0.5,11.7,0.0,1.23,12.0,147,133,15.68,2.71,161,210,177,0.1,1.10,1.27,1.34,3.38,3.54,6.56,32.7
8000,20,60,23.3,4.8,0.2,0.0,18.3,0.0,2.07,6.2,29,268,49.64,6.66,41,19,0,0.0,2.38,1.59,2.21,4.50,6.68,6.95,19.5
8000,21,29,9.0,0.4,0.0,1.1,7.4,0.0,1.25,16.1,6,335,30.44,3.06,29,0,0,0.0,1.22,1.34,1.23,2.66,7.34,4.03,7.9
8000,22,24,15.2,0.0,0.0,5.5,9.6,0.0,1.00,12.5,7,263,30.64,4.39,0,14,10,0.0,1.00,1.00,1.00,3.04,5.00,4.75,39.8
9000,1,357,14.0,1.2,1.1,0.3,11.4,0.0,1.39,10.9,115,155,19.24,2.75,98,132,127,0.2,1.14,1.49,1.55,3.55,3.94,6.96,33.3
9000,20,42,13.6,2.8,0.7,0.0,10.1,0.0,1.94,11.6,20,355,41.41,3.62,38,4,0,0.0,1.78,1.74,2.49,3.10,3.43,6.81,20.6
9000,22,16,36.1,0.0,0.0,6.3,29.8,0.0,1.00,0.8,6,56,10.30,0.17,0,9,7,0.0,1.00,1.00,1.00,4.88,7.62,8.00,40.3
10000,1,101,10.5,0.3,0.7,0.4,9.1,0.0,1.09,15.6,26,135,13.31,2.99,41,53,7,0.0,1.00,1.14,1.14,2.71,3.04,5.55,29.8
