step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,516,14.67,0.46,0.29,0.66,13.26,0.00,1.14,0.002,0.088,380709.0,84426.6,2,19,3.72,1.12,1.15,13.2939,324.93,63336.4,1.1958,4.1391,5462,12.7462,220,49.9161,295646.2
10000,1,314,13.80,1.25,1.18,0.25,11.11,0.00,1.35,0.000,0.049,305928.8,69842.6,2,28,3.43,1.24,1.41,10.9885,139.41,22265.3,7.9069,4.2491,5461,28.3367,315,40.7713,221276.5
10000,2,286,13.98,1.00,0.58,0.15,12.25,0.00,1.26,0.000,0.045,278776.8,56834.6,1,10,3.62,1.02,1.34,9.0360,145.00,11612.2,14.7938,4.8797,5461,40.8287,265,34.8315,187983.4
20000,0,592,13.39,1.13,0.89,0.29,11.08,0.01,1.31,0.002,0.091,394915.8,82615.4,2,23,3.30,1.26,1.32,12.1742,270.25,45507.1,0.8810,5.4364,5462,12.7475,128,48.7570,340178.9
20000,1,439,12.78,0.67,0.32,0.31,11.48,0.01,1.18,0.002,0.064,295511.8,49061.9,2,23,3.35,1.13,1.19,6.9875,95.15,11242.3,12.9624,6.6392,5461,28.3395,138,34.2635,229102.2
20000,2,416,13.41,0.48,0.61,0.50,11.82,0.00,1.14,0.000,0.064,238407.1,31577.6,2,30,3.48,1.11,1.16,4.4840,97.40,7235.5,19.9679,6.8004,5461,40.8328,146,25.9933,170964.7
30000,0,556,11.63,0.27,0.54,0.42,10.40,0.01,1.09,0.002,0.074,299155.7,32054.2,2,15,3.47,1.09,1.12,4.5469,231.63,28399.5,14.0598,15.2886,5462,12.7475,86,19.5138,143211.5
30000,1,388,9.62,0.10,0.22,0.03,9.27,0.00,1.02,0.000,0.043,255456.3,8753.7,2,16,3.21,1.01,1.04,1.1362,27.49,8756.4,19.3999,19.5668,5461,28.3395,169,8.3470,57982.5
30000,2,387,9.42,0.13,0.07,0.04,9.18,0.00,1.03,0.000,0.041,310340.7,7865.6,2,36,3.22,1.02,1.04,1.0179,43.47,7554.0,10.7279,26.6517,5461,40.8328,127,5.7626,40929.7
40000,0,544,14.89,0.68,1.32,0.26,12.63,0.01,1.16,0.002,0.093,376213.4,71249.0,2,19,3.63,1.09,1.23,10.6865,420.33,44071.4,3.7288,9.5691,5462,12.7475,54,38.2180,279477.8
40000,1,482,12.85,0.35,0.20,0.01,12.29,0.01,1.12,0.002,0.070,252890.0,23875.7,2,26,3.52,1.09,1.13,3.3764,191.85,12288.6,19.7735,12.3197,5461,28.3395,96,18.0791,129531.2
40000,2,373,12.09,0.62,0.24,0.04,11.18,0.00,1.11,0.000,0.052,221260.2,15186.9,2,34,3.43,1.06,1.14,2.0321,64.72,8832.3,24.3729,12.4423,5461,40.8328,108,14.4365,96585.6
50000,0,544,12.51,0.97,0.68,0.24,10.61,0.01,1.22,0.006,0.077,388518.7,78990.1,3,22,3.38,1.18,1.24,11.4752,318.28,45288.5,2.6586,9.8352,5462,12.7475,52,38.7647,288456.8
50000,1,419,13.39,0.85,0.39,0.22,11.94,0.02,1.13,0.007,0.065,259873.0,27905.8,2,25,3.63,1.08,1.14,3.9055,93.98,12794.1,16.6544,14.0995,5461,28.3395,82,17.4665,119819.0
50000,2,358,12.13,0.37,0.35,0.00,11.42,0.00,1.08,0.000,0.049,223015.3,20539.6,1,41,3.64,1.03,1.09,2.9215,29.30,9805.7,22.2699,11.6328,5461,40.8328,148,17.7761,107425.4
