step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
10000,983,2.018,0.574,7.40,78926,76443,13,2,2922,3295,755269.3,173501.8,0.203,0.539,0.156,0.102,131,19.59,13.69,0.82,3.80,1.12,3.86,1.75,4.81,15.89,11.05,0.00,0.00,0.045,0.138,260,0.047,0.102,0.862,0.001,0.036,160931,157502,4,0.440,0.260,0.229,1882632,0.163,2.256,0.042,11.23,48847,9,52.656,1.000,0.163,3251885,1.22,11.55,0.024,0.001,0.000,6,16,40,64,19254,0.073,0.00,0.0048,0.041,139,0.711,0.000,0.692,0.528,4.14,5.96,4.49,0.02,0.006,1.27,1.25,1.19,0.711,0.00291,1.01,28.6452,906.93,127894.8,139737.0,36.254,74.2998,65.077,789.763,0.997,0.401,73.4,65.069,159.270,777,3202.8,44.81,32.605,115.345,4602.9,51.775,0.136,2.00
20000,1867,1.524,0.249,10.19,109698,101512,133,1,7168,322,919190.3,134725.4,0.070,0.525,0.213,0.192,178,8.56,6.48,0.01,0.16,0.45,2.80,0.25,1.97,7.85,4.93,0.00,0.00,0.023,0.113,186,0.280,0.204,0.777,0.000,0.019,161950,157877,4,0.908,0.037,0.023,2057700,0.140,1.674,0.015,38.85,59321,31,418.402,1.000,0.056,3989353,1.00,19.23,0.000,0.001,0.000,6,7,10,62,15978,0.061,0.00,0.0063,0.063,639,0.449,0.000,0.433,0.404,2.52,3.12,3.31,0.00,0.000,1.00,1.00,1.00,0.449,0.00231,13.20,20.6871,313.49,132403.0,139737.0,24.619,41.4794,84.999,555.676,0.753,0.411,95.5,84.997,116.435,165,536.6,34.85,9.132,87.176,2484.3,53.156,0.135,2.00
30000,1319,1.547,0.434,10.26,83862,77752,479,0,6179,11,928401.2,80873.2,0.014,0.386,0.320,0.280,192,9.64,8.52,0.00,0.00,0.72,3.03,0.27,1.67,8.65,6.38,0.00,0.00,0.035,0.124,171,0.246,0.153,0.827,0.000,0.020,97252,94343,2,0.646,0.030,0.047,437715,0.191,2.171,0.031,63.43,38895,0,7352.107,0.000,0.079,2235157,1.00,18.69,0.011,0.000,0.000,6,7,16,64,12716,0.049,0.00,0.0081,0.073,329,0.267,0.001,0.234,0.324,2.67,3.12,3.56,0.00,0.000,1.00,1.00,1.00,0.267,0.00297,25.71,11.8847,481.13,130258.3,139737.0,18.708,29.9441,89.266,423.168,0.819,0.389,70.1,89.269,71.310,490,1924.2,51.65,2.763,55.998,3943.5,29.676,0.134,2.00
40000,1583,1.618,0.297,9.96,80184,74957,247,0,4716,198,874517.1,78783.5,0.012,0.420,0.285,0.284,188,11.26,9.63,0.02,0.28,0.80,3.64,0.85,3.90,9.59,6.20,0.00,0.00,0.028,0.116,213,0.292,0.210,0.769,0.000,0.020,96137,92212,4,0.548,0.087,0.080,874003,0.183,1.619,0.021,56.05,39359,0,397.897,0.000,0.054,2313579,1.00,17.41,0.008,0.000,0.000,7,8,24,64,17823,0.068,0.00,0.0058,0.068,436,0.288,0.001,0.264,0.339,2.89,3.35,3.99,0.00,0.000,1.00,1.01,1.00,0.288,0.00254,22.43,12.1119,466.75,131864.2,139736.9,22.835,35.2419,83.499,543.965,0.868,0.389,89.7,83.497,85.731,300,1173.7,33.00,4.064,62.531,2535.4,31.651,0.135,2.00
50000,1581,1.563,0.276,9.63,101876,94267,244,0,7367,69,976483.3,116571.6,0.012,0.431,0.238,0.319,203,10.46,7.55,0.05,0.90,0.50,2.32,0.12,1.83,9.79,6.55,0.00,0.00,0.029,0.112,269,0.144,0.146,0.831,0.000,0.023,145392,140579,4,0.937,0.050,0.015,540953,0.185,1.701,0.018,55.69,53379,0,1689.444,0.000,0.133,2920082,1.01,15.39,0.003,0.000,0.000,5,8,18,64,16532,0.063,0.00,0.0063,0.054,343,0.302,0.000,0.379,0.392,2.87,2.59,5.77,0.01,0.001,1.00,1.01,1.01,0.302,0.00298,23.20,17.2803,688.16,132325.1,139736.9,22.670,25.6951,92.322,563.083,0.903,0.423,87.6,92.323,86.448,257,988.4,39.54,3.762,62.278,2246.1,42.196,0.136,2.00
60000,1391,1.529,0.336,9.80,114252,106267,190,0,7985,332,929458.6,122709.1,0.010,0.470,0.169,0.351,205,10.54,7.52,0.25,2.29,0.65,3.31,0.07,0.77,9.57,5.52,0.00,0.00,0.030,0.133,241,0.139,0.150,0.822,0.000,0.028,165666,159673,2,0.894,0.105,0.014,299922,0.163,1.852,0.024,45.33,61297,0,369.606,0.000,0.101,3869998,1.04,15.20,0.000,0.000,0.000,5,9,18,59,14668,0.056,0.00,0.0070,0.056,254,0.381,0.001,0.509,0.377,3.04,2.85,5.71,0.00,0.000,1.04,1.07,1.03,0.381,0.00329,18.39,17.4238,367.41,131732.4,139737.0,31.563,25.9005,87.931,631.153,0.932,0.405,78.3,87.932,103.383,396,1569.4,40.19,5.092,68.560,3010.9,47.743,0.135,2.00
70000,1606,1.465,0.263,10.15,102156,94498,144,0,7299,19,895138.6,128100.7,0.012,0.484,0.165,0.339,200,9.68,5.80,0.00,0.05,0.76,3.60,0.03,0.49,8.88,3.87,0.00,0.00,0.034,0.132,216,0.200,0.149,0.832,0.000,0.019,157318,152262,2,0.821,0.146,0.015,112582,0.147,1.649,0.017,46.78,58737,0,6742.144,0.000,0.117,3609575,1.00,15.25,0.000,0.000,0.000,6,8,14,60,15542,0.059,0.00,0.0063,0.058,426,0.359,0.000,0.475,0.416,2.88,2.49,5.97,0.00,0.000,1.00,1.00,1.00,0.359,0.00292,19.57,18.0787,426.05,132680.9,139737.0,29.019,30.6791,84.664,595.455,0.813,0.409,87.1,84.663,100.101,252,924.3,36.94,5.142,68.471,2381.4,43.100,0.134,2.00
80000,1626,1.640,0.218,9.75,110502,103347,185,0,6950,15,884296.9,118072.7,0.013,0.490,0.145,0.352,199,11.96,8.26,0.02,0.34,0.93,3.99,0.05,0.67,10.96,7.14,0.00,0.00,0.041,0.152,319,0.111,0.157,0.816,0.000,0.027,159099,153536,2,0.872,0.126,0.009,226975,0.144,1.507,0.014,41.81,59023,0,7871.515,0.000,0.121,3847766,1.01,14.04,0.001,0.000,0.000,6,9,24,64,19444,0.074,0.00,0.0050,0.044,457,0.389,0.001,0.546,0.373,3.19,2.87,6.27,0.00,0.000,1.01,1.01,1.01,0.389,0.00278,16.72,16.8795,764.13,133015.6,139737.0,31.555,32.0175,83.579,661.365,0.882,0.409,95.8,83.578,108.552,128,522.0,53.84,5.865,73.750,1734.3,46.811,0.135,2.00
90000,1342,1.604,0.323,9.76,117814,109953,145,0,8000,160,931468.0,138630.5,0.016,0.519,0.129,0.336,210,11.14,8.27,0.00,0.00,0.82,3.97,0.08,1.41,10.24,6.86,0.00,0.00,0.038,0.146,253,0.145,0.138,0.830,0.000,0.032,180294,174973,3,0.885,0.043,0.009,252565,0.159,1.788,0.023,40.69,66176,0,866.441,0.000,0.118,4407697,1.00,13.73,0.001,0.000,0.000,5,9,18,64,14950,0.057,0.00,0.0068,0.057,227,0.413,0.001,0.595,0.402,3.13,2.49,6.75,0.00,0.000,1.00,1.00,1.00,0.413,0.00348,16.24,20.2894,562.30,131908.8,139737.1,32.343,27.7610,87.383,627.609,0.973,0.408,76.7,87.385,109.238,363,1643.1,45.32,5.254,74.565,2516.9,53.142,0.134,2.00
100000,1283,1.632,0.410,9.36,112811,105692,77,0,7101,81,829966.1,127000.1,0.017,0.526,0.120,0.337,196,11.94,8.10,0.11,0.90,0.50,2.19,0.29,2.29,11.03,7.15,0.00,0.08,0.029,0.112,253,0.103,0.159,0.810,0.000,0.031,168777,164292,2,0.590,0.118,0.034,470194,0.183,2.005,0.030,32.74,60867,0,1567.903,0.000,0.133,4465741,1.03,13.21,0.000,0.001,0.002,6,9,22,54,15313,0.058,0.00,0.0059,0.055,204,0.472,0.001,0.642,0.386,3.22,2.98,6.58,0.01,0.002,1.04,1.03,1.04,0.472,0.00310,11.62,18.7288,741.03,130540.0,139737.3,43.195,31.5992,77.284,747.677,0.998,0.421,74.5,77.284,125.175,483,2201.5,49.55,7.131,76.275,3171.2,50.599,0.135,2.00
