step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,1,870,23.3,0.6,1.1,1.8,19.9,0.0,1.12,5.5,193,150,23.75,5.75,316,372,182,0.0,1.09,1.16,1.13,5.18,6.10,7.34,29.3
5000,2,37,36.1,1.1,0.0,14.3,20.7,0.0,1.17,1.4,21,263,49.34,9.34,2,29,6,0.0,1.00,1.34,1.17,6.08,7.92,7.38,34.0
5000,7,6,33.7,0.0,0.0,8.5,25.2,0.0,1.00,0.3,4,353,80.22,20.90,6,0,0,0.0,1.00,1.00,1.00,7.17,8.00,7.83,6.0
6000,1,966,21.0,0.3,0.5,1.4,18.8,0.0,1.07,5.6,199,218,34.65,8.94,396,429,141,0.0,1.05,1.10,1.07,5.04,6.23,7.40,27.7
6000,2,29,41.5,0.0,0.0,21.2,20.3,0.0,1.00,0.1,7,560,127.59,12.66,15,14,0,0.0,1.00,1.00,1.00,6.34,7.93,8.00,21.1
6000,7,25,18.9,0.0,0.4,2.4,16.2,0.0,1.00,7.1,13,301,52.58,14.56,25,0,0,0.0,1.00,1.00,1.00,4.96,6.08,6.40,4.2
7000,1,889,19.4,0.4,0.5,1.6,17.0,0.0,1.08,5.2,174,271,39.75,9.57,346,440,103,0.0,1.05,1.11,1.08,5.13,6.42,7.39,27.5
7000,7,20,36.3,0.0,0.0,7.8,28.5,0.0,1.00,0.4,10,518,115.49,11.82,20,0,0,0.0,1.00,1.00,1.00,7.55,7.95,7.85,8.6
7000,2,17,28.9,0.0,0.0,13.5,15.5,0.0,1.00,2.9,4,332,56.28,12.21,17,0,0,0.0,1.00,1.00,1.00,5.29,7.76,6.76,6.4
8000,1,1017,18.7,0.5,0.5,1.2,16.5,0.0,1.09,6.1,202,297,41.74,10.65,450,406,161,0.0,1.04,1.13,1.09,5.01,6.37,7.35,27.6
8000,2,16,27.7,0.0,0.0,11.2,16.4,0.0,1.00,3.6,6,541,83.30,30.95,16,0,0,0.0,1.00,1.00,1.00,4.75,8.00,6.19,4.1
8000,7,15,30.8,0.0,0.0,5.6,25.2,0.0,1.00,1.2,11,798,147.91,30.73,15,0,0,0.0,1.00,1.00,1.00,6.33,7.87,7.53,11.1
9000,1,1106,18.1,0.6,0.4,0.9,16.2,0.0,1.10,6.0,215,251,34.64,9.12,454,468,184,0.0,1.03,1.17,1.09,4.80,5.87,7.65,28.5
9000,7,24,27.8,0.0,0.0,6.2,21.5,0.0,1.00,1.8,10,364,58.33,15.74,24,0,0,0.0,1.00,1.00,1.00,6.12,7.75,7.50,9.3
10000,1,1064,18.8,0.7,0.8,0.9,16.4,0.0,1.14,5.7,196,287,40.89,10.14,463,454,147,0.0,1.08,1.20,1.15,4.84,6.00,7.60,27.3
11000,1,1044,18.1,0.4,0.7,1.0,16.1,0.0,1.09,5.8,186,346,50.63,12.02,413,461,170,0.0,1.03,1.13,1.09,4.61,5.95,7.53,27.9
12000,1,1079,18.1,0.5,0.9,0.9,15.9,0.0,1.10,6.2,200,336,47.56,11.84,423,479,177,0.0,1.05,1.15,1.11,4.70,5.98,7.37,27.5
13000,1,1079,17.4,0.5,0.6,1.2,15.2,0.0,1.11,6.7,222,354,47.20,11.60,434,446,199,0.0,1.04,1.16,1.12,4.53,5.84,7.20,27.8
14000,1,1138,18.3,0.9,0.5,1.0,15.9,0.0,1.20,5.8,235,344,46.93,12.40,501,473,164,0.0,1.13,1.25,1.23,4.84,6.06,7.43,26.6
15000,1,1159,17.7,0.7,0.7,0.9,15.5,0.0,1.15,6.2,210,346,48.45,12.65,488,525,146,0.1,1.07,1.21,1.17,4.72,5.82,7.50,26.6
16000,1,1218,17.6,0.5,0.5,0.7,15.9,0.0,1.09,5.6,201,309,42.46,10.53,523,487,208,0.0,1.03,1.14,1.11,4.86,6.01,7.48,27.7
17000,1,1176,18.4,0.7,0.7,0.5,16.5,0.0,1.12,5.1,191,353,48.72,12.99,505,494,177,0.0,1.03,1.20,1.13,5.11,6.54,7.39,27.2
18000,1,1037,18.8,0.8,0.7,0.7,16.6,0.0,1.17,3.7,171,392,56.82,15.01,481,407,149,0.0,1.08,1.24,1.19,5.35,6.76,7.62,26.7
19000,1,1154,18.6,0.8,0.7,0.9,16.2,0.0,1.16,4.8,175,338,48.86,11.94,507,498,149,0.0,1.05,1.23,1.18,5.21,6.60,7.34,27.0
20000,1,1125,17.8,0.7,0.5,0.7,16.0,0.0,1.14,4.2,164,369,50.30,12.57,455,493,177,0.0,1.04,1.21,1.16,5.06,6.59,7.60,27.7
21000,1,1161,19.3,0.8,0.5,0.7,17.4,0.0,1.15,3.1,167,358,48.73,12.63,423,524,214,0.0,1.06,1.22,1.18,5.36,7.09,7.75,28.3
22000,1,1216,17.8,0.7,0.3,0.6,16.1,0.0,1.14,4.7,206,401,55.51,14.93,556,478,182,0.0,1.04,1.22,1.16,5.24,6.91,7.42,26.9
23000,1,1084,18.4,0.8,0.2,0.7,16.8,0.0,1.13,4.5,159,349,47.45,14.02,426,547,111,0.0,1.05,1.21,1.14,5.37,6.98,7.20,27.1
24000,1,1160,17.9,0.6,0.3,0.8,16.2,0.0,1.09,5.3,201,339,47.49,12.19,445,513,202,0.0,1.03,1.16,1.08,5.11,6.63,7.17,28.4
25000,1,1026,19.5,0.8,0.5,1.0,17.1,0.0,1.13,3.8,170,434,62.52,15.66,406,478,142,0.0,1.04,1.22,1.13,5.43,7.16,7.38,27.6
26000,1,1060,20.6,1.0,0.5,0.9,18.2,0.0,1.17,3.2,158,466,67.04,17.60,398,494,168,0.0,1.07,1.29,1.16,5.69,7.30,7.59,27.8
27000,1,1105,19.7,1.2,0.4,0.9,17.2,0.0,1.24,3.4,154,411,55.92,15.58,437,477,191,0.0,1.11,1.35,1.25,5.63,7.29,7.48,28.1
28000,1,1029,20.0,1.1,0.4,1.0,17.6,0.0,1.18,3.2,162,419,58.42,14.40,416,457,156,0.0,1.05,1.31,1.19,5.79,7.31,7.70,27.5
29000,1,1102,19.4,0.7,0.3,1.1,17.2,0.0,1.11,3.5,152,440,61.01,15.46,422,493,187,0.1,1.02,1.19,1.11,5.73,7.25,7.63,28.2
30000,1,1128,19.3,0.9,0.3,1.4,16.7,0.0,1.17,3.9,163,408,56.00,15.18,467,470,191,0.0,1.05,1.27,1.18,5.68,7.32,7.41,27.9
31000,1,1004,19.6,1.0,0.5,0.7,17.4,0.0,1.20,3.0,165,413,57.37,16.47,426,447,131,0.0,1.08,1.32,1.22,5.90,7.42,7.62,26.8
32000,1,1067,19.3,1.0,0.3,0.7,17.2,0.0,1.18,3.3,168,437,61.86,17.16,445,452,170,0.0,1.06,1.29,1.19,5.79,7.35,7.47,27.6
33000,1,1064,20.1,1.1,0.4,0.6,18.0,0.0,1.20,2.6,160,430,60.35,17.52,460,440,164,0.0,1.10,1.31,1.22,5.81,7.52,7.63,27.8
