step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,2400,1.749,0.343,7.52,161520,150142,57,422,9919,47377,1129591.2,789665.2,0.125,0.580,0.164,0.131,143,14.82,7.93,0.40,2.54,0.16,1.32,0.07,1.18,14.18,7.16,0.00,0.06,0.008,0.056,474,0.062,0.059,0.923,0.000,0.018,305429,284146,8,0.692,0.116,0.010,1463038,0.211,1.585,0.020,22.08,94205,134,16.668,0.318,0.398,8482590,1.11,11.30,0.002,0.001,0.000,7,13,23,64,35560,0.136,0.00,0.0033,0.049,443,0.673,0.000,0.726,0.498,3.61,4.52,6.12,0.01,0.004,1.08,1.16,1.13,0.674,0.00307,3.33,117.1821,2823.98,113581.2,139700.2,32.275,63.6745,144.551,666.050,0.969,0.369,81.3,75.920,152.731,243,687.3,43.15,32.588,106.158,1559.8,80.954,0.134,2.00,6.4629,15511.1,0.6632,0.2727
20000,2623,1.686,0.337,6.51,218294,203280,67,0,14724,458,1099976.6,843253.8,0.044,0.642,0.162,0.152,185,13.69,7.24,0.17,1.32,0.23,2.05,0.03,0.45,13.25,6.72,0.00,0.00,0.012,0.086,433,0.116,0.062,0.912,0.000,0.026,356644,333854,2,0.904,0.083,0.008,192795,0.198,1.600,0.019,28.01,96475,0,1841.165,0.000,0.390,12393027,1.05,12.16,0.000,0.001,0.000,5,13,23,64,35910,0.137,0.00,0.0032,0.053,493,0.625,0.000,0.722,0.420,3.45,4.13,5.99,0.00,0.003,1.02,1.07,1.06,0.625,0.00326,7.38,114.8102,3015.52,112149.5,139700.2,27.608,44.9957,158.941,560.802,0.959,0.364,86.7,83.712,141.611,203,564.4,38.58,10.895,100.844,1410.1,85.662,0.134,2.00,6.4071,16805.7,0.7267,0.1209
30000,2437,1.692,0.361,6.69,216121,201884,94,2,14327,495,1088961.6,832902.2,0.041,0.642,0.161,0.155,185,13.73,7.76,0.41,2.66,0.21,1.65,0.07,1.00,13.04,6.66,0.00,0.00,0.012,0.075,418,0.079,0.065,0.913,0.000,0.021,349723,322272,3,0.946,0.001,0.010,384058,0.182,1.551,0.022,27.09,95155,138,1682.631,0.000,0.398,12832872,1.10,12.03,0.000,0.000,0.000,7,13,23,64,33459,0.128,0.00,0.0034,0.067,483,0.636,0.000,0.721,0.415,3.62,4.24,6.15,0.01,0.002,1.04,1.14,1.12,0.636,0.00334,7.11,113.8026,3091.01,114898.7,139699.8,28.692,45.4501,157.665,564.911,0.978,0.375,79.2,82.865,142.657,239,686.2,46.05,10.674,100.950,1638.8,85.294,0.134,2.00,5.7482,14008.3,0.6350,0.2198
40000,2711,1.609,0.315,6.92,221114,206037,122,0,14681,405,1068824.4,794738.8,0.085,0.584,0.176,0.155,185,12.32,6.73,0.25,2.31,0.27,1.98,0.02,0.33,11.78,5.98,0.00,0.04,0.017,0.095,398,0.185,0.060,0.915,0.000,0.025,341180,313869,5,0.738,0.192,0.011,312253,0.215,1.358,0.019,27.08,95426,0,1962.318,0.000,0.379,11977603,1.07,13.11,0.001,0.000,0.000,7,10,20,64,33399,0.127,0.00,0.0033,0.050,533,0.613,0.000,0.698,0.390,3.56,4.09,6.14,0.01,0.003,1.03,1.09,1.08,0.613,0.00267,7.49,108.9527,2483.08,114251.3,139699.3,29.788,45.0127,155.796,564.396,0.972,0.375,83.6,81.486,142.029,221,650.0,34.23,10.217,99.480,1535.8,83.249,0.135,2.00,5.5968,15173.0,0.7049,0.2089
50000,2598,1.640,0.315,6.86,220091,205011,162,1,15030,372,1055482.9,785879.2,0.138,0.561,0.138,0.164,184,12.97,7.38,0.22,1.90,0.19,1.41,0.15,1.79,12.40,6.53,0.00,0.00,0.010,0.069,403,0.108,0.058,0.916,0.000,0.025,336891,311329,2,0.342,0.648,0.033,497524,0.218,1.378,0.019,25.59,91312,365,2112.579,0.000,0.394,11652684,1.06,12.36,0.002,0.003,0.000,6,11,21,64,33685,0.128,0.00,0.0033,0.059,505,0.625,0.000,0.669,0.383,3.75,3.67,6.73,0.01,0.002,1.03,1.08,1.07,0.625,0.00255,7.16,107.6779,2491.08,113521.8,139699.2,31.367,45.1478,153.633,569.805,0.956,0.374,81.7,80.089,143.659,201,577.8,41.45,10.687,99.717,1599.2,83.004,0.135,2.00,6.1562,15993.7,0.7161,0.1250
60000,2770,1.564,0.319,6.99,223797,207175,108,0,16342,130,1057971.9,795827.9,0.170,0.551,0.096,0.182,185,12.11,6.09,0.15,1.76,0.15,1.27,0.09,0.76,11.73,5.55,0.00,0.05,0.010,0.076,345,0.128,0.070,0.906,0.000,0.024,342882,315228,3,0.670,0.011,0.025,1039437,0.190,1.371,0.021,24.22,93057,0,6121.753,0.000,0.384,11322936,1.04,13.01,0.000,0.001,0.001,6,12,19,64,33546,0.128,0.00,0.0033,0.061,510,0.635,0.000,0.681,0.379,3.55,3.28,6.34,0.01,0.003,1.03,1.05,1.04,0.635,0.00234,6.67,108.7256,2708.44,113026.8,139699.2,32.118,44.6822,154.227,601.996,0.973,0.370,84.4,80.319,145.759,200,594.4,39.10,10.816,100.830,1479.1,84.659,0.134,2.00,5.9058,16359.1,0.7273,0.2674
70000,2594,1.670,0.353,7.00,224783,208569,127,0,16263,174,1064918.6,809005.5,0.170,0.559,0.088,0.184,188,12.65,6.55,0.17,1.84,0.08,0.95,0.13,1.79,12.27,5.85,0.00,0.00,0.005,0.057,357,0.123,0.058,0.916,0.000,0.026,345424,317857,2,0.386,0.375,0.017,519684,0.203,1.565,0.023,25.17,90728,0,4649.457,0.000,0.406,11678015,1.05,12.26,0.002,0.001,0.000,6,12,20,64,32808,0.125,0.00,0.0033,0.052,472,0.628,0.000,0.663,0.381,3.78,3.35,6.92,0.00,0.002,1.03,1.06,1.05,0.628,0.00267,7.53,109.5711,2970.88,114615.4,139698.8,30.646,43.8614,157.079,597.138,0.991,0.374,80.1,81.966,143.645,233,738.3,40.93,10.264,100.502,1727.3,84.574,0.134,2.00,5.4829,14222.5,0.6746,0.0715
80000,2582,1.648,0.326,6.83,222156,206394,101,0,15673,181,1066316.9,805812.9,0.154,0.577,0.091,0.178,188,12.53,7.05,0.18,2.29,0.13,1.36,0.13,1.38,12.09,6.24,0.00,0.00,0.007,0.067,308,0.141,0.068,0.913,0.000,0.019,345181,319442,4,0.455,0.004,0.021,425168,0.219,1.551,0.020,25.26,86175,0,4452.005,0.000,0.400,12434699,1.04,12.49,0.003,0.000,0.000,8,12,20,64,32364,0.123,0.00,0.0034,0.053,551,0.641,0.000,0.665,0.386,3.71,3.06,7.13,0.01,0.002,1.02,1.06,1.04,0.642,0.00266,7.81,109.1876,2729.37,112755.7,139698.9,29.678,44.4063,156.707,588.913,0.958,0.370,79.5,81.757,142.692,195,538.7,39.16,9.809,101.087,1603.7,84.660,0.134,2.00,6.4395,16626.9,0.7228,0.0687
90000,2771,1.608,0.363,7.09,223205,207008,134,0,15874,152,1057995.5,774880.7,0.124,0.620,0.087,0.170,186,11.38,5.96,0.09,1.46,0.09,1.02,0.18,1.90,11.01,5.13,0.00,0.00,0.006,0.061,291,0.189,0.060,0.917,0.000,0.023,337168,312777,3,0.465,0.162,0.034,635306,0.200,1.694,0.022,25.54,85115,0,5097.899,0.000,0.379,14077286,1.02,12.95,0.002,0.000,0.000,6,11,16,64,31524,0.120,0.00,0.0035,0.053,530,0.658,0.000,0.678,0.369,3.64,3.00,7.17,0.00,0.000,1.01,1.03,1.02,0.658,0.00246,7.37,106.3711,2982.02,113335.0,139698.8,30.957,44.5580,155.285,591.000,0.973,0.367,81.6,81.013,143.968,239,792.3,59.35,10.847,99.969,1752.6,83.476,0.133,2.00,5.5062,15257.6,0.7483,0.0623
100000,2871,1.545,0.368,6.70,221902,206675,154,3,14970,211,1063395.5,785534.5,0.108,0.634,0.105,0.154,183,11.00,6.33,0.11,1.40,0.14,1.37,0.20,2.34,10.55,5.76,0.00,0.00,0.011,0.092,261,0.389,0.049,0.923,0.000,0.028,345103,322412,3,0.767,0.090,0.020,588235,0.207,1.692,0.022,24.94,81187,232,3722.912,0.333,0.403,15335679,1.03,13.44,0.003,0.001,0.000,8,9,16,64,31588,0.120,0.00,0.0035,0.055,579,0.679,0.000,0.695,0.385,3.73,2.92,7.53,0.00,0.000,1.03,1.04,1.04,0.679,0.00225,7.09,107.2518,3249.04,110237.3,139699.1,30.502,44.6659,156.159,599.860,0.990,0.361,83.3,81.273,144.794,266,749.7,43.56,10.743,101.307,1578.4,84.613,0.135,2.00,6.3662,18277.5,0.8273,0.0703
