step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,1375,12.93,0.13,0.10,0.06,12.64,0.00,1.04,0.000,0.203,470643.3,564791.8,5,38,4.18,1.02,1.04,78.8442,2350.23,79386.9,0.0971,5.5434,5462,20.7918,90,48.5542,395147.5
10000,1,1229,14.01,0.04,0.14,0.09,13.74,0.00,1.01,0.001,0.198,445207.1,519238.3,5,40,3.99,1.01,1.01,72.3525,1651.84,17142.9,4.8248,6.2956,5461,20.7880,98,44.3443,359887.8
10000,2,533,14.57,0.05,0.09,0.13,14.30,0.00,1.01,0.000,0.088,235665.2,216736.7,2,43,3.77,1.00,1.01,33.6423,760.26,1341.0,28.1317,8.7571,5461,20.7880,148,14.6934,111560.1
20000,0,1305,14.27,0.05,0.11,0.02,14.09,0.00,1.01,0.000,0.213,444321.7,655188.2,1,22,5.83,1.00,1.01,86.2938,2284.27,77280.6,0.0050,4.1160,5462,20.3877,106,50.7082,429602.6
20000,1,1221,14.34,0.02,0.04,0.19,14.09,0.00,1.01,0.000,0.200,385208.8,534745.1,1,24,5.18,1.00,1.01,69.2273,1586.01,14819.2,9.5405,5.7885,5461,20.3840,102,40.2634,349079.2
20000,2,540,13.60,0.15,0.01,0.04,13.41,0.00,1.04,0.000,0.084,181443.0,164580.8,1,29,4.38,1.01,1.05,23.8492,654.68,992.3,28.6675,11.3422,5461,20.3840,120,8.4650,73168.2
30000,0,1441,12.89,0.03,0.06,0.03,12.78,0.00,1.01,0.000,0.212,443277.0,663840.0,1,21,6.08,1.00,1.01,88.1830,2349.89,73625.3,0.0029,3.6889,5462,19.5424,72,51.4148,431786.7
30000,1,1187,14.41,0.04,0.02,0.09,14.25,0.00,1.01,0.000,0.196,370935.2,527602.3,1,28,5.70,1.00,1.01,69.4372,2031.62,15135.1,10.4631,5.2946,5461,19.5388,98,40.0657,339311.2
30000,2,508,14.31,0.00,0.07,0.06,14.19,0.00,1.00,0.000,0.083,179998.9,166902.5,1,22,5.27,1.00,1.00,23.8984,733.17,1377.0,27.2384,11.7528,5461,19.5388,172,8.0279,68941.1
40000,0,1421,12.50,0.02,0.06,0.01,12.41,0.00,1.00,0.000,0.203,447745.2,685077.7,1,27,6.29,1.01,1.00,89.5776,1860.37,71993.5,0.0271,3.8094,5462,20.4067,83,51.6228,437617.8
40000,1,1204,13.28,0.01,0.03,0.06,13.18,0.00,1.00,0.000,0.183,355745.9,523637.0,2,27,6.31,1.00,1.00,66.8854,1615.85,12775.5,10.5082,6.2863,5461,20.4029,105,36.9984,315978.2
