step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,2805,11.66,0.06,0.04,0.04,11.52,0.00,1.02,0.000,0.375,467280.1,1205407.5,8,59,4.33,1.01,1.02,181.4608,4800.27,57939.9,0.2626,3.2575,5462,1.6181,34,51.2630,451639.6
10000,1,1405,12.59,0.06,0.02,0.21,12.30,0.00,1.02,0.000,0.202,352867.8,918141.9,7,62,4.17,1.02,1.02,127.2901,2494.31,2164.7,15.9047,5.4782,5461,1.6178,112,33.4675,290691.9
10000,2,347,13.86,0.34,0.00,0.96,12.56,0.00,1.11,0.000,0.055,207284.6,410306.5,1,39,3.23,1.12,1.11,61.5117,1011.87,116.5,32.6836,7.1264,5461,1.6178,144,12.3012,102276.3
20000,0,3119,10.98,0.02,0.02,0.01,10.93,0.00,1.01,0.000,0.393,446638.9,1127843.1,6,32,5.79,1.01,1.01,203.5032,4571.77,45358.4,1.0522,1.5281,5462,0.9965,33,56.1958,501547.6
20000,1,818,12.51,0.10,0.08,0.18,12.15,0.00,1.03,0.002,0.116,173212.7,539788.4,3,16,5.40,1.04,1.04,71.5455,1440.76,529.3,30.3404,4.6402,5461,0.9963,156,15.4720,137846.6
20000,2,132,12.83,0.02,0.01,0.55,12.25,0.00,1.01,0.000,0.020,65028.4,76311.6,1,22,3.09,1.00,1.01,13.6848,449.30,33.9,45.1713,4.7076,5461,0.9963,204,2.4621,18706.8
30000,0,2951,11.77,0.01,0.01,0.03,11.73,0.00,1.00,0.000,0.399,436490.5,1073691.4,6,21,6.56,1.00,1.00,215.3606,5016.25,41113.3,3.0151,1.2684,5462,0.5700,43,55.8336,497947.2
30000,1,639,11.76,0.08,0.03,0.07,11.58,0.00,1.02,0.000,0.085,113085.0,330163.8,1,18,5.21,1.02,1.02,45.4671,1083.61,283.6,35.8424,4.1235,5461,0.5699,147,8.5041,75761.3
30000,2,120,10.73,0.03,0.28,0.37,10.05,0.00,1.01,0.000,0.015,38656.5,27624.1,1,18,2.78,1.01,1.01,6.2825,312.34,22.0,49.1506,3.2013,5461,0.5699,183,1.0740,6805.1
40000,0,2904,11.91,0.01,0.02,0.01,11.87,0.00,1.00,0.000,0.396,429537.8,1071718.9,6,19,6.71,1.00,1.01,217.0888,4773.76,41317.1,3.6903,1.2569,5462,0.6091,34,54.8145,490439.6
40000,1,600,11.65,0.02,0.09,0.14,11.39,0.00,1.01,0.000,0.079,102354.5,297194.2,2,22,5.53,1.00,1.01,41.3546,1065.25,230.7,37.6447,4.0961,5461,0.6090,164,7.3105,64898.3
40000,2,131,10.27,0.00,0.00,0.79,9.48,0.00,1.00,0.000,0.016,41595.7,28459.1,1,18,2.64,1.00,1.00,6.6445,378.14,26.2,48.4184,3.4299,5461,0.6090,182,1.1554,7451.9
50000,0,2990,11.87,0.02,0.02,0.01,11.83,0.00,1.00,0.000,0.405,425449.2,1067333.6,5,20,6.72,1.00,1.00,217.5356,4585.15,41779.9,3.9539,1.2203,5462,0.6195,51,54.4656,486494.8
50000,1,552,11.80,0.00,0.00,0.00,11.80,0.00,1.00,0.000,0.076,98945.9,283354.1,1,13,5.70,1.00,1.00,39.6357,1151.25,262.6,37.9167,4.0495,5461,0.6194,212,6.9791,61786.5
50000,2,98,12.02,0.00,0.19,0.50,11.33,0.00,1.00,0.000,0.013,44472.4,37546.4,1,10,3.02,1.00,1.00,7.8818,373.62,37.8,48.1734,3.5627,5461,0.6194,214,1.3728,9343.8
60000,0,2931,11.81,0.01,0.01,0.01,11.78,0.00,1.00,0.000,0.395,424155.1,1067410.1,5,17,6.70,1.00,1.00,216.3691,4428.35,41570.7,3.9633,1.2049,5462,0.6551,35,54.1099,483984.4
60000,1,571,12.48,0.08,0.03,0.31,12.06,0.00,1.02,0.000,0.083,103003.2,291666.2,2,19,5.44,1.03,1.03,40.7741,1425.27,289.6,38.0557,4.1524,5461,0.6550,190,7.3199,64576.6
60000,2,107,11.10,0.00,0.00,0.25,10.85,0.00,1.00,0.000,0.014,44664.0,36549.7,1,9,2.69,1.00,1.00,7.6963,461.39,25.0,48.0831,3.5534,5461,0.6550,146,1.3139,8939.3
70000,0,3016,11.70,0.00,0.02,0.01,11.67,0.00,1.00,0.000,0.405,425732.4,1062443.6,4,26,6.61,1.00,1.00,218.2141,4931.59,41259.5,4.0943,1.0238,5462,0.7451,19,54.3280,488162.8
