step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2991,2.36,78.59,184.78,1,0,0,0,1.00,1.00,1.00,8,8,8,2.7,167.496,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2975,0.50,181.14,151.64,1,0,0,0,1.00,1.00,1.00,6,8,8,11.1,166.600,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2975,1.69,119.17,232.00,1,0,0,0,1.00,1.00,1.00,8,8,8,13.9,166.600,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2966,1.74,83.86,220.57,1,0,0,0,1.00,1.00,1.00,8,8,8,18.4,166.096,12,1.000
100000,16.00,16,0,0,0,16,0,1.00,10,0.000,2954,3.34,100.98,254.17,3,0,0,0,1.00,1.00,1.00,6,8,8,23.2,189.056,16,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2952,1.25,105.36,160.35,1,0,0,0,1.00,1.00,1.00,8,8,8,17.2,165.312,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2947,1.75,88.00,258.35,1,0,0,0,1.00,1.00,1.00,8,8,8,5.0,165.032,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2929,1.13,143.39,227.74,1,0,0,0,1.00,1.00,1.00,6,8,8,15.8,164.024,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2926,2.95,111.01,211.19,1,0,0,0,1.00,1.00,1.00,6,8,8,18.6,163.856,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2922,1.99,88.24,200.86,1,0,0,0,1.00,1.00,1.00,8,8,8,12.8,163.632,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2882,0.70,80.94,171.21,1,0,0,0,1.00,1.00,1.00,8,8,8,3.0,161.392,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2856,2.51,71.57,211.45,1,0,0,0,1.00,1.00,1.00,8,8,8,7.9,159.936,12,1.000
100000,9.00,9,0,0,0,9,0,1.00,16,0.000,2841,2.29,88.20,171.00,3,0,0,0,1.00,1.00,1.00,6,8,8,22.9,142.050,9,1.000
100000,13.00,13,0,0,0,13,0,1.00,12,0.000,2839,2.11,99.93,222.73,3,0,0,0,1.00,1.00,1.00,7,8,8,23.1,164.662,13,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2833,2.53,107.71,196.51,1,0,0,0,1.00,1.00,1.00,8,8,8,20.5,158.648,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2805,0.29,68.82,233.27,1,0,0,0,1.00,1.00,1.00,4,8,8,18.7,157.080,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2804,1.93,101.99,155.90,1,0,0,0,1.00,1.00,1.00,8,8,8,12.8,157.024,12,1.000
100000,9.00,9,0,0,0,9,0,1.00,16,0.000,2794,1.75,74.82,165.84,3,0,0,0,1.00,1.00,1.00,7,8,8,21.3,139.700,9,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2786,2.66,90.94,198.47,1,0,0,0,1.00,1.00,1.00,8,8,8,9.3,156.016,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2768,2.88,70.78,162.69,1,0,0,0,1.00,1.00,1.00,8,8,8,5.6,155.008,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2747,1.38,100.71,198.17,1,0,0,0,1.00,1.00,1.00,8,8,8,8.7,153.832,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2733,0.38,66.80,221.65,1,0,0,0,1.00,1.00,1.00,6,8,8,10.6,153.048,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2732,1.22,110.95,208.62,1,0,0,0,1.00,1.00,1.00,8,8,8,20.1,152.992,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2727,2.38,83.88,197.91,1,0,0,0,1.00,1.00,1.00,8,8,8,15.1,152.712,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2725,1.91,79.65,166.20,1,0,0,0,1.00,1.00,1.00,8,8,8,19.0,152.600,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2717,0.26,66.46,210.77,1,0,0,0,1.00,1.00,1.00,6,8,8,9.1,152.152,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2704,2.91,79.12,171.74,1,0,0,0,1.00,1.00,1.00,6,8,8,17.8,151.424,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2701,2.93,51.92,203.77,1,0,0,0,1.00,1.00,1.00,8,8,8,5.2,151.256,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2696,1.70,72.68,205.46,1,0,0,0,1.00,1.00,1.00,8,8,8,3.0,150.976,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2690,2.84,68.77,169.49,1,1,1,0,1.00,1.00,1.00,8,8,8,26.6,150.640,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2684,2.63,65.52,203.81,1,0,0,0,1.00,1.00,1.00,6,8,8,16.5,150.304,12,1.000
100000,9.00,9,0,0,0,9,0,1.00,16,0.000,2677,2.51,50.44,175.64,3,0,0,0,1.00,1.00,1.00,5,8,8,20.6,133.850,9,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2674,2.52,133.33,189.46,1,0,0,0,1.00,1.00,1.00,4,8,8,17.4,149.744,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2671,0.88,89.03,156.85,1,0,0,0,1.00,1.00,1.00,8,8,8,21.6,149.576,12,1.000
100000,14.00,14,0,0,0,14,0,1.00,12,0.000,2661,1.41,74.69,226.75,3,1,1,0,1.00,1.00,1.00,7,8,8,23.5,159.660,14,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2647,2.20,79.22,194.50,1,0,0,0,1.00,1.00,1.00,6,8,8,0.3,148.232,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2645,2.21,68.70,177.44,1,0,0,0,1.00,1.00,1.00,6,8,8,7.8,148.120,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2637,1.67,74.64,190.61,1,0,0,0,1.00,1.00,1.00,6,8,8,6.7,147.672,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2633,1.90,80.55,190.98,1,0,0,0,1.00,1.00,1.00,8,8,8,10.4,147.448,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2631,1.81,101.17,160.89,1,0,0,0,1.00,1.00,1.00,8,8,8,16.2,147.336,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2602,2.93,76.69,208.19,1,0,0,0,1.00,1.00,1.00,6,8,8,17.2,145.712,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2601,2.60,98.86,220.51,1,0,0,0,1.00,1.00,1.00,6,8,8,18.4,145.656,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2596,2.60,100.43,202.03,1,0,0,0,1.00,1.00,1.00,6,8,8,2.4,145.376,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2594,2.97,90.50,210.48,1,0,0,0,1.00,1.00,1.00,6,8,8,15.8,145.264,12,1.000
100000,11.00,11,0,0,0,11,0,1.00,14,0.000,2590,1.73,94.34,189.00,3,0,0,0,1.00,1.00,1.00,7,8,8,20.5,139.860,11,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2590,1.39,71.53,189.41,1,0,0,0,1.00,1.00,1.00,8,8,8,4.1,145.040,12,1.000
100000,16.00,16,0,0,0,16,0,1.00,10,0.000,2583,2.44,100.95,232.96,1,0,0,0,1.00,1.00,1.00,6,8,8,18.0,165.312,16,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2570,2.05,53.72,158.27,1,0,0,0,1.00,1.00,1.00,6,8,8,21.2,143.920,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2560,2.94,82.83,183.44,1,0,0,0,1.00,1.00,1.00,4,8,8,19.0,143.360,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2549,2.54,75.53,253.05,1,0,0,0,1.00,1.00,1.00,6,8,8,15.1,142.744,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2542,3.06,90.16,232.74,1,0,0,0,1.00,1.00,1.00,8,8,8,9.0,142.352,12,1.000
100000,12.00,12,0,0,0,12,0,1.00,16,0.000,2520,1.89,71.19,177.20,1,0,0,0,1.00,1.00,1.00,8,8,8,13.1,141.120,12,1.000
