step,event,lineage,other,size
5000,birth,1,0,4607
5000,birth,2,0,30
5000,birth,3,0,22
5000,birth,4,0,58
5000,birth,6,0,14
5000,birth,7,0,7
5000,birth,8,0,22
5000,birth,11,0,15
5000,birth,13,0,12
6000,split,58,3,57
6000,split,60,1,15
7000,split,70,1,7
7000,split,74,1,7
7000,extinct,11,0,15
7000,extinct,13,0,7
8000,split,82,1,19
8000,split,83,1,42
8000,extinct,7,0,7
8000,extinct,8,0,14
8000,extinct,60,0,8
8000,extinct,70,0,7
9000,split,97,3,17
9000,extinct,2,0,14
9000,extinct,4,0,18
10000,split,111,6,14
10000,extinct,6,0,7
10000,extinct,74,0,6
11000,split,117,4,10
11000,extinct,3,0,7
12000,extinct,58,0,11
12000,extinct,82,0,7
12000,extinct,117,0,10
14000,split,129,1,65
15000,split,133,1,16
15000,split,134,1,14
18000,split,137,1,448
18000,split,138,1,76
18000,split,139,1,12
19000,extinct,83,0,36
20000,extinct,111,0,6
20000,extinct,134,0,7
21000,merge,138,1,35
21000,extinct,139,0,12
22000,extinct,129,0,13
22000,merge,137,144,44
41000,split,149,133,10
49000,extinct,149,0,13
66000,extinct,97,0,5
87000,merge,133,1,67
92000,split,158,1,17
94000,extinct,158,0,17
101000,split,162,1,95
105000,merge,162,1,46
133000,split,179,1,322
136000,split,182,1,22
137000,merge,182,1,22
146000,extinct,179,0,7
150000,split,188,1,168
162000,merge,188,1,185
170000,split,195,1,18
171000,extinct,195,0,18
178000,split,199,1,58
183000,extinct,199,0,214
188000,split,206,1,101
188000,split,207,1,94
191000,merge,207,206,98
197000,split,209,206,174
200000,extinct,206,0,35
219000,extinct,209,0,278
223000,split,212,1,299
257000,merge,212,1,313
262000,split,224,1,1198
262000,split,225,1,415
266000,merge,224,1,1144
266000,extinct,225,0,444
273000,split,228,1,231
274000,split,230,1,1052
275000,merge,228,1,220
276000,merge,230,1,973
301000,split,241,1,287
303000,merge,241,1,335
329000,split,256,1,304
331000,merge,256,260,282
344000,split,264,1,214
357000,split,269,1,308
358000,merge,264,269,111
360000,merge,269,1,357
366000,split,272,1,69
377000,merge,272,1,47
382000,split,276,1,37
389000,extinct,276,0,10
398000,split,280,1,5
399000,extinct,280,0,5
436000,split,295,1,8
441000,extinct,295,0,7
