step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std
10000,1909,2.556,0.751,5.33,214235,183835,1,24976,5010,2119705,1063344.6,2318629.2,0.079,0.625,0.059,0.236,87,31.25,32.62,1.93,4.26,4.93,10.05,0.31,2.44,16.47,10.33,0.54,1.53,0.074,0.144,1034,0.053,0.029,0.951,0.000,0.020,425762,342703,1,0.983,0.017,0.036,1861496,0.172,2.323,0.059,21.74,115788,124,1.094,0.338,0.647,13228879,1.45,9.87,0.073,0.413,0.128,5.7,16.6,94.9,165.6,45131,0.172,0.00,0.0034,0.067,275,0.728,0.001,0.805,0.519,4.26,4.99,6.19,0.71,0.133,1.47,1.26,1.57,0.762,0.01145,1.91,245.6860,6375.30,105559.8,140277.1,39.844,110.7832,230.216,524.653,0.983,0.342,19.1,21.855,159.005,760,2775.8,71.39,35.679,100.347,2673.7,76.672,0.134,2.00,8.5472,16316.7,0.6878,0.3964,23.64,1.084,0.250
20000,1815,2.812,0.657,5.31,183221,155626,8,24870,2811,2013259,847111.9,1783237.4,0.033,0.742,0.040,0.185,118,35.74,32.85,2.61,5.15,5.31,9.45,0.20,1.80,18.48,11.52,0.65,1.27,0.071,0.123,882,0.041,0.027,0.950,0.000,0.023,292685,230076,1,0.938,0.062,0.027,399646,0.184,2.353,0.047,22.10,77280,125,0.886,0.340,0.646,11160342,1.70,9.24,0.130,0.428,0.233,6.4,20.1,96.0,163.9,48295,0.184,0.00,0.0025,0.060,381,0.642,0.000,0.750,0.415,4.55,4.55,6.88,0.71,0.238,1.74,1.15,2.06,0.677,0.01361,2.18,165.0635,6047.10,108839.8,140277.1,50.335,86.9479,182.533,340.418,0.969,0.345,24.8,24.706,157.728,515,1573.1,47.88,18.044,89.228,2728.6,64.846,0.136,2.00,7.8473,14242.8,0.6267,0.3967,26.61,1.135,0.168
30000,1501,2.777,0.665,4.79,160795,139591,2,19991,1525,2601371,816834.9,1727458.6,0.038,0.789,0.038,0.135,123,36.67,25.24,3.19,5.09,6.46,10.00,0.50,2.64,21.85,14.30,0.75,1.26,0.113,0.164,794,0.078,0.039,0.945,0.000,0.016,264639,212348,1,0.864,0.136,0.098,1061798,0.150,2.526,0.045,20.80,65641,126,0.664,0.324,0.656,9271035,1.86,7.50,0.198,0.462,0.278,9.9,25.8,76.0,121.5,48019,0.183,0.00,0.0025,0.061,356,0.605,0.001,0.680,0.432,4.99,5.13,7.18,0.77,0.280,1.81,1.25,2.46,0.651,0.01623,2.39,150.8974,5590.51,112640.7,140277.1,49.570,87.9066,170.704,319.623,0.943,0.353,25.9,24.355,156.757,523,1733.6,49.75,16.056,91.085,3071.5,62.568,0.135,2.00,7.6243,11444.0,0.5175,0.3228,31.99,1.048,0.082
40000,1418,2.833,0.641,4.76,146784,128047,0,17071,1749,2311727,798576.4,1583433.2,0.037,0.796,0.044,0.123,124,37.11,27.50,3.48,5.20,6.33,8.73,0.41,2.73,20.89,13.57,0.79,1.14,0.106,0.147,704,0.102,0.030,0.942,0.000,0.028,241547,208868,1,0.986,0.014,0.178,2651560,0.142,2.333,0.045,20.23,58911,128,0.685,0.332,0.657,8469063,1.94,8.02,0.179,0.461,0.355,8.6,23.2,77.9,130.6,44106,0.168,0.00,0.0027,0.061,308,0.597,0.000,0.669,0.433,4.87,4.93,7.08,0.81,0.356,1.94,1.14,2.58,0.640,0.01606,2.62,143.4160,5685.58,112944.8,140277.1,50.336,88.1395,159.969,289.344,0.964,0.357,20.5,22.776,155.253,485,1476.7,57.52,14.642,90.660,2860.4,61.113,0.135,2.00,8.2744,11733.1,0.5268,0.3280,31.10,1.075,0.087
50000,1631,2.606,0.698,5.47,149692,130206,0,17732,1541,2322947,792004.6,1546601.6,0.027,0.807,0.054,0.112,123,32.88,24.14,3.63,5.24,6.60,8.96,0.40,2.62,16.58,12.60,0.79,1.11,0.135,0.183,852,0.047,0.032,0.937,0.000,0.031,238699,208174,1,1.000,0.000,0.069,1515895,0.143,2.461,0.048,19.95,59151,122,0.666,0.343,0.657,8500360,2.09,9.40,0.090,0.488,0.358,7.7,22.8,72.7,143.2,44370,0.169,0.00,0.0029,0.066,316,0.586,0.000,0.679,0.417,4.61,4.65,6.70,0.81,0.361,2.00,1.22,3.06,0.628,0.01395,2.37,139.7743,6454.59,111772.5,140277.1,50.952,87.6443,158.310,295.477,0.950,0.353,22.5,22.756,156.130,548,1541.9,56.64,14.861,90.566,2908.9,60.867,0.135,2.00,7.1880,11723.6,0.5962,0.3254,27.20,1.092,0.083
60000,1747,2.487,0.653,5.61,170801,148922,1,20455,1307,2236154,762387.3,1482543.0,0.020,0.817,0.071,0.092,117,30.84,21.52,3.75,4.93,5.90,7.83,0.23,1.58,15.87,11.92,0.76,1.05,0.129,0.179,865,0.043,0.029,0.938,0.000,0.033,256737,220109,1,0.497,0.503,0.045,628927,0.170,2.379,0.044,19.33,71380,115,0.663,0.378,0.672,9984152,2.16,9.77,0.067,0.457,0.363,7.9,21.2,61.9,117.4,44995,0.172,0.00,0.0027,0.058,343,0.609,0.000,0.731,0.379,4.40,4.39,6.79,0.78,0.365,2.05,1.25,3.15,0.646,0.01159,2.49,134.5994,5900.66,111049.7,140277.1,51.499,89.5293,155.897,269.891,0.931,0.349,20.6,20.250,155.321,474,1356.0,91.21,13.683,90.524,2932.6,58.650,0.135,2.00,7.4868,13079.5,0.6126,0.3321,25.76,1.083,0.099
70000,1536,2.560,0.694,5.89,173836,152492,1,20226,1328,2200456,761087.2,1494339.0,0.021,0.811,0.070,0.098,117,32.41,21.37,4.15,5.79,5.92,8.15,0.19,1.90,16.41,11.02,0.75,1.06,0.131,0.190,825,0.050,0.031,0.939,0.000,0.029,264475,222526,3,0.522,0.435,0.027,601916,0.169,2.381,0.050,19.51,74342,117,0.679,0.378,0.619,9936649,2.28,9.44,0.059,0.459,0.356,9.2,24.6,65.1,137.1,40958,0.156,0.00,0.0030,0.058,314,0.603,0.001,0.721,0.388,4.57,4.49,6.84,0.78,0.357,2.18,1.30,3.27,0.640,0.01311,2.69,136.6239,5760.62,112516.7,140277.1,52.012,89.1546,156.139,258.771,0.953,0.355,20.6,20.132,154.455,641,2046.5,54.51,13.144,89.635,3055.9,58.333,0.135,2.00,7.4528,11447.4,0.6004,0.3343,26.67,1.075,0.099
80000,1925,2.416,0.677,5.87,176462,157194,3,17227,1649,2130618,772982.9,1493857.4,0.021,0.820,0.065,0.093,115,29.61,17.84,4.01,4.90,5.56,7.47,0.28,2.02,14.45,9.59,0.74,1.00,0.133,0.177,907,0.116,0.020,0.953,0.000,0.028,262668,214889,1,0.484,0.516,0.053,946973,0.154,2.262,0.046,19.93,69847,115,0.701,0.380,0.687,10553527,2.29,10.08,0.022,0.491,0.374,9.3,23.2,49.0,103.5,46777,0.178,0.00,0.0028,0.071,283,0.620,0.000,0.726,0.373,4.28,4.06,6.94,0.78,0.389,2.10,1.34,3.43,0.655,0.01055,2.57,139.0953,6415.22,109189.7,140277.1,51.938,88.6934,160.446,266.554,0.948,0.344,22.6,20.305,154.692,478,1325.1,49.42,13.868,89.403,2816.8,59.194,0.135,2.00,7.3637,14175.1,0.6488,0.3374,24.30,1.078,0.096
90000,2042,2.326,0.619,5.91,185373,166775,7,16720,1754,2058498,772143.4,1549788.4,0.022,0.808,0.063,0.107,116,27.43,18.32,3.44,4.65,4.47,6.92,0.20,1.89,13.72,9.01,0.59,0.94,0.108,0.169,944,0.095,0.030,0.943,0.000,0.027,280135,229883,2,0.603,0.004,0.036,569015,0.176,2.101,0.044,18.93,74017,115,0.753,0.393,0.647,11579629,2.12,11.13,0.018,0.432,0.293,8.8,20.9,53.1,114.6,44571,0.170,0.00,0.0028,0.065,333,0.643,0.000,0.734,0.379,4.11,3.96,6.54,0.61,0.296,1.98,1.42,3.00,0.675,0.00945,2.75,146.0089,5920.48,107421.5,140277.1,52.259,89.3624,165.340,265.346,0.907,0.340,18.4,19.291,154.213,435,1257.2,36.49,12.419,89.904,2458.4,60.307,0.134,2.00,8.2427,16831.6,0.7099,0.3513,21.83,1.108,0.097
100000,1706,2.620,0.658,5.89,179687,162359,2,15933,1729,2058312,773002.3,1563746.5,0.027,0.798,0.066,0.109,113,32.41,18.68,4.10,5.02,6.05,7.66,0.13,1.19,15.09,9.20,0.80,1.03,0.136,0.180,830,0.146,0.026,0.943,0.000,0.031,276771,225629,2,0.632,0.018,0.020,593194,0.169,2.303,0.046,18.99,73128,114,0.760,0.399,0.640,11782986,2.30,9.24,0.021,0.478,0.397,11.5,25.8,53.1,108.1,43285,0.165,0.00,0.0030,0.063,312,0.663,0.001,0.759,0.388,4.45,4.25,7.18,0.84,0.400,2.09,1.32,3.52,0.695,0.01100,2.64,147.5992,6035.52,110589.8,140277.1,53.473,89.2826,165.559,254.294,0.909,0.351,20.3,18.761,154.350,448,1213.3,63.63,12.928,88.737,3022.4,60.332,0.135,2.00,7.7998,13306.5,0.5829,0.3551,25.37,1.121,0.087
