step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std
10000,2423,2.359,0.686,9.35,245901,205844,0,28523,10531,2520321,1113804.2,2549279.0,0.121,0.613,0.162,0.105,88,25.89,21.03,3.18,5.92,3.84,7.44,0.07,0.88,18.17,12.38,0.51,1.14,0.086,0.159,1430,0.024,0.022,0.958,0.000,0.019,518318,416140,12,0.397,0.419,0.014,1375857,0.156,2.372,0.049,19.75,173193,124,1.011,0.358,0.745,13560096,1.84,9.87,0.114,0.436,0.187,5.5,17.9,65.8,78.7,61234,0.234,0.00,0.0025,0.092,405,0.692,0.001,0.797,0.542,4.29,5.00,6.17,0.52,0.187,1.94,1.23,2.23,0.730,0.00822,2.38,271.5587,7904.57,100324.0,139719.6,34.245,117.3269,245.989,431.473,0.918,0.341,18.4,19.920,158.118,355,931.4,65.63,31.996,107.469,1963.0,84.261,0.135,2.00,8.7336,21161.5,0.7117,0.3608,25.27,1.022,0.159
20000,2392,2.394,0.719,9.07,218549,182393,1,26229,9957,2406338,960101.2,2271580.8,0.049,0.719,0.145,0.087,112,26.21,22.75,3.32,6.06,4.07,8.40,0.11,1.22,16.86,11.75,0.61,1.38,0.077,0.148,1312,0.018,0.025,0.954,0.000,0.021,433325,342592,12,0.287,0.285,0.016,483882,0.138,2.554,0.051,17.56,147985,132,0.944,0.347,0.740,14095063,1.84,9.90,0.109,0.419,0.199,6.3,16.6,69.2,83.4,58269,0.222,0.00,0.0024,0.086,436,0.691,0.000,0.812,0.517,4.34,5.14,6.05,0.62,0.201,1.99,1.23,2.20,0.725,0.00828,2.83,225.9089,8038.67,99883.2,139719.6,40.688,100.4811,214.592,287.616,0.935,0.340,20.7,19.794,155.413,343,922.1,67.40,10.698,102.755,2361.1,82.058,0.134,2.00,8.8016,21053.5,0.7653,0.3740,24.36,1.052,0.152
30000,2136,2.619,0.699,8.84,222312,185264,2,27967,9335,2401443,965936.8,2333126.5,0.040,0.717,0.148,0.095,112,30.86,25.17,3.92,6.27,4.15,7.03,0.17,1.36,20.15,14.02,0.51,1.00,0.074,0.127,1181,0.064,0.028,0.953,0.000,0.019,443880,346024,11,0.439,0.197,0.038,438193,0.134,2.675,0.045,17.07,150091,130,0.972,0.350,0.747,14121320,2.00,8.71,0.154,0.458,0.239,6.1,19.4,72.6,89.6,60648,0.231,0.00,0.0022,0.085,400,0.684,0.000,0.805,0.520,4.68,5.39,6.34,0.52,0.240,2.15,1.26,2.47,0.716,0.00920,2.98,231.3667,8304.72,99619.0,139719.6,41.020,100.1716,217.208,283.298,0.935,0.341,19.0,19.645,154.623,285,722.3,57.94,10.074,102.772,1987.0,83.112,0.135,2.00,10.1686,21720.1,0.7575,0.3795,28.39,1.051,0.155
40000,2594,2.441,0.634,8.77,219120,182018,2,28092,8550,2327085,961530.2,2286856.8,0.049,0.711,0.138,0.102,115,26.91,23.43,3.08,5.55,3.47,6.97,0.15,1.72,17.37,12.74,0.42,0.95,0.067,0.134,1192,0.071,0.034,0.949,0.000,0.017,433206,349714,9,0.334,0.153,0.027,597077,0.165,2.378,0.042,16.30,142438,131,0.983,0.347,0.761,13853448,1.80,10.64,0.125,0.428,0.191,6.0,16.5,72.6,82.9,62460,0.238,0.00,0.0021,0.073,403,0.686,0.000,0.802,0.515,4.15,4.99,5.78,0.43,0.193,1.88,1.22,2.21,0.717,0.00748,2.93,228.0214,7745.02,98205.1,139719.6,41.373,99.9817,213.999,288.563,0.943,0.338,20.2,19.415,154.797,226,538.1,57.86,9.343,103.235,1671.9,83.494,0.134,2.00,9.0101,23372.2,0.7830,0.3852,24.08,1.105,0.134
50000,2556,2.390,0.691,8.49,224814,184446,1,31505,8900,2366158,966219.2,2366930.0,0.047,0.697,0.129,0.127,112,25.77,22.17,2.88,5.54,3.18,6.89,0.21,1.95,16.39,12.09,0.46,1.06,0.058,0.120,1224,0.040,0.034,0.951,0.000,0.014,444555,350398,10,0.272,0.220,0.026,623151,0.184,2.504,0.046,16.13,142823,132,1.000,0.338,0.757,14705699,1.72,11.02,0.098,0.412,0.185,5.7,16.8,69.2,82.9,57917,0.221,0.00,0.0023,0.075,410,0.703,0.000,0.832,0.513,4.19,4.91,5.70,0.47,0.190,1.85,1.21,2.03,0.734,0.00760,2.48,234.3445,8305.09,98496.7,139719.6,42.156,99.8139,220.082,286.049,0.927,0.336,18.8,19.421,156.042,312,698.0,48.13,9.710,103.076,1886.0,84.473,0.135,2.00,8.7841,22452.2,0.8475,0.3992,22.66,1.141,0.125
60000,2574,2.366,0.642,7.26,228671,185810,1,33261,9581,2305959,967689.9,2350070.0,0.052,0.674,0.126,0.149,113,26.47,22.74,3.25,5.53,3.20,6.56,0.10,1.17,16.91,12.31,0.48,0.99,0.056,0.120,1074,0.069,0.039,0.938,0.000,0.023,444532,352834,5,0.408,0.196,0.012,514437,0.158,2.364,0.042,16.11,130813,131,1.019,0.344,0.738,14527784,1.85,11.10,0.105,0.397,0.211,5.8,17.0,69.7,84.5,60396,0.230,0.00,0.0022,0.084,375,0.705,0.000,0.836,0.506,4.17,4.86,5.65,0.48,0.211,1.93,1.23,2.30,0.736,0.00745,2.38,233.8262,7860.50,97676.3,139719.6,42.027,100.1803,219.939,289.860,0.952,0.334,18.3,19.173,156.511,303,720.6,55.15,9.909,103.322,1562.4,84.620,0.134,2.00,9.3427,24048.0,0.8152,0.4043,23.46,1.131,0.085
70000,2664,2.351,0.602,6.40,233468,190278,5,33483,9612,2234780,955443.5,2402641.8,0.068,0.659,0.122,0.152,118,26.20,21.82,3.34,5.91,3.26,6.62,0.17,1.80,16.43,11.53,0.51,1.05,0.061,0.126,1071,0.102,0.027,0.955,0.000,0.018,462682,371063,3,0.572,0.059,0.020,439947,0.144,2.225,0.040,15.56,117500,135,1.075,0.338,0.778,14931303,1.85,10.98,0.088,0.392,0.209,7.4,15.5,66.7,81.3,61804,0.236,0.00,0.0022,0.077,398,0.715,0.000,0.832,0.514,4.15,5.08,5.52,0.52,0.211,1.95,1.29,2.22,0.744,0.00689,2.46,240.0086,7274.77,97066.9,139719.6,43.608,99.3647,222.479,276.817,0.903,0.335,17.9,18.351,156.148,239,567.5,43.56,9.371,102.215,1583.5,84.292,0.134,2.00,9.4295,25120.3,0.7859,0.4160,23.20,1.150,0.070
80000,2872,2.286,0.638,5.39,236378,195515,1,33232,7422,2157662,963233.2,2460473.8,0.074,0.655,0.115,0.156,123,24.31,20.92,2.91,5.75,2.32,5.63,0.08,1.04,16.01,10.88,0.35,0.88,0.038,0.093,944,0.181,0.029,0.955,0.000,0.016,479305,400228,2,0.734,0.044,0.009,407382,0.136,2.394,0.044,14.67,100334,135,1.140,0.330,0.782,14936840,1.75,11.63,0.094,0.353,0.161,6.5,15.1,67.8,85.2,61222,0.234,0.00,0.0021,0.077,424,0.706,0.000,0.814,0.524,3.98,5.00,5.24,0.36,0.161,1.81,1.27,2.09,0.733,0.00640,2.85,247.1763,7815.35,95222.2,139719.6,42.891,99.5403,226.484,278.588,0.944,0.330,18.8,18.375,155.059,234,531.3,65.34,7.909,103.433,1773.5,85.977,0.135,2.00,9.0751,26063.8,0.8143,0.4287,21.32,1.148,0.048
90000,2857,2.315,0.716,5.30,240115,198345,4,34247,7534,2224726,973890.2,2512067.2,0.074,0.636,0.124,0.166,121,24.58,22.06,2.54,5.26,2.58,6.11,0.07,1.32,16.30,11.99,0.33,0.82,0.044,0.104,929,0.105,0.032,0.951,0.000,0.018,489421,416722,1,0.741,0.259,0.008,314405,0.136,2.650,0.049,14.73,106194,135,1.129,0.333,0.778,15006743,1.66,12.02,0.104,0.365,0.156,6.2,15.1,71.2,86.9,61394,0.234,0.00,0.0021,0.081,341,0.711,0.000,0.819,0.527,3.91,4.92,5.13,0.34,0.157,1.73,1.22,1.96,0.739,0.00649,2.61,253.2569,9045.19,95399.1,139719.6,42.767,99.9332,231.040,284.546,0.927,0.327,18.4,18.547,155.974,277,733.8,71.01,8.245,103.730,1541.3,87.249,0.134,2.00,8.5925,24548.9,0.8184,0.4272,21.49,1.149,0.058
100000,2657,2.386,0.651,5.14,238719,196911,5,34703,7300,2293791,961914.7,2527473.2,0.070,0.655,0.124,0.151,120,26.66,22.59,3.48,6.36,3.21,6.85,0.08,0.96,16.72,11.65,0.46,1.03,0.054,0.114,986,0.116,0.036,0.943,0.000,0.021,486708,408978,2,0.683,0.006,0.012,337927,0.124,2.280,0.044,15.09,101289,134,1.102,0.333,0.772,14943744,1.90,11.64,0.111,0.419,0.197,6.8,16.9,71.2,85.1,62418,0.238,0.00,0.0022,0.084,340,0.701,0.000,0.810,0.528,4.05,4.91,5.35,0.48,0.198,2.03,1.29,2.30,0.730,0.00719,2.59,249.5775,7880.86,97566.7,139719.6,43.854,98.5187,229.473,282.479,0.930,0.333,18.5,19.097,156.016,266,654.7,47.75,8.606,102.305,1726.5,85.387,0.134,2.00,8.9231,23708.7,0.7593,0.4199,23.49,1.133,0.046
