step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density
5000,1,3116,20.7,1.8,1.5,0.1,15.5,0.2,1.45,11.3,907,123,4.81,12.23,1496,1134,486,0.3,1.56,1.11,1.59,3.84,3.92,6.54,27.0,1.000
5000,7,280,16.7,0.5,0.0,0.2,15.6,0.0,1.15,11.8,119,120,6.06,9.77,122,131,27,0.0,1.07,1.24,1.15,3.82,6.02,4.22,27.4,1.000
5000,3,89,9.7,0.4,0.0,0.0,8.9,0.0,1.13,17.0,31,155,4.83,8.49,60,29,0,0.0,1.08,1.17,1.16,2.42,3.93,3.56,24.2,1.000
5000,8,43,10.5,0.3,0.0,0.0,9.8,0.0,1.07,16.0,21,171,10.08,11.82,37,6,0,0.0,1.11,1.00,1.10,3.42,2.65,6.56,21.5,1.000
5000,17,28,9.0,0.1,0.0,0.1,8.9,0.0,1.01,13.9,16,270,6.75,14.74,0,24,4,0.0,1.02,1.00,1.03,2.96,2.71,6.36,32.2,1.000
5000,33,18,13.8,0.2,0.7,0.0,12.8,0.0,1.07,14.8,11,97,3.98,6.16,15,3,0,0.0,1.06,1.14,1.06,3.33,5.72,2.89,24.4,1.000
5000,23,10,12.8,0.0,0.0,0.0,12.8,0.0,1.00,15.2,4,232,7.58,13.76,1,9,0,0.0,1.00,1.00,1.00,3.90,5.40,3.00,27.3,1.000
5000,9,9,8.9,0.0,0.0,0.0,8.9,0.0,1.00,17.3,2,165,13.29,8.99,9,0,0,0.0,1.00,1.00,1.00,2.89,2.00,5.33,15.6,1.000
5000,26,7,21.3,0.0,0.0,0.0,21.3,0.0,1.00,8.6,3,285,15.29,20.24,0,7,0,0.0,1.00,1.00,1.00,4.00,8.00,3.71,36.9,1.000
5000,13,6,10.3,0.0,0.0,0.0,10.3,0.0,1.00,14.3,3,259,9.68,15.22,0,6,0,0.0,1.00,1.00,1.00,4.17,2.00,6.83,29.9,1.000
5000,55,5,20.2,0.0,0.0,0.0,20.2,0.0,1.00,12.4,2,76,6.70,7.13,5,0,0,0.0,1.00,1.00,1.00,4.20,4.00,5.80,17.9,1.000
6000,1,2725,15.4,0.1,0.0,0.1,15.0,0.0,1.04,12.5,750,126,4.56,9.47,1169,1023,533,0.0,1.03,1.04,1.05,3.57,3.63,6.21,28.4,1.000
6000,7,157,11.4,0.1,0.0,0.1,11.1,0.0,1.05,16.4,63,153,4.74,9.88,113,44,0,0.0,1.02,1.11,1.05,2.90,4.34,3.62,23.1,1.000
6000,3,117,13.1,0.2,0.7,0.0,12.0,0.0,1.09,14.2,55,98,2.92,6.79,67,33,17,0.0,1.06,1.09,1.12,3.35,4.26,4.78,27.0,1.000
6000,8,49,11.4,0.1,0.5,0.0,10.8,0.0,1.03,14.0,30,221,11.38,14.09,48,1,0,0.0,1.03,1.01,1.05,3.39,2.80,7.29,19.1,1.000
6000,17,34,11.0,0.1,0.0,0.0,10.7,0.0,1.04,13.5,19,167,9.18,12.91,3,31,0,0.0,1.05,1.00,1.09,3.32,2.47,6.76,29.6,1.000
6000,13,6,12.0,0.0,0.0,0.0,12.0,0.0,1.00,12.0,1,95,1.69,5.22,0,6,0,0.0,1.00,1.00,1.00,4.50,2.00,8.00,32.1,1.000
7000,1,3029,19.7,1.7,1.4,0.2,14.9,0.2,1.43,11.8,790,125,4.70,11.61,1346,1142,541,0.2,1.55,1.10,1.56,3.77,3.97,6.28,28.0,1.000
7000,7,124,12.6,0.5,0.0,0.0,11.6,0.0,1.12,15.3,34,161,6.69,9.71,83,18,23,0.0,1.04,1.23,1.11,3.10,5.06,3.60,24.4,1.000
7000,3,93,13.8,0.0,0.3,0.0,13.4,0.0,1.01,11.4,27,152,5.77,10.89,57,36,0,0.0,1.01,1.00,1.01,3.40,4.86,5.71,24.3,1.000
7000,17,28,11.7,0.9,0.0,0.0,9.8,0.0,1.17,12.4,16,260,5.83,16.33,0,26,2,0.0,1.28,1.06,1.18,3.07,3.04,7.07,33.6,1.000
7000,8,24,9.8,0.1,0.2,0.0,9.5,0.0,1.02,15.2,14,109,5.18,8.57,24,0,0,0.0,1.02,1.00,1.02,3.33,2.38,6.00,19.0,1.000
7000,9,10,8.6,0.0,0.0,0.0,8.6,0.0,1.00,17.6,6,144,6.09,7.11,9,1,0,0.0,1.00,1.00,1.00,2.80,1.80,5.50,7.6,1.000
8000,1,3272,16.6,0.6,0.8,0.1,14.5,0.1,1.16,12.7,897,120,4.33,9.84,1413,1262,597,0.1,1.20,1.06,1.20,3.63,3.81,5.94,28.2,1.000
8000,7,79,9.5,0.1,0.0,0.0,9.4,0.0,1.02,17.7,24,139,3.63,8.99,74,5,0,0.0,1.02,1.03,1.02,2.87,4.09,3.18,18.6,1.000
8000,3,79,12.5,0.2,0.2,0.0,11.9,0.0,1.05,13.1,22,108,4.73,7.87,33,46,0,0.0,1.05,1.05,1.04,2.99,4.58,4.92,25.9,1.000
8000,8,35,9.2,0.0,0.1,0.0,9.1,0.0,1.00,14.6,13,83,4.34,5.39,35,0,0,0.0,1.00,1.00,1.00,2.40,2.14,6.60,16.7,1.000
9000,1,3455,18.9,1.6,2.1,0.1,13.5,0.3,1.38,12.9,1017,115,4.28,10.91,1624,1211,620,0.4,1.51,1.10,1.48,3.60,3.95,5.68,27.7,1.000
9000,7,28,7.4,0.4,0.3,0.0,6.2,0.0,1.29,19.7,17,174,3.14,10.54,28,0,0,0.0,1.29,1.29,1.29,2.68,3.61,2.54,19.9,1.000
