step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density
100000,41.92,53,13,0,0,14,0,5.68,10,0.000,1141,6.01,216.46,145.87,118,0,0,0,6.83,6.50,4.50,6,7,8,14.1,89.079,27,1.048
100000,1.99,14,0,0,0,2,0,1.00,26,0.000,1122,1.02,35.70,30.17,118,0,0,0,1.00,1.00,1.00,2,1,2,17.4,28.122,2,0.993
100000,9.84,10,1,1,0,2,1,1.60,22,0.102,949,1.86,32.39,29.72,566,0,0,1,3.00,1.00,1.50,2,8,1,16.6,29.914,4,1.969
100000,7.94,10,0,0,0,4,0,1.00,22,0.000,926,1.89,37.23,39.34,566,0,0,0,1.00,1.00,1.00,2,5,1,16.7,28.978,4,1.986
100000,5.09,4,0,0,0,4,0,1.00,22,0.000,917,1.82,41.93,27.59,599,0,0,0,1.00,1.00,1.00,1,3,2,23.4,36.680,4,1.273
100000,7.93,8,1,0,0,2,0,1.75,24,0.000,917,2.20,42.60,35.19,566,1,1,0,3.00,1.00,1.67,2,8,1,34.1,27.651,3,1.983
100000,35.31,13,8,0,0,2,0,3.75,12,0.000,911,0.20,39.58,20.35,566,1,1,0,4.50,8.00,3.12,4,8,2,32.8,43.455,10,1.962
100000,5.98,4,0,0,0,3,0,1.00,24,0.000,903,2.37,27.78,19.79,566,1,1,0,1.00,1.00,1.00,3,8,1,35.4,30.882,3,1.994
100000,3.97,2,0,0,0,2,0,1.00,26,0.000,898,0.58,28.34,5.84,566,1,1,0,1.00,1.00,1.00,2,8,1,34.1,32.328,2,1.987
100000,2.18,9,0,0,0,2,0,1.00,26,0.000,898,0.87,17.71,33.29,118,1,1,0,1.00,1.00,1.00,1,2,1,29.9,16.698,2,1.090
100000,2.60,12,0,0,0,2,0,1.00,26,0.000,880,1.37,18.03,31.55,599,0,2,0,1.00,1.00,1.00,2,2,1,18.1,16.012,2,1.300
100000,5.85,4,0,0,0,3,0,1.00,24,0.000,870,1.28,48.18,15.45,566,1,1,0,1.00,1.00,1.00,2,8,1,32.8,27.100,3,1.950
