step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density
5000,1,1476,18.6,0.4,0.1,0.3,18.2,0.0,1.12,11.9,637,102,5.71,7.83,613,532,331,0.0,1.13,1.11,1.13,3.76,4.98,5.19,28.2,0.955
6000,1,1807,15.7,0.4,0.2,0.3,16.0,0.0,1.12,12.6,700,99,5.53,7.20,819,656,332,0.0,1.15,1.08,1.14,3.48,4.27,5.45,27.5,0.903
7000,1,1401,13.1,0.4,0.2,0.1,13.9,0.0,1.17,14.8,597,91,4.35,6.41,769,504,128,0.0,1.19,1.11,1.25,3.10,3.90,4.74,24.2,0.851
7000,57,155,88.6,0.0,16.5,0.0,27.8,0.0,1.00,3.4,122,118,8.78,46.22,90,49,16,0.0,1.00,1.00,1.00,6.30,7.15,7.30,23.9,1.998
7000,54,117,86.1,0.0,26.9,0.0,16.2,0.0,1.00,3.7,98,147,9.93,56.74,63,51,3,0.0,1.00,1.00,1.00,6.15,7.28,7.21,24.0,1.997
8000,1,1721,13.0,0.6,0.1,0.3,15.0,0.0,1.21,14.1,594,92,4.65,6.83,1000,583,138,0.0,1.26,1.14,1.26,3.22,3.96,5.03,23.2,0.781
8000,57,100,94.2,0.0,18.4,0.0,28.7,0.0,1.00,2.4,77,158,11.62,56.09,57,35,8,0.0,1.00,1.00,1.00,6.16,7.36,7.51,24.0,1.999
8000,59,28,14.7,3.2,0.0,0.0,11.1,0.0,2.20,13.1,13,132,4.39,8.63,28,0,0,0.0,2.09,1.97,2.79,3.93,2.29,7.39,8.7,0.841
9000,1,1976,11.4,0.5,0.1,0.1,13.8,0.0,1.18,14.8,665,98,4.58,7.49,1076,729,171,0.0,1.22,1.13,1.22,3.13,3.84,4.83,23.6,0.765
9000,57,63,85.0,0.0,16.7,0.0,25.8,0.0,1.00,3.6,51,169,16.14,62.98,25,36,2,0.0,1.00,1.00,1.00,5.79,7.13,7.27,27.5,1.999
10000,1,1647,11.6,0.7,0.0,0.2,13.8,0.0,1.27,15.1,615,98,4.65,6.88,902,596,149,0.0,1.33,1.18,1.30,3.10,3.74,4.78,23.7,0.747
10000,72,365,88.2,0.0,21.8,0.0,22.3,0.0,1.01,2.8,286,145,9.34,59.71,205,126,34,0.0,1.01,1.01,1.01,6.27,7.37,7.41,23.7,2.000
10000,57,41,72.6,0.0,7.9,0.0,28.4,0.0,1.00,6.0,41,212,19.53,56.11,15,16,10,0.0,1.00,1.00,1.00,5.54,6.34,6.93,31.4,1.999
11000,1,1465,11.3,1.0,0.0,0.2,13.0,0.0,1.33,15.3,608,102,5.08,7.20,882,464,119,0.0,1.40,1.23,1.37,3.03,3.91,4.52,22.7,0.752
11000,78,537,17.5,0.2,0.1,1.2,17.4,0.0,1.07,9.3,265,95,4.86,5.72,3,239,295,0.0,1.05,1.06,1.08,3.91,4.33,7.09,42.1,0.947
11000,72,314,87.1,0.2,19.2,0.2,24.0,0.0,1.04,3.5,251,164,12.78,59.93,161,118,35,0.0,1.04,1.03,1.04,6.35,7.21,7.32,24.9,2.000
12000,1,1664,12.4,1.1,0.1,0.2,13.9,0.0,1.34,14.6,629,118,6.09,8.40,1024,556,84,0.0,1.42,1.21,1.41,3.17,4.09,4.72,22.0,0.758
12000,78,558,16.6,0.3,0.0,1.1,16.2,0.0,1.09,10.4,259,97,4.73,6.64,1,185,372,0.0,1.03,1.12,1.10,3.78,4.01,6.85,43.5,0.951
12000,72,272,85.7,0.5,20.1,0.0,21.6,0.1,1.09,2.4,245,210,15.23,67.94,142,93,37,0.2,1.11,1.05,1.10,6.38,7.48,7.51,25.9,2.000
13000,1,2153,11.1,0.9,0.0,0.1,12.7,0.0,1.29,15.1,760,112,5.10,7.93,1239,709,205,0.0,1.39,1.17,1.32,3.10,3.89,4.65,23.2,0.760
13000,78,460,16.0,0.5,0.0,0.9,15.1,0.0,1.13,10.6,192,112,5.35,7.27,0,125,335,0.0,1.06,1.22,1.13,3.55,4.15,6.61,43.9,0.963
13000,72,107,85.0,0.0,23.2,0.0,19.3,0.0,1.00,2.4,96,180,12.53,73.06,77,18,12,0.0,1.00,1.00,1.00,6.36,7.45,7.61,21.5,2.000
14000,1,2178,11.1,0.9,0.1,0.2,12.5,0.0,1.29,15.5,697,123,5.29,8.58,1233,773,172,0.0,1.38,1.16,1.35,3.10,3.88,4.43,23.7,0.759
14000,78,525,17.6,0.3,0.0,1.0,17.0,0.0,1.07,9.6,252,110,5.03,8.07,1,153,371,0.0,1.02,1.13,1.07,3.98,4.62,6.62,43.1,0.968
14000,72,212,89.3,0.0,26.9,0.0,17.7,0.0,1.00,2.4,179,159,12.80,65.01,144,56,12,0.0,1.00,1.00,1.00,6.48,7.42,7.54,20.4,2.000
15000,1,2950,11.6,1.1,0.1,0.2,12.9,0.0,1.34,15.2,782,122,4.58,8.85,1746,973,231,0.0,1.40,1.25,1.41,3.13,3.98,4.47,23.1,0.760
15000,78,346,17.8,0.4,0.0,0.8,16.7,0.0,1.12,10.1,153,115,5.16,7.99,0,115,231,0.0,1.05,1.19,1.13,3.82,4.60,6.45,42.9,0.979
15000,72,116,79.6,0.0,22.7,0.0,17.1,0.0,1.00,2.6,109,302,17.97,100.19,55,46,15,0.0,1.00,1.00,1.00,6.33,7.50,7.47,25.5,2.000
16000,1,3143,11.0,1.0,0.1,0.1,12.4,0.0,1.31,15.6,869,131,4.53,9.48,1798,1052,293,0.0,1.34,1.24,1.35,3.06,3.92,4.32,23.2,0.759
16000,78,256,17.8,0.1,0.0,0.8,17.5,0.0,1.03,9.5,105,138,5.43,9.72,14,91,151,0.0,1.03,1.04,1.03,3.85,4.45,6.90,41.9,0.980
16000,72,91,80.5,0.0,20.5,0.0,19.8,0.0,1.00,2.2,86,215,12.93,78.74,26,41,24,0.0,1.00,1.00,1.00,6.32,7.46,7.54,30.3,2.000
16000,121,12,75.3,0.0,11.1,0.0,26.6,0.0,1.00,2.3,12,556,66.78,176.21,6,6,0,0.0,1.00,1.00,1.00,5.50,7.58,7.75,23.1,2.000
