step,event,lineage,other,size
5000,birth,1,0,496
5000,birth,2,0,15
5000,birth,4,0,11
5000,birth,11,0,18
5000,birth,14,0,10
5000,birth,15,0,187
5000,birth,20,0,42
5000,birth,28,0,1154
6000,split,95,2,9
6000,extinct,11,0,18
6000,extinct,14,0,10
7000,split,116,1,68
7000,split,118,2,235
7000,merge,1,28,561
7000,extinct,4,0,11
7000,extinct,20,0,21
8000,extinct,2,0,15
9000,extinct,15,0,11
9000,extinct,116,0,5
10000,split,165,137,16
10000,extinct,95,0,24
12000,split,182,118,29
13000,split,188,118,722
13000,extinct,165,0,11
13000,extinct,182,0,29
16000,extinct,118,0,43
18000,split,246,28,10
18000,split,248,28,8
19000,extinct,248,0,8
20000,split,262,28,45
20000,split,263,28,686
20000,extinct,246,0,12
22000,split,281,263,33
23000,split,289,262,39
23000,extinct,281,0,33
24000,split,298,263,19
25000,split,303,263,61
25000,split,304,289,50
25000,split,310,289,254
26000,extinct,289,0,15
26000,extinct,298,0,15
28000,split,336,263,35
28000,split,338,318,46
28000,extinct,262,0,22
28000,extinct,303,0,37
29000,extinct,336,0,35
30000,extinct,263,0,33
31000,split,353,310,72
31000,extinct,304,0,24
33000,split,368,310,43
34000,split,382,188,103
34000,split,392,310,8
35000,split,395,188,6
36000,split,412,338,53
36000,extinct,395,0,6
37000,split,427,310,69
37000,extinct,338,0,28
38000,split,436,310,55
38000,split,438,310,13
38000,split,441,310,87
38000,extinct,382,0,13
39000,split,467,310,81
39000,split,470,436,6
39000,extinct,368,0,6
40000,split,478,188,547
40000,split,481,353,9
40000,split,492,450,5
40000,extinct,470,0,6
41000,split,495,310,160
41000,split,496,353,61
41000,split,498,310,17
41000,extinct,436,0,12
41000,extinct,441,0,9
41000,extinct,481,0,9
42000,split,506,441,16
42000,extinct,427,0,50
42000,extinct,498,0,17
43000,split,513,310,29
43000,split,516,507,8
43000,split,520,478,20
43000,extinct,467,0,11
43000,extinct,492,0,25
43000,extinct,506,0,16
44000,split,527,427,37
44000,split,534,427,40
44000,extinct,188,0,47
44000,extinct,392,0,15
44000,extinct,438,0,17
44000,extinct,496,0,10
44000,extinct,516,0,8
45000,split,539,513,124
45000,split,541,513,21
45000,extinct,412,0,17
45000,extinct,513,0,14
45000,extinct,520,0,7
45000,extinct,534,0,40
46000,split,552,495,42
46000,split,557,438,14
46000,extinct,527,0,53
48000,extinct,353,0,5
48000,extinct,552,0,24
48000,extinct,557,0,5
49000,extinct,541,0,11
50000,split,590,539,27
50000,split,591,310,7
50000,split,592,310,8
50000,split,596,541,14
51000,split,611,539,115
51000,split,621,310,48
51000,extinct,592,0,8
51000,extinct,596,0,14
52000,extinct,591,0,6
53000,split,642,495,138
53000,split,644,539,35
54000,split,656,611,46
54000,split,666,596,44
54000,split,667,590,17
54000,extinct,495,0,30
55000,split,673,611,50
55000,extinct,621,0,8
55000,extinct,667,0,17
57000,extinct,642,0,21
58000,split,696,539,7
59000,split,722,590,162
59000,split,723,310,116
59000,extinct,673,0,28
60000,split,732,310,32
60000,split,733,310,162
61000,split,752,644,49
61000,split,757,539,8
61000,split,763,695,405
62000,extinct,732,0,28
63000,extinct,539,0,21
63000,extinct,644,0,7
63000,extinct,696,0,9
63000,extinct,752,0,49
63000,extinct,757,0,8
64000,split,792,656,21
64000,split,796,590,182
64000,extinct,478,0,25
65000,split,809,539,71
65000,extinct,792,0,21
66000,extinct,590,0,39
66000,extinct,656,0,12
66000,extinct,666,0,11
67000,extinct,723,0,11
67000,extinct,763,0,15
68000,split,816,763,380
68000,split,827,722,10
69000,extinct,827,0,10
70000,extinct,611,0,9
70000,extinct,809,0,32
72000,extinct,796,0,22
72000,extinct,816,0,26
