step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density
5000,11,1328,13.9,0.3,0.3,0.2,13.1,0.0,1.09,13.9,609,124,6.75,8.70,564,527,237,0.0,1.09,1.13,1.08,3.34,5.40,3.84,26.8,0.978
5000,4,162,87.8,0.1,40.4,1.9,7.1,0.1,1.02,2.2,108,151,7.77,63.71,76,74,12,0.2,1.03,1.02,1.03,6.28,7.62,7.42,23.9,1.804
5000,2,64,9.0,0.1,0.0,0.0,6.1,0.0,1.06,19.5,39,172,5.03,9.44,29,35,0,0.0,1.06,1.06,1.07,2.80,4.48,3.11,24.7,1.397
5000,55,63,18.5,0.0,0.0,0.0,11.2,0.0,1.01,17.2,39,135,7.87,8.83,14,49,0,0.0,1.01,1.01,1.01,2.57,3.73,3.76,25.6,1.651
5000,17,56,18.5,3.9,0.0,0.2,11.0,0.0,2.29,14.7,42,192,11.44,11.87,56,0,0,0.0,2.20,2.04,2.46,3.34,4.38,4.39,10.9,0.979
5000,15,48,11.8,0.0,0.2,0.0,8.7,0.0,1.00,17.6,15,165,10.17,7.41,43,5,0,0.0,1.00,1.00,1.00,2.38,3.75,3.44,18.4,1.323
5000,79,26,5.5,0.0,0.0,0.0,6.4,0.0,1.00,18.8,7,51,3.07,1.92,26,0,0,0.0,1.00,1.00,1.00,2.42,1.96,4.62,2.1,0.864
5000,30,23,35.8,2.0,5.4,0.0,29.3,0.2,1.44,5.7,21,199,19.40,31.97,7,14,2,0.5,1.50,1.48,1.38,5.83,6.30,7.48,27.6,0.933
5000,16,18,16.5,0.0,0.0,0.0,13.6,0.0,1.00,13.6,13,89,3.47,5.98,18,0,0,0.0,1.00,1.00,1.00,3.28,5.94,3.44,11.9,1.205
5000,10,13,8.4,0.0,0.9,0.0,6.8,0.0,1.00,16.9,10,203,10.04,8.07,9,4,0,0.0,1.00,1.00,1.00,2.85,6.15,2.46,22.9,1.113
