step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std
10000,2227,2.310,0.873,7.81,256614,203009,10,43879,8985,2834564,1216255.6,2640311.2,0.132,0.682,0.076,0.110,73,27.59,24.54,2.75,5.70,4.90,8.89,0.19,1.61,13.60,10.34,0.59,1.43,0.115,0.175,1296,0.020,0.022,0.949,0.000,0.029,556468,440669,5,0.637,0.357,0.034,1713795,0.178,2.393,0.071,23.77,161174,121,0.931,0.366,0.697,17517108,1.73,11.85,0.055,0.467,0.167,6.4,19.6,72.3,153.8,47743,0.182,0.00,0.0040,0.077,360,0.755,0.001,0.786,0.554,3.94,4.87,5.35,0.60,0.169,1.85,1.25,2.02,0.790,0.01082,2.00,271.0115,7925.59,104013.1,140277.1,60.775,139.5157,249.711,547.271,0.982,0.335,20.2,24.103,210.397,885,3328.8,56.80,38.194,129.444,2555.1,93.320,0.135,2.00,6.9878,15561.8,0.6774,0.4076,21.44,1.171,0.283,1.3183,0.0000
20000,2230,2.467,0.649,6.35,169886,147443,1,19790,2649,1713667,624747.6,1320363.6,0.072,0.724,0.075,0.129,119,30.04,24.05,3.02,5.49,4.57,8.84,0.46,2.70,17.76,10.63,0.72,1.46,0.075,0.136,1229,0.091,0.029,0.953,0.000,0.018,205952,148123,4,0.841,0.084,0.095,2222983,0.157,1.837,0.049,23.05,68331,103,0.770,0.379,0.675,8187914,1.77,9.44,0.060,0.437,0.220,7.2,20.7,72.0,123.7,57554,0.220,0.00,0.0016,0.063,292,0.597,0.001,0.740,0.257,4.39,4.99,6.40,0.74,0.222,1.92,1.19,2.11,0.636,0.00811,1.37,120.9068,6220.83,107382.2,140277.1,31.431,61.1399,146.892,302.751,0.981,0.343,17.1,18.083,107.502,678,2129.1,33.34,20.102,55.840,1816.1,40.759,0.135,2.00,6.9049,15398.0,0.5641,0.3428,25.81,1.034,0.153,0.6817,0.0000
30000,3113,1.970,0.708,7.81,274004,219288,7,44408,9418,2353142,1035694.3,2489030.8,0.051,0.681,0.081,0.187,91,19.74,20.69,1.78,4.57,3.44,6.85,0.18,2.02,10.68,8.53,0.36,1.08,0.112,0.194,1449,0.017,0.031,0.950,0.000,0.020,540535,422082,8,0.234,0.503,0.022,1367822,0.153,2.159,0.051,20.85,160274,129,1.058,0.360,0.740,18709604,1.47,14.86,0.027,0.436,0.118,4.2,12.5,53.4,130.6,50056,0.191,0.00,0.0031,0.059,443,0.736,0.001,0.868,0.512,3.26,4.26,4.43,0.38,0.124,1.54,1.15,1.65,0.764,0.00605,2.97,248.7607,7682.56,101166.1,140277.1,79.082,114.5023,235.943,290.228,0.939,0.326,18.9,18.820,206.645,533,1530.0,75.44,13.843,113.098,1854.2,88.158,0.134,2.00,6.4671,20132.1,0.8431,0.4537,16.08,1.121,0.183,1.3183,0.0000
40000,2402,2.275,0.620,10.17,207257,176035,0,29166,2767,1965008,656275.8,1583903.9,0.028,0.702,0.106,0.164,120,25.92,20.00,2.15,5.34,5.49,8.33,0.50,2.98,12.55,8.66,0.46,1.29,0.157,0.190,1530,0.016,0.036,0.935,0.000,0.028,255176,175702,3,0.343,0.217,0.082,1158866,0.175,1.915,0.044,21.58,90783,109,0.806,0.367,0.706,8569869,1.57,12.72,0.060,0.527,0.127,6.7,20.0,58.0,126.0,49697,0.190,0.00,0.0022,0.069,442,0.518,0.001,0.738,0.267,3.70,4.71,5.07,0.48,0.130,1.67,1.18,1.82,0.557,0.00898,2.23,136.6359,6239.06,109322.2,140277.1,29.704,59.0000,167.524,292.718,0.959,0.348,24.7,21.565,105.102,439,1166.9,42.71,15.092,58.165,2228.6,45.971,0.134,2.00,5.8550,14063.6,0.6096,0.3662,20.69,1.199,0.219,0.6817,0.0000
50000,2981,2.077,0.584,11.35,276331,219053,4,50273,6422,2746741,971743.3,2240690.8,0.032,0.738,0.091,0.138,81,23.04,21.00,1.80,5.04,3.61,7.25,0.35,2.58,11.55,9.03,0.39,1.24,0.105,0.165,1578,0.034,0.032,0.938,0.001,0.030,458944,328833,5,0.400,0.130,0.057,1944682,0.143,2.060,0.042,21.24,168118,122,0.816,0.372,0.739,15817291,1.47,14.46,0.046,0.492,0.109,5.3,17.0,55.3,123.6,51597,0.197,0.00,0.0028,0.078,480,0.627,0.001,0.785,0.427,3.38,4.50,4.39,0.40,0.109,1.57,1.14,1.66,0.668,0.00872,4.09,195.0760,6172.47,104624.8,140277.1,72.679,112.7687,217.733,324.722,0.948,0.335,26.9,25.981,204.196,248,596.7,65.16,12.527,117.979,2288.9,80.223,0.135,2.00,6.2032,18491.7,0.7921,0.4240,17.31,1.312,0.409,1.3183,0.0000
60000,2766,2.120,0.567,8.24,225156,191988,0,30080,3303,2008837,667088.3,1680607.4,0.021,0.709,0.105,0.165,116,24.22,20.94,2.08,5.31,3.83,7.11,0.49,2.72,12.77,9.61,0.38,1.16,0.127,0.193,1352,0.029,0.046,0.931,0.000,0.024,269738,184415,3,0.790,0.038,0.074,1795957,0.168,1.882,0.039,21.38,92765,108,0.837,0.371,0.720,9111179,1.54,13.39,0.053,0.460,0.112,7.2,17.4,58.5,123.1,53015,0.202,0.00,0.0019,0.064,441,0.507,0.001,0.739,0.244,3.48,4.60,4.77,0.39,0.113,1.66,1.17,1.75,0.546,0.00849,2.61,143.6270,5986.17,107770.4,140277.1,28.728,57.1965,178.410,293.689,0.958,0.344,22.8,23.470,104.347,292,741.3,43.48,13.939,58.976,2061.8,47.687,0.135,2.00,5.7836,15997.6,0.6257,0.3721,19.17,1.219,0.197,0.6817,0.0000
70000,2956,2.062,0.604,9.36,312669,249397,16,55574,7492,2670563,1008702.5,2500968.8,0.028,0.713,0.123,0.136,82,22.13,18.79,1.67,4.09,3.39,7.20,0.36,2.21,11.97,8.54,0.43,1.23,0.087,0.149,1471,0.040,0.032,0.941,0.000,0.026,532009,409217,7,0.613,0.228,0.102,2360615,0.161,2.118,0.040,19.72,161106,121,0.936,0.384,0.732,19228789,1.42,14.11,0.047,0.464,0.116,5.0,17.4,50.7,102.0,51423,0.196,0.00,0.0028,0.062,544,0.678,0.001,0.816,0.437,3.29,4.37,4.69,0.47,0.133,1.51,1.14,1.60,0.713,0.00784,4.35,231.2293,6847.42,102758.2,140277.1,75.175,112.7815,242.694,310.482,0.922,0.331,24.0,23.188,202.886,227,504.7,34.20,10.030,116.746,2028.3,86.663,0.135,2.00,6.8309,20192.1,0.8702,0.4510,17.40,1.270,0.360,1.3183,0.0000
80000,2463,2.392,0.583,6.90,210406,177924,1,30264,2710,2030486,670181.6,1690177.8,0.020,0.695,0.098,0.188,121,27.91,22.89,2.89,5.01,4.96,9.55,0.46,2.41,15.73,9.15,0.78,1.57,0.085,0.154,1171,0.068,0.049,0.935,0.000,0.017,261507,197140,3,0.277,0.459,0.157,3788283,0.140,1.847,0.042,21.26,76479,107,0.832,0.377,0.707,8367841,1.71,11.69,0.095,0.429,0.210,7.2,17.9,72.9,103.0,59212,0.226,0.00,0.0017,0.062,440,0.504,0.001,0.734,0.271,3.88,4.80,5.46,0.79,0.212,1.87,1.14,2.08,0.542,0.00950,2.64,144.7565,6637.72,107034.2,140277.1,28.962,57.1105,176.144,286.916,0.959,0.341,26.9,23.400,103.926,277,633.5,32.86,13.311,58.820,1760.4,47.882,0.135,2.00,6.6607,16405.2,0.5999,0.3628,24.04,1.070,0.069,0.6817,0.0000
90000,2947,2.210,0.631,6.83,299867,234917,6,57602,6858,2856124,1065120.4,2786259.8,0.026,0.657,0.133,0.184,93,22.80,21.99,2.17,4.83,3.70,8.55,0.47,2.25,13.52,8.94,0.61,1.46,0.067,0.145,1167,0.051,0.044,0.934,0.000,0.022,582045,483258,2,0.581,0.208,0.164,4672887,0.157,2.285,0.044,18.79,147864,125,0.976,0.362,0.743,17012504,1.53,14.01,0.078,0.377,0.161,5.4,15.1,67.7,121.6,58502,0.223,0.00,0.0027,0.049,474,0.659,0.001,0.835,0.506,3.45,4.38,4.69,0.62,0.163,1.66,1.13,1.75,0.691,0.00816,4.37,263.2053,7883.56,101597.8,140277.1,75.173,111.8658,255.515,311.360,0.956,0.326,22.8,24.037,203.430,195,440.8,59.41,8.734,117.652,1572.3,93.931,0.135,2.00,6.9416,20457.0,0.7660,0.4337,19.85,1.068,0.058,1.3183,0.0000
100000,2478,2.313,0.581,6.44,217457,182338,0,32953,2635,2038936,675059.1,1743635.6,0.018,0.675,0.109,0.197,127,26.54,23.43,2.85,5.74,4.74,9.55,0.62,2.74,14.89,9.56,0.77,1.58,0.082,0.162,1177,0.050,0.038,0.940,0.000,0.022,274617,216047,4,0.620,0.003,0.256,6126480,0.138,1.927,0.042,20.48,75482,110,0.855,0.367,0.739,8207407,1.71,12.21,0.088,0.434,0.205,6.4,16.8,72.9,126.7,57235,0.218,0.00,0.0018,0.059,490,0.491,0.001,0.734,0.283,3.89,4.89,5.09,0.78,0.208,1.87,1.16,2.02,0.528,0.00935,2.61,150.5649,6678.97,107026.4,140277.1,28.961,57.4893,179.954,296.560,0.966,0.343,27.1,23.168,104.198,239,589.6,35.45,12.542,59.633,1811.3,49.278,0.134,2.00,6.7198,16651.6,0.6392,0.3657,23.10,1.059,0.052,0.6817,0.0000
