step,event,lineage,other,size
5000,birth,1,0,28
5000,birth,3,0,3977
7000,split,86,3,209
7000,extinct,1,0,20
8000,split,100,1,5
9000,split,113,3,24
9000,split,114,3,9
9000,split,118,3,13
9000,split,127,3,12
9000,extinct,100,0,5
10000,extinct,113,0,24
10000,extinct,114,0,9
10000,extinct,127,0,12
11000,extinct,118,0,13
17000,split,208,86,205
25000,split,258,3,42
27000,extinct,258,0,42
29000,extinct,86,0,13
32000,split,301,3,12
34000,extinct,301,0,12
46000,split,343,3,62
48000,split,348,3,40
49000,split,358,3,11
50000,extinct,343,0,15
50000,extinct,358,0,11
51000,extinct,348,0,15
52000,split,387,3,18
53000,extinct,387,0,18
67000,split,438,3,41
70000,split,458,3,13
70000,extinct,438,0,17
71000,extinct,458,0,13
81000,split,512,3,28
83000,extinct,512,0,13
88000,split,533,3,70
88000,split,534,208,36
91000,extinct,533,0,6
91000,extinct,534,0,6
126000,split,634,3,34
128000,extinct,634,0,7
187000,split,797,3,26
189000,extinct,797,0,26
208000,split,858,3,27
210000,extinct,858,0,27
227000,split,913,3,71
228000,split,917,3,22
229000,extinct,917,0,22
233000,extinct,913,0,7
266000,split,1018,3,23
268000,extinct,1018,0,23
291000,split,1073,3,46
293000,extinct,1073,0,43
349000,split,1205,3,25
351000,extinct,1205,0,8
371000,split,1254,1250,26
373000,extinct,1254,0,5
390000,split,1303,3,38
391000,split,1308,3,11
392000,extinct,1303,0,14
392000,extinct,1308,0,11
431000,split,1383,1377,17
432000,extinct,1383,0,17
447000,split,1403,208,47
448000,extinct,208,0,9
466000,extinct,1403,0,15
468000,split,1453,3,8
469000,extinct,1453,0,8
487000,split,1498,3,43
490000,extinct,1498,0,17
