step,event,lineage,other,size
5000,birth,1,0,32
5000,birth,2,0,150
5000,birth,3,0,1779
5000,birth,8,0,249
5000,birth,13,0,64
5000,birth,19,0,47
5000,birth,23,0,325
5000,birth,38,0,16
5000,birth,49,0,63
5000,birth,52,0,92
5000,birth,53,0,47
5000,birth,78,0,86
6000,split,98,1,79
6000,split,101,1,403
6000,split,102,1,167
6000,split,103,2,28
6000,split,106,1,203
6000,split,107,2,487
6000,split,108,13,141
6000,split,119,1,23
6000,split,128,2,16
6000,split,133,1,8
6000,split,134,2,13
7000,split,184,103,24
7000,split,197,103,73
7000,extinct,1,0,53
7000,extinct,19,0,47
7000,extinct,128,0,16
7000,extinct,133,0,8
8000,split,219,102,61
8000,split,221,8,35
8000,split,224,3,153
8000,split,231,3,33
8000,split,246,2,46
8000,extinct,13,0,19
8000,extinct,119,0,35
8000,extinct,134,0,9
9000,split,264,2,64
9000,split,269,3,129
9000,split,270,2,5
9000,split,271,133,29
9000,extinct,38,0,6
9000,extinct,53,0,14
9000,extinct,78,0,37
9000,extinct,101,0,79
9000,extinct,103,0,6
9000,extinct,106,0,17
9000,extinct,221,0,35
10000,split,304,3,87
10000,split,313,3,9
10000,split,314,103,47
10000,split,317,103,31
10000,split,320,184,104
10000,extinct,98,0,82
10000,extinct,108,0,45
10000,extinct,184,0,28
10000,extinct,197,0,7
10000,extinct,270,0,5
11000,split,357,3,864
11000,split,359,8,138
11000,split,366,23,62
11000,extinct,102,0,6
11000,extinct,219,0,25
11000,extinct,224,0,9
11000,extinct,231,0,35
11000,extinct,269,0,22
11000,extinct,271,0,29
12000,split,409,357,89
12000,split,412,107,92
12000,extinct,2,0,38
12000,extinct,52,0,17
12000,extinct,246,0,18
12000,extinct,304,0,9
12000,extinct,317,0,15
13000,split,459,304,31
13000,extinct,23,0,80
13000,extinct,264,0,14
13000,extinct,314,0,14
13000,extinct,320,0,15
13000,extinct,359,0,59
13000,extinct,366,0,6
14000,split,499,49,184
14000,extinct,49,0,46
14000,extinct,313,0,35
15000,extinct,107,0,15
15000,extinct,459,0,28
16000,split,592,412,10
16000,extinct,499,0,65
17000,split,608,49,7
17000,split,610,582,66
17000,extinct,409,0,27
17000,extinct,412,0,7
17000,extinct,592,0,10
18000,split,632,3,103
18000,split,633,3,29
18000,split,636,499,206
18000,split,647,499,384
18000,extinct,608,0,7
19000,extinct,633,0,29
20000,split,673,357,149
20000,split,676,633,19
20000,split,677,357,32
21000,split,701,357,12
21000,split,704,610,106
21000,split,709,632,95
22000,split,731,704,9
22000,extinct,676,0,19
23000,split,757,3,628
23000,split,760,704,34
23000,split,763,3,9
23000,split,775,3,8
23000,extinct,610,0,11
23000,extinct,701,0,6
24000,split,787,647,59
24000,split,791,760,169
24000,split,806,8,62
24000,extinct,647,0,67
24000,extinct,731,0,9
25000,split,808,357,156
25000,split,809,757,31
25000,split,818,8,239
25000,split,823,8,15
25000,extinct,8,0,16
25000,extinct,677,0,50
25000,extinct,704,0,11
25000,extinct,709,0,33
25000,extinct,757,0,628
26000,split,832,8,37
26000,extinct,632,0,11
26000,extinct,636,0,12
26000,extinct,673,0,21
26000,extinct,763,0,18
26000,extinct,775,0,15
26000,extinct,787,0,44
26000,extinct,809,0,31
27000,split,862,632,188
27000,split,865,791,34
27000,split,870,636,191
28000,extinct,806,0,9
28000,extinct,823,0,10
29000,split,916,818,47
29000,split,920,791,320
29000,extinct,760,0,14
29000,extinct,865,0,22
30000,split,939,870,138
