step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,2987,4.05,357.33,260.62,95,1,1,0,1.00,1.00,1.00,8,8,8,29.9,215.064,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,2851,4.50,435.18,84.04,95,1,1,0,1.00,1.00,1.00,8,8,8,32.4,205.272,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,2826,2.18,295.21,79.10,95,1,1,0,1.00,1.00,1.00,8,8,8,29.5,203.472,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,2744,2.95,450.55,168.12,95,0,0,0,1.00,1.00,1.00,8,8,8,14.0,197.568,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,2659,3.92,281.28,60.14,95,0,0,0,1.00,1.00,1.00,8,8,8,13.5,191.448,20,1.567,0.588
100000,50.04,31,0,0,0,31,0,1.00,0,0.000,2654,4.43,360.53,135.41,95,1,1,0,1.00,1.00,1.00,8,8,8,33.3,249.476,31,1.614,0.485
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,2620,5.01,395.38,101.42,95,0,1,0,1.00,1.00,1.00,8,8,8,25.0,188.640,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,2500,4.24,209.79,144.84,95,0,0,0,1.00,1.00,1.00,8,8,8,22.1,180.000,20,1.567,0.588
100000,28.36,18,0,0,0,18,0,1.00,4,0.000,2387,3.54,247.91,86.31,95,1,1,0,1.00,1.00,1.00,7,8,8,26.0,162.316,18,1.576,0.628
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,2259,4.47,279.20,118.28,95,1,1,0,1.00,1.00,1.00,8,8,8,35.0,162.648,20,1.416,0.521
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,2257,2.20,339.19,153.34,95,0,0,0,1.00,1.00,1.00,8,8,8,15.3,162.504,20,1.567,0.588
100000,25.21,18,0,0,0,16,0,1.00,6,0.000,2256,4.33,205.82,125.64,95,0,0,0,1.00,1.00,1.00,6,8,8,16.5,140.403,16,1.576,0.628
100000,22.40,20,0,0,0,20,0,1.00,8,0.000,2175,3.20,445.08,101.55,95,0,0,0,1.00,1.00,1.00,8,8,8,17.3,156.600,20,1.120,0.461
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,2166,2.81,327.94,88.00,95,0,0,0,1.00,1.00,1.00,8,8,8,22.0,155.952,20,1.416,0.521
100000,19.91,14,0,0,0,14,0,1.00,8,0.000,2153,2.02,202.45,75.84,95,0,0,0,1.00,1.00,1.00,7,8,8,11.6,129.180,14,1.422,0.529
100000,22.40,20,0,0,0,20,0,1.00,8,0.000,2152,3.58,362.29,104.03,95,0,0,0,1.00,1.00,1.00,8,8,8,20.4,154.944,20,1.120,0.461
100000,16.13,14,0,0,0,11,0,1.00,10,0.000,2086,2.78,210.02,63.55,95,0,1,0,1.00,1.00,1.00,3,8,3,25.4,103.473,11,1.466,0.470
100000,29.89,20,0,0,0,20,0,1.00,8,0.000,2079,4.07,272.28,150.92,95,1,1,0,1.00,1.00,1.00,8,8,8,31.9,149.688,20,1.495,0.570
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,2033,2.76,270.68,120.41,95,0,0,0,1.00,1.00,1.00,8,8,8,17.7,146.376,20,1.567,0.588
100000,17.59,14,0,0,0,12,0,1.00,8,0.000,1989,2.47,116.95,61.38,95,1,1,0,1.00,1.00,1.00,7,8,8,26.5,104.825,12,1.466,0.470
100000,29.12,26,0,0,0,26,0,1.00,0,0.000,1986,3.00,222.27,109.02,95,0,0,0,1.00,1.00,1.00,9,8,8,24.0,166.824,26,1.120,0.461
100000,29.89,20,0,0,0,20,0,1.00,8,0.000,1961,2.41,234.87,96.30,95,1,1,0,1.00,1.00,1.00,8,8,8,34.5,141.192,20,1.495,0.570
100000,22.40,20,0,0,0,20,0,1.00,8,0.000,1931,4.06,242.70,75.45,95,0,0,0,1.00,1.00,1.00,8,8,8,14.9,139.032,20,1.120,0.461
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1921,3.39,217.96,86.94,95,1,0,0,1.00,1.00,1.00,8,8,8,27.3,138.312,20,1.567,0.588
100000,29.89,20,0,0,0,20,0,1.00,8,0.000,1895,3.12,176.31,110.74,95,1,1,0,1.00,1.00,1.00,8,8,8,33.7,136.440,20,1.495,0.570
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1892,2.62,200.90,97.70,95,1,2,0,1.00,1.00,1.00,8,8,8,30.9,136.224,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1880,4.92,176.78,157.23,95,1,1,0,1.00,1.00,1.00,8,8,8,32.9,135.360,20,1.567,0.588
100000,13.37,8,0,0,0,8,0,1.00,18,0.000,1866,0.29,57.22,44.27,95,0,0,0,1.00,1.00,1.00,4,8,8,20.1,89.568,8,1.671,0.515
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1856,3.33,267.15,88.48,95,0,0,0,1.00,1.00,1.00,8,8,8,24.3,133.632,20,1.416,0.521
100000,14.42,9,0,0,0,9,0,1.00,16,0.000,1846,3.34,107.54,45.89,95,1,1,0,1.00,1.00,1.00,7,8,8,34.9,92.300,9,1.603,0.585
100000,20.53,14,0,0,0,14,0,1.00,8,0.000,1832,3.87,136.39,48.95,95,1,1,0,1.00,1.00,1.00,5,8,8,29.6,109.920,14,1.466,0.470
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1825,3.25,149.31,84.98,95,0,0,0,1.00,1.00,1.00,8,8,8,23.0,131.400,20,1.416,0.521
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1803,3.77,284.88,125.85,95,1,1,0,1.00,1.00,1.00,8,8,8,31.5,129.816,20,1.416,0.521
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1764,5.01,229.32,80.69,95,0,0,0,1.00,1.00,1.00,8,8,8,5.7,127.008,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1763,2.87,178.35,103.20,95,0,0,0,1.00,1.00,1.00,8,8,8,16.3,126.936,20,1.567,0.588
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1725,4.57,288.86,58.96,95,1,2,0,1.00,1.00,1.00,8,8,8,33.9,124.200,20,1.416,0.521
