step,event,lineage,other,size
5000,birth,1,0,106
5000,birth,2,0,184
5000,birth,3,0,33
5000,birth,6,0,147
5000,birth,8,0,14
5000,birth,9,0,8
5000,birth,10,0,180
5000,birth,12,0,233
6000,split,21,1,192
6000,merge,1,2,106
6000,extinct,9,0,8
7000,birth,20,0,35
7000,extinct,8,0,14
8000,split,28,3,9
8000,split,29,21,200
8000,merge,2,10,73
8000,extinct,6,0,12
9000,split,35,3,7
9000,extinct,20,0,13
10000,split,38,21,66
11000,split,43,21,10
11000,extinct,3,0,20
11000,merge,10,80,39
11000,extinct,28,0,9
11000,extinct,35,0,7
12000,split,56,21,7
13000,split,69,43,49
13000,split,72,10,52
13000,extinct,56,0,7
14000,extinct,43,0,6
15000,split,80,29,95
15000,extinct,21,0,6
15000,extinct,38,0,6
16000,split,92,12,7
16000,extinct,29,0,32
16000,extinct,69,0,11
18000,split,106,69,43
18000,split,110,89,167
18000,extinct,92,0,7
19000,split,111,12,43
19000,split,114,12,14
19000,extinct,12,0,15
20000,extinct,72,0,9
21000,extinct,114,0,14
22000,split,126,110,111
22000,split,128,110,6
23000,split,137,126,9
23000,split,143,128,22
24000,split,146,110,10
24000,extinct,137,0,9
25000,extinct,143,0,7
25000,extinct,146,0,10
26000,split,158,110,18
27000,split,129,110,78
27000,split,166,126,25
27000,split,167,110,45
27000,split,172,137,8
27000,extinct,111,0,6
28000,extinct,106,0,11
29000,extinct,158,0,18
30000,split,191,110,15
30000,split,194,110,21
31000,split,198,110,12
31000,extinct,166,0,23
31000,extinct,167,0,14
32000,split,210,80,26
32000,split,211,126,11
32000,split,213,110,38
32000,extinct,128,0,11
32000,extinct,129,0,29
32000,extinct,172,0,16
32000,extinct,194,0,21
32000,extinct,198,0,12
33000,extinct,191,0,15
33000,extinct,211,0,11
34000,split,200,110,29
34000,split,229,110,5
34000,split,233,129,7
34000,split,240,126,29
34000,extinct,80,0,6
35000,extinct,213,0,38
35000,extinct,233,0,7
36000,extinct,240,0,7
37000,extinct,200,0,10
38000,split,264,110,36
38000,split,265,110,128
38000,extinct,126,0,15
40000,split,274,110,35
41000,extinct,229,0,19
42000,split,280,110,85
43000,split,286,279,9
44000,split,287,265,59
44000,extinct,210,0,49
45000,split,279,110,69
46000,split,301,110,6
46000,split,306,265,5
46000,split,307,293,8
46000,extinct,286,0,22
47000,split,308,294,5
47000,split,311,110,31
47000,split,313,280,22
47000,extinct,265,0,8
47000,extinct,274,0,7
47000,extinct,301,0,6
47000,extinct,306,0,5
48000,split,316,110,103
48000,extinct,307,0,12
49000,extinct,311,0,17
50000,split,335,110,27
50000,split,338,110,67
51000,extinct,308,0,8
51000,extinct,313,0,9
51000,extinct,316,0,22
52000,split,350,110,5
52000,split,352,110,6
52000,extinct,264,0,9
52000,extinct,279,0,5
53000,split,360,110,15
53000,extinct,287,0,26
53000,extinct,350,0,5
53000,extinct,352,0,6
54000,extinct,338,0,8
54000,extinct,360,0,15
55000,split,371,110,239
55000,split,372,280,12
55000,split,375,352,48
55000,extinct,335,0,12
56000,extinct,280,0,7
56000,extinct,372,0,12
57000,split,390,110,55
61000,split,411,390,5
62000,extinct,411,0,5
63000,split,423,390,54
63000,split,424,408,102
64000,split,433,110,232
65000,split,445,390,34
66000,split,453,424,36
66000,extinct,375,0,16
66000,extinct,390,0,14
67000,split,461,390,130
67000,extinct,423,0,12
67000,extinct,453,0,36
68000,split,464,424,53
68000,merge,110,433,94
69000,split,478,424,206
69000,split,486,371,21
70000,split,491,371,14
70000,extinct,424,0,21
72000,split,506,371,7
72000,extinct,478,0,41
72000,extinct,486,0,11
73000,split,513,433,5
73000,extinct,464,0,8
73000,extinct,491,0,12
73000,extinct,506,0,7
74000,split,532,433,19
74000,extinct,513,0,5
75000,split,543,478,46
76000,split,548,433,124
76000,split,551,531,5
76000,extinct,445,0,22
76000,extinct,461,0,22
77000,extinct,371,0,6
77000,extinct,551,0,5
78000,split,530,461,5
78000,split,559,371,7
78000,split,560,461,219
79000,split,563,548,22
79000,extinct,532,0,6
