step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,611,17.44,0.35,0.82,0.15,15.26,0.00,1.08,0.002,0.116,336765.3,205267.0,10,24,4.34,1.06,1.10,51.8162,1902.35,94721.6,0.1056,7.6211,5462,1.4250,240,64.7097,410753.3
10000,1,454,20.13,0.12,0.52,0.87,17.60,0.00,1.04,0.000,0.099,325209.2,187207.1,11,13,4.38,1.02,1.04,48.9596,1688.47,20002.2,9.7831,8.2729,5461,1.4247,299,54.1536,372396.1
10000,2,23,27.05,0.65,0.22,0.57,23.13,0.00,1.22,0.000,0.006,105336.3,48345.2,4,10,5.39,1.18,1.18,14.7727,189.15,63.7,53.7214,5.3332,5461,1.4247,525,10.5203,61105.2
20000,0,414,21.36,0.24,1.33,0.15,20.90,0.00,1.04,0.000,0.108,163360.6,87813.6,3,16,5.90,1.02,1.06,23.5303,1381.58,96167.1,0.0000,7.0025,5462,0.8308,300,29.5428,177549.4
20000,1,386,18.62,0.63,0.51,0.04,19.18,0.00,1.12,0.000,0.089,141229.3,70580.5,2,19,5.69,1.12,1.14,19.4489,1344.89,19756.1,5.0548,6.5017,5461,0.8306,323,26.7684,149524.1
20000,2,50,20.40,0.00,0.00,0.00,23.48,0.00,1.00,0.000,0.013,19954.7,4643.0,1,22,5.90,1.00,1.00,2.7056,371.05,159.6,32.3587,2.4547,5461,0.8306,683,1.2461,5915.2
30000,0,546,18.64,0.34,0.58,0.23,15.96,0.00,1.07,0.000,0.106,308530.7,199345.2,1,23,5.53,1.04,1.09,48.0077,1682.01,93592.1,0.0000,6.0677,5462,0.8765,221,64.6396,423140.3
30000,1,466,19.23,0.09,0.85,0.15,17.57,0.00,1.02,0.000,0.100,285762.8,180019.8,1,13,5.77,1.02,1.03,42.9970,1625.41,17131.2,15.6279,6.6816,5461,0.8763,372,54.8722,379464.7
30000,2,52,15.32,0.00,0.23,0.00,16.06,0.00,1.00,0.000,0.009,37767.2,11546.5,1,6,3.67,1.00,1.00,4.8930,238.34,98.7,59.9268,4.1721,5461,0.8763,442,2.3154,14666.0
40000,0,601,16.30,0.13,0.23,0.03,15.31,0.00,1.03,0.002,0.109,171700.7,89884.9,3,20,4.67,1.02,1.03,25.3915,1674.44,96867.1,0.0000,6.3288,5462,0.6480,204,30.4931,190970.5
40000,1,531,16.86,0.11,0.36,0.08,16.01,0.00,1.02,0.000,0.100,157260.2,82424.7,2,22,4.95,1.00,1.03,22.8569,1347.97,18790.9,5.3509,6.0097,5461,0.6479,278,28.1750,174238.4
40000,2,66,14.96,0.03,0.30,0.21,15.98,0.00,1.00,0.000,0.013,20220.3,5319.4,1,14,3.94,1.00,1.00,2.6130,158.11,105.6,31.0202,2.3841,5461,0.6479,454,1.0945,6293.5
50000,0,515,20.67,0.33,0.62,0.48,18.37,0.00,1.04,0.000,0.116,335581.0,223634.6,1,20,5.84,1.03,1.05,55.9344,1848.56,91778.0,0.0000,6.0745,5462,0.6829,266,64.3781,463754.0
