step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max
10000,2530,2.097,1.209,25.74,531264,451859,0,50866,26640,2588452,1033590.6,2649587.2,0.118,0.672,0.100,0.110,22,23.13,15.42,0.35,1.73,2.68,3.69,0.01,0.29,8.21,7.49,0.02,0.22,0.127,0.137,1229,0.149,0.009,0.964,0.003,0.023,729649,583080,3,0.563,0.419,0.004,295750,0.218,2.408,0.110,18.53,329426,103,1.024,0.445,0.644,34706528,1.11,45.62,0.000,0.445,0.007,8.0,20.0,40.0,138.7,28496,0.109,0.00,0.0050,0.077,241,0.759,0.001,0.912,0.277,4.05,12.98,4.20,0.03,0.015,1.10,1.16,1.11,0.808,0.00599,3.14,270.3918,6159.25,90193.4,137183.3,60.806,145.9206,299.423,551.224,0.961,0.270,10.5,15.143,207.602,1817,9305.7,34.55,32.324,133.517,3709.1,82.438,0.135,2.00,8.1829,20702.6,1.1485,0.5404,11.26,1.995,0.033,1.3183,0.0000,0.020,0.053,0.001,0.0000,16.00,0.00,4,10,19,75
20000,2357,2.067,0.930,23.48,102811,96376,4,3723,2881,440966,477095.9,605453.0,0.060,0.864,0.045,0.031,53,23.91,16.54,0.18,1.25,2.48,3.97,0.03,0.89,9.69,9.41,0.02,0.30,0.116,0.136,1082,0.143,0.016,0.952,0.003,0.029,110858,69439,7,0.739,0.116,0.002,19868,0.128,2.070,0.077,18.84,68373,120,1.373,0.450,0.571,9849229,1.06,44.69,0.000,0.370,0.006,10.0,18.8,43.6,180.1,29168,0.111,0.00,0.0021,0.094,223,0.685,0.000,0.675,0.141,4.08,11.34,4.78,0.03,0.012,1.06,1.07,1.06,0.707,0.00398,1.13,75.9506,4989.56,98940.4,137183.3,34.306,67.7506,90.732,230.445,0.972,0.291,11.8,9.372,106.103,1460,5894.3,21.12,17.834,57.405,3717.8,29.053,0.133,2.01,7.2092,16992.0,1.0145,0.5472,12.38,1.945,0.119,0.6817,0.0000,0.093,0.144,0.011,0.0000,16.00,0.00,5,10,23,120
30000,3636,2.252,0.801,26.80,218904,205317,470,5051,6787,512845,835488.8,1812721.1,0.029,0.927,0.026,0.018,23,23.41,12.50,0.11,1.07,0.75,2.09,0.01,0.49,10.91,6.67,0.00,0.09,0.040,0.094,993,0.118,0.007,0.965,0.001,0.026,358838,262329,19,0.205,0.378,0.001,47734,0.144,2.517,0.060,20.65,222227,121,3.535,0.520,0.838,44217358,1.03,45.12,0.000,0.228,0.001,12.0,20.0,36.0,163.2,42841,0.163,0.00,0.0021,0.032,201,0.918,0.000,0.859,0.402,4.34,13.99,3.19,0.01,0.002,1.03,1.03,1.03,0.925,0.00209,2.59,235.0644,8138.00,48496.3,137183.3,106.926,93.8343,225.195,234.988,0.902,0.157,6.5,7.594,206.987,1065,3380.9,67.61,17.391,85.821,1090.5,70.163,0.134,2.00,18.0588,65661.9,1.9292,0.7128,11.78,1.982,0.064,1.3183,0.0000,0.055,0.084,0.001,0.0000,16.00,0.00,6,10,18,97
40000,2877,2.054,0.845,28.02,124121,118646,145,2898,3191,365275,530088.5,888988.8,0.104,0.826,0.050,0.020,46,22.39,11.61,0.07,0.80,2.53,3.42,0.00,0.04,8.63,5.61,0.01,0.21,0.107,0.107,1015,0.261,0.013,0.967,0.001,0.020,144337,97577,2,0.919,0.042,0.001,47166,0.184,1.939,0.067,19.71,91200,126,2.434,0.459,0.614,16730992,1.03,45.57,0.000,0.302,0.001,12.0,22.0,34.0,150.8,32341,0.123,0.00,0.0021,0.082,250,0.816,0.000,0.779,0.195,4.10,14.24,2.72,0.01,0.003,1.03,1.03,1.02,0.828,0.00286,1.30,117.2972,6381.93,89411.0,137183.3,37.931,68.3222,122.319,215.544,0.960,0.273,9.4,8.225,106.969,1232,4333.8,34.04,16.840,52.750,2459.3,34.418,0.135,2.00,9.2876,26720.5,1.1788,0.6064,11.24,1.989,0.048,0.6817,0.0000,0.089,0.094,0.006,0.0000,16.00,0.00,6,11,17,81
50000,3643,2.194,0.754,27.68,210259,200133,520,3266,5574,409176,835221.5,1788733.5,0.107,0.731,0.150,0.012,22,22.51,8.97,0.05,0.59,0.79,2.10,0.00,0.00,10.47,4.55,0.00,0.00,0.032,0.077,966,0.121,0.006,0.976,0.001,0.018,334721,239144,16,0.255,0.606,0.000,13439,0.283,2.410,0.057,19.80,219394,148,4.372,0.470,0.850,36343209,1.02,45.06,0.000,0.208,0.000,14.0,22.0,32.0,116.0,41236,0.157,0.00,0.0022,0.037,192,0.913,0.000,0.954,0.385,4.36,14.19,2.79,0.00,0.001,1.02,1.02,1.01,0.920,0.00187,2.57,240.8388,7664.31,44974.7,137183.3,109.994,92.1743,232.506,223.646,0.855,0.146,6.4,6.809,207.573,1111,3300.3,65.80,15.914,83.629,840.2,71.344,0.134,2.00,19.2723,70209.1,2.0733,0.7395,11.32,1.987,0.048,1.3183,0.0000,0.120,0.128,0.017,0.0000,16.00,0.00,7,11,16,58
60000,2955,2.252,0.769,26.42,123700,117687,154,2084,4463,329724,543731.8,934484.8,0.151,0.706,0.124,0.020,45,25.93,11.23,0.03,0.65,2.47,3.08,0.00,0.00,10.53,5.23,0.00,0.02,0.090,0.094,1143,0.235,0.018,0.964,0.001,0.018,144252,103453,2,0.916,0.049,0.000,24237,0.257,1.823,0.059,18.86,92846,132,2.834,0.440,0.637,14930723,1.00,42.85,0.000,0.300,0.000,12.0,28.0,36.0,146.0,38469,0.147,0.00,0.0017,0.075,267,0.824,0.000,0.877,0.196,4.56,14.29,2.73,0.00,0.001,1.00,1.00,1.01,0.837,0.00251,1.25,125.3746,6015.65,83642.4,137183.3,38.885,68.0006,128.685,215.684,0.952,0.258,9.0,7.415,107.332,1172,4231.3,35.77,15.927,52.686,1750.8,36.716,0.134,2.00,11.0801,32741.6,1.1416,0.6287,13.02,1.992,0.043,0.6817,0.0000,0.076,0.081,0.004,0.0000,16.00,0.00,6,14,18,53
70000,3490,2.254,0.799,26.41,199689,185329,524,3077,10224,415542,846657.9,1739086.1,0.098,0.767,0.119,0.016,24,23.55,10.93,0.02,0.52,1.27,2.81,0.01,0.21,10.60,5.41,0.00,0.05,0.046,0.084,1073,0.117,0.007,0.968,0.000,0.025,328404,256061,7,0.864,0.105,0.001,28640,0.305,2.505,0.061,19.87,210715,113,4.185,0.532,0.835,34952452,1.01,44.07,0.000,0.244,0.001,12.0,24.0,34.0,150.0,41508,0.158,0.00,0.0023,0.048,202,0.916,0.000,0.934,0.405,4.37,14.16,2.83,0.00,0.001,1.01,1.01,1.01,0.923,0.00202,2.55,237.2383,7678.13,51314.7,137183.3,108.812,94.3306,223.956,218.945,0.893,0.166,6.9,7.063,207.826,1104,3814.1,76.80,15.893,84.757,1085.4,71.887,0.134,2.01,18.1239,63252.5,1.8581,0.7167,11.89,1.989,0.053,1.3183,0.0000,0.078,0.085,0.002,0.0000,16.00,0.00,6,12,17,82
80000,2895,2.290,0.795,26.61,118256,112062,101,2063,4625,346113,544911.6,870343.5,0.141,0.735,0.104,0.020,48,26.20,11.02,0.02,0.37,2.66,3.19,0.00,0.00,10.44,5.01,0.00,0.00,0.094,0.096,1145,0.271,0.017,0.962,0.001,0.020,134530,98604,2,0.962,0.020,0.000,35872,0.315,1.855,0.067,19.17,87119,117,2.515,0.492,0.625,14276000,1.01,42.65,0.000,0.308,0.000,12.0,28.0,36.0,95.8,37989,0.145,0.00,0.0018,0.074,217,0.815,0.000,0.846,0.175,4.57,14.52,2.63,0.00,0.001,1.00,1.01,1.01,0.829,0.00272,1.26,118.0943,5375.06,84711.1,137183.3,37.816,68.0732,123.328,220.355,0.957,0.260,9.4,7.881,107.319,1300,5047.4,24.77,16.269,53.440,2035.0,36.412,0.135,2.00,10.8077,31288.2,1.1132,0.5943,13.12,1.996,0.028,0.6817,0.0000,0.071,0.071,0.004,0.0000,16.00,0.00,6,14,18,47
90000,3388,2.347,0.805,26.31,195990,182240,517,2900,9840,410170,841504.1,1707058.6,0.100,0.771,0.115,0.015,25,23.66,9.48,0.03,0.53,1.10,2.04,0.01,0.44,10.79,4.98,0.00,0.06,0.043,0.079,1052,0.129,0.006,0.969,0.001,0.024,321821,254451,5,0.796,0.127,0.001,19898,0.272,2.548,0.058,19.78,202348,115,4.162,0.522,0.840,34639429,1.01,43.97,0.000,0.227,0.001,12.0,24.0,34.0,134.9,40438,0.154,0.00,0.0023,0.038,158,0.917,0.000,0.940,0.403,4.41,14.05,2.92,0.00,0.001,1.01,1.02,1.01,0.924,0.00204,2.52,233.1281,8338.43,50788.4,137183.3,109.225,93.9400,220.541,221.490,0.878,0.165,5.8,6.917,207.622,1052,3310.6,51.84,16.161,84.472,1000.1,71.150,0.134,2.00,18.7836,63638.8,1.8847,0.7108,11.94,1.988,0.050,1.3183,0.0000,0.092,0.101,0.007,0.0000,16.00,0.00,6,12,17,78
100000,3040,2.259,0.743,26.30,119321,113148,118,1893,4510,348741,542505.6,890373.7,0.138,0.730,0.108,0.024,48,26.50,11.51,0.04,1.16,2.71,3.21,0.00,0.02,10.54,5.22,0.00,0.02,0.097,0.097,1258,0.273,0.016,0.965,0.001,0.018,137322,97768,2,0.935,0.025,0.000,49276,0.266,1.858,0.059,18.88,87392,121,2.553,0.483,0.646,14509122,1.01,42.62,0.000,0.323,0.000,14.0,28.0,36.0,228.0,40401,0.154,0.00,0.0017,0.083,250,0.823,0.000,0.845,0.185,4.54,14.19,2.77,0.00,0.001,1.01,1.02,1.01,0.837,0.00249,1.27,119.8864,6116.97,83258.3,137183.3,38.466,67.6273,124.437,216.000,0.962,0.256,8.6,7.576,107.199,1093,3835.6,34.18,15.964,53.072,1664.7,36.435,0.135,2.00,10.9432,33267.3,1.1042,0.5930,13.29,1.991,0.042,0.6817,0.0000,0.077,0.082,0.003,0.0000,16.00,0.00,7,14,18,58
