step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,1283,19.14,0.50,2.48,0.50,9.36,0.00,1.14,0.002,0.189,482668.6,957590.2,7,89,2.99,1.08,1.20,97.7380,3282.63,89512.1,0.1873,4.2745,5462,5.4022,156,71.4054,415775.3
10000,1,1072,19.44,0.70,2.16,0.57,10.13,0.01,1.23,0.006,0.166,421429.2,882067.6,7,101,3.14,1.19,1.27,89.5986,2824.00,11740.7,13.2760,6.0344,5461,5.4012,175,53.3817,338408.8
10000,2,391,25.18,0.45,1.79,1.30,16.91,0.00,1.08,0.000,0.091,227206.5,465056.7,6,62,4.09,1.04,1.13,53.3906,991.27,387.8,42.4363,9.0398,5461,5.4012,226,13.5608,102913.0
20000,0,1274,24.95,0.15,4.10,0.71,10.04,0.00,1.05,0.001,0.220,290415.2,638180.6,2,122,3.20,1.05,1.06,56.8405,3057.72,88162.1,0.0000,6.5944,5462,6.3987,128,30.7183,234068.0
20000,1,1028,24.27,0.17,3.61,0.88,10.62,0.00,1.05,0.000,0.178,257191.0,537671.8,2,94,3.18,1.03,1.06,49.1699,2016.89,10544.8,5.7212,7.1799,5461,6.3976,223,25.0127,192986.0
20000,2,552,22.59,0.41,1.92,1.09,13.92,0.00,1.11,0.000,0.110,125920.9,240993.0,2,94,3.57,1.05,1.15,28.3065,1206.67,631.7,20.6701,7.7185,5461,6.3976,224,5.9840,50364.4
30000,0,1423,26.44,0.12,4.08,0.30,10.26,0.00,1.04,0.001,0.242,549112.6,963549.5,20,104,3.22,1.03,1.04,117.7932,4143.30,79146.0,0.6772,3.6836,5462,6.1244,93,79.3952,539507.3
30000,1,787,23.65,0.21,3.16,0.43,11.36,0.01,1.06,0.003,0.135,282120.0,579209.9,11,63,3.30,1.05,1.07,61.4254,1951.96,4680.3,27.9981,6.9455,5461,6.1233,141,28.6609,222286.0
30000,2,420,20.40,0.30,1.61,0.77,13.19,0.00,1.09,0.000,0.077,145368.9,276863.9,5,62,3.40,1.08,1.07,30.3901,1072.11,327.6,49.2671,8.8132,5461,6.1233,165,7.1149,59935.0
40000,0,1234,26.00,0.27,4.35,0.52,9.74,0.00,1.09,0.002,0.210,296377.4,582124.9,6,102,3.15,1.08,1.10,59.7544,3189.10,88453.1,0.0000,5.7463,5462,6.1970,162,32.6010,248183.1
40000,1,994,24.95,0.18,4.30,0.52,9.86,0.00,1.07,0.000,0.169,241523.2,459100.0,6,115,3.09,1.05,1.07,44.1262,2172.88,10457.2,6.7727,6.7482,5461,6.1958,156,23.3021,179915.5
40000,2,438,21.67,0.44,2.42,0.92,12.10,0.00,1.13,0.000,0.080,121283.8,224404.4,4,59,3.34,1.10,1.14,25.6189,1323.96,506.7,21.2814,7.4519,5461,6.1958,190,5.8488,48504.0
50000,0,1629,27.45,0.29,3.00,0.07,10.98,0.01,1.10,0.006,0.269,561257.3,1038793.8,40,93,3.08,1.10,1.11,125.0766,4264.67,77709.6,0.4026,4.2397,5462,6.6396,75,75.8841,552497.0
50000,1,918,25.12,0.24,3.68,0.28,10.31,0.00,1.09,0.001,0.150,309685.2,557922.8,33,92,3.04,1.09,1.07,62.2721,2379.37,5650.2,26.8752,6.9015,5461,6.6384,168,34.0437,251389.4
50000,2,470,21.20,0.33,2.62,0.69,11.04,0.01,1.10,0.004,0.080,147507.8,274340.7,15,79,3.18,1.07,1.10,28.9125,1241.64,408.8,48.4881,8.7367,5461,6.6384,144,7.5679,62760.2
60000,0,1195,27.62,0.35,5.05,0.23,9.04,0.00,1.12,0.001,0.200,295491.2,572472.7,6,95,3.06,1.11,1.12,60.4532,2997.71,88198.7,0.0000,5.6675,5462,5.9679,155,32.3279,248138.1
60000,1,975,25.14,0.33,4.31,0.35,9.32,0.00,1.11,0.004,0.160,247549.6,440188.8,6,77,3.01,1.11,1.11,44.9110,2275.26,10213.4,6.4953,6.4636,5461,5.9668,187,24.6184,188619.7
60000,2,410,21.12,0.37,2.01,1.17,12.29,0.00,1.11,0.002,0.074,116381.6,196199.8,5,53,3.38,1.10,1.13,24.0436,977.32,388.2,21.5082,7.0014,5461,5.9668,179,5.8744,47901.7
70000,0,1272,28.25,0.45,3.79,0.15,10.67,0.01,1.17,0.006,0.219,556879.2,864549.8,30,79,3.32,1.18,1.16,113.2563,4838.40,78845.2,0.5170,3.9578,5462,5.4095,98,81.1245,543597.0
70000,1,727,24.98,0.58,3.12,0.48,11.26,0.00,1.19,0.003,0.129,279548.7,514965.5,21,75,3.44,1.16,1.22,58.3770,1963.67,4185.7,28.4081,6.1638,5461,5.4085,131,28.1671,226305.9
70000,2,388,20.20,0.41,1.32,0.80,13.32,0.00,1.11,0.003,0.071,132709.6,221062.9,11,44,3.58,1.10,1.15,26.4935,1044.75,331.4,49.8762,7.9414,5461,5.4085,161,6.6277,55054.0
80000,0,1055,27.87,0.41,4.99,0.20,9.47,0.01,1.13,0.005,0.182,293511.3,534429.4,12,67,3.13,1.13,1.12,59.8451,3089.64,87241.4,0.0000,5.2157,5462,5.1973,148,33.5319,249788.8
80000,1,922,26.48,0.51,4.36,0.33,9.68,0.01,1.17,0.009,0.157,239111.7,423366.3,11,84,3.13,1.19,1.18,45.2186,2740.09,8184.0,7.3900,5.8449,5461,5.1964,191,24.1559,185943.0
80000,2,383,19.92,0.60,1.81,0.88,11.47,0.00,1.18,0.000,0.065,109444.8,173653.0,6,40,3.26,1.17,1.20,22.4499,1034.02,327.6,21.7284,6.7932,5461,5.1964,141,5.1538,42691.5
90000,0,1389,27.62,0.40,3.60,0.31,10.45,0.00,1.15,0.002,0.234,530521.0,830254.6,24,84,3.15,1.19,1.12,110.6745,4155.42,79964.6,0.4920,3.4119,5462,4.7000,108,77.6181,518088.8
90000,1,737,24.35,0.29,3.64,0.41,9.81,0.00,1.12,0.001,0.120,287764.6,493180.9,13,54,3.13,1.13,1.14,58.8112,2117.40,4990.8,30.4014,5.8097,5461,4.6992,142,31.7205,237975.1
90000,2,373,19.39,0.41,1.31,1.19,12.50,0.00,1.11,0.000,0.066,119565.9,184801.4,5,43,3.42,1.10,1.14,23.1639,985.97,252.2,50.2781,7.4269,5461,4.6992,155,5.6848,46796.4
100000,0,1197,27.98,0.40,4.23,0.29,9.98,0.01,1.14,0.008,0.205,301512.2,560392.2,10,95,3.02,1.17,1.13,63.1692,3056.31,87708.8,0.0004,4.9725,5462,5.0305,119,34.6868,260786.9
100000,1,935,26.82,0.58,4.09,0.46,10.02,0.01,1.19,0.009,0.162,231740.4,411323.4,10,82,3.17,1.19,1.19,43.5493,2494.05,9058.1,7.4787,5.9264,5461,5.0296,160,22.8650,177652.8
100000,2,343,20.36,0.35,2.24,0.83,10.94,0.00,1.10,0.000,0.056,108602.3,169726.8,7,43,3.13,1.09,1.11,22.3031,934.98,378.6,22.0375,6.6887,5461,5.0296,163,5.2454,42889.2
110000,0,1382,27.97,0.37,3.47,0.15,10.59,0.01,1.14,0.006,0.232,567734.1,988707.5,31,67,3.17,1.16,1.12,127.1646,4820.52,76652.5,0.6807,3.2446,5462,4.8323,93,80.8646,569278.3
110000,1,733,23.72,0.38,3.11,0.53,10.48,0.01,1.12,0.004,0.121,267625.8,492074.2,23,67,3.20,1.13,1.12,58.5437,2275.33,4190.6,28.4604,5.7446,5461,4.8314,130,28.7275,217254.4
110000,2,392,18.54,0.44,1.14,1.10,11.93,0.01,1.13,0.005,0.065,123789.8,193978.8,9,46,3.36,1.13,1.13,24.1272,1055.03,243.7,51.6207,7.5349,5461,4.8314,89,5.9910,49797.3
120000,0,1064,27.45,0.40,5.11,0.24,8.87,0.00,1.15,0.004,0.177,298375.6,556278.4,10,93,3.06,1.15,1.14,62.3548,2413.04,87857.4,0.0000,5.0043,5462,5.0039,157,34.2090,256868.3
120000,1,911,26.78,0.37,4.29,0.39,9.85,0.00,1.15,0.004,0.156,234496.3,418922.1,9,63,3.11,1.16,1.16,44.8952,2636.93,9340.6,7.2361,5.8609,5461,5.0029,165,23.7135,181101.8
120000,2,381,19.92,0.41,1.50,1.01,12.27,0.00,1.14,0.000,0.066,107104.0,165347.9,6,62,3.34,1.11,1.16,21.9514,809.22,309.6,22.1044,6.5689,5461,5.0029,163,5.2214,42783.9
130000,0,1173,28.52,0.41,3.77,0.13,10.39,0.00,1.15,0.003,0.197,531738.1,802818.9,26,78,3.17,1.15,1.14,107.8698,4300.44,79735.2,0.5576,3.4188,5462,4.7722,88,78.3620,516508.3
130000,1,764,24.51,0.40,3.04,0.55,10.65,0.01,1.13,0.005,0.128,281346.1,508957.3,20,75,3.19,1.13,1.13,60.1945,2059.56,3931.5,30.4015,5.7366,5461,4.7714,158,30.2694,232256.1
130000,2,382,17.21,0.28,0.91,1.33,12.16,0.00,1.07,0.000,0.064,120956.7,186583.8,5,29,3.31,1.06,1.11,23.5144,819.72,191.7,50.8530,7.5291,5461,4.7714,76,5.6636,47018.3
140000,0,1113,27.66,0.39,4.74,0.31,9.49,0.01,1.14,0.005,0.190,296181.9,534247.4,13,70,3.16,1.14,1.10,61.3634,3099.18,86819.8,0.0000,4.8994,5462,4.7339,128,34.1495,255401.7
140000,1,908,25.23,0.26,4.23,0.52,9.59,0.00,1.09,0.000,0.152,231495.2,409714.0,10,54,3.01,1.09,1.07,44.3187,2065.93,8119.6,8.0635,5.7679,5461,4.7330,168,23.3639,178720.7
140000,2,316,19.38,0.33,1.80,1.16,11.60,0.00,1.09,0.000,0.054,102429.2,149395.1,9,38,3.29,1.07,1.10,20.6738,758.36,277.4,22.4031,6.4153,5461,4.7330,164,4.8115,39569.6
150000,0,1231,28.58,0.42,4.00,0.28,10.35,0.01,1.15,0.011,0.212,526004.3,769381.7,30,74,3.06,1.17,1.09,105.2217,5069.17,77478.9,0.4924,3.2000,5462,4.2395,97,78.8997,513167.5
150000,1,732,24.59,0.57,2.47,0.45,11.37,0.01,1.18,0.004,0.124,274081.2,470455.2,18,63,3.20,1.16,1.17,59.1658,2250.41,4530.6,29.6364,5.3595,5461,4.2387,111,31.0775,227567.3
150000,2,326,18.34,0.42,1.40,1.51,11.47,0.01,1.12,0.006,0.055,112156.6,157971.1,5,52,3.26,1.12,1.14,21.3421,830.10,207.5,51.8649,7.1458,5461,4.2387,117,5.0870,41867.9
160000,0,1057,28.43,0.51,5.11,0.33,9.43,0.00,1.18,0.003,0.186,297946.7,538693.0,9,80,3.16,1.16,1.16,62.3736,2835.40,85926.0,0.0000,4.7858,5462,4.8657,143,34.5405,258776.0
160000,1,869,26.84,0.47,4.03,0.67,10.65,0.00,1.15,0.002,0.157,235988.7,427201.2,8,56,3.28,1.13,1.19,46.8698,2402.93,8541.2,7.4506,5.6025,5461,4.8648,127,23.6882,185156.8
160000,2,299,23.11,0.35,1.35,1.79,15.33,0.00,1.10,0.000,0.065,104662.4,154856.2,6,48,3.72,1.09,1.17,20.7478,960.63,234.8,22.2929,6.8033,5461,4.8648,101,4.6016,37738.0
170000,0,1195,29.18,0.46,4.24,0.26,10.41,0.01,1.17,0.006,0.211,537055.2,789522.2,35,93,3.25,1.19,1.13,109.1570,4042.29,76979.4,0.6722,3.4351,5462,4.5850,123,80.4860,523291.4
170000,1,733,28.69,0.42,3.82,0.59,11.48,0.01,1.14,0.007,0.136,282565.5,494655.0,26,40,3.36,1.14,1.13,61.2000,2236.58,4763.4,29.0605,5.4013,5461,4.5841,123,30.6291,236321.4
