step,event,lineage,other,size
5000,birth,1,0,11
5000,birth,3,0,87
5000,birth,13,0,851
5000,birth,18,0,24
5000,birth,22,0,160
5000,birth,25,0,28
5000,birth,29,0,28
5000,birth,44,0,34
5000,birth,45,0,84
5000,birth,47,0,203
6000,split,106,22,45
6000,extinct,29,0,28
7000,split,127,13,19
7000,split,138,29,48
7000,extinct,1,0,23
7000,extinct,44,0,6
8000,split,163,45,5
8000,split,168,127,42
8000,extinct,3,0,15
8000,extinct,25,0,5
9000,split,174,44,47
9000,split,186,13,21
9000,extinct,127,0,19
10000,split,209,22,87
10000,split,212,13,101
10000,split,214,22,5
10000,split,231,168,47
10000,split,236,22,12
10000,extinct,18,0,86
11000,split,258,212,6
11000,split,265,45,17
11000,extinct,13,0,39
11000,extinct,138,0,6
11000,extinct,163,0,6
11000,extinct,168,0,11
11000,extinct,186,0,7
11000,extinct,214,0,5
12000,split,288,212,127
12000,split,296,22,7
12000,extinct,212,0,101
12000,extinct,258,0,6
13000,split,327,22,18
13000,split,344,292,28
13000,extinct,45,0,13
13000,extinct,106,0,9
13000,extinct,174,0,17
13000,extinct,231,0,10
13000,extinct,236,0,7
13000,extinct,296,0,7
14000,extinct,327,0,18
15000,split,402,22,35
16000,split,415,327,48
16000,extinct,209,0,6
16000,extinct,265,0,16
18000,split,446,288,882
18000,extinct,288,0,42
18000,extinct,402,0,9
19000,split,469,47,8
19000,extinct,22,0,5
20000,extinct,344,0,13
20000,extinct,469,0,8
21000,split,497,22,20
21000,extinct,415,0,16
23000,extinct,497,0,20
25000,split,525,446,7
27000,split,533,525,9
29000,extinct,525,0,7
30000,extinct,533,0,16
50000,split,609,446,12
51000,split,614,446,6
53000,extinct,609,0,21
56000,extinct,614,0,14
60000,split,651,446,504
61000,split,652,446,142
63000,split,655,652,210
66000,split,662,655,34
66000,extinct,651,0,13
68000,split,666,446,131
69000,split,663,652,5
70000,extinct,666,0,131
73000,split,685,446,268
73000,extinct,662,0,7
73000,extinct,663,0,13
75000,split,693,446,68
76000,split,695,446,28
76000,extinct,652,0,10
77000,split,700,655,15
78000,extinct,700,0,15
79000,extinct,695,0,13
86000,split,724,693,29
87000,extinct,693,0,5
90000,split,741,685,19
91000,split,744,685,82
93000,extinct,724,0,7
94000,extinct,741,0,5
94000,extinct,744,0,8
95000,split,762,685,108
95000,extinct,446,0,55
95000,extinct,655,0,22
96000,merge,762,685,108
