step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,1220,19.34,0.72,4.00,1.18,10.80,0.01,1.22,0.004,0.234,498953.4,190616.5,18,41,3.47,1.23,1.23,32.8047,443.01,82730.1,0.9374,0.9955,5462,24.7548,282,83.4093,451321.6
10000,1,956,21.64,1.01,4.39,2.42,13.05,0.03,1.28,0.013,0.228,333310.2,113454.1,13,64,3.87,1.30,1.26,17.5220,707.98,12878.7,24.4441,2.2650,5461,24.7502,237,49.7653,272860.2
10000,2,542,22.84,0.92,3.57,3.43,15.82,0.03,1.19,0.011,0.147,210364.1,49647.8,7,50,4.17,1.25,1.20,8.0082,239.51,2283.0,45.0371,2.4731,5461,24.7502,226,30.4726,149110.0
20000,0,1027,19.29,0.40,4.02,0.63,7.24,0.01,1.15,0.005,0.144,187648.3,157115.4,3,140,2.79,1.15,1.16,9.4880,1240.83,101164.2,0.0000,5.3122,5462,13.5257,63,22.0791,134158.3
20000,1,829,20.93,0.68,4.40,0.35,6.71,0.02,1.26,0.011,0.116,173667.0,152041.8,3,107,2.73,1.23,1.26,8.2456,961.01,14979.6,5.0887,6.4637,5461,13.5232,120,17.2455,109071.2
20000,2,552,22.48,0.41,5.56,0.30,6.64,0.01,1.16,0.005,0.081,113641.1,73910.9,2,137,2.97,1.14,1.16,1.4880,77.85,534.1,12.2181,9.6761,5461,13.5232,69,2.5581,16720.0
30000,0,1164,22.17,0.32,4.09,0.22,7.87,0.01,1.13,0.004,0.166,406402.3,478196.6,6,115,2.85,1.13,1.11,39.2090,867.18,88584.1,0.0000,1.0494,5462,18.6106,26,74.3314,398532.2
30000,1,1066,20.29,0.23,4.04,0.30,7.40,0.01,1.09,0.005,0.146,364097.0,397024.1,5,85,2.89,1.10,1.06,29.1164,1043.97,9801.5,24.8234,5.6981,5461,18.6072,66,56.5118,309464.0
30000,2,660,19.35,0.06,4.72,0.26,6.83,0.01,1.02,0.005,0.090,164198.7,134710.1,3,109,2.80,1.03,1.02,2.4220,44.64,279.4,50.4647,14.1900,5461,18.6072,40,3.1020,23635.9
40000,0,912,19.62,0.36,4.84,0.62,6.53,0.02,1.15,0.005,0.129,193149.0,139859.8,5,106,2.73,1.16,1.15,8.7003,887.36,96953.6,0.0000,6.4969,5462,14.6234,77,19.7059,128996.2
40000,1,869,17.67,0.14,4.72,0.71,5.70,0.01,1.06,0.005,0.112,178271.3,133143.4,5,93,2.63,1.07,1.05,6.9187,485.34,11648.2,4.9466,8.4505,5461,14.6207,79,14.5932,94553.4
40000,2,615,19.96,0.10,5.78,0.12,5.54,0.00,1.04,0.002,0.081,130143.6,83755.1,5,158,2.67,1.05,1.04,1.2557,55.85,192.4,10.5283,12.1639,5461,14.6207,70,1.0838,8340.2
50000,0,929,25.58,0.25,6.08,0.48,7.25,0.02,1.10,0.011,0.149,444352.4,264832.9,10,75,2.82,1.12,1.10,34.3174,1941.53,81639.0,0.2262,1.1331,5462,18.9199,105,87.8233,432522.2
50000,1,753,23.19,0.26,5.75,0.41,6.82,0.01,1.12,0.004,0.115,257103.6,173629.5,9,106,2.68,1.13,1.12,13.8227,592.46,6809.2,30.7297,6.2317,5461,18.9164,89,34.1329,197000.5
50000,2,468,22.27,0.19,5.80,0.28,6.67,0.02,1.06,0.011,0.069,167317.0,103819.9,5,99,2.91,1.05,1.07,1.7993,111.06,548.4,51.5344,14.4687,5461,18.9164,50,3.3010,23718.2
60000,0,894,21.37,0.41,4.56,0.53,8.04,0.03,1.16,0.020,0.138,194018.1,125328.9,12,118,2.86,1.17,1.12,8.9409,650.59,92693.8,0.0000,6.2170,5462,13.9137,79,20.7693,132065.4
60000,1,699,22.98,0.38,5.42,0.26,6.78,0.05,1.16,0.029,0.103,169153.2,102636.9,9,109,2.86,1.18,1.12,6.2743,532.42,11071.0,5.9620,7.7906,5461,13.9111,99,14.2966,91310.4
60000,2,506,20.18,0.17,5.05,0.14,6.50,0.06,1.06,0.024,0.068,124068.7,66461.9,8,148,2.62,1.07,1.05,1.3644,60.28,188.5,11.8031,11.2749,5461,13.9111,59,1.6264,10849.7
70000,0,917,25.15,0.29,6.08,0.11,6.94,0.04,1.12,0.021,0.141,432403.4,255805.2,20,113,2.82,1.14,1.11,35.4139,1875.17,79065.7,0.9026,1.2484,5462,17.8104,84,81.9896,420475.6
70000,1,676,24.82,0.22,6.36,0.22,6.98,0.05,1.07,0.028,0.106,270708.0,151509.6,20,85,2.96,1.10,1.06,16.6116,1184.86,6911.9,30.0018,6.9468,5461,17.8071,92,38.1085,202825.2
70000,2,496,22.78,0.29,5.32,0.24,6.94,0.11,1.11,0.056,0.073,162608.0,97468.0,14,115,2.87,1.14,1.08,1.7659,30.22,335.3,51.9227,14.4599,5461,17.8071,59,2.5564,19208.0
80000,0,709,26.54,0.36,6.06,0.51,8.19,0.05,1.14,0.023,0.123,186782.1,112885.1,16,90,3.04,1.18,1.13,8.8707,720.15,93895.1,0.0000,6.0036,5462,13.5536,97,20.0948,127136.9
80000,1,662,25.13,0.41,5.58,0.50,8.21,0.03,1.17,0.018,0.111,171194.4,95638.0,15,81,2.94,1.18,1.16,6.6573,666.46,10187.7,5.6496,7.5548,5461,13.5511,49,15.8193,95685.8
80000,2,426,23.85,0.25,5.27,0.28,8.48,0.04,1.09,0.019,0.069,120655.2,63060.5,14,133,2.91,1.11,1.08,1.4619,18.71,135.7,11.9983,11.0414,5461,13.5511,59,1.5144,10265.5
90000,0,901,28.35,0.34,5.64,0.21,9.04,0.08,1.12,0.029,0.156,440922.2,268570.2,25,86,2.97,1.14,1.07,40.1384,1911.59,79571.3,0.5914,1.0381,5462,17.0514,59,79.9694,433028.9
90000,1,641,27.87,0.26,5.47,0.54,9.52,0.03,1.10,0.016,0.117,275476.7,157717.1,23,84,3.00,1.14,1.05,18.5524,1042.43,7212.0,32.1694,6.6067,5461,17.0482,106,39.2325,211308.1
90000,2,403,25.61,0.23,5.75,0.29,8.53,0.05,1.08,0.020,0.069,155738.1,82495.8,19,89,3.03,1.08,1.07,1.5047,62.80,244.3,52.0351,13.8592,5461,17.0482,21,2.4741,17858.2
100000,0,718,26.29,0.32,4.68,0.38,10.66,0.07,1.13,0.038,0.131,194413.1,115806.2,16,91,3.15,1.16,1.14,9.9381,939.44,92302.8,0.0002,6.3971,5462,13.7527,69,20.2827,130861.9
100000,1,592,27.50,0.24,5.71,0.17,9.55,0.05,1.10,0.032,0.107,176048.8,99244.2,16,80,3.18,1.11,1.09,7.5260,528.54,9325.6,5.5939,8.1972,5461,13.7502,85,14.3585,94006.6
100000,2,382,27.57,0.21,6.42,0.29,9.08,0.23,1.05,0.094,0.070,123433.9,59845.8,16,107,3.12,1.09,1.02,1.1617,20.93,282.0,11.2730,11.5230,5461,13.7502,42,1.1183,7992.0
110000,0,835,33.26,0.33,7.11,0.06,9.22,0.13,1.13,0.065,0.160,456522.8,260875.3,24,80,3.14,1.17,1.09,42.2756,1950.64,80735.2,0.6735,1.2234,5462,16.4727,107,83.2575,446324.6
110000,1,509,31.14,0.18,6.54,0.44,10.08,0.09,1.06,0.049,0.100,253393.7,141258.8,18,80,3.32,1.07,1.04,17.3558,750.50,7841.8,34.1386,6.2984,5461,16.4697,134,34.5543,192271.9
110000,2,428,22.85,0.20,4.38,0.32,9.07,0.10,1.06,0.058,0.069,151291.9,74481.1,16,90,3.12,1.07,1.04,1.5993,76.67,268.9,52.0301,13.5172,5461,16.4697,20,2.3855,16862.6
120000,0,789,25.59,0.28,4.90,0.41,9.30,0.08,1.09,0.041,0.134,188692.7,107315.7,15,87,3.18,1.11,1.08,10.0507,915.73,93665.4,0.0000,5.6212,5462,13.2273,57,21.6273,132407.0
