step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,674,24.7,0.7,2.0,4.5,19.8,0.1,1.17,11.8,285,951,50.24,15.79,304,219,151,0.1,1.23,1.19,1.14,4.44,5.90,5.94,26.1,0.960,0.475,8.74
5000,4,179,15.3,0.2,0.7,0.0,12.8,0.0,1.05,16.5,53,524,34.37,14.28,174,2,3,0.0,1.05,1.03,1.07,3.47,5.01,5.28,12.3,1.103,0.670,9.22
5000,2,166,21.8,0.3,2.1,0.9,20.6,0.0,1.12,16.3,93,771,40.22,16.17,127,39,0,0.0,1.14,1.12,1.11,4.13,5.63,5.13,19.7,0.883,0.457,9.39
5000,3,152,36.2,1.4,4.8,1.5,22.4,0.0,1.48,8.0,79,925,53.99,21.06,114,33,5,0.0,1.94,1.25,1.44,4.34,7.09,4.76,17.9,1.126,0.556,7.79
5000,7,103,62.9,0.1,4.1,9.7,40.7,0.0,1.01,0.5,55,1239,86.54,28.99,14,66,23,0.0,1.02,1.00,1.01,6.87,7.50,7.62,33.8,1.230,0.604,7.68
5000,14,41,88.5,2.1,0.0,10.6,74.9,0.0,1.14,0.0,16,1845,54.48,16.16,0,1,40,0.0,1.07,1.13,1.18,9.12,9.46,9.44,53.2,1.046,0.519,9.46
5000,30,38,55.8,18.6,0.5,2.8,27.2,0.1,3.65,0.5,18,1031,75.84,31.14,31,7,0,0.1,5.04,1.79,3.89,7.24,7.58,7.42,18.9,0.842,0.700,7.63
5000,44,31,48.2,0.0,11.2,0.0,40.1,0.0,1.00,5.2,25,760,28.09,6.14,0,0,31,0.0,1.00,1.00,1.00,6.61,8.39,8.03,52.4,0.904,0.520,9.52
5000,29,30,43.2,0.1,0.4,0.4,43.6,0.0,1.04,3.3,16,1054,118.17,30.14,28,2,0,0.0,1.06,1.00,1.04,6.30,7.60,7.87,18.4,0.955,0.576,8.50
5000,16,22,44.2,0.0,6.5,15.2,29.0,0.0,1.00,0.4,16,1770,131.89,52.45,7,15,0,0.0,1.00,1.00,1.00,6.32,7.18,7.18,25.4,1.016,0.560,7.27
5000,22,20,41.3,6.6,0.2,17.2,23.9,0.0,1.64,0.8,8,1134,91.27,12.04,0,16,4,0.0,1.40,1.00,2.10,6.85,6.80,7.20,33.9,0.918,0.423,7.20
5000,19,20,47.6,1.0,12.1,10.8,24.5,1.5,1.08,0.4,17,1662,41.00,8.80,0,0,20,1.5,1.26,1.00,1.03,5.65,7.45,7.45,53.1,1.084,0.430,7.55
5000,9,19,73.4,25.3,2.6,0.4,32.6,0.0,6.27,1.9,14,1726,183.90,54.16,14,5,0,0.4,7.21,6.84,5.76,6.53,8.26,7.74,22.5,0.861,0.523,8.37
5000,21,11,27.2,0.9,7.8,0.0,21.3,0.0,1.23,6.4,9,1790,53.69,11.57,11,0,0,0.0,1.30,1.27,1.18,6.00,7.00,8.27,11.3,0.853,0.375,8.91
5000,8,7,84.8,12.9,2.0,0.0,47.3,0.1,3.76,0.0,6,1590,99.09,20.43,0,3,4,0.7,2.48,5.03,3.76,6.86,7.86,7.86,39.3,1.142,0.394,7.86
5000,13,7,43.2,0.0,6.1,0.7,38.9,0.0,1.00,0.6,5,1560,199.37,98.77,7,0,0,0.0,1.00,1.00,1.00,5.14,7.00,6.71,13.7,0.957,0.390,7.00
5000,33,7,28.0,0.0,0.0,0.0,34.3,0.0,1.00,0.0,3,1759,101.21,22.04,5,2,0,0.0,1.00,1.00,1.00,5.57,5.86,5.86,23.5,0.819,0.595,5.86
5000,20,6,107.7,23.3,12.5,0.0,29.3,2.8,6.73,0.0,5,1246,133.82,11.15,6,0,0,2.8,9.17,2.90,7.43,9.00,8.17,8.17,14.8,1.214,0.594,8.17
5000,32,6,50.1,0.0,18.7,0.0,26.0,0.0,1.00,3.3,5,1910,129.62,42.17,0,6,0,0.0,1.00,1.00,1.00,6.33,7.33,7.33,29.9,1.115,0.580,8.00
5000,55,5,105.7,0.0,0.0,0.0,96.2,0.0,1.00,0.0,2,1873,110.47,74.49,0,0,5,0.0,1.00,1.00,1.00,10.20,9.80,9.80,45.3,1.103,0.312,9.80
6000,1,606,24.4,0.7,2.1,4.9,19.6,0.1,1.15,12.0,278,1413,68.20,18.76,339,157,110,0.1,1.19,1.16,1.13,4.40,5.82,5.88,24.8,0.931,0.476,8.75
6000,2,214,21.3,0.3,1.7,0.9,20.2,0.0,1.09,16.3,120,995,49.62,20.29,175,39,0,0.0,1.11,1.09,1.08,3.93,5.54,4.78,17.4,0.898,0.450,9.18
6000,4,179,13.2,0.2,0.6,0.2,11.1,0.0,1.05,17.9,64,894,40.00,21.05,173,4,2,0.0,1.05,1.03,1.07,3.17,4.75,4.84,13.8,1.094,0.675,9.07
6000,3,137,37.7,1.7,4.5,1.3,23.6,0.0,1.58,7.9,77,1412,76.89,33.79,104,28,5,0.0,2.32,1.22,1.54,4.56,7.46,4.83,18.8,1.107,0.566,7.99
6000,7,105,61.0,0.2,5.6,9.3,37.6,0.0,1.04,0.5,64,2049,104.99,31.92,16,68,21,0.1,1.07,1.00,1.04,6.67,7.54,7.57,32.7,1.230,0.599,7.68
6000,14,42,88.2,2.0,0.0,10.4,74.9,0.0,1.14,0.0,16,2780,62.19,15.78,0,1,41,0.0,1.07,1.13,1.17,9.12,9.45,9.43,53.2,1.045,0.520,9.45
6000,13,34,30.9,1.1,10.3,1.5,18.7,0.0,1.27,0.9,22,842,85.12,54.41,34,0,0,0.1,1.14,1.43,1.25,4.68,6.21,6.09,3.1,0.969,0.430,6.38
6000,30,33,56.1,19.3,0.5,2.7,26.1,0.1,3.81,0.6,18,2038,142.37,51.63,27,6,0,0.1,5.24,1.91,4.05,7.21,7.55,7.36,18.5,0.844,0.699,7.61
6000,21,27,21.2,0.4,3.2,0.0,22.5,0.0,1.10,8.7,16,1389,46.58,8.97,27,0,0,0.0,1.12,1.11,1.07,4.81,6.78,5.81,7.2,0.781,0.356,8.33
