step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,1310,17.69,0.86,1.00,1.83,14.81,0.01,1.24,0.007,0.278,484111.9,187403.8,13,52,3.51,1.24,1.25,39.6306,1707.31,81270.2,0.3523,1.0674,5462,20.2115,104,82.2689,435852.9
10000,1,780,23.56,1.31,1.44,2.42,20.17,0.02,1.33,0.014,0.224,305547.5,99844.8,14,50,4.28,1.35,1.32,19.7756,789.25,13999.1,15.5891,1.7710,5461,20.2078,280,61.1285,249201.8
10000,2,516,22.34,0.86,0.63,5.44,19.51,0.05,1.17,0.019,0.157,183656.5,43868.1,5,45,4.32,1.19,1.17,8.2194,117.40,2824.8,37.9695,2.1162,5461,20.2078,290,38.3002,124879.1
20000,0,836,22.78,0.35,5.78,3.08,12.44,0.01,1.11,0.006,0.208,181846.0,71750.7,3,66,3.74,1.10,1.11,8.8680,1007.45,97007.4,0.0000,4.0694,5462,11.4134,142,23.0093,142058.1
20000,1,811,19.93,0.65,4.74,3.41,11.71,0.02,1.24,0.005,0.189,159358.4,50558.5,3,76,3.75,1.16,1.32,6.5633,744.09,13536.9,5.1163,4.4049,5461,11.4113,168,19.4442,115267.9
20000,2,445,20.83,0.56,6.50,3.02,10.81,0.06,1.14,0.011,0.107,66009.5,15050.8,3,75,3.75,1.11,1.16,0.9544,61.51,387.3,18.2640,4.4867,5461,11.4113,71,4.2442,20740.0
30000,0,1426,14.21,0.58,3.17,0.35,6.81,0.00,1.21,0.001,0.178,508407.1,380173.7,4,91,2.65,1.15,1.28,47.4611,1358.97,93334.1,0.0409,0.9431,5462,20.9810,49,78.7764,501462.2
30000,1,1090,18.18,1.06,4.26,0.38,8.39,0.01,1.35,0.006,0.175,376516.1,246381.4,4,113,3.10,1.29,1.43,28.1914,1082.58,17172.3,28.0630,3.7382,5461,20.9772,108,54.3864,341605.5
30000,2,512,21.43,0.57,5.42,0.17,10.34,0.00,1.18,0.002,0.097,138664.3,73004.9,3,86,3.33,1.10,1.23,2.7723,126.89,2035.7,53.9295,8.5513,5461,20.9772,155,8.4692,54353.7
40000,0,1101,16.44,0.27,4.23,0.13,7.24,0.00,1.12,0.002,0.148,198009.2,159144.5,3,94,2.87,1.11,1.12,8.8450,1463.40,98612.6,0.0000,5.3296,5462,13.1826,123,21.6877,146045.7
