step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied
10000,1416,4.059,0.572,8.02,21230,15940,3684,123,1484,24399,936807.1,221716.8,0.293,0.399,0.181,0.127,78,40.79,26.06,2.38,7.12,1.46,4.48,4.27,10.03,30.81,20.75,0.02,0.31,0.049,0.154,631,0.054,0.069,0.916,0.000,0.016,100136,97730,16,0.400,0.047,0.255,6195403,0.253,3.126,0.040,8.24,30189,385,9.087,0.293,0.153,8486815,1.42,4.84,0.354,0.109,0.008,7.3,40.7,74.5,217.6,55120,0.210,0.00,0.0021,0.053,246,0.943,0.000,0.563,0.790,5.77,6.90,6.52,0.05,0.020,1.56,1.39,1.38,0.944,0.00095,3.80,47.3760,2322.77,83729.9,139882.8,75.388,105.0645,144.458,694.756,0.891,0.284,60.3,66.193,226.924,564,2522.3,156.38,22.526,154.641,3824.4,75.110,0.136,2.00,28.1144,39810.0,1.1335,0.3962,38.93,1.041,0.157,1.4775,0.0000,0.493,0.117,0.549,0.0000,7.78,1.15,8,41,64,121,61.6288,3.2187,0.6518,0.3659,0.9861
20000,1538,5.846,0.407,8.31,15983,13145,1313,1020,383,47308,453025.2,114093.5,0.152,0.575,0.152,0.121,206,27.65,18.02,0.61,2.38,5.37,8.53,1.52,4.46,16.92,12.25,0.04,0.37,0.143,0.202,966,0.093,0.101,0.891,0.000,0.008,32325,29742,5,0.400,0.017,0.196,2059834,0.208,2.726,0.024,18.34,10793,661,2.412,0.143,0.238,3570728,1.16,7.57,0.233,0.482,0.017,4.3,28.7,49.0,100.4,37559,0.143,0.00,0.0017,0.112,291,0.559,0.000,0.551,0.537,4.27,5.31,5.09,0.08,0.027,1.23,1.12,1.14,0.562,0.00225,4.69,16.0931,2218.07,90741.4,139882.8,19.815,24.5522,79.040,287.166,0.831,0.281,45.9,37.260,61.516,256,978.2,89.17,4.098,42.767,2810.7,26.900,0.137,1.99,21.1855,32583.3,1.4269,0.8234,24.42,1.079,0.189,0.5225,0.0000,0.431,0.142,0.397,0.0000,7.02,1.01,5,26,42,81,32.4654,1.3303,0.5312,0.2745,0.9874
30000,2310,4.097,0.510,10.90,45055,32597,1103,8447,2136,454908,834449.6,637654.8,0.138,0.631,0.119,0.112,139,24.34,18.66,1.27,3.81,4.97,6.79,0.36,1.97,9.72,8.01,0.09,0.46,0.147,0.179,1658,0.021,0.079,0.907,0.000,0.014,120965,105290,7,0.479,0.463,0.064,1781611,0.193,2.934,0.034,13.52,43736,620,1.402,0.160,0.346,11921853,1.43,10.22,0.110,0.594,0.045,3.7,18.9,47.9,131.2,37714,0.144,0.00,0.0037,0.112,381,0.795,0.000,0.777,0.639,3.31,4.42,4.34,0.18,0.083,1.52,1.50,1.37,0.805,0.00200,5.11,53.4133,2590.38,82497.3,139882.8,94.952,92.0099,126.746,494.199,0.913,0.254,54.7,49.174,217.320,444,1592.1,113.22,6.886,128.493,3539.1,71.489,0.134,2.00,16.6205,38393.5,1.6367,1.0092,16.33,1.337,0.479,1.4775,0.0000,0.394,0.179,0.401,0.0000,6.87,1.55,4,15,29,72,40.3016,4.2438,0.5675,0.3091,0.9809
40000,2118,4.193,0.410,11.22,34807,28147,839,5179,834,263043,464331.1,260117.2,0.112,0.720,0.098,0.070,202,21.07,16.73,1.14,3.77,3.66,5.30,0.12,0.97,9.54,7.74,0.14,0.49,0.123,0.164,1415,0.034,0.126,0.855,0.000,0.019,57745,46098,5,0.575,0.176,0.032,635313,0.163,2.389,0.026,18.52,22842,651,0.989,0.116,0.307,8437138,1.40,10.11,0.095,0.592,0.088,4.3,15.0,45.8,167.4,30615,0.117,0.00,0.0023,0.123,400,0.636,0.000,0.667,0.443,3.16,4.17,4.12,0.22,0.119,1.46,1.35,1.40,0.644,0.00241,3.91,16.0001,1620.17,96315.6,139882.8,20.681,23.1797,89.328,281.012,0.839,0.302,46.9,39.221,65.077,290,968.1,86.45,4.649,42.501,3350.3,28.005,0.136,2.00,12.7597,27025.0,1.5637,0.7079,14.45,1.323,0.539,0.5225,0.0000,0.399,0.200,0.531,0.0000,6.61,1.82,4,13,25,80,32.6883,1.4286,0.5104,0.3114,0.9880
50000,3070,4.287,0.397,12.76,77567,58236,1455,13023,3901,518224,953723.9,693512.5,0.156,0.595,0.153,0.096,129,17.60,14.22,1.18,3.46,2.85,4.53,0.15,1.01,7.88,7.35,0.05,0.32,0.109,0.157,2039,0.014,0.080,0.902,0.000,0.018,177444,153358,6,0.520,0.414,0.044,1057349,0.208,2.529,0.027,17.76,66817,566,1.338,0.156,0.341,16239851,1.46,11.33,0.073,0.614,0.027,3.0,13.9,36.0,125.3,37035,0.141,0.00,0.0039,0.082,546,0.759,0.000,0.753,0.577,2.84,3.70,3.87,0.11,0.061,1.50,1.58,1.43,0.770,0.00214,7.35,50.5209,1846.08,78686.1,139882.8,91.375,72.8616,166.983,653.990,0.948,0.247,72.4,68.714,215.749,327,1179.4,158.38,7.814,125.581,2929.7,79.959,0.134,2.00,13.1516,40375.4,1.9473,0.9043,12.06,1.314,0.544,1.4775,0.0000,0.395,0.197,0.452,0.0000,6.56,1.90,3,10,24,80,55.0473,7.1015,0.5202,0.4311,0.9867
60000,2784,2.815,0.279,13.72,50651,41458,558,7721,1200,362597,532909.2,329087.8,0.104,0.684,0.111,0.101,190,16.22,11.49,0.74,2.43,2.58,3.58,0.49,1.95,7.60,5.96,0.16,0.57,0.117,0.152,1929,0.013,0.105,0.879,0.000,0.017,70087,53775,4,0.556,0.013,0.140,1553414,0.147,1.766,0.018,29.00,31646,704,0.908,0.131,0.321,6231626,1.28,10.28,0.113,0.668,0.093,3.1,13.9,32.0,82.0,31785,0.121,0.00,0.0025,0.110,732,0.416,0.000,0.598,0.341,2.78,3.32,4.13,0.19,0.110,1.36,1.20,1.30,0.429,0.00294,8.77,13.9040,953.43,98660.8,139882.8,13.225,17.1116,108.556,251.517,0.829,0.306,63.5,48.501,49.120,147,384.4,50.00,3.113,34.617,2511.0,24.191,0.135,2.00,10.0034,27849.5,1.4842,0.7065,11.42,1.332,0.593,0.5225,0.0000,0.324,0.223,0.281,0.0000,6.26,1.99,3,12,18,59,37.4909,2.8135,0.4458,0.4693,0.9917
70000,3344,3.746,0.406,15.57,103775,80616,1220,16023,5356,584783,1017495.0,724556.6,0.118,0.603,0.134,0.146,120,13.93,11.08,0.69,2.07,2.88,4.29,0.15,0.88,5.93,5.90,0.11,0.47,0.135,0.181,2078,0.022,0.091,0.893,0.000,0.016,198613,162446,4,0.484,0.199,0.076,3298714,0.148,2.488,0.025,25.03,82934,604,1.239,0.167,0.375,17196958,1.32,11.84,0.083,0.657,0.061,2.4,10.3,32.0,62.0,32296,0.123,0.00,0.0051,0.102,693,0.677,0.000,0.749,0.500,2.59,3.05,3.93,0.17,0.085,1.38,1.24,1.35,0.689,0.00223,15.38,46.0152,2056.44,84484.6,139882.8,76.438,70.5936,185.529,607.340,0.928,0.263,71.0,78.243,196.629,259,885.8,107.18,5.466,125.227,3124.8,79.643,0.135,2.00,10.5337,35224.5,1.9187,0.9047,9.66,1.307,0.586,1.4775,0.0000,0.315,0.246,0.382,0.0000,6.39,2.05,3,9,16,64,59.9072,10.8735,0.4779,0.4487,0.9876
80000,2610,2.921,0.320,16.09,49825,39479,832,8779,1469,354920,529490.7,309902.8,0.083,0.702,0.108,0.108,182,17.70,13.37,0.64,3.08,4.42,5.34,0.27,1.20,7.62,7.53,0.05,0.32,0.177,0.205,1514,0.054,0.111,0.874,0.000,0.015,65202,49650,6,0.284,0.070,0.103,1632210,0.110,1.839,0.021,28.30,29040,687,0.873,0.114,0.355,7127903,1.20,10.83,0.182,0.580,0.023,3.1,15.0,32.0,159.1,33795,0.129,0.00,0.0027,0.102,638,0.442,0.000,0.634,0.310,3.05,3.54,4.90,0.11,0.046,1.19,1.20,1.24,0.454,0.00292,8.99,11.2287,980.50,98534.2,139882.8,12.900,16.4149,109.533,264.474,0.811,0.303,59.0,48.708,49.509,172,545.0,66.22,2.962,35.414,2980.4,24.547,0.133,2.00,10.5375,27502.9,1.3516,0.7111,12.95,1.279,0.546,0.5225,0.0000,0.355,0.227,0.420,0.0000,6.81,2.15,3,13,20,94,37.7749,3.3186,0.4897,0.4026,0.9913
90000,3179,3.022,0.365,17.57,106574,76755,1674,21268,6308,605830,967389.0,621214.9,0.122,0.607,0.139,0.132,114,16.86,12.78,0.47,2.02,4.25,5.37,0.14,0.90,6.30,6.22,0.02,0.17,0.150,0.182,1494,0.053,0.120,0.864,0.000,0.016,193172,161163,10,0.325,0.269,0.044,2975918,0.152,2.175,0.025,20.60,77674,429,1.025,0.178,0.364,16394599,1.21,11.81,0.215,0.549,0.012,2.3,13.3,32.0,86.0,35465,0.135,0.00,0.0048,0.101,674,0.678,0.000,0.784,0.470,2.67,3.25,4.13,0.04,0.020,1.22,1.20,1.24,0.691,0.00258,11.24,39.9963,1712.72,83652.0,139882.8,77.728,76.0288,180.535,629.782,0.861,0.266,72.0,75.581,207.112,178,529.9,102.07,7.016,132.502,3154.0,78.446,0.134,2.00,12.4257,39501.4,1.6140,0.7420,11.16,1.339,0.575,1.4775,0.0000,0.329,0.234,0.420,0.0000,6.58,2.25,3,12,16,74,59.5885,7.8018,0.4715,0.4768,0.9879
100000,2157,3.262,0.411,20.54,43334,33650,1022,8446,1238,320407,494074.7,257046.9,0.076,0.738,0.107,0.080,180,20.99,13.32,0.67,3.09,4.90,4.99,0.20,1.15,7.60,6.93,0.04,0.28,0.186,0.182,1194,0.111,0.123,0.860,0.000,0.017,55868,40803,15,0.349,0.049,0.062,1031482,0.128,2.221,0.029,24.63,26095,512,0.802,0.121,0.348,6298813,1.23,9.32,0.252,0.546,0.019,3.4,23.3,32.0,115.0,28847,0.110,0.00,0.0030,0.126,436,0.445,0.000,0.629,0.297,3.02,3.60,4.90,0.11,0.053,1.25,1.23,1.25,0.457,0.00376,6.77,11.2228,807.99,98829.2,139882.8,14.228,20.9739,100.891,249.792,0.825,0.307,50.3,45.154,54.726,365,1164.3,83.31,4.195,39.982,4165.6,24.931,0.135,1.99,12.2030,26321.9,1.3776,0.6385,13.37,1.471,0.540,0.5225,0.0000,0.314,0.210,0.317,0.0000,6.44,2.50,4,14,20,81,35.9176,1.1259,0.4817,0.5014,0.9928
110000,2313,3.475,0.517,22.30,78481,58926,2023,14228,3148,447204,900289.1,493141.3,0.115,0.653,0.147,0.085,122,22.48,12.76,0.85,3.33,4.59,4.69,0.20,1.25,7.92,7.24,0.01,0.13,0.155,0.153,1106,0.082,0.096,0.896,0.001,0.007,141605,112704,20,0.198,0.422,0.054,1843695,0.145,2.923,0.037,19.14,62721,424,1.103,0.173,0.302,13971419,1.32,8.55,0.332,0.484,0.010,3.8,28.0,32.0,92.8,31373,0.120,0.00,0.0049,0.127,478,0.665,0.000,0.775,0.469,2.91,3.71,4.24,0.09,0.051,1.30,1.34,1.33,0.677,0.00349,10.13,40.6720,2186.93,82423.0,139882.8,86.702,78.4515,159.609,581.194,0.910,0.256,58.0,65.140,204.915,368,1266.1,112.05,7.207,126.092,4439.7,72.214,0.135,2.00,17.2273,39846.8,1.7538,0.7524,13.56,1.562,0.542,1.4775,0.0000,0.281,0.211,0.273,0.0000,6.05,2.54,4,15,18,83,52.7509,4.3140,0.4864,0.4884,0.9893
120000,2377,2.960,0.288,19.35,41594,30838,1208,8192,1292,289599,501545.6,243904.4,0.070,0.782,0.103,0.045,195,19.31,12.87,0.34,1.93,3.95,4.69,0.11,0.86,8.24,7.29,0.02,0.16,0.134,0.155,1115,0.089,0.139,0.846,0.000,0.014,52289,37883,13,0.506,0.066,0.032,699088,0.106,1.976,0.019,26.81,24952,485,0.842,0.137,0.325,5383279,1.13,11.20,0.278,0.495,0.011,2.7,18.0,32.0,82.4,30029,0.115,0.00,0.0026,0.140,440,0.378,0.000,0.559,0.281,2.78,3.32,4.36,0.09,0.045,1.16,1.11,1.13,0.389,0.00373,7.34,12.2218,957.33,100368.0,139882.8,14.325,20.8379,99.378,245.861,0.824,0.308,56.2,44.904,51.546,154,460.6,101.37,3.977,37.136,2678.2,23.233,0.135,2.01,11.2672,26782.1,1.3643,0.6504,12.63,1.416,0.566,0.5225,0.0000,0.325,0.216,0.407,0.0000,6.60,2.53,3,14,17,81,35.1456,0.8973,0.4409,0.6084,0.9942
