step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,390,21.0,0.6,1.7,2.7,18.3,0.0,1.16,13.8,126,933,61.00,19.58,301,89,0,0.0,1.18,1.17,1.15,3.89,5.44,4.59,21.7,0.986,0.642,8.43
5000,2,188,41.6,1.2,2.2,7.5,22.5,0.0,1.18,0.2,72,1197,87.27,41.17,65,98,25,0.0,1.17,1.08,1.25,4.67,5.78,5.77,29.0,1.343,0.395,5.83
5000,14,158,47.0,4.0,0.3,2.3,45.4,0.0,1.90,1.3,68,769,72.60,15.82,23,74,61,0.0,1.79,2.22,1.80,6.45,7.22,7.68,36.0,0.862,0.425,7.77
5000,23,119,36.1,0.0,0.1,0.5,37.1,0.0,1.00,3.2,24,859,135.70,75.15,81,35,3,0.0,1.00,1.00,1.00,5.08,5.83,6.04,23.6,0.985,0.567,6.71
5000,15,107,44.9,1.0,0.0,23.0,23.5,0.0,1.28,0.3,44,1219,68.86,10.02,41,10,56,0.0,1.37,1.07,1.33,6.64,6.93,6.89,32.3,1.212,0.394,6.98
5000,4,84,8.4,0.4,0.7,0.0,8.9,0.0,1.11,15.8,33,956,57.97,19.57,74,10,0,0.0,1.11,1.18,1.09,2.58,3.42,3.30,22.8,0.773,0.497,7.26
5000,3,57,27.6,0.3,0.7,0.4,23.9,0.0,1.11,11.0,29,765,75.18,26.53,22,35,0,0.0,1.08,1.10,1.14,4.26,4.70,6.35,26.5,1.083,0.490,8.26
5000,6,53,19.6,0.0,0.2,1.6,20.8,0.0,1.00,7.4,20,643,79.38,25.99,26,20,7,0.0,1.00,1.00,1.00,3.60,4.34,5.19,26.5,0.886,0.542,6.62
5000,20,53,48.0,1.8,1.7,7.0,36.9,0.0,1.42,0.2,23,1339,194.40,39.71,41,12,0,0.0,1.32,1.47,1.44,5.91,6.81,6.92,19.6,1.052,0.497,6.92
5000,26,47,48.4,8.1,2.8,0.1,41.0,0.0,2.65,3.7,23,1191,110.85,31.08,22,24,1,0.0,3.69,1.00,2.92,7.13,9.00,7.91,24.6,0.805,0.317,9.38
5000,7,46,31.3,1.7,0.3,15.1,28.8,0.0,1.37,0.2,30,1344,163.57,65.05,44,2,0,0.1,1.63,1.00,1.42,5.89,6.78,6.87,19.4,0.784,0.393,6.87
5000,8,42,24.3,0.0,0.2,7.6,19.4,0.0,1.00,0.0,12,1135,79.70,51.34,0,34,8,0.0,1.00,1.00,1.00,4.33,5.21,5.19,35.1,1.037,0.344,5.21
5000,22,41,58.3,0.4,13.1,1.3,43.1,0.0,1.05,2.4,22,1425,202.79,90.62,13,28,0,0.5,1.00,1.11,1.05,7.32,7.76,8.00,28.3,1.010,0.499,8.49
5000,10,38,34.1,0.1,9.2,5.1,23.3,0.1,1.01,0.8,29,1787,72.66,22.48,36,2,0,0.1,1.02,1.00,1.01,5.05,6.87,6.82,20.0,0.971,0.475,7.05
5000,11,34,57.5,0.8,16.7,0.0,32.0,0.0,1.07,1.5,25,1231,92.17,14.34,5,16,13,0.2,1.00,1.14,1.07,5.65,7.71,7.56,35.4,1.141,0.569,8.00
5000,17,29,44.6,0.4,17.2,0.6,23.1,0.0,1.17,2.6,25,1752,93.03,49.42,20,2,7,0.0,1.19,1.06,1.22,5.10,6.45,7.17,25.1,1.068,0.666,7.45
5000,5,20,33.0,0.6,0.0,0.0,32.8,0.0,1.20,10.2,15,1194,61.11,12.53,2,7,11,0.0,1.40,1.02,1.20,4.95,7.65,5.15,38.2,0.962,0.488,8.95
5000,30,15,89.8,22.8,0.0,0.0,44.6,0.0,2.81,0.0,4,1421,114.13,15.83,2,10,3,0.0,1.00,7.68,1.28,6.67,8.20,8.20,33.0,0.992,0.462,8.20
5000,34,14,27.8,5.1,2.5,1.4,8.7,0.5,2.02,20.7,6,1564,70.29,9.68,14,0,0,0.5,2.13,1.77,2.09,5.14,4.14,10.50,11.6,1.273,0.627,11.00
5000,53,10,103.7,32.5,16.8,0.0,36.5,0.0,6.88,0.0,5,1875,343.54,27.14,7,3,0,3.0,2.44,10.54,7.27,9.40,9.40,9.40,24.2,0.874,0.558,9.40
5000,50,9,49.3,0.0,12.4,22.9,18.2,0.0,1.00,0.0,2,1722,44.82,1.49,0,5,4,0.0,1.00,1.00,1.00,7.67,8.22,8.22,36.8,1.172,0.478,8.22
5000,36,8,67.4,0.0,3.4,0.0,43.8,0.0,1.00,0.0,4,786,68.37,10.66,8,0,0,0.0,1.00,1.00,1.00,5.88,7.00,7.00,23.7,1.431,0.478,7.00
5000,27,6,63.8,2.5,2.8,0.0,60.5,0.0,1.00,0.0,3,2127,338.54,139.28,2,4,0,0.0,1.00,1.00,1.00,7.50,8.17,8.17,28.1,0.933,0.317,8.17
5000,29,6,23.0,0.0,0.0,0.0,22.2,0.0,1.00,17.3,4,1953,87.63,35.39,6,0,0,0.0,1.00,1.00,1.00,3.67,3.67,7.00,13.6,0.968,0.509,9.67
6000,1,419,18.2,0.5,1.7,2.3,15.8,0.1,1.13,15.2,136,1313,79.75,27.49,317,102,0,0.1,1.15,1.14,1.13,3.53,5.00,4.17,22.5,1.014,0.655,8.37
6000,14,222,46.0,4.2,0.5,1.6,43.6,0.0,1.99,1.7,93,978,80.67,15.52,57,96,69,0.0,1.92,2.25,1.90,6.39,7.22,7.54,31.8,0.863,0.454,7.77
6000,2,154,43.2,1.6,3.0,8.2,21.1,0.0,1.26,0.5,67,1986,118.24,44.79,65,70,19,0.0,1.26,1.10,1.34,4.71,5.84,5.84,28.2,1.373,0.404,5.95
6000,4,98,6.9,0.2,0.4,0.0,7.8,0.0,1.04,16.9,32,1350,76.20,28.42,89,9,0,0.0,1.01,1.06,1.04,2.39,3.11,2.96,21.8,0.754,0.464,7.23
6000,15,96,44.1,0.4,0.0,23.8,23.7,0.0,1.10,0.3,43,2163,88.26,10.23,31,9,56,0.0,1.11,1.08,1.10,6.55,6.96,6.92,34.8,1.211,0.393,7.02
6000,23,81,34.9,0.0,0.0,0.5,34.9,0.0,1.00,4.2,19,1250,144.60,64.09,72,6,3,0.0,1.00,1.00,1.00,4.93,5.52,5.75,21.2,1.026,0.585,6.69
6000,20,71,46.8,1.4,2.0,5.7,36.3,0.0,1.33,0.2,29,1644,221.52,41.70,48,23,0,0.0,1.23,1.39,1.35,6.10,6.69,6.77,21.3,1.058,0.518,6.77
6000,7,66,31.1,1.6,2.0,10.6,30.2,0.1,1.33,0.6,47,1643,192.10,69.77,55,11,0,0.3,1.59,1.00,1.37,5.53,6.77,6.70,21.3,0.768,0.407,6.89
6000,6,63,15.6,0.1,0.1,1.4,16.6,0.0,1.06,10.3,25,1031,89.82,26.05,43,13,7,0.0,1.06,1.06,1.07,3.13,3.68,4.73,24.2,0.863,0.495,6.76
6000,26,51,44.5,7.7,2.5,0.1,37.1,0.0,2.58,4.9,28,1986,208.33,57.88,27,23,1,0.0,3.58,1.00,2.84,6.71,8.49,7.51,23.0,0.818,0.317,9.24
6000,22,40,55.4,0.2,13.6,1.2,40.2,0.0,1.01,3.1,18,2076,284.53,125.26,13,27,0,0.4,1.00,1.06,1.00,7.00,7.62,7.72,28.1,1.007,0.498,8.45
6000,10,39,37.5,0.1,8.8,4.4,27.1,0.1,1.01,0.8,28,2557,103.09,29.11,37,2,0,0.1,1.02,1.00,1.01,5.28,7.03,6.97,19.7,0.975,0.468,7.21
