step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,253,43.9,4.0,2.1,1.2,31.5,0.0,1.65,3.5,100,930,71.77,32.72,141,105,7,0.3,1.35,1.97,1.63,5.68,6.35,7.43,25.6,1.059,0.530,7.77
5000,101,149,61.1,3.3,0.0,1.5,60.2,0.0,1.26,0.5,43,711,101.28,17.15,22,52,75,0.0,1.05,1.58,1.20,7.73,8.28,8.14,37.3,0.905,0.400,8.32
5000,29,138,21.5,1.4,2.6,0.0,15.6,0.0,1.39,8.8,80,647,15.90,3.47,21,97,20,0.0,1.46,1.27,1.41,3.76,6.00,5.21,32.5,1.028,0.436,7.57
5000,40,126,27.1,4.3,0.3,5.2,13.5,0.0,2.09,17.7,35,1003,45.94,9.59,112,14,0,0.0,2.45,2.78,1.80,4.33,7.80,4.84,13.8,1.088,0.667,10.63
5000,8,117,21.2,1.4,0.0,0.1,16.2,0.0,1.48,3.4,49,806,46.94,19.96,20,49,48,0.0,1.63,1.28,1.51,3.26,4.32,4.34,37.1,1.147,0.175,5.16
5000,49,61,9.9,1.7,0.2,1.0,4.8,0.0,1.90,10.6,11,685,26.06,6.50,29,26,6,0.0,1.08,3.02,1.82,2.11,4.33,2.39,26.8,1.116,0.491,6.00
5000,25,58,54.0,3.9,1.7,0.2,33.5,0.0,1.41,0.2,20,679,92.37,34.05,25,26,7,0.0,1.00,2.57,1.03,5.57,6.36,6.47,25.8,1.265,0.480,6.47
5000,81,53,29.4,0.0,15.6,0.0,13.8,0.0,1.00,8.9,31,768,55.02,19.61,38,15,0,0.0,1.00,1.00,1.00,4.06,5.51,5.62,23.1,0.976,0.716,7.72
5000,60,51,29.1,0.0,2.8,0.0,29.5,0.0,1.00,1.9,35,988,79.71,36.48,46,5,0,0.0,1.00,1.00,1.00,4.88,5.82,6.18,17.9,0.903,0.520,6.47
5000,2,49,18.4,0.3,0.1,3.2,20.8,0.0,1.11,5.1,19,847,50.28,17.49,0,27,22,0.1,1.13,1.18,1.08,4.14,5.18,4.92,37.8,0.795,0.359,6.33
5000,73,39,44.3,1.3,15.8,0.2,29.5,0.1,1.14,1.9,32,1201,84.22,33.60,33,6,0,0.2,1.14,1.23,1.10,7.13,8.21,8.10,19.5,0.927,0.501,8.36
5000,19,36,13.0,0.4,0.0,0.4,15.3,0.0,1.18,20.4,16,875,45.38,18.27,13,23,0,0.0,1.18,1.24,1.16,3.42,3.25,7.17,24.4,0.801,0.757,10.17
5000,10,35,59.4,1.0,1.5,26.4,31.2,0.0,1.11,0.1,14,1241,104.55,37.79,13,21,1,0.3,1.13,1.00,1.16,6.60,7.77,7.80,27.6,1.226,0.459,7.80
5000,87,28,52.4,0.9,20.2,0.0,28.3,0.2,1.11,0.1,12,1480,74.11,24.50,28,0,0,0.4,1.06,1.15,1.12,6.43,7.07,7.11,13.1,1.037,0.574,7.11
5000,9,27,11.6,2.0,0.3,0.4,9.1,0.0,2.19,15.6,17,355,17.71,8.68,27,0,0,0.0,2.04,2.20,2.33,2.67,3.63,3.85,9.8,0.836,0.497,7.63
5000,31,26,58.5,7.9,0.0,0.0,32.8,0.0,2.56,7.5,14,1442,82.68,15.88,19,7,0,0.0,1.38,3.45,2.74,5.46,6.88,7.96,17.6,1.210,0.428,9.31
5000,17,25,60.0,14.4,1.3,0.0,22.2,0.3,4.13,1.8,16,1091,134.24,53.42,17,8,0,0.6,3.04,5.08,4.20,5.16,6.88,6.96,23.6,1.121,0.604,7.36
5000,3,25,16.8,0.0,1.4,0.0,13.7,0.0,1.00,13.0,11,573,26.06,6.15,11,14,0,0.0,1.00,1.00,1.00,3.20,3.72,4.68,26.0,1.098,0.325,7.44
5000,48,22,26.8,6.6,0.0,2.0,18.7,0.0,2.35,3.4,12,796,69.28,36.12,18,4,0,0.0,1.40,3.88,2.12,4.23,6.09,5.14,19.1,0.811,0.278,6.45
5000,13,22,47.4,0.9,0.0,1.4,33.8,0.0,1.28,0.0,4,1332,107.85,97.20,13,9,0,0.0,1.36,1.13,1.32,4.09,6.00,6.00,25.2,1.309,0.408,6.00
5000,64,21,52.7,6.6,1.2,32.5,27.2,0.0,1.51,0.0,10,1766,115.01,36.19,0,15,6,0.0,1.01,1.83,1.59,6.29,8.29,8.29,34.6,0.911,0.462,8.29
5000,51,20,10.3,0.0,0.0,0.0,9.4,0.0,1.00,10.4,5,608,28.65,15.74,20,0,0,0.0,1.00,1.00,1.00,3.20,2.90,5.60,15.6,1.095,0.531,6.85
5000,12,15,17.1,0.0,0.0,9.1,17.2,0.0,1.00,7.6,7,1563,43.75,18.57,0,15,0,0.0,1.00,1.00,1.00,5.00,4.87,8.67,34.5,0.784,0.377,8.67
5000,75,13,28.5,0.0,0.0,3.3,21.7,0.0,1.00,12.5,7,1669,44.37,2.27,3,9,1,0.0,1.00,1.00,1.00,3.77,5.23,5.15,32.3,1.234,0.479,8.31
5000,99,11,47.5,3.3,0.0,0.0,37.5,0.0,1.96,0.0,4,783,55.98,22.54,9,2,0,0.0,2.37,2.30,1.59,6.55,6.36,6.36,23.7,1.101,0.376,6.36
5000,4,10,39.3,2.0,0.0,9.9,24.9,0.0,1.94,6.6,5,1754,59.39,12.10,2,8,0,0.0,2.10,1.78,1.94,5.20,6.20,6.50,27.0,1.160,0.549,8.00
5000,63,10,43.3,4.5,0.3,7.9,37.8,0.2,2.20,0.0,6,705,19.71,8.46,5,2,3,0.2,2.33,2.06,2.21,6.80,7.10,7.10,30.5,0.847,0.514,7.10
5000,56,9,44.2,0.7,5.0,19.1,22.8,0.0,1.00,0.0,4,1368,140.53,47.86,9,0,0,0.0,1.00,1.00,1.00,6.00,6.89,6.89,23.6,1.144,0.484,6.89
5000,67,8,49.1,1.9,16.8,0.0,29.9,0.0,1.24,0.0,4,1408,21.49,2.49,0,8,0,0.6,1.00,1.71,1.12,5.50,7.00,7.00,36.9,0.975,0.509,7.00
5000,35,8,23.3,0.0,5.6,0.0,21.8,0.0,1.00,4.5,5,893,35.66,36.11,8,0,0,0.0,1.00,1.00,1.00,4.12,6.50,5.25,23.9,0.851,0.534,7.00
5000,22,7,19.7,0.0,0.0,0.0,23.0,0.0,1.00,16.3,4,1875,46.93,31.86,7,0,0,0.0,1.00,1.00,1.00,4.00,5.86,5.43,10.6,0.860,0.629,9.71
5000,15,7,12.9,4.9,0.0,0.0,6.7,0.0,2.50,7.4,3,1892,34.96,5.97,7,0,0,0.0,1.67,4.14,2.29,4.14,7.00,5.00,16.8,0.790,0.471,7.00
5000,109,7,9.1,0.0,0.0,0.0,7.9,0.0,1.00,20.9,2,1076,29.93,5.17,7,0,0,0.0,1.00,1.00,1.00,2.29,2.86,2.71,21.7,1.175,0.737,8.00
5000,90,6,44.3,0.0,0.0,23.0,26.0,0.0,1.00,0.0,1,1315,167.00,75.92,6,0,0,0.0,1.00,1.00,1.00,5.83,7.00,7.00,21.8,1.180,0.457,7.00
5000,21,5,65.9,10.4,0.0,27.4,33.0,0.0,1.73,0.0,4,1787,89.00,54.83,5,0,0,0.0,1.00,3.49,1.22,7.80,8.40,8.40,20.7,0.981,0.526,8.40
5000,38,5,26.4,9.6,0.0,0.4,12.6,0.0,4.49,10.4,5,1864,60.19,12.59,0,5,0,0.0,5.39,4.92,3.92,3.80,5.00,5.40,26.5,0.791,0.611,7.80
6000,1,390,39.7,3.6,3.1,1.2,25.5,0.0,1.77,4.4,152,1189,96.17,35.07,204,174,12,0.2,1.41,2.11,1.87,5.09,6.00,6.66,25.3,1.078,0.512,7.37
6000,29,192,22.7,2.0,3.9,0.0,14.1,0.0,1.54,8.7,138,1180,37.16,14.57,48,111,33,0.0,1.67,1.37,1.57,3.88,5.90,5.12,29.9,1.028,0.454,7.55
6000,101,189,56.2,2.1,0.1,0.8,58.2,0.0,1.23,0.3,51,998,110.08,16.06,23,50,116,0.0,1.02,1.46,1.22,7.53,8.02,7.92,39.8,0.892,0.391,8.05
6000,40,152,26.9,4.2,0.2,5.9,13.2,0.0,2.09,17.9,53,1452,66.81,13.68,137,14,1,0.0,2.40,2.75,1.81,4.40,7.50,4.91,13.5,1.083,0.665,10.60
6000,49,82,13.4,1.6,0.0,1.7,8.0,0.0,1.77,8.6,23,917,37.88,10.98,41,39,2,0.0,1.02,2.64,1.74,2.71,4.67,2.98,25.3,1.107,0.496,5.96
6000,8,61,23.2,1.2,0.0,0.1,18.1,0.0,1.37,2.1,28,1793,97.95,40.52,8,22,31,0.0,1.55,1.19,1.37,3.49,4.61,4.62,38.9,1.149,0.175,5.15
6000,60,60,19.9,0.0,1.9,1.2,18.3,0.0,1.00,5.2,32,908,66.74,27.28,41,19,0,0.0,1.00,1.00,1.00,3.63,5.73,4.57,20.7,0.990,0.561,6.45
6000,31,49,61.3,8.2,0.4,0.0,35.4,0.0,2.68,4.3,20,1127,77.23,16.25,28,21,0,0.1,1.52,3.54,2.86,5.55,7.24,8.35,21.5,1.167,0.416,8.88
6000,81,43,34.7,0.0,18.8,0.0,15.8,0.0,1.00,6.1,32,1725,101.86,28.91,26,17,0,0.0,1.00,1.00,1.00,4.53,5.84,6.35,23.3,0.985,0.706,7.56
6000,10,41,55.6,1.3,1.5,25.0,28.2,0.0,1.16,1.0,20,1754,140.84,45.84,12,28,1,0.3,1.24,1.00,1.20,5.95,7.71,7.41,27.9,1.214,0.459,7.73
6000,73,35,43.5,1.4,14.9,0.2,29.4,0.1,1.15,2.1,33,2179,130.73,52.30,31,4,0,0.3,1.16,1.26,1.11,7.11,8.20,8.09,18.9,0.922,0.506,8.37
6000,17,34,48.2,11.3,0.9,0.0,18.7,0.2,3.39,5.6,18,1521,172.10,58.17,26,8,0,0.5,2.50,4.20,3.43,4.50,6.15,5.97,23.0,1.105,0.595,7.47
6000,2,31,22.1,0.0,0.0,3.3,26.5,0.0,1.00,2.9,20,998,47.48,20.17,0,17,14,0.0,1.00,1.00,1.00,5.26,5.77,5.61,38.9,0.783,0.373,6.42
