step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2898,0.00,64.47,124.83,996,2,1,0,1.00,1.00,1.00,2,4,4,41.3,7.280,16,2.000,0.195,4
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2866,0.00,59.89,207.78,990,2,1,0,1.00,1.00,1.00,2,4,4,49.6,14.747,16,2.000,0.326,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2865,2.75,235.81,124.51,973,0,0,0,1.00,1.00,1.00,2,4,4,2.8,130.890,16,2.000,0.144,4
100000,24.00,16,0,9,0,3,0,1.00,0,0.375,2860,2.28,38.05,154.99,844,0,2,0,1.00,1.00,1.00,1,4,4,16.9,8.615,12,2.000,0.304,4
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2849,0.00,63.06,121.24,996,2,1,0,1.00,1.00,1.00,2,4,4,50.7,20.649,16,2.000,0.257,4
100000,28.00,16,0,9,0,5,0,1.00,0,0.321,2830,4.38,51.55,176.30,1001,1,2,0,1.00,1.00,1.00,1,4,4,26.0,0.900,14,2.000,0.079,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2771,0.00,126.22,150.57,844,0,1,0,1.00,1.00,1.00,2,4,4,12.6,76.110,16,2.000,0.276,4
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,2758,0.00,63.12,132.57,844,0,0,0,1.00,1.00,1.00,2,4,4,9.3,21.164,12,2.000,0.319,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2688,0.74,64.65,72.33,844,0,0,0,1.00,1.00,1.00,2,4,4,6.7,52.893,16,2.000,0.276,4
100000,32.00,16,0,0,0,16,0,1.00,0,0.000,2688,0.00,222.36,139.60,1004,0,0,0,1.00,1.00,1.00,2,4,4,16.3,69.357,16,2.000,0.125,4
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,2685,0.00,64.83,143.53,844,0,0,0,1.00,1.00,1.00,2,4,4,20.3,0.000,14,2.000,0.276,4
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,2655,0.00,47.60,197.54,984,2,1,0,1.00,1.00,1.00,4,4,4,54.2,29.313,14,2.000,0.174,4
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2618,0.00,64.21,110.31,1000,2,1,0,1.00,1.00,1.00,2,4,4,40.9,21.370,15,2.000,0.226,4
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2601,1.03,60.57,162.52,1000,2,0,0,1.00,1.00,1.00,2,4,4,52.7,40.350,15,2.000,0.226,4
100000,50.00,25,0,18,0,7,0,1.00,0,0.360,2596,4.21,109.98,74.92,1014,0,2,0,1.00,1.00,1.00,4,5,5,3.1,72.489,25,2.000,0.618,5
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2595,4.66,124.53,164.50,844,1,0,0,1.00,1.00,1.00,1,4,4,24.5,87.593,16,2.000,0.175,4
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,2587,0.00,107.41,132.71,844,0,0,0,1.00,1.00,1.00,2,4,4,4.3,63.471,14,2.000,0.319,4
100000,38.00,25,0,14,0,5,0,1.00,0,0.368,2580,2.00,23.54,78.27,1014,2,1,0,1.00,1.00,1.00,4,5,5,50.3,2.943,19,2.000,0.618,5
100000,50.00,25,0,18,0,7,0,1.00,0,0.360,2578,4.30,264.95,164.90,1014,0,1,0,1.00,1.00,1.00,4,5,5,4.4,185.434,25,2.000,0.618,5
100000,30.00,16,0,11,0,4,0,1.00,0,0.367,2565,0.00,46.37,129.00,915,1,2,0,1.00,1.00,1.00,2,4,4,34.1,9.629,15,2.000,0.158,4
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,2556,0.00,49.89,185.87,1000,2,0,0,1.00,1.00,1.00,4,4,4,60.9,34.566,12,2.000,0.241,4
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,2548,2.98,88.43,110.10,844,0,0,0,1.00,1.00,1.00,2,4,4,4.8,69.428,12,2.000,0.308,4
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2529,0.33,42.97,136.78,970,1,0,0,1.00,1.00,1.00,4,4,4,34.5,12.367,16,2.000,0.711,4
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2496,2.61,79.49,198.65,990,0,1,0,1.00,1.00,1.00,2,4,4,18.4,52.476,14,2.000,0.326,4
