step,event,lineage,other,size
5000,birth,1,0,399
5000,birth,2,0,56
5000,birth,3,0,290
5000,birth,5,0,6
5000,birth,8,0,26
5000,birth,9,0,24
5000,birth,16,0,31
5000,birth,17,0,29
5000,birth,18,0,8
5000,birth,19,0,37
5000,birth,21,0,14
5000,birth,25,0,85
5000,birth,28,0,5
5000,birth,29,0,62
5000,birth,31,0,49
5000,birth,34,0,5
5000,birth,35,0,81
5000,birth,37,0,19
5000,birth,38,0,5
5000,birth,41,0,28
5000,birth,44,0,16
5000,birth,50,0,28
5000,birth,57,0,63
5000,birth,61,0,60
5000,birth,77,0,15
5000,birth,78,0,25
5000,birth,81,0,6
5000,birth,86,0,26
5000,birth,100,0,27
5000,birth,112,0,20
5000,birth,121,0,22
6000,birth,136,0,46
7000,birth,82,0,33
7000,merge,2,1,43
7000,extinct,5,0,6
7000,merge,8,1,36
7000,extinct,21,0,19
7000,extinct,28,0,5
7000,extinct,34,0,5
7000,extinct,38,0,5
7000,extinct,44,0,15
8000,birth,107,0,11
8000,birth,137,0,17
8000,birth,142,0,164
8000,birth,154,0,13
8000,birth,155,0,22
8000,extinct,37,0,15
8000,extinct,77,0,15
9000,birth,13,0,60
9000,extinct,19,0,5
10000,extinct,82,0,39
11000,split,166,25,23
11000,split,168,57,10
11000,split,170,1,18
11000,extinct,16,0,8
12000,split,171,3,9
12000,extinct,100,0,11
12000,extinct,155,0,8
13000,extinct,9,0,7
13000,extinct,107,0,8
13000,extinct,112,0,5
13000,extinct,168,0,10
14000,extinct,13,0,29
14000,extinct,18,0,6
14000,extinct,50,0,16
14000,extinct,57,0,5
14000,extinct,61,0,11
14000,extinct,121,0,8
14000,extinct,136,0,5
14000,extinct,154,0,7
14000,extinct,166,0,14
14000,extinct,170,0,11
14000,extinct,171,0,9
15000,extinct,1,0,6
15000,extinct,17,0,6
15000,extinct,31,0,10
15000,extinct,35,0,12
15000,extinct,78,0,5
15000,extinct,81,0,17
15000,extinct,137,0,9
15000,extinct,142,0,5
16000,extinct,41,0,5
16000,extinct,86,0,17
17000,split,196,3,29
17000,split,199,3,11
18000,extinct,25,0,7
18000,extinct,29,0,13
20000,extinct,199,0,17
21000,split,213,3,159
22000,extinct,196,0,5
26000,extinct,213,0,6
27000,split,222,3,638
28000,split,229,3,58
29000,split,243,3,60
29000,split,245,222,135
30000,split,257,3,8
30000,split,259,3,10
31000,extinct,257,0,8
32000,split,296,3,459
32000,split,299,3,9
32000,extinct,243,0,84
32000,extinct,259,0,10
