step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,5,494,25.8,3.1,1.0,2.8,16.0,0.0,1.56,15.1,209,941,45.68,12.30,302,105,87,0.1,1.64,2.00,1.47,4.69,8.53,4.20,25.0,1.057,0.556,10.05
5000,1,293,44.0,5.8,2.9,1.9,30.6,0.1,2.35,4.0,104,1256,104.07,43.74,161,85,47,0.3,2.24,2.54,2.42,5.60,6.36,6.94,27.5,0.974,0.527,7.65
5000,10,98,20.8,1.1,0.0,4.5,17.9,0.0,1.32,5.8,51,708,72.93,26.11,69,29,0,0.0,1.22,1.34,1.35,4.14,5.20,4.84,20.2,0.920,0.399,6.46
5000,6,85,11.3,0.4,0.1,0.4,11.2,0.0,1.12,9.2,40,590,42.81,22.25,0,26,59,0.0,1.10,1.11,1.15,2.78,4.81,3.12,38.6,0.945,0.302,6.26
5000,51,60,42.8,0.4,14.8,0.0,25.0,0.0,1.13,3.0,46,1435,67.05,22.90,19,8,33,0.0,1.14,1.13,1.11,4.98,6.87,6.70,34.0,1.058,0.701,7.38
5000,47,52,23.8,0.0,0.0,12.0,22.2,0.0,1.01,0.0,28,1160,27.23,3.44,3,16,33,0.0,1.01,1.00,1.01,5.58,5.94,5.94,38.5,0.846,0.591,5.94
5000,9,45,20.8,0.2,0.4,6.9,14.1,0.0,1.04,7.8,24,1466,67.87,26.61,0,38,7,0.0,1.06,1.00,1.06,3.73,5.18,5.98,35.2,1.136,0.391,7.33
5000,56,44,9.9,1.9,0.1,0.2,7.7,0.1,1.81,19.4,23,1315,59.46,31.23,30,13,1,0.1,2.09,1.47,1.85,3.02,3.50,4.14,23.5,0.844,0.445,8.55
5000,89,40,23.5,0.1,1.0,23.5,16.3,0.0,1.01,8.6,7,1847,107.49,24.68,25,14,1,0.1,1.00,1.03,1.01,5.55,6.80,6.78,25.5,0.803,0.382,8.95
5000,53,33,14.4,0.2,0.0,0.0,12.9,0.0,1.13,14.1,14,614,57.75,26.89,0,33,0,0.0,1.12,1.17,1.12,2.91,3.48,3.58,29.3,1.068,0.328,7.06
5000,23,32,59.8,0.0,4.3,21.5,33.0,0.0,1.00,0.4,25,1270,80.73,20.20,1,7,24,0.0,1.00,1.00,1.00,6.69,7.75,7.81,41.2,1.240,0.413,7.88
5000,95,31,48.6,0.0,0.0,0.0,41.5,0.0,1.00,1.7,6,1032,122.95,53.25,26,5,0,0.0,1.00,1.00,1.00,6.00,6.35,6.35,23.9,1.188,0.546,6.77
5000,92,19,33.1,0.5,17.4,0.2,18.5,0.0,1.09,6.5,8,1592,51.35,25.09,7,10,2,0.4,1.03,1.18,1.08,5.84,8.21,4.95,28.9,0.892,0.372,8.21
5000,31,19,43.8,0.0,11.0,0.0,27.8,0.0,1.00,4.6,8,661,39.41,10.89,0,0,19,0.0,1.00,1.00,1.00,5.42,5.89,7.58,54.4,1.129,0.391,7.89
5000,33,18,30.0,1.9,0.0,0.0,31.7,0.0,1.31,6.4,9,1460,138.90,54.59,16,2,0,0.0,1.00,1.58,1.34,5.06,6.17,5.83,19.5,0.849,0.279,7.61
5000,88,15,11.0,0.0,5.3,0.0,6.7,0.0,1.00,10.8,6,1224,28.06,6.55,15,0,0,0.0,1.00,1.00,1.00,2.53,3.80,4.13,22.3,0.916,0.583,6.67
5000,90,14,13.1,0.0,0.0,2.6,13.5,0.0,1.00,13.7,4,1596,37.45,17.20,0,14,0,0.0,1.00,1.00,1.00,4.29,3.57,8.57,34.0,0.878,0.483,8.93
5000,11,14,67.5,13.0,0.0,18.6,34.9,0.0,2.96,0.0,4,1487,302.12,74.33,0,14,0,0.0,1.00,4.92,2.95,8.86,9.00,9.00,30.4,0.961,0.345,9.00
5000,80,12,78.1,23.2,0.0,0.4,36.4,0.0,6.58,0.0,7,1966,150.21,42.74,12,0,0,0.0,8.23,2.81,7.64,7.17,8.00,8.00,20.4,0.942,0.524,8.00
5000,38,12,15.5,0.2,0.0,0.0,14.2,0.0,1.07,9.5,7,1716,109.72,53.70,12,0,0,0.0,1.00,1.11,1.08,3.75,4.17,5.75,20.2,1.060,0.511,7.08
5000,27,11,11.4,0.0,0.0,0.5,9.8,0.0,1.00,2.0,4,1408,51.26,47.91,11,0,0,0.0,1.00,1.00,1.00,3.09,4.18,5.18,18.8,1.131,0.254,5.18
5000,72,9,83.6,0.0,0.0,0.0,83.7,0.0,1.00,0.0,2,1330,228.82,89.15,8,0,1,0.0,1.00,1.00,1.00,11.56,10.00,10.00,13.1,0.999,0.435,10.00
5000,36,8,45.8,0.0,0.0,0.0,42.5,0.0,1.00,5.0,6,1462,99.14,8.93,0,3,5,0.0,1.00,1.00,1.00,6.75,6.88,9.12,40.8,1.058,0.639,9.25
5000,65,5,45.6,0.0,0.0,0.0,49.0,0.0,1.00,0.0,1,1387,93.51,69.32,5,0,0,0.0,1.00,1.00,1.00,5.40,7.00,7.00,21.1,0.931,0.639,7.00
5000,52,5,50.3,0.0,0.0,0.0,51.8,0.0,1.00,0.0,3,1922,89.30,50.88,5,0,0,0.0,1.00,1.00,1.00,7.20,7.20,7.20,18.3,0.980,0.551,7.20
6000,5,461,28.4,3.5,1.4,3.4,17.2,0.0,1.62,13.2,208,1508,63.68,15.55,269,93,99,0.1,1.64,2.09,1.53,5.07,8.92,4.70,25.2,1.045,0.558,10.01
6000,1,299,46.1,5.6,3.0,1.7,33.2,0.1,2.33,2.6,112,1721,139.70,54.03,170,89,40,0.3,2.26,2.48,2.40,6.00,6.61,7.30,27.4,0.965,0.528,7.62
6000,10,82,22.7,1.1,0.0,6.6,19.0,0.0,1.33,3.4,42,1473,134.77,42.12,48,28,6,0.0,1.27,1.34,1.37,4.66,5.68,5.41,23.0,0.921,0.397,6.39
6000,51,64,39.7,0.4,13.8,0.0,23.1,0.0,1.17,4.6,45,2190,89.27,24.31,19,13,32,0.0,1.17,1.16,1.18,4.72,6.81,6.20,33.7,1.067,0.700,7.31
6000,56,63,9.8,1.0,0.0,0.0,9.5,0.0,1.39,15.6,24,1133,58.20,32.86,58,5,0,0.0,1.49,1.21,1.43,2.56,3.14,4.44,17.7,0.847,0.596,7.67
6000,31,53,36.9,1.1,7.5,1.2,24.2,0.1,1.22,5.1,28,910,47.33,19.24,0,24,29,0.1,1.39,1.11,1.19,4.70,5.75,6.75,40.9,1.047,0.411,7.53
6000,47,50,22.1,0.0,0.0,12.7,19.9,0.0,1.01,0.3,26,1443,30.24,4.33,4,9,37,0.0,1.01,1.00,1.01,5.54,5.72,5.70,38.1,0.849,0.616,5.78
6000,88,45,9.6,0.4,4.5,0.0,5.1,0.0,1.18,10.9,17,766,26.55,4.02,44,1,0,0.0,1.24,1.24,1.13,2.49,3.13,3.60,21.5,0.936,0.598,6.09
6000,89,43,23.7,0.5,0.9,23.2,16.1,0.0,1.12,8.2,8,2639,150.88,34.92,29,13,1,0.1,1.13,1.22,1.07,5.53,6.84,6.81,25.1,0.802,0.386,8.88
6000,9,37,23.6,0.2,0.5,7.1,16.6,0.0,1.05,6.8,25,2251,89.74,33.59,0,30,7,0.0,1.07,1.00,1.07,4.03,5.57,6.27,35.2,1.127,0.386,7.35
6000,23,33,58.5,0.1,4.3,22.0,31.5,0.0,1.00,0.8,25,1630,106.15,24.88,2,7,24,0.0,1.02,1.00,1.00,6.82,7.61,7.73,40.7,1.241,0.397,7.88
