step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied
10000,2301,0.789,0.557,9.63,40895,31608,3833,331,4252,39330,1085022.4,365954.5,0.308,0.369,0.170,0.152,89,26.66,21.19,1.96,5.76,2.15,6.05,2.52,5.83,18.60,14.77,0.05,0.47,0.059,0.155,1100,0.025,0.070,0.910,0.000,0.020,219980,212639,32,0.155,0.351,0.276,7090168,0.276,2.535,0.041,6.65,70680,357,9.305,0.465,0.233,10022040,1.45,10.93,0.120,0.156,0.017,5.3,20.6,56.4,117.5,58049,0.221,0.00,0.0025,0.043,354,0.952,0.000,0.691,0.815,4.31,6.02,5.15,0.11,0.036,1.50,1.47,1.44,0.953,0.00038,2.17,67.9087,2372.91,90284.0,140185.7,87.576,95.3974,164.439,901.965,0.977,0.290,67.3,75.293,244.832,575,2464.8,52.66,25.382,155.008,3818.5,92.033,0.134,2.00,16.3703,37668.2,0.9000,0.4428,25.23,1.036,0.141,1.5345,0.0000,0.500,0.105,0.522,0.0000,8.27,1.68,5,21,50,100,70.9244,3.4935,0.6484,0.0000,0.0000
20000,2630,0.802,0.449,11.81,30171,25046,1370,950,2476,43698,468300.1,135286.0,0.167,0.559,0.118,0.156,181,19.99,17.51,0.58,2.63,5.04,10.39,1.65,4.97,11.00,9.00,0.04,0.42,0.129,0.240,1303,0.044,0.110,0.864,0.000,0.026,78588,73420,8,0.455,0.243,0.226,3539447,0.246,2.547,0.032,15.01,31055,701,3.096,0.207,0.264,6201020,1.14,8.26,0.043,0.319,0.014,3.8,13.4,48.0,139.8,48048,0.183,0.00,0.0016,0.072,610,0.688,0.000,0.715,0.629,3.69,4.55,5.21,0.11,0.040,1.11,1.20,1.14,0.690,0.00090,3.12,18.5359,2155.59,99753.9,140185.7,9.507,24.5164,82.367,556.103,0.989,0.326,56.2,40.079,62.751,305,1285.5,72.32,5.334,48.638,3518.9,31.938,0.134,2.00,11.3500,29850.6,1.1010,0.6326,18.27,1.089,0.137,0.4655,0.0000,0.506,0.073,0.502,0.0000,6.85,1.04,3,12,44,100,36.4126,1.3056,0.5840,0.0000,0.0000
30000,3147,0.900,0.507,13.58,100268,72917,2017,11287,13530,383522,1056791.8,623028.7,0.175,0.531,0.158,0.136,124,20.54,17.94,0.43,2.09,4.29,6.50,0.31,1.76,8.16,6.74,0.01,0.12,0.128,0.170,2041,0.015,0.086,0.895,0.001,0.018,315802,283155,15,0.223,0.475,0.071,3118038,0.241,2.458,0.040,9.92,125335,580,1.624,0.213,0.349,19035443,1.14,9.77,0.059,0.570,0.003,3.1,13.7,46.5,105.0,41537,0.158,0.00,0.0041,0.090,624,0.846,0.000,0.859,0.685,2.99,3.59,4.42,0.06,0.036,1.12,1.18,1.14,0.853,0.00097,2.91,68.0502,2534.87,93032.4,140185.7,87.511,83.2210,174.528,957.583,0.995,0.284,67.0,77.092,243.416,399,1682.0,63.65,7.707,151.062,3807.2,99.585,0.135,2.00,11.0119,34654.4,1.4167,0.6998,13.20,1.404,0.350,1.5345,0.0000,0.504,0.094,0.505,0.0000,6.40,1.17,3,11,25,69,65.3983,8.6548,0.5386,0.0000,0.0000
40000,2623,1.061,0.502,20.54,58899,44007,287,12379,2750,467754,480727.8,393733.3,0.113,0.611,0.187,0.089,184,17.56,12.79,0.19,1.43,3.30,4.54,0.13,1.18,7.07,5.40,0.00,0.07,0.132,0.163,1444,0.019,0.104,0.877,0.000,0.019,114736,91348,5,0.259,0.362,0.032,789786,0.190,2.507,0.037,15.78,55526,470,0.842,0.174,0.313,7152614,1.07,8.14,0.138,0.538,0.002,3.4,14.3,32.0,98.0,28021,0.107,0.00,0.0026,0.087,568,0.565,0.000,0.676,0.503,2.41,3.16,4.32,0.04,0.020,1.08,1.07,1.07,0.582,0.00222,2.75,21.4700,2346.89,106195.6,140185.7,9.399,25.3402,95.693,562.117,0.936,0.353,52.6,40.103,62.251,307,1126.2,75.06,4.861,48.351,4312.9,32.537,0.135,2.00,8.3920,22012.3,1.2929,0.5902,10.68,1.564,0.462,0.4655,0.0000,0.744,0.194,0.945,0.0000,5.70,1.65,3,11,16,54,32.9305,1.3485,0.4571,0.0000,0.0000
50000,2917,0.952,0.575,24.98,104502,68237,902,27797,7272,644474,989946.7,858587.8,0.132,0.502,0.315,0.051,96,21.40,14.00,0.40,2.09,5.30,5.51,0.16,1.43,6.14,5.18,0.01,0.19,0.182,0.176,1305,0.076,0.083,0.897,0.001,0.019,291752,247021,14,0.300,0.340,0.027,831777,0.225,2.724,0.043,13.58,156642,456,1.332,0.197,0.336,14969216,1.16,6.46,0.332,0.469,0.007,3.6,23.1,32.0,156.0,35022,0.134,0.00,0.0055,0.086,645,0.772,0.000,0.732,0.647,2.34,3.39,4.05,0.06,0.037,1.17,1.14,1.18,0.786,0.00176,5.21,69.1104,2559.98,85985.1,140185.7,73.209,107.0785,171.450,714.476,0.976,0.273,61.9,63.890,235.298,406,1532.0,83.77,7.198,159.410,4894.5,89.368,0.134,2.00,13.9509,40694.7,1.5470,0.8711,12.01,1.641,0.456,1.5345,0.0000,0.673,0.147,0.922,0.0000,5.29,1.56,3,14,16,68,53.6231,5.1385,0.5218,0.0000,0.0000
60000,2727,0.925,0.399,21.09,48822,35598,911,9565,2938,272701,471537.1,281433.3,0.135,0.599,0.234,0.032,180,19.30,14.35,0.21,1.71,4.63,5.95,0.08,1.18,6.81,5.64,0.00,0.03,0.151,0.180,1072,0.078,0.118,0.862,0.000,0.019,92497,75798,9,0.507,0.133,0.020,413615,0.205,2.022,0.032,16.74,47443,419,1.032,0.210,0.283,6804141,1.07,8.36,0.284,0.416,0.001,3.3,16.5,32.0,194.0,32007,0.122,0.00,0.0025,0.088,559,0.583,0.000,0.601,0.491,2.43,3.08,4.48,0.05,0.038,1.07,1.05,1.09,0.594,0.00149,3.51,18.7050,1344.66,97555.9,140185.7,8.236,26.2222,91.028,528.047,0.941,0.328,52.5,39.467,59.664,211,803.8,45.52,4.156,47.789,4041.6,30.637,0.136,2.00,11.9042,32462.6,1.4231,0.6741,11.74,1.501,0.464,0.4655,0.0000,0.631,0.141,0.884,0.0000,5.82,1.67,3,12,16,81,33.9757,1.4392,0.4947,0.0000,0.0000
70000,2878,0.941,0.587,25.84,83929,56742,2262,17691,7083,402445,936386.1,561635.8,0.140,0.545,0.283,0.031,109,22.49,14.73,0.39,1.83,5.47,5.73,0.08,0.74,6.21,4.29,0.00,0.08,0.174,0.166,1136,0.082,0.082,0.905,0.000,0.014,217352,186249,24,0.213,0.331,0.019,649469,0.271,3.361,0.042,15.44,113014,411,1.396,0.195,0.292,15199574,1.14,5.99,0.407,0.394,0.004,3.5,28.0,32.0,162.0,34942,0.133,0.00,0.0052,0.084,623,0.780,0.000,0.614,0.621,2.26,3.32,4.00,0.08,0.057,1.12,1.11,1.18,0.790,0.00138,6.93,56.3739,3039.16,80284.1,140185.7,79.733,99.0457,162.071,710.673,0.983,0.243,63.8,63.968,230.673,368,1497.5,130.49,7.113,149.301,4740.9,81.408,0.134,2.00,16.0588,46217.3,1.7201,0.7924,12.14,1.683,0.447,1.5345,0.0000,0.660,0.155,0.882,0.0000,5.12,1.45,3,15,16,81,55.7816,4.2076,0.5563,0.0000,0.0000
80000,2595,0.985,0.420,19.81,45918,33775,1224,8231,2971,231367,474363.5,266107.0,0.118,0.598,0.254,0.029,182,18.74,14.39,0.22,1.34,4.30,5.70,0.11,0.85,6.69,5.36,0.00,0.04,0.138,0.169,1177,0.047,0.098,0.881,0.000,0.020,90762,74875,15,0.417,0.103,0.034,477450,0.201,2.226,0.030,16.95,46633,433,1.150,0.209,0.294,6861907,1.07,8.55,0.273,0.449,0.001,3.1,14.1,32.0,129.0,29384,0.112,0.00,0.0027,0.074,589,0.585,0.000,0.566,0.507,2.40,3.17,4.29,0.05,0.032,1.06,1.06,1.09,0.594,0.00137,3.80,20.0951,1818.38,97679.9,140185.7,8.853,25.8324,90.334,546.186,0.948,0.321,48.1,39.529,58.927,219,797.1,43.55,3.979,46.673,3833.0,30.636,0.134,2.00,12.3517,32052.6,1.5679,0.6983,11.32,1.477,0.484,0.4655,0.0000,0.613,0.161,0.822,0.0000,5.81,1.60,3,12,16,59,34.0797,1.8884,0.4663,0.0000,0.0000
90000,3077,0.882,0.553,22.49,89187,59237,2326,19116,8026,411815,980885.8,601278.0,0.135,0.561,0.272,0.032,109,22.11,15.00,0.48,2.23,5.06,5.52,0.13,1.02,6.84,5.15,0.01,0.12,0.163,0.167,1317,0.106,0.098,0.888,0.000,0.014,242061,208540,18,0.221,0.315,0.032,962466,0.229,2.898,0.040,15.41,121928,406,1.460,0.202,0.259,16733580,1.17,6.46,0.327,0.434,0.005,4.0,24.5,34.0,152.0,38491,0.147,0.00,0.0047,0.092,697,0.802,0.000,0.654,0.637,2.44,3.43,4.22,0.08,0.050,1.14,1.15,1.19,0.811,0.00129,7.07,61.3275,2461.98,81041.9,140185.7,78.073,97.7602,167.695,748.722,0.979,0.249,67.3,66.839,230.935,365,1408.5,110.52,7.107,150.851,4793.0,86.122,0.135,2.00,14.9309,45942.4,1.5076,0.7993,12.51,1.594,0.467,1.5345,0.0000,0.680,0.166,0.893,0.0000,5.39,1.55,4,14,16,72,57.6773,5.1871,0.5635,0.0000,0.0000
100000,2663,0.901,0.461,19.52,45807,33634,1222,8415,2950,252484,466208.7,268857.5,0.120,0.606,0.245,0.029,183,20.07,14.07,0.29,1.81,4.75,5.86,0.42,1.91,7.04,5.71,0.02,0.20,0.160,0.187,1201,0.054,0.103,0.882,0.000,0.015,91413,76637,11,0.320,0.119,0.091,1123421,0.206,2.579,0.034,16.29,44872,429,1.065,0.200,0.296,7049106,1.10,7.06,0.308,0.410,0.009,3.3,17.4,32.0,142.0,33254,0.127,0.00,0.0025,0.078,606,0.602,0.000,0.577,0.512,2.47,3.39,4.46,0.05,0.029,1.10,1.09,1.11,0.612,0.00133,3.62,19.8195,1758.05,99035.6,140185.7,8.608,26.8920,89.199,528.730,0.940,0.331,49.9,38.950,59.719,298,1102.0,136.41,3.895,47.756,4312.0,30.576,0.137,1.99,11.2960,30081.1,1.2777,0.6624,12.49,1.493,0.459,0.4655,0.0000,0.603,0.130,0.834,0.0000,5.62,1.51,3,14,18,71,33.6096,1.7864,0.5171,0.0000,0.0000
