step,measure,value,count
50000,hamming,0,152
50000,hamming,1,360
50000,hamming,2,547
50000,hamming,3,631
50000,hamming,4,748
50000,hamming,5,867
50000,hamming,6,905
50000,hamming,7,973
50000,hamming,8,1096
50000,hamming,9,1034
50000,hamming,10,1079
50000,hamming,11,1070
50000,hamming,12,1107
50000,hamming,13,1086
50000,hamming,14,1156
50000,hamming,15,1236
50000,hamming,16,1232
50000,hamming,17,1261
50000,hamming,18,1162
50000,hamming,19,1209
50000,hamming,20,1131
50000,hamming,21,1222
50000,hamming,22,1249
50000,hamming,23,1317
50000,hamming,24,1398
50000,hamming,25,1508
50000,hamming,26,1699
50000,hamming,27,1713
50000,hamming,28,1871
50000,hamming,29,1930
50000,hamming,30,2093
50000,hamming,31,2203
50000,hamming,32,2406
50000,hamming,33,2543
50000,hamming,34,2759
50000,hamming,35,2901
50000,hamming,36,3142
50000,hamming,37,3396
50000,hamming,38,3710
50000,hamming,39,3949
50000,hamming,40,4323
50000,hamming,41,4565
50000,hamming,42,4804
50000,hamming,43,5142
50000,hamming,44,5234
50000,hamming,45,5144
50000,hamming,46,5302
50000,hamming,47,5236
50000,hamming,48,5314
50000,hamming,49,5089
50000,hamming,50,5138
50000,hamming,51,4915
50000,hamming,52,4805
50000,hamming,53,4670
50000,hamming,54,4698
50000,hamming,55,4480
50000,hamming,56,4350
50000,hamming,57,4299
50000,hamming,58,4021
50000,hamming,59,3739
50000,hamming,60,3635
50000,hamming,61,3495
50000,hamming,62,3392
50000,hamming,63,3293
50000,hamming,64,3197
50000,hamming,65,3096
50000,hamming,66,2923
50000,hamming,67,2820
50000,hamming,68,2733
50000,hamming,69,2612
50000,hamming,70,2505
50000,hamming,71,2396
50000,hamming,72,2324
50000,hamming,73,2214
50000,hamming,74,2245
50000,hamming,75,2142
50000,hamming,76,2062
50000,hamming,77,2039
50000,hamming,78,1963
50000,hamming,79,1875
50000,hamming,80,1775
50000,hamming,81,1665
50000,hamming,82,1669
50000,hamming,83,1588
50000,hamming,84,1492
50000,hamming,85,1474
50000,hamming,86,1367
50000,hamming,87,1315
50000,hamming,88,1209
50000,hamming,89,1223
50000,hamming,90,1125
50000,hamming,91,1012
50000,hamming,92,1017
50000,hamming,93,959
50000,hamming,94,935
50000,hamming,95,840
50000,hamming,96,836
50000,hamming,97,735
50000,hamming,98,696
50000,hamming,99,686
50000,hamming,100,685
50000,hamming,101,671
50000,hamming,102,684
50000,hamming,103,612
50000,hamming,104,636
50000,hamming,105,653
50000,hamming,106,673
50000,hamming,107,781
50000,hamming,108,817
50000,hamming,109,943
50000,hamming,110,1118
50000,hamming,111,1254
50000,hamming,112,1486
50000,hamming,113,1604
50000,hamming,114,1868
50000,hamming,115,2056
50000,hamming,116,2319
