step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2932,0.00,110.64,111.57,404,2,2,0,1.00,1.00,1.00,2,4,4,53.9,49.228,16,2.000,0.969,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2710,0.00,98.19,102.86,404,2,1,0,1.00,1.00,1.00,4,4,4,64.9,39.549,16,2.000,0.969,4
100000,32.00,16,0,4,0,12,0,1.00,0,0.125,2695,0.00,107.19,118.91,404,2,0,0,1.00,1.00,1.00,2,4,4,46.6,69.481,16,2.000,0.965,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2588,1.56,92.53,66.73,404,2,2,0,1.00,1.00,1.00,4,4,4,40.6,42.345,16,2.000,0.969,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2587,0.00,107.35,84.07,404,0,2,0,1.00,1.00,1.00,4,4,4,21.0,47.637,16,2.000,0.969,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2577,0.00,95.19,72.55,404,1,2,0,1.00,1.00,1.00,4,4,4,34.6,24.681,16,2.000,0.969,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2537,0.00,112.14,95.60,404,1,2,0,1.00,1.00,1.00,2,4,4,36.3,63.115,16,2.000,0.969,4
100000,30.00,16,0,12,0,3,0,1.00,0,0.400,2414,0.00,62.26,85.07,404,1,2,0,1.00,1.00,1.00,3,4,4,35.6,23.343,15,2.000,0.974,4
100000,32.00,16,0,5,0,11,0,1.00,0,0.156,2360,-0.00,86.48,59.84,404,1,1,0,1.00,1.00,1.00,4,4,4,26.6,22.551,16,2.000,0.964,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2351,0.00,61.66,229.25,404,0,1,0,1.00,1.00,1.00,4,4,4,13.8,37.106,16,2.000,0.987,4
100000,50.00,25,0,21,0,4,0,1.00,0,0.420,2245,0.00,77.34,81.09,404,2,2,0,1.00,1.00,1.00,4,5,5,40.5,15.056,25,2.000,0.976,5
100000,32.00,16,0,2,0,14,0,1.00,0,0.062,2017,0.75,79.75,18.51,404,2,2,0,1.00,1.00,1.00,2,4,4,44.3,25.840,16,2.000,0.951,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1993,0.00,71.66,60.24,404,2,2,0,1.00,1.00,1.00,4,4,4,38.0,29.819,16,2.000,0.969,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1992,0.00,86.99,38.67,404,2,2,0,1.00,1.00,1.00,2,4,4,43.0,50.366,16,2.000,0.969,4
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,1980,0.13,100.66,61.76,404,2,2,0,1.00,1.00,1.00,2,4,4,38.9,72.604,16,2.000,0.964,4
100000,52.00,49,0,2,0,24,0,1.00,6,0.038,1979,0.06,105.71,131.56,404,2,2,0,1.00,1.00,1.00,4,4,7,42.9,0.821,26,2.000,0.900,7
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1965,0.00,40.37,132.57,404,2,0,0,1.00,1.00,1.00,2,4,4,61.9,19.163,16,2.000,0.987,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1929,0.00,45.46,76.16,404,2,1,0,1.00,1.00,1.00,4,4,4,40.8,16.663,16,2.000,0.987,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1927,0.00,47.60,131.51,404,1,1,0,1.00,1.00,1.00,4,4,4,35.0,37.757,16,2.000,0.987,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1922,0.00,76.97,19.54,404,1,2,0,1.00,1.00,1.00,2,4,4,28.7,25.331,16,2.000,0.969,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1909,0.00,65.08,33.20,404,2,2,0,1.00,1.00,1.00,4,4,4,41.9,13.298,16,2.000,0.969,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1908,0.04,59.30,28.25,404,1,2,0,1.00,1.00,1.00,4,4,4,36.0,9.591,16,2.000,0.970,4
