step,event,lineage,other,size
5000,birth,96,0,954
19000,split,126,96,11
20000,split,129,126,382
22000,extinct,126,0,8
24000,split,131,129,237
26000,split,139,129,188
29000,extinct,129,0,9
31000,split,158,129,10
32000,split,164,96,48
32000,split,165,96,16
35000,extinct,165,0,5
37000,extinct,158,0,6
42000,split,185,139,49
44000,split,192,185,936
44000,split,195,164,80
44000,extinct,131,0,36
44000,extinct,139,0,42
46000,extinct,185,0,43
46000,extinct,195,0,32
47000,split,215,164,6
47000,extinct,164,0,9
48000,split,222,96,18
48000,extinct,215,0,6
49000,split,251,215,142
51000,extinct,222,0,17
57000,extinct,192,0,31
59000,extinct,251,0,7
62000,split,302,293,79
62000,split,304,293,356
67000,extinct,302,0,5
68000,split,321,96,8
69000,split,327,96,145
70000,extinct,321,0,8
74000,split,357,304,55
74000,split,358,327,14
76000,extinct,327,0,20
76000,extinct,358,0,14
78000,extinct,304,0,8
92000,split,396,357,282
96000,extinct,396,0,18
97000,extinct,96,0,15
98000,split,407,96,660
98000,extinct,357,0,9
