step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2990,3.26,114.81,151.70,904,0,1,0,1.00,1.00,1.00,2,4,4,16.0,51.633,16,2.000,0.244,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2988,0.00,172.48,97.55,922,0,0,0,1.00,1.00,1.00,4,4,4,19.5,154.846,16,2.000,0.255,4
100000,4.07,11,0,0,0,4,0,1.00,18,0.000,2967,0.62,108.27,4.51,405,2,0,0,1.00,1.00,1.00,1,1,4,57.8,20.369,4,1.018,0.350,7
100000,7.80,36,0,0,1,6,0,1.00,12,0.000,2926,0.00,171.70,22.66,405,0,0,0,1.00,1.00,1.00,2,3,3,12.6,0.000,7,1.200,0.211,6
100000,4.09,11,0,0,0,4,0,1.00,18,0.000,2918,0.43,125.81,3.65,405,0,0,0,1.00,1.00,1.00,2,2,3,20.8,20.428,4,1.021,0.350,7
100000,1.93,20,0,0,0,2,0,1.00,26,0.000,2903,0.17,133.06,5.44,405,1,0,0,1.00,1.00,1.00,1,1,2,26.0,9.638,2,0.964,0.404,8
100000,8.17,11,0,0,0,8,0,1.00,12,0.000,2883,1.03,145.59,2.55,405,2,2,0,1.00,1.00,1.00,3,2,6,53.9,40.857,8,1.021,0.350,7
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2879,0.48,75.26,103.46,904,0,0,0,1.00,1.00,1.00,2,4,4,1.0,58.565,16,2.000,0.244,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2878,0.00,44.44,95.20,904,1,0,0,1.00,1.00,1.00,4,4,4,34.1,0.024,16,2.000,0.244,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2856,0.00,156.53,43.80,936,0,0,0,1.00,1.00,1.00,4,4,4,2.0,117.438,16,2.000,0.335,4
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2828,-0.00,111.62,77.27,936,0,0,0,1.00,1.00,1.00,2,4,4,4.0,76.924,16,2.000,0.362,4
100000,5.09,11,0,0,0,5,0,1.00,16,0.000,2823,0.00,91.72,3.78,405,2,0,0,1.00,1.00,1.00,1,2,4,40.5,4.698,5,1.018,0.350,7
100000,3.09,11,0,0,0,3,0,1.00,20,0.000,2789,0.00,76.06,1.42,405,2,1,0,1.00,1.00,1.00,1,1,3,51.3,7.570,3,1.029,0.352,7
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2783,0.00,59.09,103.92,904,2,0,0,1.00,1.00,1.00,4,4,4,46.7,33.016,16,2.000,0.233,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2722,3.82,110.14,313.24,904,0,0,0,1.00,1.00,1.00,4,4,4,20.3,104.896,16,2.000,0.246,4
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,2695,0.00,59.88,166.31,927,0,1,0,1.00,1.00,1.00,4,4,4,18.9,2.262,16,2.000,0.399,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2693,3.79,174.54,221.02,936,1,1,0,1.00,1.00,1.00,4,4,4,32.0,105.154,16,2.000,0.335,4
100000,4.12,11,0,0,0,4,0,1.00,18,0.000,2665,0.00,131.04,5.69,405,0,0,0,1.00,1.00,1.00,2,2,5,25.0,19.463,4,1.029,0.352,7
