step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,574,36.2,2.2,2.5,2.4,30.0,0.0,1.54,7.1,220,925,67.97,23.37,184,277,113,0.0,1.67,1.27,1.61,5.16,6.70,6.48,31.3,0.946,0.501,8.33
5000,65,104,18.5,0.3,0.9,0.7,17.4,0.2,1.09,12.4,40,806,58.90,30.68,0,16,88,0.2,1.14,1.04,1.10,3.47,4.67,5.31,42.3,0.967,0.491,8.09
5000,12,98,28.7,0.0,0.6,2.4,26.3,0.0,1.01,8.7,57,807,56.20,22.04,56,39,3,0.0,1.01,1.00,1.01,4.66,7.30,5.29,21.9,1.012,0.310,8.43
5000,2,92,11.2,1.4,1.4,4.0,10.0,0.0,1.44,6.5,63,1214,55.20,17.22,1,56,35,0.1,1.61,1.12,1.52,3.38,4.21,4.92,36.4,0.699,0.606,6.07
5000,50,62,42.9,0.6,14.8,2.0,23.8,0.0,1.15,0.6,53,1101,42.20,10.43,54,8,0,0.1,1.02,1.22,1.18,5.40,6.63,6.79,13.9,1.053,0.492,6.85
5000,16,50,14.2,0.5,0.7,4.6,11.1,0.0,1.09,5.8,30,1035,34.04,9.76,0,39,11,0.1,1.02,1.27,1.06,3.62,6.32,3.72,39.0,0.940,0.294,6.48
5000,32,50,31.1,3.1,3.9,6.4,23.3,0.2,1.84,3.9,37,1041,50.96,11.62,2,25,23,0.7,1.99,1.66,1.86,5.72,6.58,6.34,39.5,0.859,0.423,7.36
5000,53,49,17.3,0.8,0.2,6.6,16.9,0.0,1.32,13.3,23,792,32.63,7.60,0,6,43,0.0,1.30,1.30,1.36,3.98,5.12,5.84,44.8,0.785,0.652,8.82
5000,24,39,33.1,0.6,7.9,2.6,18.1,0.0,1.23,1.1,25,1056,60.24,43.68,14,25,0,0.0,1.26,1.15,1.25,4.92,5.77,6.26,24.3,1.164,0.486,6.28
5000,67,33,24.2,2.3,14.3,0.1,14.1,0.0,1.40,1.5,19,1199,102.43,29.23,1,32,0,4.5,1.00,1.81,1.41,4.97,6.58,6.76,29.5,0.728,0.393,7.00
5000,11,32,44.9,0.6,12.6,19.8,27.8,0.0,1.06,0.9,19,1502,123.76,10.57,32,0,0,0.1,1.15,1.00,1.04,8.12,8.53,8.47,7.3,0.872,0.496,8.72
5000,48,29,23.7,3.0,0.3,0.2,22.2,0.0,1.77,8.1,11,1130,99.22,74.82,0,0,29,0.0,1.00,2.04,2.02,3.97,4.45,7.72,43.5,0.832,0.548,8.10
5000,43,26,44.6,9.7,0.0,1.5,43.1,0.0,2.77,11.2,23,1366,161.60,76.92,0,6,20,0.0,2.47,2.73,3.01,5.92,7.04,8.96,44.4,0.698,0.655,10.81
5000,92,24,40.1,0.2,2.9,1.5,37.9,0.0,1.02,2.1,12,1323,142.40,47.37,7,10,7,0.0,1.06,1.00,1.02,5.25,6.62,6.83,32.9,0.952,0.492,7.25
5000,22,21,33.6,0.0,0.0,23.8,16.4,0.0,1.00,1.2,8,1639,86.55,20.34,0,21,0,0.0,1.00,1.00,1.00,4.76,7.81,7.76,39.7,1.196,0.756,8.10
5000,49,19,36.7,0.0,1.1,14.1,30.4,0.0,1.00,8.7,11,818,62.16,14.21,9,10,0,0.0,1.00,1.00,1.00,5.63,5.68,9.32,23.9,0.947,0.631,9.68
5000,42,16,41.5,0.2,0.0,32.2,33.2,0.0,1.02,1.4,6,1887,41.38,18.38,0,0,16,0.0,1.06,1.00,1.02,8.50,8.94,8.94,49.6,0.833,0.475,9.19
5000,117,15,5.9,0.0,3.7,0.5,4.2,0.0,1.00,20.0,8,813,20.92,2.35,7,8,0,0.0,1.00,1.00,1.00,2.53,4.27,2.33,25.5,0.741,0.484,7.93
5000,109,15,33.7,0.0,0.0,0.0,34.3,0.0,1.00,9.5,9,1278,133.38,54.73,15,0,0,0.0,1.00,1.00,1.00,5.07,5.40,8.53,19.7,0.977,0.674,9.33
5000,18,14,13.3,0.0,0.0,3.7,12.3,0.0,1.00,7.0,5,1108,55.97,20.37,0,14,0,0.0,1.00,1.00,1.00,3.00,4.29,4.79,28.8,0.949,0.509,6.29
5000,46,14,46.4,1.4,10.9,0.0,30.9,0.1,1.29,4.1,12,1735,136.60,48.11,10,4,0,0.2,1.48,1.00,1.35,6.07,6.86,7.50,22.4,1.013,0.491,8.14
5000,30,12,22.9,0.0,1.3,0.0,28.2,0.0,1.00,2.8,7,644,45.19,15.43,0,0,12,0.0,1.00,1.00,1.00,4.25,6.67,5.25,57.3,0.774,0.549,6.67
