step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached
10000,488,0.254,0.446,9.44,15863,13024,2547,705,529,137000,536307.8,161596.3,0.251,0.464,0.165,0.121,117,36.32,17.87,0.66,2.67,10.04,11.78,2.49,4.67,18.07,12.63,0.01,0.14,0.251,0.255,389,0.031,0.086,0.912,0.000,0.002,54949,49953,1,1.000,0.000,0.375,6463344,0.259,1.553,0.043,29.67,16859,563,1.180,0.200,0.291,4917277,1.17,2.79,0.324,0.607,0.008,11.9,36.4,62.3,88.4,15251,0.058,0.00,0.0061,0.201,112,0.672,0.000,0.498,0.720,5.02,5.90,5.91,0.08,0.033,1.13,1.25,1.16,0.678,0.01269,17.19,18.0850,33.90,130230.1,140185.7,123.940,12.9417,98.983,0.000,0.934,0.404,9.8,48.534,199.263,1105,5696.1,14.70,23.061,18.788,776.8,12.998,0.135,2.00,4.4394,2166.4,0.2266,0.3880,31.25,1.174,0.159,1.5345,0.0000,0.494,0.120,0.441,0.0000,6.55,0.71,10,34,49,64,42.3324,0.0112,0.8627,0.0000,0.0000,61.8244,100.00,108.2863
20000,992,0.355,0.274,10.38,10596,8174,216,1559,143,167787,194904.5,77184.8,0.104,0.662,0.153,0.081,238,27.86,28.86,0.87,3.80,6.88,11.83,2.05,4.55,10.92,8.42,0.29,1.23,0.128,0.182,634,0.084,0.165,0.832,0.000,0.003,10194,6571,2,0.614,0.125,0.308,2566866,0.178,1.197,0.023,16.60,4744,659,0.460,0.102,0.274,2192875,1.20,8.72,0.034,0.522,0.065,4.6,14.0,70.1,181.8,20551,0.078,0.00,0.0018,0.162,314,0.511,0.000,0.431,0.219,4.17,4.44,6.40,0.36,0.076,1.25,1.16,1.20,0.525,0.00384,3.82,2.0426,52.14,128265.5,140185.7,36.331,2.9151,38.819,0.000,0.909,0.333,17.7,18.298,51.498,613,2965.7,14.69,3.186,4.807,687.1,2.748,0.131,2.00,6.5530,6500.6,0.7279,0.3891,20.72,1.183,0.365,0.4655,0.0000,0.440,0.125,0.355,0.0000,7.47,0.84,5,15,44,100,14.2830,0.2023,0.7208,0.0000,0.0000,14.7075,100.00,121.3755
30000,1614,0.767,0.159,13.50,49117,34291,223,12914,1067,758739,449114.3,379914.5,0.081,0.678,0.164,0.077,189,18.05,16.52,0.02,0.55,4.70,7.03,0.25,1.34,7.58,6.32,0.00,0.00,0.145,0.187,1095,0.039,0.162,0.821,0.001,0.017,59645,39683,2,0.571,0.014,0.082,1997814,0.168,0.784,0.008,33.45,27565,442,0.501,0.123,0.310,5699594,1.01,8.78,0.144,0.670,0.000,2.3,11.9,49.8,120.7,20260,0.077,0.00,0.0037,0.168,463,0.467,0.000,0.466,0.285,2.84,3.36,4.47,0.00,0.001,1.01,1.01,1.01,0.493,0.00625,19.92,9.2023,332.43,126466.1,140185.7,123.885,7.9015,98.730,0.000,0.824,0.329,37.4,41.832,174.343,237,895.6,28.78,7.389,16.463,373.8,11.685,0.133,2.00,5.7385,9262.0,0.8655,0.4211,12.55,1.296,0.588,1.5345,0.0000,0.562,0.266,0.419,0.0000,6.04,1.28,3,12,25,61,30.9668,0.7724,0.4337,0.0000,0.0000,57.6922,100.00,106.2389
40000,1864,0.636,0.111,13.15,21815,15973,403,4541,648,240228,279627.3,139875.2,0.044,0.775,0.139,0.042,266,17.43,18.86,0.02,0.51,4.32,7.57,0.18,1.42,7.39,5.55,0.00,0.00,0.117,0.176,873,0.050,0.165,0.811,0.000,0.024,20585,12978,1,0.652,0.348,0.048,532522,0.166,0.588,0.006,24.85,10390,623,0.582,0.139,0.246,2008278,1.01,9.88,0.104,0.643,0.000,2.4,9.0,50.0,127.7,22179,0.085,0.00,0.0020,0.195,553,0.227,0.000,0.320,0.146,2.94,3.24,4.85,0.00,0.001,1.01,1.01,1.01,0.240,0.00295,8.63,3.4521,266.40,122383.7,140185.7,23.424,2.5121,56.809,0.000,0.915,0.188,46.2,26.090,31.980,147,575.4,23.42,1.537,4.157,183.7,3.167,0.135,1.99,7.5669,14104.7,1.2363,0.5011,11.90,1.220,0.567,0.4655,0.0000,0.555,0.246,0.348,0.0000,6.43,0.91,3,10,25,64,18.9225,1.6640,0.4657,0.0000,0.0000,15.2086,100.00,101.5105
50000,1551,0.690,0.140,14.98,54410,39545,85,13592,1501,687249,471108.6,361652.1,0.051,0.700,0.168,0.080,191,18.41,20.92,0.00,0.13,5.55,9.21,0.25,1.63,6.98,6.05,0.00,0.00,0.151,0.214,882,0.034,0.135,0.850,0.000,0.014,57016,36397,2,0.669,0.152,0.045,1192507,0.165,0.625,0.007,38.25,28894,522,0.526,0.137,0.291,5226854,1.00,9.93,0.151,0.696,0.000,1.6,9.8,50.0,162.0,19827,0.076,0.00,0.0043,0.182,454,0.355,0.000,0.384,0.189,2.92,3.41,4.51,0.00,0.001,1.00,1.00,1.00,0.377,0.00699,23.00,7.1850,227.75,127611.6,140185.7,119.020,5.5645,104.094,0.000,0.863,0.298,41.7,45.339,168.647,247,875.5,16.79,6.417,12.134,180.8,9.320,0.135,2.00,5.5431,8597.3,0.9534,0.4626,12.78,1.211,0.556,1.5345,0.0000,0.578,0.271,0.337,0.0000,6.36,0.94,2,10,25,81,32.3432,2.1562,0.4745,0.0000,0.0000,59.0111,100.00,90.7406
60000,1721,0.579,0.121,16.81,23831,18322,301,4557,481,234024,268665.1,141349.5,0.041,0.770,0.133,0.056,253,15.09,13.09,0.02,0.41,3.65,5.43,0.21,1.48,6.50,4.88,0.00,0.02,0.132,0.179,825,0.044,0.164,0.818,0.001,0.017,21637,11993,3,0.603,0.020,0.055,492539,0.143,0.569,0.006,24.49,12987,608,0.604,0.148,0.284,1628595,1.01,8.84,0.223,0.617,0.001,2.4,9.5,32.0,72.0,17896,0.068,0.00,0.0024,0.180,525,0.191,0.000,0.218,0.109,2.64,3.02,4.39,0.01,0.003,1.01,1.01,1.01,0.205,0.00333,7.92,2.9796,263.16,124577.1,140185.7,25.223,2.1212,55.034,0.000,0.910,0.202,43.0,25.316,32.698,172,633.7,10.56,1.593,3.247,162.7,2.449,0.134,2.01,7.0109,12065.8,1.1660,0.5336,10.40,1.284,0.581,0.4655,0.0000,0.606,0.268,0.398,0.0000,5.82,1.40,3,10,16,48,17.8496,1.7329,0.4759,0.0000,0.0000,15.3890,100.00,93.3091
70000,1734,0.629,0.130,18.39,56886,41955,123,13161,1634,518781,473329.4,314487.2,0.062,0.721,0.147,0.070,178,17.08,14.29,0.04,0.56,4.60,6.42,0.17,1.24,6.88,5.80,0.00,0.05,0.147,0.191,773,0.043,0.157,0.822,0.001,0.020,55184,29513,4,0.596,0.140,0.044,1357072,0.161,0.619,0.005,39.33,32509,487,0.606,0.155,0.290,5419572,1.02,8.50,0.291,0.534,0.001,1.7,12.0,32.0,98.0,20260,0.077,0.00,0.0040,0.165,536,0.358,0.000,0.314,0.134,2.59,3.15,4.27,0.01,0.005,1.01,1.02,1.02,0.376,0.00575,21.82,6.5969,241.48,124972.8,140185.7,118.655,5.1280,103.208,0.000,0.812,0.247,41.5,45.121,166.645,169,592.8,20.18,6.608,10.879,231.4,8.324,0.134,2.01,6.5508,11359.1,1.0288,0.5300,11.68,1.291,0.584,1.5345,0.0000,0.623,0.290,0.404,0.0000,5.79,1.38,2,13,17,64,33.4929,1.6648,0.4619,0.0000,0.0000,60.7222,100.00,86.9200
80000,1487,0.738,0.143,10.17,24677,18330,412,5506,676,211055,282118.2,136346.6,0.038,0.766,0.144,0.053,252,20.57,16.14,0.12,1.10,7.04,8.89,0.46,2.04,10.62,7.00,0.01,0.15,0.244,0.255,1053,0.032,0.184,0.802,0.000,0.014,25085,15933,1,1.000,0.000,0.116,881034,0.152,0.592,0.006,25.34,13194,557,0.646,0.195,0.332,2269476,1.03,6.34,0.102,0.624,0.003,3.6,13.9,46.2,69.0,27110,0.103,0.00,0.0018,0.159,457,0.260,0.000,0.247,0.171,3.81,4.48,5.32,0.04,0.013,1.02,1.04,1.03,0.273,0.00350,9.13,3.7273,260.16,127666.8,140185.7,22.893,2.5451,58.273,0.000,0.918,0.199,40.9,27.040,30.170,248,759.7,13.20,1.543,3.975,205.8,3.011,0.132,2.00,5.6661,8425.5,0.6204,0.5445,18.23,1.052,0.213,0.4655,0.0000,0.375,0.078,0.085,0.0000,6.37,0.69,4,16,36,56,20.3584,1.4806,0.4923,0.0000,0.0000,14.9296,100.00,86.8513
90000,1548,0.767,0.131,15.06,55681,37079,17,17577,947,1002012,521037.3,502409.6,0.075,0.710,0.145,0.069,190,21.48,21.91,0.07,0.69,5.82,9.43,0.25,1.47,8.18,6.06,0.01,0.16,0.141,0.186,998,0.030,0.140,0.847,0.000,0.013,69248,43765,2,0.602,0.301,0.062,1193973,0.158,0.645,0.006,40.43,33801,456,0.501,0.127,0.307,6176978,1.02,8.70,0.136,0.680,0.007,2.4,12.0,49.9,160.0,22175,0.085,0.00,0.0041,0.173,459,0.424,0.000,0.399,0.301,3.14,3.60,4.88,0.02,0.012,1.02,1.02,1.02,0.451,0.00749,26.46,13.2868,366.04,124907.2,140185.7,108.518,9.9896,115.473,0.000,0.849,0.223,44.4,46.723,158.767,174,570.2,24.07,5.565,16.563,281.1,12.111,0.135,2.00,7.2601,11238.7,0.9851,0.4249,14.32,1.286,0.577,1.5345,0.0000,0.404,0.087,0.119,0.0000,6.33,0.92,3,13,25,81,33.7987,1.3372,0.4528,0.0000,0.0000,59.4397,100.00,77.1879
100000,1395,0.675,0.126,16.44,23585,18146,377,4858,357,256671,268787.1,156813.0,0.041,0.760,0.140,0.058,257,16.31,15.53,0.03,0.64,3.54,5.68,0.24,1.53,7.66,5.69,0.00,0.10,0.118,0.167,838,0.024,0.121,0.866,0.000,0.013,24082,14185,1,0.621,0.379,0.072,707011,0.165,0.620,0.006,24.12,14603,608,0.611,0.164,0.291,1600061,1.01,9.25,0.186,0.668,0.002,1.7,10.5,38.0,72.0,16003,0.061,0.00,0.0025,0.176,443,0.194,0.000,0.239,0.169,2.81,3.16,4.42,0.01,0.002,1.00,1.01,1.01,0.209,0.00391,8.21,4.3600,259.24,127538.1,140185.7,24.747,2.9744,55.769,0.000,0.875,0.159,35.0,25.230,30.205,222,823.5,17.21,1.304,3.824,123.3,2.857,0.136,1.99,6.5654,9158.7,1.0586,0.5186,11.47,1.262,0.577,0.4655,0.0000,0.408,0.101,0.162,0.0000,6.02,1.27,2,11,24,81,18.1898,1.5852,0.4545,0.0000,0.0000,15.3727,100.00,79.0806
