step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,3000,0.00,5.65,134.46,214,0,0,0,1.00,1.00,1.00,4,6,6,21.1,0.000,36,2.000,0.881,6
100000,62.00,36,0,29,0,2,0,1.00,0,0.468,2997,0.00,11.87,146.25,214,1,0,0,1.00,1.00,1.00,4,6,6,33.8,0.000,31,2.000,0.881,6
100000,6.56,8,0,0,0,6,0,1.00,8,0.000,2997,1.05,122.35,8.35,149,2,0,0,1.00,1.00,1.00,3,2,6,39.0,32.812,6,1.094,0.250,6
100000,3.85,12,0,0,0,3,0,1.00,16,0.000,2993,0.07,109.32,5.79,149,1,0,0,1.00,1.00,1.00,1,1,3,35.0,1.190,3,1.283,0.263,6
100000,2.28,10,0,0,0,2,0,1.00,18,0.000,2974,0.03,136.98,2.94,149,1,2,0,1.00,1.00,1.00,2,2,1,32.3,11.214,2,1.141,0.211,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2974,0.00,8.73,124.03,214,0,0,0,1.00,1.00,1.00,4,6,6,17.7,0.001,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2970,0.00,9.49,47.73,214,2,0,0,1.00,1.00,1.00,4,6,6,57.3,0.002,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2963,0.00,5.81,34.07,214,0,0,0,1.00,1.00,1.00,6,6,6,22.6,0.000,36,2.000,0.881,6
100000,36.00,25,1,15,0,1,0,1.10,0,0.417,2960,0.00,3.77,0.50,321,0,0,2,1.00,1.00,1.20,3,5,5,15.4,0.000,17,2.000,0.772,5
100000,44.00,25,1,19,0,1,0,1.00,0,0.432,2949,0.00,8.29,105.14,321,1,1,0,1.00,1.00,1.00,3,5,5,34.8,0.001,21,2.000,0.772,5
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2946,0.11,1.68,24.13,214,0,0,0,1.00,1.00,1.00,6,6,6,17.1,7.072,36,2.000,0.881,6
100000,52.00,36,0,25,0,1,0,1.00,0,0.481,2931,0.00,8.68,99.79,214,2,1,0,1.00,1.00,1.00,6,6,6,40.2,0.000,26,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2907,0.00,12.04,119.84,214,2,2,0,1.00,1.00,1.00,4,6,6,45.5,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2906,0.00,1.71,0.12,214,0,2,0,1.00,1.00,1.00,6,6,6,15.7,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2900,0.00,17.35,215.85,214,1,1,0,1.00,1.00,1.00,4,6,6,32.8,20.855,36,2.000,0.881,6
100000,42.00,36,0,19,0,2,0,1.00,0,0.452,2898,0.00,13.31,196.19,214,1,1,0,1.00,1.00,1.00,4,6,6,33.8,0.000,21,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2895,0.00,15.20,276.04,214,2,0,0,1.00,1.00,1.00,6,6,6,41.2,0.000,36,2.000,0.884,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2894,0.00,4.50,78.44,214,2,1,0,1.00,1.00,1.00,4,6,6,46.2,0.376,36,2.000,0.881,6
100000,62.00,36,0,29,0,2,0,1.00,0,0.468,2851,0.00,10.26,79.68,214,2,0,0,1.00,1.00,1.00,4,6,6,37.6,0.000,31,2.000,0.880,6
100000,5.90,8,0,0,0,5,0,1.00,12,0.000,2835,0.00,42.16,1.23,149,0,0,0,1.00,1.00,1.00,3,2,4,22.3,0.004,5,1.181,0.221,6
100000,68.00,36,0,32,0,2,0,1.00,0,0.471,2829,0.00,1.36,0.06,214,0,0,0,1.00,1.00,1.00,9,6,6,12.8,0.000,34,2.000,0.881,6
100000,66.00,36,0,31,0,2,0,1.00,0,0.470,2828,0.00,1.83,38.12,214,1,0,0,1.00,1.00,1.00,4,6,6,27.8,0.002,33,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2827,0.00,2.06,32.89,214,1,0,0,1.00,1.00,1.00,6,6,6,36.2,0.000,36,2.000,0.876,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2810,0.00,2.65,50.99,214,1,0,0,1.00,1.00,1.00,6,6,6,27.1,0.000,36,2.000,0.893,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2781,0.00,5.32,34.49,214,2,0,0,1.00,1.00,1.00,4,6,6,66.4,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2758,0.00,13.69,23.30,214,0,2,0,1.00,1.00,1.00,4,6,6,3.8,0.000,36,2.000,0.884,6
100000,52.00,25,1,23,0,1,0,1.00,0,0.442,2757,0.00,4.27,106.92,321,0,0,0,1.00,1.00,1.00,4,5,5,17.1,0.000,25,2.000,0.772,5
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2754,0.00,3.57,22.93,214,1,2,0,1.00,1.00,1.00,9,6,6,36.6,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2748,0.00,1.15,4.60,214,1,2,0,1.00,1.00,1.00,6,6,6,33.4,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2748,0.00,0.74,17.13,214,2,2,0,1.00,1.00,1.00,6,6,6,38.8,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2744,0.00,3.46,15.11,214,2,0,0,1.00,1.00,1.00,4,6,6,63.4,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2732,0.00,5.43,39.23,214,1,1,0,1.00,1.00,1.00,4,6,6,28.9,0.001,36,2.000,0.876,6
100000,1.19,14,0,0,0,1,0,1.00,20,0.000,2726,0.00,21.40,7.38,149,1,0,0,1.00,1.00,1.00,1,1,1,31.6,0.002,1,1.190,0.207,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2717,0.00,2.57,50.47,214,2,0,0,1.00,1.00,1.00,6,6,6,42.8,0.000,36,2.000,0.881,6
100000,50.00,36,0,23,0,2,0,1.00,0,0.460,2707,0.00,12.09,117.82,214,0,0,0,1.00,1.00,1.00,4,6,6,14.5,0.256,25,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2701,0.00,4.42,8.25,214,1,0,0,1.00,1.00,1.00,6,6,6,29.4,0.000,36,2.000,0.884,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2700,0.00,5.53,23.79,214,1,0,0,1.00,1.00,1.00,4,6,6,30.4,0.000,36,2.000,0.884,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2683,0.00,4.28,5.04,214,0,0,0,1.00,1.00,1.00,4,6,6,4.3,0.001,36,2.000,0.884,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2672,0.00,4.65,4.21,214,1,1,0,1.00,1.00,1.00,6,6,6,31.9,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2671,0.00,1.50,56.30,214,2,1,0,1.00,1.00,1.00,6,6,6,42.0,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2654,0.00,2.20,38.54,214,0,0,0,1.00,1.00,1.00,4,6,6,16.5,0.000,36,2.000,0.881,6
100000,52.00,25,1,23,0,1,0,1.00,0,0.442,2651,0.00,6.36,22.18,321,1,1,0,1.00,1.00,1.00,4,5,5,35.6,0.002,25,2.000,0.772,5
100000,52.00,25,1,23,0,1,0,1.00,0,0.442,2650,0.00,1.30,6.39,321,1,1,0,1.00,1.00,1.00,4,5,5,33.0,0.000,25,2.000,0.772,5
100000,42.00,36,0,20,0,1,0,1.00,0,0.476,2647,0.00,4.11,59.06,214,0,1,0,1.00,1.00,1.00,5,6,6,21.0,0.000,21,2.000,0.881,6
100000,88.00,49,0,42,0,2,0,1.00,0,0.477,2647,0.00,2.54,53.46,214,0,0,0,1.00,1.00,1.00,5,7,7,12.5,0.000,44,2.000,0.961,7
100000,2.36,8,0,0,0,2,0,1.00,18,0.000,2644,0.00,65.82,0.58,149,0,1,0,1.00,1.00,1.00,1,1,2,24.4,1.028,2,1.181,0.221,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2643,0.00,13.14,224.26,214,0,1,0,1.00,1.00,1.00,6,6,6,1.2,0.000,36,2.000,0.881,6
100000,52.00,25,1,23,0,1,0,1.00,0,0.442,2636,0.00,2.38,21.63,321,2,0,0,1.00,1.00,1.00,4,5,5,42.4,0.000,25,2.000,0.772,5
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2634,0.00,1.72,21.32,214,1,0,0,1.00,1.00,1.00,4,6,6,36.9,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2633,0.00,0.94,15.31,214,0,0,0,1.00,1.00,1.00,4,6,6,20.8,0.000,36,2.000,0.913,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2632,0.00,4.86,45.57,214,1,0,0,1.00,1.00,1.00,6,6,6,30.9,0.000,36,2.000,0.881,6
100000,2.36,8,0,0,0,2,0,1.00,18,0.000,2631,0.00,77.53,2.08,149,2,0,0,1.00,1.00,1.00,1,2,1,40.4,0.000,2,1.181,0.221,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2631,0.00,5.36,16.99,214,2,0,0,1.00,1.00,1.00,9,6,6,42.8,0.000,36,2.000,0.881,6
100000,3.23,10,0,0,0,3,0,1.00,16,0.000,2624,0.00,48.87,0.87,149,2,1,0,1.00,1.00,1.00,1,1,3,41.8,0.001,3,1.077,0.238,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2614,0.00,0.96,18.45,214,2,1,0,1.00,1.00,1.00,6,6,6,59.3,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2611,0.00,3.28,57.32,214,1,1,0,1.00,1.00,1.00,4,6,6,25.7,0.000,36,2.000,0.881,6
100000,66.00,36,0,31,0,2,0,1.00,0,0.470,2603,0.00,6.94,87.73,214,1,0,0,1.00,1.00,1.00,5,6,6,34.9,5.222,33,2.000,0.881,6
100000,2.19,8,0,0,0,2,0,1.00,18,0.000,2599,0.00,89.41,1.62,149,2,1,0,1.00,1.00,1.00,1,1,2,38.2,0.834,2,1.094,0.250,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2592,0.00,0.10,4.40,214,1,0,0,1.00,1.00,1.00,6,6,6,37.2,0.000,36,2.000,0.881,6
100000,62.00,36,0,29,0,2,0,1.00,0,0.468,2588,0.00,3.47,69.14,214,0,0,0,1.00,1.00,1.00,4,6,6,20.2,0.001,31,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2577,0.00,3.97,51.56,214,2,1,0,1.00,1.00,1.00,6,6,6,48.6,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2576,0.00,1.96,5.91,214,2,1,0,1.00,1.00,1.00,6,6,6,40.0,0.000,36,2.000,0.881,6
100000,4.76,9,0,0,0,4,0,1.00,14,0.000,2576,0.00,55.37,1.51,149,0,1,0,1.00,1.00,1.00,2,1,4,21.8,0.003,4,1.189,0.236,6
100000,1.13,10,0,0,0,1,0,1.00,20,0.000,2576,0.00,71.62,0.85,149,2,0,0,1.00,1.00,1.00,1,1,1,53.1,2.557,1,1.132,0.204,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2575,0.00,11.36,124.31,214,0,1,0,1.00,1.00,1.00,6,6,6,25.5,0.000,36,2.000,0.881,6
100000,52.00,25,1,23,0,1,0,1.00,0,0.442,2562,0.00,4.30,19.16,321,1,1,0,1.00,1.00,1.00,4,5,5,34.4,0.000,25,2.000,0.772,5
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2555,0.00,4.45,34.58,214,2,1,0,1.00,1.00,1.00,6,6,6,44.0,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2551,0.00,4.01,50.14,214,1,1,0,1.00,1.00,1.00,4,6,6,33.3,0.000,36,2.000,0.881,6
100000,72.00,36,0,34,0,2,0,1.00,0,0.472,2550,0.00,1.77,17.20,214,1,1,0,1.00,1.00,1.00,6,6,6,27.0,0.000,36,2.000,0.881,6
100000,26.00,36,0,12,0,1,0,1.00,0,0.462,2550,0.00,5.39,39.80,214,0,1,0,1.00,1.00,1.00,3,6,6,13.1,0.000,13,2.000,0.881,6
100000,52.00,25,1,23,0,1,0,1.00,0,0.442,2543,0.00,2.84,32.30,321,2,1,0,1.00,1.00,1.00,4,5,5,63.2,0.000,25,2.000,0.772,5
100000,52.00,25,1,23,0,1,0,1.00,0,0.442,2540,0.00,3.19,27.04,321,2,0,0,1.00,1.00,1.00,4,5,5,39.7,0.000,25,2.000,0.772,5
100000,1.18,8,0,0,0,1,0,1.00,20,0.000,2533,0.00,70.30,1.55,149,2,0,0,1.00,1.00,1.00,1,1,1,40.4,0.001,1,1.181,0.221,6
100000,3.39,8,0,0,0,3,0,1.00,16,0.000,2529,0.00,63.24,7.36,149,0,0,0,1.00,1.00,1.00,2,1,3,24.1,3.444,3,1.129,0.213,6
100000,8.08,10,0,0,0,7,0,1.00,10,0.000,2526,1.98,110.01,1.20,149,2,2,0,1.00,1.00,1.00,4,2,5,49.9,40.416,7,1.155,0.216,6
100000,1.18,8,0,0,0,1,0,1.00,20,0.000,2526,0.00,39.86,1.08,149,1,1,0,1.00,1.00,1.00,1,1,1,30.0,0.000,1,1.185,0.218,6
