step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,1080,17.37,0.61,2.29,1.21,11.75,0.01,1.17,0.003,0.196,515017.5,202436.9,17,82,3.30,1.14,1.20,37.0528,1652.13,24519.9,7.2375,1.3018,5462,28.1676,116,56.4441,362800.8,165.42,2.5468,214.3,9.4769
10000,1,1064,15.12,0.67,2.75,1.02,9.22,0.01,1.22,0.004,0.165,461222.4,169923.8,15,74,3.08,1.24,1.17,30.6653,1194.88,27216.4,8.0972,1.5569,5461,28.1624,115,52.0981,321518.7,81.35,18.8947,186.5,8.0686
10000,2,646,19.63,1.01,2.27,0.59,13.73,0.01,1.30,0.003,0.131,334770.3,120257.3,11,90,3.35,1.32,1.25,21.1132,901.57,33070.1,5.1118,1.6918,5461,28.1624,89,35.8946,221065.7,53.21,35.5751,115.7,5.3250
20000,0,1058,17.86,0.23,4.25,0.35,6.53,0.00,1.09,0.002,0.137,265406.3,162679.7,3,103,2.60,1.06,1.11,12.2082,1477.01,30228.9,0.3266,5.4209,5462,13.3945,47,24.5452,161604.2,165.42,0.8179,191.4,4.8679
20000,1,821,18.15,0.28,4.15,0.30,7.07,0.00,1.11,0.000,0.110,125186.2,78699.0,3,112,2.70,1.09,1.14,4.9720,974.68,34642.4,0.0318,4.4275,5461,13.3921,58,9.5111,61252.8,81.35,4.3530,156.3,1.9083
20000,2,530,18.61,0.25,3.97,0.21,7.56,0.00,1.08,0.000,0.073,78020.9,44549.9,3,155,2.73,1.04,1.11,2.4670,396.64,41483.2,0.0036,3.9781,5461,13.3921,56,4.4629,29049.8,53.21,7.5991,82.7,0.9409
30000,0,1465,13.58,0.29,2.57,0.19,5.87,0.00,1.15,0.001,0.149,525116.6,561347.5,2,148,2.40,1.12,1.19,46.7753,1381.23,33944.5,2.7000,1.6828,5462,27.0536,32,56.4995,356710.0,165.42,2.7337,169.3,14.6220
30000,1,1199,14.15,0.22,3.14,0.22,5.47,0.00,1.13,0.001,0.125,510695.0,525187.5,1,160,2.39,1.10,1.16,41.8261,1140.10,35539.4,4.5189,2.4693,5461,27.0486,81,54.0715,344035.9,81.35,17.2353,155.7,13.6983
30000,2,913,13.40,0.12,2.78,0.30,5.96,0.01,1.07,0.002,0.095,328541.9,341533.1,1,188,2.50,1.05,1.09,23.4430,376.94,39118.4,2.3147,4.3171,5461,27.0486,61,30.7139,204752.7,53.21,31.4528,94.3,7.9493
40000,0,1125,20.16,0.22,4.56,0.20,7.51,0.00,1.09,0.000,0.161,281230.2,183461.3,2,167,2.76,1.05,1.11,12.8843,1259.20,27116.4,0.2165,6.8482,5462,13.5578,33,22.9326,159433.5,165.42,0.8631,187.8,5.2410
40000,1,836,18.01,0.17,3.53,0.25,7.94,0.00,1.07,0.000,0.113,127811.9,79128.2,2,134,2.77,1.04,1.08,3.9300,520.50,33761.4,0.0164,5.8992,5461,13.5553,58,7.0746,51419.2,81.35,4.1610,102.3,1.7195
40000,2,639,17.87,0.12,3.68,0.31,7.57,0.00,1.05,0.000,0.086,84163.6,49399.0,2,179,2.72,1.03,1.06,1.6704,225.47,41310.0,0.0029,5.2152,5461,13.5553,37,3.3723,23821.0,53.21,7.5335,52.9,0.8360
50000,0,1088,21.04,0.06,5.04,0.11,6.81,0.00,1.02,0.000,0.150,495192.5,287064.7,7,146,2.68,1.01,1.03,38.2671,1564.57,23371.2,7.3786,1.6816,5462,23.6296,43,61.9568,350671.9,165.42,3.0787,199.2,12.2568
