step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2998,1.85,124.63,34.21,1552,1,1,0,1.00,1.00,1.00,2,2,4,28.7,51.545,6,2.000,0.542,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2996,0.00,111.71,14.98,1551,0,1,0,1.00,1.00,1.00,2,2,4,0.1,47.296,6,2.000,0.760,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2989,0.00,95.00,16.83,590,1,0,0,1.00,1.00,1.00,2,4,4,36.4,22.415,8,2.000,0.943,4
100000,20.00,10,0,0,0,10,0,1.00,0,0.000,2985,0.00,118.60,7.01,590,0,1,0,1.00,1.00,1.00,3,4,4,20.0,49.994,10,2.000,0.851,4
100000,18.00,9,0,0,0,9,0,1.00,0,0.000,2984,0.01,106.51,26.71,1528,2,0,0,1.00,1.00,1.00,4,4,4,40.2,27.179,9,2.000,0.634,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2981,0.00,147.57,239.89,1560,0,0,0,1.00,1.00,1.00,4,4,4,0.6,131.234,16,2.000,0.934,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2978,-0.00,75.66,17.00,1571,2,0,0,1.00,1.00,1.00,4,2,4,47.0,20.806,6,2.000,0.941,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2970,0.00,101.38,16.96,1552,2,1,0,1.00,1.00,1.00,2,3,4,42.3,37.499,7,2.000,0.765,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2965,0.00,110.95,5.13,1528,1,0,0,1.00,1.00,1.00,3,4,4,37.3,32.453,8,2.000,0.735,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2963,0.00,114.01,14.58,1571,0,0,0,1.00,1.00,1.00,2,2,4,16.0,54.796,6,2.000,0.943,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2954,2.19,96.07,30.87,1552,0,1,0,1.00,1.00,1.00,2,3,4,17.5,18.168,7,2.000,0.765,4
100000,8.00,4,0,0,0,4,0,1.00,6,0.000,2951,0.00,81.39,8.14,1552,2,1,0,1.00,1.00,1.00,2,1,4,50.6,33.655,4,2.000,0.729,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2950,-0.00,88.72,8.81,1528,0,0,0,1.00,1.00,1.00,3,4,4,0.6,16.035,8,2.000,0.757,4
100000,28.00,14,0,8,0,6,0,1.00,0,0.286,2949,0.11,109.81,25.42,1473,1,0,0,1.00,1.00,1.00,4,4,4,36.0,20.460,14,2.000,0.848,4
100000,18.00,9,0,0,0,9,0,1.00,0,0.000,2949,0.17,101.38,33.96,1528,1,0,0,1.00,1.00,1.00,3,4,4,32.6,28.347,9,2.000,0.634,4
100000,6.00,5,0,0,0,3,0,1.00,6,0.000,2948,1.68,102.73,2.04,1552,0,1,0,1.00,1.00,1.00,2,2,4,21.8,30.000,3,2.000,0.922,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2947,0.00,94.12,4.65,1552,2,0,0,1.00,1.00,1.00,4,3,4,41.1,29.060,7,2.000,0.776,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2946,0.00,105.45,152.12,1560,0,0,0,1.00,1.00,1.00,2,4,4,24.5,55.133,16,2.000,0.901,4
100000,8.00,4,0,0,0,4,0,1.00,6,0.000,2945,0.07,93.92,22.31,590,2,0,0,1.00,1.00,1.00,2,1,4,47.8,34.950,4,2.000,0.961,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2939,0.02,107.46,14.90,1528,1,0,0,1.00,1.00,1.00,2,4,4,33.3,47.243,8,2.000,0.735,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2935,0.00,68.19,140.85,1560,2,0,0,1.00,1.00,1.00,2,4,4,64.1,2.203,16,2.000,0.903,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2934,0.03,95.70,2.95,1552,1,1,0,1.00,1.00,1.00,3,3,4,35.0,34.567,7,2.000,0.765,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2923,0.00,106.53,7.14,590,1,0,0,1.00,1.00,1.00,2,2,4,37.2,52.861,6,2.000,0.679,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2921,0.16,68.36,5.95,1552,1,2,0,1.00,1.00,1.00,4,2,4,30.9,6.071,6,2.000,0.793,4
100000,8.00,6,0,0,0,4,0,1.00,6,0.000,2919,2.39,84.01,28.47,1577,0,2,0,1.00,1.00,1.00,1,2,3,23.3,31.123,4,2.000,0.684,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2917,0.28,96.77,16.89,590,2,0,0,1.00,1.00,1.00,2,2,4,41.8,46.275,6,2.000,0.944,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2908,0.15,107.03,4.79,1546,1,2,0,1.00,1.00,1.00,2,2,4,28.2,59.969,6,2.000,0.629,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2907,0.27,97.49,13.11,1449,2,0,0,1.00,1.00,1.00,2,2,4,44.1,46.136,5,2.000,0.953,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2905,0.00,99.12,8.12,590,0,0,0,1.00,1.00,1.00,2,2,4,19.2,51.875,6,2.000,0.944,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2905,-0.00,101.97,36.43,590,2,0,0,1.00,1.00,1.00,2,2,4,39.5,41.376,6,2.000,0.679,4
