step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,1921,1.534,0.595,14.30,62415,48496,1980,8319,3129,559085,1192660.1,719701.0,0.260,0.429,0.163,0.149,99,33.68,21.63,0.62,2.67,6.50,6.82,0.08,1.07,10.84,9.58,0.03,0.27,0.175,0.156,1282,0.028,0.046,0.933,0.002,0.019,280105,258894,15,0.403,0.489,0.014,4903307,0.235,2.519,0.047,5.03,92779,361,1.287,0.203,0.360,10208086,1.25,5.16,0.298,0.625,0.015,6.6,33.6,61.4,149.8,34653,0.132,0.00,0.0057,0.071,432,0.887,0.000,0.694,0.778,3.35,4.51,4.50,0.04,0.020,1.26,1.27,1.27,0.904,0.00198,1.82,84.8926,2621.62,96814.0,140185.7,17.482,102.9881,192.334,0.000,1.000,0.004,50.2,81.155,247.457,531,2034.2,60.74,24.409,155.796,4802.3,93.559,0.134,2.00,12.1185,23279.5,1.1214,0.5164,18.04,1.782,0.332,1.5345,0.0000,0.730,0.167,0.892,0.0000,5.74,1.35,4,18,34,100,75.0063,2.3475,0.4628,0.0000,0.0000,57.6470,100.00,56.8944,437.1925,6046.3,13.6381,13.0335
20000,2211,1.493,0.538,22.26,34579,26163,93,7941,92,388522,377084.1,322469.4,0.129,0.651,0.108,0.112,180,27.80,13.93,0.07,0.98,4.84,4.54,0.13,0.94,9.86,8.83,0.00,0.04,0.188,0.161,1022,0.080,0.081,0.896,0.003,0.020,89453,77249,4,0.346,0.562,0.030,188134,0.190,2.695,0.035,7.34,45155,318,0.830,0.307,0.346,5707374,1.02,1.99,0.486,0.511,0.000,8.0,32.0,45.2,99.2,32931,0.126,0.00,0.0017,0.078,513,0.755,0.000,0.524,0.620,2.92,3.91,3.97,0.01,0.004,1.02,1.03,1.03,0.775,0.00177,0.74,21.4517,3049.90,94055.1,140185.7,0.008,34.5337,67.114,0.000,1.000,0.000,51.1,27.414,72.068,393,1289.2,62.19,6.878,49.338,3960.9,24.927,0.132,2.00,12.3803,27372.9,1.2590,0.5389,14.89,1.908,0.200,0.4655,0.0000,0.624,0.163,0.794,0.0000,4.42,0.73,4,16,25,64,23.3629,0.1349,0.4220,0.0000,0.0000,13.3006,100.00,101.5462,206.5959,5354.2,5.5478,5.6170
30000,2377,1.232,0.596,28.82,84574,59147,548,23961,752,766834,1051919.5,1073047.4,0.088,0.743,0.098,0.071,79,26.91,10.97,0.62,1.96,5.88,4.60,0.05,0.69,7.04,6.51,0.04,0.32,0.212,0.159,1006,0.183,0.065,0.915,0.002,0.019,365555,315289,12,0.045,0.880,0.008,476335,0.203,2.637,0.047,6.15,201071,423,1.399,0.263,0.306,20534539,1.24,1.65,0.446,0.479,0.023,10.0,30.0,34.0,110.4,32296,0.123,0.00,0.0063,0.095,658,0.871,0.000,0.705,0.770,2.48,3.80,3.90,0.10,0.046,1.21,1.25,1.26,0.884,0.00224,1.94,98.2309,2232.41,73421.1,140185.7,9.328,129.9749,162.895,0.000,1.000,0.000,58.3,56.141,246.788,562,2072.4,104.89,7.676,167.265,5100.5,88.963,0.134,2.00,19.5363,46437.8,1.8425,0.8287,13.59,1.935,0.220,1.5345,0.0000,0.865,0.182,0.936,0.0000,4.23,0.65,4,15,16,54,49.3978,1.4279,0.5082,0.0000,0.0000,51.9592,100.00,60.0781,414.3530,6293.6,14.7632,14.6692
40000,2077,1.408,0.372,29.14,30715,25165,951,4257,642,229221,454003.4,218061.1,0.071,0.779,0.100,0.051,176,29.95,9.87,0.27,1.47,6.10,4.52,0.09,0.80,10.26,9.22,0.00,0.07,0.202,0.146,610,0.281,0.091,0.893,0.000,0.016,71704,57603,7,0.596,0.068,0.022,384489,0.198,2.213,0.026,12.68,40390,389,0.951,0.279,0.179,7948475,1.09,1.18,0.681,0.273,0.003,15.4,32.0,36.8,98.0,34724,0.132,0.00,0.0021,0.127,501,0.709,0.000,0.575,0.582,2.97,4.15,4.14,0.02,0.010,1.08,1.11,1.10,0.717,0.00230,1.89,18.6585,1865.77,81171.3,140185.7,0.586,24.3077,83.458,0.000,1.000,0.001,53.0,37.348,64.069,241,752.6,88.12,6.514,42.101,2891.8,26.743,0.136,2.00,20.8854,43378.9,1.5246,0.5176,16.72,1.856,0.337,0.4655,0.0000,0.854,0.165,0.946,0.0000,4.42,0.89,8,16,25,64,32.3255,0.2426,0.4439,0.0000,0.0000,12.9177,100.00,96.4319,259.3136,5312.7,6.0955,6.1936
50000,2588,1.177,0.340,32.74,56714,43615,3587,4715,4286,196217,1083949.6,580713.5,0.029,0.764,0.187,0.020,87,28.80,12.52,0.06,0.64,3.88,4.48,0.00,0.00,10.41,5.86,0.01,0.12,0.122,0.133,715,0.170,0.080,0.898,0.000,0.021,243985,195978,14,0.140,0.459,0.000,49419,0.200,2.271,0.021,18.50,141706,385,2.960,0.287,0.225,17229251,1.02,1.41,0.622,0.173,0.002,8.0,32.0,42.0,162.0,37165,0.142,0.00,0.0040,0.118,532,0.722,0.000,0.376,0.769,2.88,3.86,3.88,0.03,0.013,1.01,1.03,1.02,0.725,0.00300,8.78,83.0031,2860.03,67124.6,140185.7,45.702,69.4340,176.910,0.000,1.000,0.037,73.7,73.955,224.599,136,385.3,89.60,7.692,110.354,1702.4,77.914,0.134,2.00,22.7299,58825.0,1.9219,0.6258,14.36,1.999,0.035,1.5345,0.0000,0.856,0.148,0.959,0.0000,4.20,0.49,4,16,21,81,64.5463,1.6425,0.4942,0.0000,0.0000,52.1282,100.00,45.7338,375.9076,4052.2,15.9448,16.0708
60000,2268,1.192,0.315,32.63,27847,21556,1717,1938,2956,68318,493586.9,214118.2,0.025,0.737,0.225,0.012,166,25.29,13.45,0.02,0.28,3.10,4.66,0.00,0.00,9.50,6.45,0.00,0.02,0.102,0.145,587,0.142,0.091,0.871,0.002,0.037,85309,68682,21,0.261,0.250,0.000,1577,0.157,2.274,0.019,18.10,50741,527,3.134,0.261,0.209,5549492,1.01,2.31,0.437,0.165,0.000,8.0,30.0,32.0,160.0,28627,0.109,0.00,0.0023,0.113,508,0.484,0.000,0.404,0.678,2.75,3.63,3.88,0.01,0.003,1.01,1.01,1.01,0.487,0.00257,4.98,27.1658,2067.05,84265.4,140185.7,1.650,18.3924,85.857,0.000,1.000,0.022,54.4,40.121,50.958,128,312.3,82.84,2.877,33.086,2107.2,25.655,0.137,1.99,19.2199,43590.7,2.0148,0.7588,12.62,2.000,0.000,0.4655,0.0000,0.764,0.221,0.830,0.0000,4.30,0.70,4,15,16,80,33.9268,0.3653,0.4541,0.0000,0.0000,12.8451,100.00,95.5088,271.1261,3263.9,5.6101,5.6890
70000,2816,1.000,0.298,33.11,74900,50672,3954,4746,14980,107355,1062795.5,599177.4,0.012,0.635,0.334,0.019,80,21.55,11.60,0.04,0.53,1.66,3.46,0.00,0.23,9.03,5.25,0.00,0.05,0.058,0.117,597,0.108,0.069,0.905,0.003,0.023,274001,228751,31,0.347,0.230,0.000,5785,0.153,2.250,0.018,23.54,162718,511,5.581,0.267,0.235,14988533,1.01,2.51,0.278,0.130,0.001,6.0,24.0,32.0,100.0,30242,0.115,0.00,0.0042,0.106,699,0.623,0.000,0.463,0.727,2.66,3.37,3.69,0.00,0.001,1.01,1.02,1.02,0.625,0.00247,20.42,80.4330,2466.24,71348.7,140185.7,48.940,53.1207,182.607,0.000,1.000,0.000,70.8,79.035,199.779,24,58.8,64.69,3.196,95.047,1963.9,72.772,0.134,2.00,20.1845,56839.4,2.3524,1.0058,10.74,2.000,0.000,1.5345,0.0000,0.767,0.184,0.882,0.0000,4.14,0.50,3,12,16,46,70.0135,2.0751,0.4964,0.0000,0.0000,48.6004,100.00,52.8260,383.3237,3014.3,14.8586,14.8836
80000,2544,0.886,0.213,33.41,32071,22235,2006,2265,5837,54432,485718.8,214678.6,0.008,0.689,0.285,0.018,161,20.16,10.70,0.10,0.90,1.60,3.55,0.00,0.00,8.29,4.37,0.00,0.00,0.055,0.113,470,0.082,0.098,0.882,0.000,0.020,91338,76025,18,0.305,0.188,0.000,10638,0.157,1.452,0.013,20.93,55006,553,3.944,0.263,0.150,5260465,1.05,2.45,0.239,0.123,0.000,6.0,20.0,32.0,114.0,25398,0.097,0.00,0.0023,0.136,674,0.424,0.000,0.448,0.653,2.65,3.27,3.72,0.00,0.004,1.04,1.06,1.05,0.427,0.00205,7.55,26.5350,1275.22,83293.2,140185.7,1.579,16.3211,85.606,0.000,1.000,0.001,61.7,39.613,43.065,59,152.6,51.43,1.181,28.749,1390.0,22.673,0.134,2.00,18.6103,47344.5,2.3810,0.9201,9.98,2.000,0.000,0.4655,0.0000,0.764,0.191,0.873,0.0000,4.09,0.51,3,10,16,57,33.6681,0.7356,0.4855,0.0000,0.0000,12.4054,100.00,96.2028,247.2417,2719.4,5.0612,5.0907
90000,3124,0.876,0.262,33.87,88481,56537,4509,5554,21301,112453,1052198.0,590446.1,0.006,0.621,0.340,0.033,78,18.48,10.22,0.06,0.60,1.21,2.88,0.02,0.33,7.90,4.22,0.00,0.06,0.041,0.096,467,0.135,0.067,0.912,0.002,0.018,285477,234486,22,0.299,0.274,0.003,19244,0.170,2.034,0.017,24.94,169989,481,5.251,0.287,0.202,16560032,1.03,2.83,0.207,0.093,0.001,6.0,16.0,32.0,71.9,28691,0.109,0.00,0.0043,0.112,712,0.618,0.000,0.528,0.691,2.52,2.99,3.73,0.00,0.002,1.02,1.04,1.03,0.620,0.00202,24.62,76.0270,2306.78,75504.2,140185.8,46.574,46.9952,188.732,0.000,1.000,0.000,75.6,82.928,192.139,23,68.6,71.57,2.595,90.508,1549.1,70.701,0.135,2.00,17.0295,53200.3,2.2447,0.9560,9.18,2.000,0.000,1.5345,0.0000,0.765,0.174,0.914,0.0000,4.05,0.27,3,8,16,36,74.4204,2.2044,0.5138,0.0000,0.0000,49.5134,100.00,56.0155,389.9109,3218.9,15.2572,15.2073
100000,2815,0.768,0.184,33.82,33744,22624,2348,2304,6777,47555,479143.0,190015.2,0.005,0.694,0.279,0.022,163,16.44,9.49,0.03,0.44,1.36,3.38,0.00,0.00,6.80,3.72,0.00,0.00,0.047,0.114,375,0.201,0.080,0.903,0.001,0.017,83239,66319,20,0.211,0.174,0.000,23477,0.180,1.361,0.011,21.92,50694,610,3.996,0.246,0.138,5350070,1.01,3.23,0.154,0.099,0.000,6.0,12.0,32.0,94.0,23053,0.088,0.00,0.0025,0.132,690,0.390,0.000,0.475,0.599,2.45,2.79,3.77,0.00,0.001,1.00,1.02,1.01,0.392,0.00173,8.37,23.2935,1246.81,84187.7,140185.8,1.548,14.9638,86.524,0.000,1.000,0.003,62.4,39.859,41.197,27,47.6,39.13,1.028,26.960,1173.7,21.178,0.134,2.00,16.7190,47063.9,2.5544,1.0002,8.19,2.000,0.000,0.4655,0.0000,0.783,0.183,0.912,0.0000,4.05,0.35,3,6,16,47,34.1785,0.8181,0.4966,0.0000,0.0000,12.4031,100.00,95.9377,242.9907,2777.4,5.0724,5.1166
