step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,2100,0.8705,34040.8,891,728,762,610,12,12,20,23235,25837,31103,2246,2393,1954
2000,2056,0.8298,59794.2,1676,692,775,589,13,12,25,12972,16642,23235,2170,2395,2262
3000,1897,0.8809,72116.4,2523,666,673,558,9,12,24,7611,11894,18105,2351,2744,2515
4000,2059,0.5750,53333.5,583,848,736,475,17,22,24,18485,21033,26630,1416,1926,1480
5000,1990,0.5859,63762.3,786,697,820,473,21,21,26,14791,18171,22942,1657,1595,1592
6000,1975,0.6041,73275.6,995,724,713,538,34,33,35,12696,15332,21001,1389,1639,1461
7000,2463,0.4799,56271.5,619,898,962,603,55,61,51,16468,19099,22925,2077,2100,1577
8000,2875,0.4191,35040.8,416,1049,1089,737,133,77,105,23782,25198,28005,2420,2577,2022
9000,2342,0.4193,23791.2,367,964,827,551,98,92,101,29414,29662,31636,2573,2473,2048
10000,1921,0.4628,23279.5,388,797,692,432,67,69,62,31326,32506,32982,2175,1983,1888
11000,1530,0.5118,19077.6,464,796,453,281,89,47,80,31988,34777,36332,2143,1887,1817
12000,1171,0.5798,13718.2,527,650,298,223,39,69,68,33728,37784,39707,1995,1686,1657
13000,729,0.5720,6530.1,532,426,175,128,30,46,45,36641,41031,42550,2147,1604,1372
14000,484,0.6198,3528.7,464,362,79,43,12,51,29,38421,43319,44135,2136,1357,1227
15000,298,0.6342,2219.2,575,233,49,16,8,40,16,39460,43881,44491,2168,1252,1113
16000,388,0.4691,2741.1,421,326,40,22,5,32,19,39815,43448,43922,2103,1204,1070
17000,684,0.4488,6360.6,366,479,128,77,22,62,59,37639,42456,43755,1837,1170,978
18000,1253,0.4381,10064.1,350,734,285,234,71,82,106,35091,40298,43067,1800,1164,940
19000,1632,0.4547,18654.4,383,768,514,350,68,70,67,31855,35629,39481,1962,1610,1179
20000,2211,0.4220,27372.9,425,916,782,513,94,78,67,28400,31062,34594,1957,1823,1574
21000,2275,0.3965,40171.3,558,895,828,552,66,62,63,25065,25001,28262,1897,2018,1730
22000,2591,0.3887,55692.3,656,1018,926,647,66,57,87,19977,19051,21927,1954,1926,1509
23000,2987,0.3274,32813.7,387,1202,1004,781,119,95,95,27858,23711,23011,2489,2219,1887
24000,2956,0.3292,33954.5,366,1072,1073,811,93,74,103,25485,24012,25077,2089,2377,2084
25000,3053,0.3931,42037.6,457,1190,1052,811,119,91,94,22876,21750,23036,2284,2322,1881
26000,3224,0.4144,48363.3,527,1142,1228,854,131,106,118,21082,20140,21112,2201,2353,2153
27000,3070,0.4564,54496.9,645,1169,1054,847,116,87,113,18851,19436,20832,2193,2312,2174
28000,2978,0.4590,52838.2,676,1132,1105,741,123,105,128,18674,20551,21327,2171,2212,2409
29000,2727,0.4826,45494.9,662,1076,980,671,113,122,107,20209,23719,25329,2344,2396,2018
30000,2377,0.5082,46437.8,756,905,814,658,108,118,106,22835,24240,26346,2326,2085,1882
31000,2180,0.5174,40084.3,782,912,754,514,115,130,112,24540,28170,30303,2125,1900,1739
32000,1629,0.5537,27346.1,783,828,491,310,115,108,94,28329,34147,36276,2098,1605,1507
33000,1118,0.5707,17621.4,822,658,291,169,84,105,96,31896,38922,41421,1756,1304,1185
34000,755,0.6411,10087.1,769,518,159,78,44,82,62,34603,42567,45062,1777,1075,941
