step,event,lineage,other,size
5000,birth,1,0,361
5000,birth,2,0,37
5000,birth,3,0,10
5000,birth,4,0,39
5000,birth,5,0,22
5000,birth,6,0,17
5000,birth,7,0,169
5000,birth,8,0,72
5000,birth,10,0,20
5000,birth,12,0,32
5000,birth,14,0,19
5000,birth,16,0,23
5000,birth,17,0,30
5000,birth,19,0,20
5000,birth,21,0,29
5000,birth,22,0,7
5000,birth,24,0,22
5000,birth,25,0,29
5000,birth,31,0,12
5000,birth,32,0,22
5000,birth,34,0,88
5000,birth,35,0,27
5000,birth,39,0,36
5000,birth,42,0,42
5000,birth,43,0,14
5000,birth,46,0,7
5000,birth,47,0,31
5000,birth,48,0,27
5000,birth,53,0,10
5000,birth,58,0,9
5000,birth,59,0,10
5000,birth,60,0,15
5000,birth,70,0,55
5000,birth,76,0,8
5000,birth,79,0,30
5000,birth,85,0,43
5000,birth,91,0,34
5000,birth,100,0,22
5000,birth,112,0,7
5000,birth,119,0,87
6000,birth,124,0,12
6000,birth,126,0,19
6000,merge,70,1,55
7000,birth,117,0,24
7000,birth,118,0,137
7000,birth,131,0,9
7000,split,135,1,53
7000,merge,7,1,168
7000,extinct,22,0,7
7000,extinct,46,0,7
7000,merge,47,1,82
7000,extinct,53,0,5
7000,extinct,76,0,8
8000,birth,67,0,47
8000,split,140,1,29
8000,birth,141,0,80
8000,split,143,1,84
8000,birth,149,0,18
8000,birth,151,0,42
8000,split,153,1,5
8000,extinct,2,0,30
8000,extinct,25,0,26
9000,split,171,149,13
9000,split,173,7,17
9000,extinct,4,0,11
9000,extinct,5,0,13
9000,extinct,24,0,19
9000,merge,39,1,74
9000,extinct,59,0,9
10000,extinct,3,0,13
10000,extinct,6,0,27
10000,extinct,14,0,13
10000,extinct,21,0,14
10000,extinct,32,0,11
10000,merge,35,1,24
10000,extinct,79,0,16
10000,extinct,124,0,35
10000,extinct,135,0,19
10000,extinct,140,0,6
10000,extinct,141,0,15
11000,split,185,1,12
11000,extinct,17,0,9
11000,extinct,58,0,5
11000,extinct,112,0,5
11000,extinct,131,0,6
11000,extinct,173,0,5
12000,split,189,143,27
12000,extinct,117,0,8
12000,extinct,185,0,12
13000,split,207,118,12
13000,extinct,8,0,8
13000,extinct,31,0,9
13000,extinct,48,0,6
13000,extinct,60,0,8
13000,extinct,91,0,21
13000,extinct,143,0,11
13000,extinct,149,0,9
13000,extinct,153,0,5
14000,split,216,119,25
14000,extinct,16,0,7
14000,extinct,19,0,5
14000,extinct,43,0,6
14000,extinct,67,0,21
14000,extinct,85,0,20
14000,extinct,171,0,12
15000,split,220,1,40
15000,extinct,10,0,8
15000,extinct,12,0,5
15000,extinct,34,0,7
15000,extinct,126,0,13
15000,extinct,189,0,8
15000,extinct,207,0,12
16000,split,230,119,110
16000,extinct,1,0,6
17000,extinct,100,0,7
18000,extinct,118,0,16
18000,extinct,216,0,25
19000,extinct,220,0,12
20000,extinct,42,0,13
21000,extinct,151,0,21
22000,split,244,119,42
23000,split,252,230,191
23000,merge,244,119,42
24000,split,254,230,93
26000,split,272,119,6
27000,split,276,230,7
27000,extinct,272,0,6
28000,split,303,119,9
28000,split,304,119,42
29000,split,323,230,50
29000,split,324,230,256
29000,split,325,230,41
29000,split,326,230,7
29000,split,327,119,5
30000,split,357,230,245
30000,split,358,324,70
30000,split,364,324,72
30000,split,377,230,5
30000,split,379,119,48
30000,extinct,254,0,17
30000,extinct,276,0,13
30000,extinct,303,0,9
31000,split,389,119,75
31000,split,390,119,62
31000,split,399,230,41
31000,split,400,324,30
31000,split,412,119,61
31000,extinct,323,0,50
32000,split,414,324,21
32000,split,416,358,13
32000,split,432,324,910
32000,extinct,304,0,26
32000,extinct,325,0,8
32000,extinct,327,0,20
32000,extinct,377,0,5
33000,split,468,324,7
33000,extinct,358,0,14
33000,extinct,364,0,12
33000,extinct,416,0,13
34000,split,482,324,10
34000,split,487,390,13
34000,extinct,230,0,6
34000,extinct,252,0,9
34000,extinct,324,0,14
34000,extinct,326,0,6
34000,extinct,400,0,30
34000,extinct,414,0,21
35000,split,500,119,78
35000,extinct,357,0,24
35000,extinct,379,0,8
35000,extinct,399,0,25
35000,extinct,468,0,7
36000,extinct,389,0,54
36000,extinct,482,0,10
37000,split,529,432,18
38000,split,537,119,11
38000,split,539,432,688
39000,split,545,390,53
39000,split,548,500,20
39000,split,550,432,6
39000,extinct,487,0,6
40000,extinct,119,0,15
40000,extinct,529,0,8
40000,extinct,550,0,6
41000,split,556,432,17
42000,split,560,545,33
42000,split,565,545,58
42000,extinct,500,0,14
43000,split,570,539,7
43000,extinct,548,0,12
43000,extinct,556,0,7
44000,extinct,432,0,11
44000,extinct,570,0,7
45000,split,591,390,11
45000,split,594,539,8
45000,extinct,560,0,11
46000,split,608,390,226
46000,split,616,539,13
46000,split,622,390,47
46000,split,623,390,49
47000,split,630,539,93
47000,extinct,591,0,7
47000,extinct,594,0,8
48000,split,656,539,5
48000,split,657,539,14
48000,split,658,390,62
48000,split,659,539,281
48000,split,661,545,70
48000,split,664,539,730
48000,split,687,610,34
48000,extinct,537,0,6
49000,split,693,390,128
49000,split,694,390,18
49000,split,695,390,30
49000,split,700,412,42
49000,split,702,390,9
49000,split,715,545,36
49000,split,731,390,15
49000,extinct,656,0,5
50000,split,590,390,20
50000,split,672,390,72
50000,split,737,630,8
50000,split,740,390,32
50000,split,742,390,10
50000,split,754,412,18
50000,split,755,694,13
50000,split,765,539,1282
50000,split,766,664,6
50000,extinct,616,0,5
50000,extinct,622,0,36
50000,extinct,657,0,7
