step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,3,302,13.5,0.7,0.0,0.1,12.2,0.0,1.23,20.6,105,273,20.66,5.86,183,92,27,0.0,1.22,1.31,1.22,3.15,5.83,3.14,22.4,0.994,0.504,9.63
5000,12,105,11.2,0.1,0.6,0.9,10.2,0.0,1.03,15.5,36,283,31.17,15.85,11,77,17,0.0,1.00,1.03,1.04,2.76,4.50,3.17,31.7,0.982,0.607,7.54
5000,1,60,8.7,0.0,1.6,3.2,7.1,0.0,1.00,17.6,33,510,54.60,14.23,25,33,2,0.0,1.00,1.00,1.00,2.82,4.20,3.62,26.4,0.845,0.393,8.28
5000,21,45,8.6,2.1,0.8,0.0,5.4,0.1,1.90,18.2,13,321,33.69,9.56,0,44,1,0.3,1.84,2.09,1.86,1.76,2.73,3.09,32.7,0.855,0.426,7.47
5000,60,43,14.8,0.0,0.0,4.8,10.0,0.0,1.00,10.6,14,769,68.83,31.57,19,19,5,0.0,1.00,1.00,1.00,3.60,4.42,5.91,28.5,1.161,0.554,7.63
5000,14,39,22.9,4.2,0.0,5.6,16.8,0.0,1.46,11.4,28,943,125.09,35.79,28,10,1,0.0,1.42,1.75,1.33,4.21,4.92,6.64,16.2,0.831,0.325,8.62
5000,68,38,6.6,0.0,0.1,2.6,6.8,0.0,1.00,7.7,29,830,86.44,41.85,7,30,1,0.0,1.00,1.00,1.00,2.45,3.68,3.00,28.1,0.817,0.697,5.24
5000,39,37,6.7,0.0,0.0,2.3,9.3,0.0,1.00,11.3,14,659,33.13,12.21,19,15,3,0.0,1.00,1.00,1.00,3.27,3.24,7.35,26.9,0.652,0.437,7.97
5000,6,37,41.7,2.4,0.1,3.5,26.1,0.0,1.66,0.0,11,1432,173.79,64.44,19,17,1,0.1,1.07,2.01,1.78,4.65,5.65,5.65,24.7,1.267,0.390,5.65
5000,63,29,18.7,0.0,6.1,0.7,10.6,0.0,1.00,6.3,20,960,100.25,45.07,0,17,12,0.0,1.00,1.00,1.00,3.52,4.41,4.45,37.4,1.136,0.535,6.00
5000,13,28,42.4,1.7,9.5,6.9,24.5,0.0,1.51,1.1,22,607,86.84,44.89,0,4,24,0.1,1.65,1.31,1.53,5.71,6.86,6.86,45.7,1.031,0.470,7.14
5000,28,28,6.6,0.2,0.0,2.7,4.9,0.0,1.05,13.4,15,1086,60.01,14.19,17,10,1,0.0,1.07,1.02,1.06,2.68,2.57,3.57,25.0,1.008,0.425,6.32
5000,31,26,31.9,0.0,0.0,0.6,36.8,0.0,1.00,2.0,15,882,142.89,78.46,0,21,5,0.0,1.00,1.00,1.00,4.85,6.46,6.54,34.2,0.843,0.435,6.69
5000,32,24,21.5,0.0,0.0,0.2,21.8,0.0,1.00,1.3,9,1272,243.34,122.69,23,1,0,0.0,1.00,1.00,1.00,3.67,4.75,4.58,22.4,0.984,0.218,5.00
5000,71,22,16.3,0.0,0.1,0.0,14.8,0.0,1.00,21.9,6,1054,84.27,66.42,18,4,0,0.0,1.00,1.00,1.00,3.23,4.36,4.64,19.3,1.090,0.492,9.86
5000,15,21,30.8,0.0,0.0,0.0,27.5,0.0,1.00,8.0,11,1453,160.12,95.98,9,12,0,0.0,1.00,1.00,1.00,4.71,5.62,5.90,26.0,1.085,0.312,7.76
5000,35,19,12.6,1.3,1.2,0.0,6.8,0.0,1.46,15.2,5,773,40.52,15.22,0,19,0,0.0,1.86,1.86,1.24,3.74,7.95,3.84,34.1,1.179,0.428,8.68
5000,38,15,116.4,12.6,0.0,0.0,88.5,0.0,2.27,0.0,5,1393,237.96,52.43,14,1,0,0.0,1.14,2.90,2.52,10.00,10.27,10.27,20.8,1.021,0.561,10.27
5000,11,12,6.4,0.0,0.0,0.0,5.4,0.0,1.00,27.8,2,592,25.70,4.23,0,12,0,0.0,1.00,1.00,1.00,2.33,4.08,2.00,33.5,1.175,0.476,10.00
5000,47,12,17.0,0.0,0.8,14.8,10.0,0.0,1.00,4.3,6,830,94.47,18.43,0,5,7,0.0,1.00,1.00,1.00,5.25,7.00,4.83,36.2,0.937,0.497,7.00
5000,50,10,15.2,0.0,4.1,0.0,14.7,0.0,1.00,2.6,10,1683,244.95,116.18,0,0,10,0.0,1.00,1.00,1.00,3.50,5.00,5.40,49.8,0.805,0.479,5.80
5000,8,10,46.3,0.0,17.5,0.0,26.6,0.0,1.00,1.0,9,1248,170.51,63.66,6,4,0,0.0,1.00,1.00,1.00,4.80,7.30,7.80,25.8,1.033,0.686,7.80
5000,23,9,49.5,0.6,0.0,1.0,46.1,0.0,1.08,0.2,4,1005,306.53,129.66,9,0,0,0.0,1.03,1.14,1.08,5.44,7.00,7.11,10.7,1.040,0.498,7.11
5000,54,9,54.4,0.3,0.0,0.1,47.1,0.0,1.04,0.0,2,1828,157.28,46.05,0,0,9,0.0,1.00,1.00,1.07,5.67,6.89,6.89,44.9,1.136,0.544,6.89
5000,24,8,45.4,4.0,9.9,0.0,32.4,0.1,1.17,0.8,8,1278,149.88,35.66,8,0,0,0.1,1.62,1.00,1.03,6.88,8.00,7.62,11.8,0.907,0.500,8.00
5000,10,7,6.8,0.0,0.0,5.0,6.6,0.0,1.00,12.3,6,1026,77.92,28.46,1,3,3,0.0,1.00,1.00,1.00,3.29,3.14,3.57,34.8,0.746,0.307,6.43
5000,36,6,21.4,0.0,9.3,0.0,15.7,0.0,1.00,6.0,6,1933,95.28,22.96,0,6,0,0.0,1.00,1.00,1.00,3.50,6.67,5.00,33.1,0.861,0.640,7.33
5000,73,5,42.9,0.0,0.0,15.4,33.6,0.0,1.00,0.0,2,1891,412.41,207.33,0,5,0,0.0,1.00,1.00,1.00,4.80,7.00,7.00,29.6,1.040,0.476,7.00
6000,93,1526,16.3,0.4,3.9,0.1,9.4,0.0,1.12,9.7,481,378,31.19,16.24,370,528,628,0.0,1.12,1.13,1.13,3.36,5.40,3.72,35.0,1.154,0.333,6.88
6000,3,174,20.4,0.3,8.6,0.1,7.9,0.0,1.11,14.1,89,163,8.50,13.17,86,39,49,0.1,1.09,1.13,1.11,3.90,7.57,3.18,29.3,1.162,0.431,8.84
6000,97,49,15.3,0.8,1.4,0.0,12.1,0.0,1.29,16.1,31,685,42.46,14.52,10,27,12,0.0,1.47,1.09,1.30,3.24,4.31,4.78,32.2,1.005,0.704,8.51
6000,71,39,14.6,0.0,0.6,0.0,12.5,0.0,1.00,23.1,20,269,29.08,9.08,30,9,0,0.0,1.00,1.00,1.00,2.82,3.74,4.51,21.8,1.105,0.497,9.90
6000,6,32,40.1,1.5,0.0,3.7,26.9,0.0,1.37,0.1,10,2154,243.83,81.19,14,17,1,0.0,1.03,1.60,1.42,4.75,5.66,5.62,26.1,1.264,0.395,5.66
6000,63,32,25.6,0.3,5.8,0.8,15.9,0.0,1.09,3.9,28,966,95.05,32.51,0,23,9,0.0,1.12,1.00,1.11,4.31,4.91,5.12,36.9,1.149,0.540,6.00
6000,68,32,4.8,0.0,0.0,2.5,4.1,0.0,1.00,9.4,22,480,37.47,20.15,21,11,0,0.0,1.00,1.00,1.00,1.94,3.00,2.47,24.8,0.909,0.681,5.06
6000,32,30,12.4,0.0,0.0,0.1,12.4,0.0,1.00,6.9,15,1707,269.22,135.44,29,0,1,0.0,1.00,1.00,1.00,2.50,3.37,3.20,22.8,1.080,0.229,5.00
6000,21,22,10.8,3.5,0.9,0.0,5.2,0.1,2.63,16.2,11,1320,102.15,37.65,0,20,2,0.2,2.47,2.87,2.72,1.82,2.95,3.68,33.4,0.837,0.448,7.36
6000,60,20,10.6,0.0,0.2,2.7,7.6,0.0,1.00,14.0,10,1085,115.73,26.33,3,9,8,0.0,1.00,1.00,1.00,3.30,3.70,6.35,33.4,1.158,0.563,7.85
6000,12,17,14.1,0.4,0.3,2.4,12.0,0.0,1.12,12.7,13,1403,180.20,108.96,8,3,6,0.0,1.00,1.14,1.16,2.71,4.94,3.76,26.5,0.988,0.607,7.47
6000,13,16,28.5,0.0,8.3,1.6,18.1,0.0,1.00,6.1,16,1661,243.00,90.27,0,2,14,0.0,1.00,1.00,1.00,4.56,6.19,6.19,43.2,1.028,0.465,7.19
6000,23,14,47.5,0.8,0.0,0.6,44.4,0.0,1.12,0.1,11,1167,338.35,142.43,14,0,0,0.0,1.14,1.09,1.12,5.29,7.00,6.93,11.2,1.028,0.507,7.00
6000,31,14,24.9,0.0,0.0,1.6,27.1,0.0,1.00,6.6,9,1486,289.09,172.19,0,11,3,0.0,1.00,1.00,1.00,3.64,5.14,5.43,34.0,0.881,0.448,6.71
6000,54,14,51.3,0.2,0.0,0.1,45.4,0.0,1.02,0.3,5,1635,152.27,42.35,0,0,14,0.0,1.00,1.00,1.05,5.71,6.93,6.79,45.7,1.117,0.527,6.93
6000,28,14,6.0,0.4,0.0,2.4,4.1,0.0,1.12,13.9,10,2233,111.38,27.34,11,3,0,0.0,1.15,1.08,1.12,2.79,2.93,3.57,24.0,0.997,0.404,6.36
6000,14,14,5.7,0.0,0.0,1.4,6.2,0.0,1.00,22.3,12,1285,86.56,26.24,14,0,0,0.0,1.00,1.00,1.00,2.50,2.50,4.71,8.5,0.820,0.315,9.00
6000,1,14,6.7,0.0,0.5,4.2,5.8,0.0,1.00,19.4,14,1394,165.11,68.08,14,0,0,0.0,1.00,1.00,1.00,2.93,4.00,3.79,16.0,0.802,0.393,8.43
6000,101,13,64.5,9.5,3.2,0.0,49.5,0.5,2.72,0.0,8,1474,350.43,122.43,13,0,0,1.2,1.92,3.76,2.60,5.31,7.92,7.92,16.7,0.902,0.467,7.92
