step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,1902,0.8302,34022.8,840,673,667,562,13,12,12,24702,26754,31784,1681,1584,1543
2000,1833,0.7861,59447.9,1610,654,670,509,11,8,9,14731,16776,23688,1806,1797,1690
3000,1814,0.8313,72796.5,2298,611,725,478,16,9,13,9862,11704,18329,1975,2088,1965
4000,2234,0.5273,46464.9,486,893,765,576,17,26,38,22044,22158,28239,916,1080,1043
5000,2830,0.5343,54507.4,562,854,1155,821,46,42,79,17938,20670,26600,884,1069,983
6000,3053,0.4943,61967.8,651,1088,1009,956,53,56,98,15840,19542,25450,967,794,718
7000,4013,0.4500,50203.1,453,1541,1477,995,99,129,117,21683,22162,27138,769,1059,648
8000,3890,0.4337,44494.3,464,1579,1281,1030,107,124,121,22872,24415,29368,827,906,711
9000,3487,0.4474,42958.4,497,1446,1201,840,119,107,141,24264,25473,31011,902,771,680
10000,3993,0.4255,35466.7,404,1779,1386,828,134,158,166,27640,29114,34086,648,667,542
11000,3246,0.4603,20322.6,322,1620,1031,595,112,145,133,31369,35622,41367,557,627,448
12000,2127,0.4998,13243.2,310,1088,626,413,115,146,170,33272,40033,45689,444,323,332
13000,1287,0.5501,9167.1,413,788,313,186,60,87,80,34271,42616,47614,520,257,200
14000,830,0.5410,6863.7,513,588,159,83,22,76,62,35085,44153,48942,419,185,124
15000,618,0.5647,5450.6,552,492,102,24,15,72,21,35037,45275,50203,461,113,51
16000,626,0.5144,5887.4,456,523,76,27,11,63,25,34628,45103,50350,440,77,44
17000,1272,0.4528,10354.6,352,826,278,168,49,140,109,32306,43430,49643,241,71,43
18000,2108,0.4151,14319.7,369,1196,555,357,104,173,180,30445,41294,48548,315,106,34
19000,2802,0.4333,19985.5,396,1287,923,592,122,163,251,28545,38248,46984,298,233,56
20000,3640,0.4354,27550.5,407,1651,1164,825,165,148,204,25847,33926,43490,411,264,236
21000,4240,0.4366,36069.3,414,1682,1470,1088,139,149,227,24068,30022,39227,377,371,261
22000,4703,0.4295,43199.6,418,1724,1641,1338,118,137,190,22556,27168,35611,470,391,271
23000,5747,0.4162,41223.5,362,2254,2153,1340,203,210,189,22907,27091,34804,537,482,385
24000,5664,0.4207,43296.0,360,2238,2122,1304,198,181,183,22585,26041,35090,430,544,346
25000,5465,0.4267,45586.3,393,2229,1904,1332,218,161,160,21430,25542,33400,636,463,406
26000,5063,0.4280,48255.3,444,2014,1679,1370,166,172,186,21074,25289,32707,556,513,292
27000,5471,0.4573,45149.1,424,2063,2008,1400,186,215,205,22766,26115,33863,454,525,308
28000,5296,0.4422,42331.3,389,1942,1976,1378,162,209,203,23503,26477,34668,499,492,343
29000,4887,0.4240,39423.9,376,1790,1989,1108,176,157,190,25271,28239,35740,476,419,297
30000,4260,0.4561,31387.3,413,1815,1345,1100,167,151,201,27622,32692,39351,435,244,217
31000,3530,0.4833,24686.5,460,1616,993,921,166,148,237,29926,36261,42276,299,169,130
32000,2557,0.5053,19563.4,601,1318,709,530,108,233,268,32124,39491,44955,132,93,51
33000,1656,0.5411,12286.8,779,920,418,318,104,214,251,33978,42892,47987,152,43,17
34000,933,0.5895,8263.9,914,560,227,146,34,161,129,34860,45223,50118,124,14,4
35000,664,0.5663,7531.0,761,478,130,56,6,114,55,34087,45837,51150,147,9,1
36000,680,0.5235,8701.8,810,453,150,77,8,142,76,33280,45201,51173,94,28,4
37000,1062,0.5320,11013.9,680,623,277,162,10,221,153,32252,43914,50549,145,46,13
38000,1651,0.5039,14381.8,605,863,461,327,54,284,234,31299,41702,49063,293,43,31
39000,2554,0.4937,19359.9,504,1260,747,547,110,226,265,29014,38838,47366,312,184,74
40000,3494,0.4468,26143.8,442,1601,1110,783,143,230,262,26915,35029,44517,384,249,126
41000,4265,0.4687,31449.2,418,1745,1344,1176,178,217,287,26219,32009,41314,368,349,208
42000,4565,0.4493,37389.7,425,1747,1659,1159,164,173,237,24289,29652,38208,395,371,223
43000,4999,0.4597,40516.2,429,1916,1780,1303,175,154,229,23810,27831,36330,515,459,265
44000,5462,0.4685,38890.1,404,2139,1960,1363,212,259,304,24332,28202,36677,473,426,287
45000,5510,0.4298,40450.2,377,2254,1984,1272,223,242,276,24167,27342,36174,531,450,312
46000,4997,0.4599,40126.1,431,1801,1912,1284,186,201,266,24508,27444,36245,455,628,235
47000,5403,0.4736,39895.8,410,2094,1903,1406,210,208,284,24058,28500,36180,437,409,295
48000,4928,0.4637,39538.5,442,2035,1589,1304,198,202,230,24211,28864,36737,515,381,256
49000,5169,0.4707,32721.8,392,2244,1675,1250,264,210,295,26660,31434,39596,435,272,225
50000,3813,0.4849,28611.5,456,1552,1226,1035,145,191,240,28537,33923,41690,365,262,119
51000,3240,0.5201,25572.5,548,1517,1021,702,157,198,272,29566,36209,43078,285,164,93
52000,2314,0.5501,18819.5,697,1130,666,518,72,236,288,31608,39911,45702,283,85,43
53000,1502,0.5486,12751.2,726,847,393,262,57,193,172,33690,42762,48284,182,53,22
54000,1026,0.5867,9086.4,752,694,208,124,32,160,104,34040,44785,50339,160,23,4
55000,696,0.5790,7862.4,765,515,125,56,12,114,55,33934,45463,51298,157,5,2
56000,782,0.5230,8235.4,703,591,129,62,9,111,62,33241,45231,51519,123,30,9
57000,1098,0.5219,12442.4,719,650,261,187,21,182,172,31866,43323,50459,114,42,19
58000,1794,0.4755,14635.3,637,999,460,335,67,282,241,30579,41913,49605,271,70,36
59000,2589,0.4913,17558.3,532,1109,827,653,135,259,327,30234,39712,48630,189,116,70
60000,3496,0.5060,23240.8,483,1460,1187,849,153,258,315,28593,36363,46402,286,208,83
61000,3868,0.4630,30016.7,502,1504,1370,994,139,220,336,26410,33012,42853,311,263,195
