step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side
100000,6.03,30,0,0,0,7,0,1.00,24,0.000,2993,0.00,121.83,2.01,579,2,0,0,1.00,1.00,1.00,1,4,2,63.9,30.052,7,0.862,0.319,9
100000,50.00,25,0,19,0,6,0,1.00,0,0.380,2990,3.65,77.68,200.71,624,0,2,0,1.00,1.00,1.00,4,5,5,6.0,50.835,25,2.000,0.717,5
100000,50.00,25,0,19,0,6,0,1.00,0,0.380,2985,0.00,44.87,129.87,624,0,0,0,1.00,1.00,1.00,4,5,5,22.0,43.953,25,2.000,0.718,5
100000,50.00,25,0,19,0,6,0,1.00,0,0.380,2977,0.00,4.81,13.08,624,0,0,0,1.00,1.00,1.00,4,5,5,19.1,0.000,25,2.000,0.718,5
100000,1.16,11,0,0,0,1,0,1.00,32,0.000,2962,0.00,120.29,6.07,419,2,1,0,1.00,1.00,1.00,1,1,1,45.7,0.009,1,1.158,0.352,9
100000,48.00,25,0,11,0,13,0,1.00,0,0.229,2960,0.00,49.76,111.56,624,1,0,0,1.00,1.00,1.00,4,5,5,27.6,0.000,24,2.000,0.812,5
100000,50.00,25,0,12,0,13,0,1.00,0,0.240,2960,0.00,45.36,135.26,624,1,0,0,1.00,1.00,1.00,4,5,5,31.5,0.000,25,2.000,0.812,5
100000,50.00,25,0,14,0,11,0,1.00,0,0.280,2909,5.69,182.19,101.01,624,1,0,0,1.00,1.00,1.00,4,5,5,32.2,83.789,25,2.000,0.636,5
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2904,4.73,122.85,276.72,624,0,0,0,1.00,1.00,1.00,2,4,4,12.5,44.225,16,2.000,0.697,4
100000,6.00,16,0,0,0,3,0,1.00,8,0.000,2893,0.29,88.25,43.52,624,0,0,0,1.00,1.00,1.00,2,1,3,2.8,30.000,3,2.000,0.727,4
100000,11.53,21,0,0,1,10,0,1.00,22,0.000,2888,0.00,131.32,2.74,419,2,2,0,1.00,1.00,1.00,3,3,8,39.6,31.972,11,1.098,0.312,10
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2874,3.09,192.49,137.18,624,1,0,0,1.00,1.00,1.00,2,4,4,23.6,106.663,16,2.000,0.701,4
100000,1.72,26,0,0,2,1,0,1.00,28,0.000,2865,0.00,132.00,2.15,579,1,2,0,1.00,1.00,1.00,1,2,2,33.4,0.383,3,0.862,0.319,9
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2855,2.89,160.57,230.58,624,0,0,0,1.00,1.00,1.00,2,4,4,13.4,125.534,16,2.000,0.701,4
100000,50.00,25,0,12,0,13,0,1.00,0,0.240,2851,4.82,303.31,149.34,624,0,1,0,1.00,1.00,1.00,4,5,5,5.2,102.396,25,2.000,0.812,5
100000,8.13,14,0,0,0,7,0,1.00,24,0.000,2843,-0.00,121.13,2.72,419,1,0,0,1.00,1.00,1.00,3,2,6,32.2,15.490,7,1.162,0.314,10
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2831,2.81,157.29,105.07,624,0,0,0,1.00,1.00,1.00,4,4,4,7.1,78.774,16,2.000,0.701,4
100000,12.00,16,0,1,0,5,0,1.00,6,0.083,2824,1.96,294.49,75.17,624,0,0,0,1.00,1.00,1.00,1,3,2,14.6,60.000,6,2.000,0.712,4
100000,30.00,15,0,4,0,11,0,1.00,0,0.133,2821,3.93,309.51,189.78,624,0,0,0,1.00,1.00,1.00,2,4,4,13.1,123.511,15,2.000,0.484,4
100000,7.07,11,0,0,0,7,0,1.00,16,0.000,2810,0.00,110.21,4.09,802,2,0,0,1.00,1.00,1.00,3,2,6,52.2,8.269,7,1.010,0.249,8
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2800,-0.00,86.04,192.51,624,1,0,0,1.00,1.00,1.00,1,4,4,23.7,34.814,16,2.000,0.697,4
100000,1.06,15,0,0,0,1,0,1.00,24,0.000,2797,0.00,95.41,5.45,419,0,0,0,1.00,1.00,1.00,1,1,1,8.9,3.941,1,1.057,0.424,7
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2763,5.20,191.28,217.76,624,0,0,0,1.00,1.00,1.00,2,4,4,11.9,122.082,16,2.000,0.701,4
