step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,525,30.9,2.8,1.0,4.6,23.7,0.0,1.66,6.8,174,1040,58.07,24.71,266,154,105,0.0,1.72,1.44,1.76,5.02,6.45,6.16,27.5,0.969,0.507,7.96
5000,15,278,24.5,1.4,0.1,2.4,20.4,0.0,1.38,11.7,94,749,38.35,13.83,174,63,41,0.0,1.34,1.47,1.37,4.35,5.76,5.33,22.2,1.010,0.414,8.39
5000,61,93,34.7,4.9,0.2,0.0,30.8,0.0,2.14,8.0,49,981,59.24,23.73,27,17,49,0.1,2.11,2.41,2.04,5.20,5.76,7.34,36.9,0.853,0.361,8.52
5000,4,71,32.1,0.6,10.0,0.0,27.5,0.0,1.16,17.3,40,752,61.60,13.46,26,45,0,0.3,1.14,1.16,1.17,5.34,6.51,7.44,27.1,0.803,0.449,11.30
5000,54,70,47.2,3.3,8.0,2.1,38.7,0.0,1.72,0.1,43,1220,118.84,55.49,39,31,0,0.5,1.60,2.17,1.57,6.00,7.37,7.31,26.3,0.884,0.566,7.37
5000,8,61,45.4,7.1,8.0,1.1,18.3,0.0,3.00,7.2,42,1470,84.56,31.13,19,42,0,1.0,2.71,3.27,2.98,5.34,6.57,6.56,28.9,1.140,0.514,8.34
5000,49,47,26.0,5.7,0.3,1.5,13.4,0.0,2.93,17.3,15,659,21.20,4.55,0,0,47,0.0,3.64,1.76,3.20,4.23,6.17,5.53,44.3,1.010,0.633,9.85
5000,36,43,34.6,4.2,0.9,0.8,28.3,0.0,1.73,11.7,28,1038,85.56,39.55,0,43,0,0.0,2.41,1.42,1.58,5.44,7.77,5.88,28.4,0.927,0.513,9.74
5000,25,40,49.1,0.2,14.4,13.1,26.2,0.1,1.03,1.3,30,1079,113.14,39.84,22,14,4,0.1,1.05,1.00,1.04,6.35,7.62,7.72,21.3,1.030,0.515,8.00
5000,27,39,25.3,1.5,2.2,11.7,14.2,0.1,1.35,0.4,27,1111,66.68,22.06,0,0,39,0.1,1.55,1.10,1.38,4.74,6.28,6.08,44.1,1.010,0.505,6.28
5000,95,39,17.6,1.5,0.1,0.0,12.7,0.0,1.45,8.8,16,1023,74.72,42.23,0,0,39,0.0,1.54,1.44,1.41,3.56,6.26,4.10,47.8,1.104,0.472,7.13
5000,12,38,36.7,1.4,15.6,0.0,26.7,0.0,1.04,1.0,34,1282,85.76,31.59,38,0,0,0.0,1.11,1.00,1.03,6.00,6.97,7.00,17.4,0.798,0.511,7.24
5000,2,36,20.9,3.0,0.0,1.8,22.6,0.0,1.67,4.8,16,1406,86.06,37.97,0,0,36,0.0,1.97,1.23,1.74,4.75,6.97,4.86,47.1,0.724,0.537,7.08
5000,24,35,23.3,1.5,0.0,7.9,17.3,0.0,1.30,12.5,15,1555,44.88,18.99,0,25,10,0.0,1.24,1.47,1.24,4.66,7.46,5.40,36.0,0.966,0.451,9.34
5000,33,32,13.6,0.0,5.8,0.0,12.7,0.0,1.00,10.9,20,1194,63.80,41.14,0,32,0,0.0,1.00,1.00,1.00,3.69,3.25,6.88,34.5,0.734,0.400,7.75
5000,29,31,36.0,1.1,2.7,24.5,15.2,0.0,1.24,0.3,12,862,65.33,12.06,0,8,23,0.0,1.00,1.30,1.32,6.39,7.10,6.94,44.0,1.118,0.687,7.10
5000,18,31,62.2,14.4,4.9,0.9,26.9,0.0,4.44,0.1,21,1579,103.43,41.58,0,16,15,1.0,1.42,5.78,5.28,5.26,6.97,7.03,37.5,1.007,0.439,7.03
5000,65,29,18.2,0.0,0.0,0.0,22.1,0.0,1.00,4.1,12,1023,111.88,72.23,27,2,0,0.0,1.00,1.00,1.00,3.79,5.76,4.55,25.0,0.821,0.667,6.10
5000,89,27,73.1,11.1,0.2,0.0,53.9,0.0,3.20,0.0,8,1583,146.25,101.33,0,0,27,0.1,1.20,4.35,3.62,5.78,8.11,8.11,50.7,0.960,0.450,8.11
5000,47,26,14.0,0.0,1.0,0.0,17.5,0.0,1.00,11.1,13,934,68.07,42.29,6,20,0,0.0,1.00,1.00,1.00,3.04,4.12,4.81,28.2,0.727,0.549,7.23
5000,57,21,40.7,0.0,4.6,3.2,25.4,0.0,1.00,0.3,14,1468,117.22,109.93,0,12,9,0.0,1.00,1.00,1.00,4.57,5.95,6.10,37.6,1.277,0.512,6.10
5000,11,20,23.7,2.8,0.4,1.5,15.3,0.0,2.02,8.5,8,1146,56.30,28.05,0,0,20,0.0,2.39,2.56,1.64,4.25,5.45,4.70,47.7,1.076,0.626,7.20
5000,98,19,14.0,0.2,0.0,0.0,15.9,0.0,1.26,11.5,7,407,15.78,20.01,0,19,0,0.0,1.26,1.26,1.26,3.26,3.68,4.58,30.4,0.854,0.562,7.00
5000,40,19,42.9,0.6,14.5,0.0,29.0,0.3,1.12,2.6,19,791,51.63,16.46,6,13,0,0.3,1.19,1.11,1.10,6.37,7.21,7.26,26.7,0.956,0.605,7.68
