step,measure,value,count
50000,hamming,0,234
50000,hamming,1,634
50000,hamming,2,912
50000,hamming,3,1205
50000,hamming,4,1524
50000,hamming,5,1724
50000,hamming,6,1903
50000,hamming,7,2068
50000,hamming,8,2356
50000,hamming,9,2653
50000,hamming,10,2761
50000,hamming,11,3151
50000,hamming,12,3198
50000,hamming,13,3518
50000,hamming,14,3785
50000,hamming,15,4097
50000,hamming,16,4271
50000,hamming,17,4643
50000,hamming,18,4924
50000,hamming,19,5210
50000,hamming,20,5600
50000,hamming,21,5811
50000,hamming,22,6214
50000,hamming,23,6633
50000,hamming,24,6986
50000,hamming,25,7275
50000,hamming,26,7726
50000,hamming,27,8014
50000,hamming,28,8313
50000,hamming,29,8294
50000,hamming,30,8401
50000,hamming,31,8501
50000,hamming,32,8623
50000,hamming,33,8469
50000,hamming,34,8341
50000,hamming,35,8497
50000,hamming,36,8360
50000,hamming,37,8382
50000,hamming,38,8490
50000,hamming,39,8714
50000,hamming,40,8740
50000,hamming,41,8877
50000,hamming,42,9077
50000,hamming,43,9132
50000,hamming,44,9346
50000,hamming,45,9628
50000,hamming,46,9756
50000,hamming,47,10032
50000,hamming,48,10354
50000,hamming,49,10476
50000,hamming,50,10549
50000,hamming,51,10859
50000,hamming,52,11414
50000,hamming,53,11539
50000,hamming,54,11793
50000,hamming,55,12067
50000,hamming,56,12124
50000,hamming,57,12119
50000,hamming,58,12193
50000,hamming,59,12385
50000,hamming,60,12221
50000,hamming,61,12460
50000,hamming,62,12826
50000,hamming,63,13005
50000,hamming,64,12949
50000,hamming,65,13492
50000,hamming,66,13394
50000,hamming,67,13764
50000,hamming,68,13953
50000,hamming,69,13452
50000,hamming,70,13755
50000,hamming,71,13582
50000,hamming,72,13641
50000,hamming,73,13770
50000,hamming,74,13606
50000,hamming,75,13488
50000,hamming,76,13944
50000,hamming,77,13608
50000,hamming,78,13338
50000,hamming,79,13452
50000,hamming,80,13246
50000,hamming,81,13486
50000,hamming,82,13175
50000,hamming,83,13012
50000,hamming,84,12583
50000,hamming,85,12508
50000,hamming,86,12239
50000,hamming,87,11726
50000,hamming,88,11558
50000,hamming,89,10890
50000,hamming,90,10555
50000,hamming,91,9941
50000,hamming,92,9525
50000,hamming,93,8963
50000,hamming,94,8378
50000,hamming,95,7890
50000,hamming,96,7589
50000,hamming,97,7149
50000,hamming,98,7085
50000,hamming,99,6728
50000,hamming,100,6373
50000,hamming,101,6114
50000,hamming,102,6018
50000,hamming,103,6005
50000,hamming,104,5881
50000,hamming,105,5703
50000,hamming,106,5443
50000,hamming,107,5426
50000,hamming,108,5358
50000,hamming,109,5130
50000,hamming,110,5181
50000,hamming,111,5090
50000,hamming,112,5079
50000,hamming,113,4869
50000,hamming,114,4966
50000,hamming,115,4966
50000,hamming,116,4901
50000,hamming,117,4965
50000,hamming,118,4860
50000,hamming,119,5034
50000,hamming,120,5173
50000,hamming,121,5349
50000,hamming,122,5431
50000,hamming,123,5481
50000,hamming,124,5653
50000,hamming,125,5846
50000,hamming,126,5925
50000,hamming,127,6053
50000,hamming,128,5770
50000,hamming,129,6042
50000,hamming,130,5964
50000,hamming,131,5993
50000,hamming,132,5792
50000,hamming,133,5915
50000,hamming,134,5431
50000,hamming,135,5416
50000,hamming,136,5119
50000,hamming,137,5091
50000,hamming,138,4820
50000,hamming,139,4714
50000,hamming,140,4488
50000,hamming,141,4334
50000,hamming,142,4199
50000,hamming,143,4311
50000,hamming,144,4456
50000,hamming,145,4650
50000,hamming,146,4905
50000,hamming,147,5113
50000,hamming,148,5494
50000,hamming,149,5571
50000,hamming,150,5653
50000,hamming,151,6028
50000,hamming,152,5998
50000,hamming,153,6185
50000,hamming,154,6325
50000,hamming,155,6318
50000,hamming,156,6114
50000,hamming,157,5985
50000,hamming,158,5770
50000,hamming,159,5409
50000,hamming,160,5384
50000,hamming,161,4981
50000,hamming,162,4895
50000,hamming,163,4517
50000,hamming,164,4409
50000,hamming,165,4249
50000,hamming,166,4299
50000,hamming,167,4292
50000,hamming,168,4308
50000,hamming,169,4359
50000,hamming,170,4426
50000,hamming,171,4304
50000,hamming,172,4381
50000,hamming,173,4060
50000,hamming,174,3780
50000,hamming,175,3681
50000,hamming,176,3592
50000,hamming,177,3666
50000,hamming,178,3894
50000,hamming,179,3973
50000,hamming,180,3953
50000,hamming,181,4144
50000,hamming,182,4295
50000,hamming,183,4418
50000,hamming,184,4493
50000,hamming,185,4798
50000,hamming,186,5096
50000,hamming,187,5600
50000,hamming,188,5969
50000,hamming,189,6286
50000,hamming,190,6879
50000,hamming,191,7307
50000,hamming,192,8129
50000,hamming,193,8906
50000,hamming,194,9662
50000,hamming,195,10238
50000,hamming,196,10649
50000,hamming,197,11249
50000,hamming,198,12088
50000,hamming,199,12711
50000,hamming,200,13536
50000,hamming,201,14147
50000,hamming,202,14930
50000,hamming,203,15715
50000,hamming,204,16703
50000,hamming,205,17312
50000,hamming,206,17717
50000,hamming,207,17912
50000,hamming,208,17782
50000,hamming,209,17017
50000,hamming,210,16173
50000,hamming,211,15376
50000,hamming,212,14253
50000,hamming,213,13199
50000,hamming,214,12068
50000,hamming,215,10954
50000,hamming,216,10208
50000,hamming,217,9329
50000,hamming,218,8419
50000,hamming,219,7650
50000,hamming,220,6695
50000,hamming,221,5967
50000,hamming,222,5332
50000,hamming,223,4809
50000,hamming,224,4299
50000,hamming,225,3865
50000,hamming,226,3419
50000,hamming,227,2991
50000,hamming,228,2607
50000,hamming,229,2277
50000,hamming,230,2025
50000,hamming,231,1801
50000,hamming,232,1679
50000,hamming,233,1505
50000,hamming,234,1341
50000,hamming,235,1169
50000,hamming,236,1007
50000,hamming,237,966
50000,hamming,238,834
50000,hamming,239,720
50000,hamming,240,543
50000,hamming,241,418
50000,hamming,242,300
50000,hamming,243,201
50000,hamming,244,140
50000,hamming,245,130
50000,hamming,246,86
50000,hamming,247,56
50000,hamming,248,59
50000,hamming,249,53
50000,hamming,250,37
50000,hamming,251,27
50000,hamming,252,17
50000,hamming,253,6
50000,hamming,254,2
50000,hamming,255,1
50000,hamming,338,2
50000,hamming,339,5
50000,hamming,340,7
50000,hamming,341,12
50000,hamming,342,41
50000,hamming,343,96
50000,hamming,344,182
50000,hamming,345,364
50000,hamming,346,647
50000,hamming,347,1191
50000,hamming,348,1742
50000,hamming,349,2427
50000,hamming,350,3090
50000,hamming,351,3852
50000,hamming,352,4585
50000,hamming,353,5322
50000,hamming,354,5863
50000,hamming,355,6166
50000,hamming,356,6153
50000,hamming,357,6049
50000,hamming,358,5791
50000,hamming,359,5548
50000,hamming,360,6033
50000,hamming,361,6824
50000,hamming,362,8348
50000,hamming,363,10215
50000,hamming,364,13022
50000,hamming,365,17423
50000,hamming,366,23119
50000,hamming,367,29434
50000,hamming,368,36478
50000,hamming,369,45061
50000,hamming,370,52953
50000,hamming,371,60607
50000,hamming,372,68474
50000,hamming,373,74858
50000,hamming,374,83314
50000,hamming,375,90731
50000,hamming,376,96440
50000,hamming,377,100975
50000,hamming,378,105666
50000,hamming,379,106569
50000,hamming,380,106254
50000,hamming,381,104521
50000,hamming,382,99637
50000,hamming,383,93899
50000,hamming,384,84869
50000,hamming,385,74878
50000,hamming,386,64018
50000,hamming,387,53971
50000,hamming,388,43855
50000,hamming,389,36183
50000,hamming,390,28860
50000,hamming,391,22608
50000,hamming,392,17310
50000,hamming,393,13015
50000,hamming,394,10120
50000,hamming,395,7440
50000,hamming,396,5877
50000,hamming,397,4487
