step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,2002,0.802,0.743,8.26,40080,30840,3860,384,4424,43328,1120737.9,427313.3,0.342,0.289,0.182,0.186,65,34.39,26.30,3.48,8.46,3.35,7.89,3.83,9.67,21.42,15.77,0.02,0.20,0.093,0.196,1030,0.030,0.064,0.928,0.000,0.008,229018,220246,41,0.105,0.256,0.240,6017157,0.277,3.212,0.056,4.09,70692,366,9.862,0.477,0.224,8266118,1.71,6.61,0.199,0.160,0.008,6.3,28.1,72.9,183.4,64234,0.245,0.00,0.0026,0.028,454,0.955,0.000,0.683,0.826,4.84,6.31,6.28,0.12,0.040,1.52,1.96,1.71,0.956,0.00027,1.92,80.8827,2894.30,87432.4,140185.7,16.324,112.2115,165.633,0.000,1.000,0.047,53.5,72.098,247.576,784,3429.4,88.89,23.891,171.478,5507.8,98.317,0.135,2.00,18.7515,37540.5,0.7736,0.4034,32.08,1.009,0.146,1.5345,0.0000,0.472,0.109,0.403,0.0000,7.86,1.07,6,29,64,100,69.3356,2.2236,0.7133,0.0000,0.0000,57.5943,100.00,54.4793,430.4296,0.0,0.0000,0.0000
20000,2699,0.830,0.320,5.06,21620,17451,1732,135,1605,11901,402230.2,106681.9,0.245,0.440,0.138,0.178,125,16.50,17.64,1.18,4.26,0.49,3.47,1.69,6.25,12.14,9.69,0.00,0.04,0.009,0.058,423,0.579,0.151,0.815,0.001,0.033,60901,59024,11,0.722,0.012,0.131,3393061,0.260,1.916,0.023,10.65,16794,588,8.964,0.333,0.132,4809830,1.23,11.12,0.067,0.033,0.000,8.3,8.3,41.8,140.5,41822,0.160,0.00,0.0012,0.050,733,0.795,0.000,0.658,0.658,3.59,2.86,7.29,0.03,0.011,1.10,1.37,1.24,0.796,0.00051,3.00,18.5473,1577.68,89439.8,140185.7,0.421,28.7219,66.819,0.000,1.000,0.000,70.9,31.346,61.341,180,627.4,50.43,4.332,49.215,2615.2,29.410,0.136,2.00,15.6711,42296.4,1.3710,0.5246,15.50,1.036,0.076,0.4655,0.0000,0.506,0.069,0.712,0.0000,7.80,0.54,8,8,45,81,28.7787,1.1965,0.5043,0.0000,0.0000,12.9815,100.00,99.5899,228.2661,0.0,0.0000,0.0000
30000,2696,0.711,0.606,7.27,84660,67183,2524,6241,8715,361858,1069059.5,557230.1,0.146,0.612,0.082,0.160,91,30.66,21.43,1.54,3.88,8.44,10.78,0.56,2.93,12.14,9.95,0.06,0.41,0.218,0.229,1695,0.034,0.071,0.924,0.000,0.004,285499,270683,4,0.942,0.042,0.079,2680353,0.235,2.612,0.047,6.85,62910,587,1.540,0.186,0.297,22225234,1.37,7.14,0.090,0.518,0.025,7.6,22.5,64.1,123.0,61139,0.233,0.00,0.0033,0.068,763,0.926,0.000,0.851,0.705,4.21,4.89,5.82,0.13,0.058,1.27,1.44,1.41,0.931,0.00095,4.20,71.3610,2114.27,87431.9,140185.7,16.824,102.3708,168.863,0.000,1.000,0.022,52.9,73.781,241.261,469,1913.2,52.85,6.397,169.505,5649.2,102.828,0.135,2.00,14.5382,39195.0,0.8917,0.5726,22.68,1.253,0.185,1.5345,0.0000,0.404,0.095,0.149,0.0000,7.09,0.70,6,18,47,81,66.5297,4.6860,0.7396,0.0000,0.0000,54.0311,100.00,65.7291,476.2704,0.0,0.0000,0.0000
40000,2138,0.992,0.518,8.52,22134,18011,1585,1943,1153,163009,384954.6,166687.4,0.150,0.679,0.099,0.073,142,33.03,23.40,1.37,4.18,7.72,9.52,0.33,2.32,13.51,7.59,0.03,0.27,0.168,0.184,1310,0.119,0.103,0.891,0.000,0.006,61514,54864,6,0.366,0.026,0.043,1272395,0.179,2.762,0.036,8.81,18151,706,1.023,0.145,0.301,8520880,1.32,7.28,0.081,0.579,0.021,7.8,25.9,61.6,153.8,49048,0.187,0.00,0.0013,0.099,532,0.823,0.000,0.793,0.649,4.22,4.54,6.34,0.20,0.077,1.28,1.34,1.35,0.829,0.00120,2.39,17.6584,2534.54,97686.5,140185.7,0.057,31.5500,67.351,0.000,1.000,0.005,44.0,30.540,64.571,256,944.2,65.81,4.064,52.251,4670.5,29.810,0.136,2.00,14.2347,30433.9,0.9344,0.4953,22.94,1.291,0.270,0.4655,0.0000,0.380,0.092,0.065,0.0000,7.21,0.99,7,18,41,81,27.3326,0.6330,0.6104,0.0000,0.0000,12.7621,100.00,102.9019,211.8885,0.0,0.0000,0.0000
50000,2583,1.090,0.587,15.33,46543,34466,2789,6207,2636,467990,1034921.9,658187.7,0.163,0.694,0.106,0.038,82,38.64,25.82,1.35,4.11,7.32,8.05,0.10,1.08,12.51,8.99,0.03,0.28,0.157,0.143,1929,0.027,0.075,0.918,0.000,0.007,241479,214817,6,0.583,0.252,0.023,1237135,0.183,2.633,0.046,4.14,87302,734,1.406,0.151,0.359,20706354,1.41,5.72,0.139,0.674,0.018,6.3,39.0,67.5,212.9,54990,0.210,0.00,0.0032,0.081,662,0.934,0.000,0.889,0.808,3.79,4.87,5.00,0.20,0.092,1.46,1.33,1.44,0.941,0.00128,1.71,81.5770,2650.02,88717.2,140185.7,10.296,125.2594,149.777,0.000,1.000,0.030,60.4,58.737,247.584,501,1987.4,48.55,6.074,180.749,4736.7,101.930,0.136,1.99,14.3180,36983.3,1.0554,0.6637,21.29,1.638,0.305,1.5345,0.0000,0.354,0.104,0.079,0.0000,6.33,0.96,5,21,36,96,52.7624,2.6778,0.6330,0.0000,0.0000,54.5075,100.00,60.7010,416.2501,0.0,0.0000,0.0000
60000,2283,1.189,0.459,13.88,26888,20305,981,4944,958,316680,375848.7,243057.0,0.172,0.685,0.097,0.045,132,28.22,22.12,0.87,3.48,5.38,7.77,0.01,0.41,10.65,8.16,0.02,0.23,0.127,0.149,1337,0.075,0.103,0.882,0.000,0.014,67565,55070,2,0.499,0.053,0.002,206382,0.168,2.422,0.033,8.76,27728,503,0.768,0.159,0.338,7490985,1.27,7.70,0.166,0.594,0.006,5.7,20.9,51.8,200.6,38632,0.147,0.00,0.0015,0.087,607,0.772,0.000,0.813,0.612,3.42,4.28,4.95,0.07,0.030,1.27,1.33,1.26,0.784,0.00184,1.63,18.2483,2030.01,101983.7,140185.7,0.033,33.0589,67.700,0.000,1.000,0.019,47.9,29.699,66.437,249,820.8,52.35,4.997,52.667,4335.3,28.880,0.134,2.01,11.6682,26638.5,1.1169,0.4816,16.92,1.504,0.511,0.4655,0.0000,0.337,0.128,0.031,0.0000,6.50,1.44,5,16,25,72,25.0565,0.4309,0.5112,0.0000,0.0000,13.1791,100.00,104.2817,212.8703,0.0,0.0000,0.0000
70000,3027,0.893,0.570,15.73,102472,74460,1423,18228,7617,600269,1059533.0,868976.2,0.281,0.555,0.109,0.055,75,19.36,16.09,0.72,3.16,4.25,6.16,0.11,1.59,6.63,6.96,0.02,0.21,0.152,0.180,1554,0.029,0.092,0.888,0.000,0.020,331162,279761,3,0.482,0.344,0.010,203001,0.218,2.604,0.044,5.39,125370,536,1.448,0.173,0.359,18127815,1.25,9.34,0.165,0.582,0.008,3.8,14.3,40.0,172.8,35435,0.135,0.00,0.0053,0.082,723,0.846,0.000,0.843,0.692,2.45,3.73,3.84,0.06,0.031,1.23,1.30,1.27,0.857,0.00139,2.52,81.3297,2605.27,97106.9,140185.7,10.548,120.1251,173.299,0.000,1.000,0.015,62.0,66.728,244.613,352,1246.9,77.35,5.591,181.955,5182.6,104.446,0.134,2.00,9.8467,29806.0,1.3537,0.8361,11.71,1.492,0.526,1.5345,0.0000,0.319,0.157,0.066,0.0000,6.07,1.87,3,10,21,81,55.9802,6.5327,0.5352,0.0000,0.0000,50.9970,100.00,66.0736,458.1825,0.0,0.0000,0.0000
80000,2475,0.908,0.411,10.84,47605,37217,410,7710,2820,326493,437197.7,282559.1,0.258,0.591,0.092,0.059,139,21.44,25.04,0.48,2.62,4.57,10.87,0.07,0.97,9.70,8.82,0.00,0.00,0.096,0.172,1179,0.078,0.091,0.888,0.000,0.021,97377,82012,2,0.714,0.161,0.008,149922,0.211,2.256,0.031,13.11,33236,507,0.865,0.165,0.289,6248024,1.16,11.04,0.099,0.531,0.000,3.6,13.4,50.0,288.0,36663,0.140,0.00,0.0018,0.098,610,0.591,0.000,0.747,0.522,3.18,3.73,5.27,0.00,0.001,1.13,1.19,1.18,0.604,0.00175,3.16,17.8170,1863.77,103233.1,140185.7,0.079,24.9833,83.002,0.000,1.000,0.096,57.1,36.344,58.913,144,498.4,56.46,4.152,47.605,4023.7,30.676,0.135,2.01,10.8495,26852.6,1.2445,0.5625,14.81,1.266,0.464,0.4655,0.0000,0.416,0.133,0.094,0.0000,7.17,1.39,3,12,25,144,30.4118,1.6078,0.5115,0.0000,0.0000,12.3193,100.00,106.7109,239.5446,0.0,0.0000,0.0000
90000,2867,0.847,0.532,16.82,134097,92751,820,29760,10374,772812,1035193.6,907703.9,0.226,0.558,0.148,0.067,67,17.83,12.66,0.48,2.08,4.09,5.57,0.09,1.18,6.38,5.97,0.00,0.09,0.155,0.188,1173,0.073,0.095,0.887,0.000,0.017,369582,325077,5,0.520,0.111,0.009,143061,0.266,2.353,0.043,6.40,136114,408,1.175,0.223,0.359,17422687,1.17,9.59,0.205,0.537,0.001,3.8,14.5,32.0,129.6,31657,0.121,0.00,0.0057,0.076,652,0.781,0.000,0.774,0.639,2.26,3.67,3.83,0.00,0.002,1.14,1.23,1.17,0.797,0.00188,3.17,75.6191,2057.96,102804.0,140185.7,9.434,117.6564,177.852,0.000,1.000,0.065,60.2,69.778,242.221,323,1103.1,40.26,5.141,181.077,5214.8,101.126,0.135,2.00,8.7760,25160.9,1.2225,0.7143,11.04,1.489,0.492,1.5345,0.0000,0.453,0.184,0.287,0.0000,6.09,1.92,3,10,16,65,57.7158,6.6680,0.5399,0.0000,0.0000,51.3246,100.00,75.9413,481.9435,0.0,0.0000,0.0000
100000,2573,0.891,0.411,15.43,48610,37462,356,8564,2522,311242,431383.1,266401.3,0.164,0.661,0.107,0.067,127,22.39,19.03,0.68,3.07,5.31,9.38,0.06,1.20,8.97,7.73,0.00,0.08,0.127,0.190,1139,0.101,0.099,0.884,0.000,0.017,94956,80400,6,0.634,0.122,0.005,117190,0.225,2.232,0.031,14.73,35294,441,0.856,0.200,0.350,6580272,1.20,9.67,0.175,0.497,0.000,4.0,17.1,50.0,224.0,38671,0.148,0.00,0.0019,0.079,659,0.569,0.000,0.670,0.499,3.12,3.75,5.17,0.01,0.005,1.16,1.26,1.23,0.581,0.00175,3.72,16.4111,1906.07,105129.3,140185.7,0.199,24.2691,81.709,0.000,1.000,0.108,50.8,35.878,56.248,154,502.5,65.26,3.906,45.186,3941.8,28.487,0.134,2.00,9.6487,24826.1,1.0867,0.5688,15.03,1.344,0.498,0.4655,0.0000,0.430,0.122,0.124,0.0000,6.80,1.63,4,15,25,111,30.2849,1.0778,0.5433,0.0000,0.0000,12.4394,100.00,107.8722,239.0870,0.0,0.0000,0.0000
