step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,3018,0.8645,97896.2,894,985,1065,968,17,16,20,4207,6982,10467,0,0,0
2000,2893,0.9181,101907.4,1762,933,1058,902,21,18,23,2278,4152,7118,0,0,0
3000,2991,0.9067,100132.2,2474,970,1093,928,20,17,26,1944,3008,5564,0,0,0
4000,3725,0.6580,91362.6,708,1245,1258,1222,35,39,39,6432,8546,13841,0,0,0
5000,3509,0.7353,97316.3,1128,1126,1252,1131,48,47,43,4336,6350,11742,0,0,0
6000,3548,0.7652,100733.4,1517,1153,1215,1180,46,45,54,3474,5842,9941,0,0,0
7000,4246,0.6361,93267.2,853,1437,1467,1342,54,48,54,6287,8526,12274,0,0,0
8000,4076,0.6681,93289.1,995,1401,1392,1283,47,50,54,5354,8183,13051,0,0,0
9000,4114,0.6531,92856.8,1087,1438,1397,1279,49,54,58,4936,8751,13424,0,0,0
10000,4319,0.6082,84399.5,856,1547,1499,1273,55,68,62,7172,10459,16437,0,0,0
11000,4276,0.6628,79787.7,912,1540,1522,1214,40,56,60,7993,13151,20578,0,0,0
12000,4126,0.6561,67956.9,955,1686,1441,999,49,61,56,9731,17267,27513,0,0,0
13000,3223,0.7037,50271.2,1023,1476,1081,666,59,56,50,11805,25382,37935,0,0,0
14000,2398,0.7681,31919.6,1153,1413,605,380,37,58,48,13402,34834,48623,0,0,0
15000,1699,0.7104,23592.6,1098,1280,371,48,31,52,12,14353,38605,53585,0,0,0
16000,1438,0.6892,20178.0,1054,1171,249,18,20,56,9,14446,38733,54789,0,0,0
17000,1816,0.6057,24297.9,716,1171,448,197,39,53,31,13275,34548,52375,0,0,0
18000,3339,0.5618,42796.6,580,1313,1235,791,75,53,92,11511,25340,45922,0,0,0
19000,4686,0.5529,61957.7,597,1821,1600,1265,116,96,137,8829,18499,33344,0,0,0
20000,5609,0.5390,72242.6,629,1929,1888,1792,129,78,131,8800,15762,25168,0,0,0
21000,6750,0.5391,77030.3,603,2449,2313,1988,158,116,135,8795,12743,20634,0,0,0
22000,6639,0.5855,81672.1,703,2312,2257,2070,154,124,147,7985,12278,17855,0,0,0
23000,7002,0.5566,85424.7,701,2537,2348,2117,141,138,140,7013,9450,15790,0,0,0
24000,7548,0.5457,84099.3,626,2607,2657,2284,127,173,174,6908,9864,15585,0,0,0
25000,6930,0.5723,88599.7,685,2389,2408,2133,168,152,169,6565,10114,15244,0,0,0
26000,7284,0.5605,87176.9,676,2484,2543,2257,146,153,153,6293,8691,14721,0,0,0
27000,7050,0.5404,85824.3,635,2545,2425,2080,136,144,147,5696,9565,15821,0,0,0
28000,7053,0.5579,82265.2,624,2550,2380,2123,150,184,153,6603,10708,18432,0,0,0
29000,6569,0.5634,77294.7,658,2172,2386,2011,161,145,171,9037,12897,20474,0,0,0
30000,6671,0.5299,74320.4,578,2338,2410,1923,180,140,175,9037,13347,21053,0,0,0
31000,5842,0.5698,69490.9,612,2213,2069,1560,176,141,162,10228,16384,25723,0,0,0
32000,5208,0.6075,55520.3,670,2139,1700,1369,131,168,164,12904,22419,32695,0,0,0
33000,4022,0.6405,39535.3,704,2036,1178,808,119,155,150,13785,30340,43275,0,0,0
34000,2760,0.6750,25091.6,780,1650,671,439,74,160,116,14572,37748,52442,0,0,0
35000,1944,0.6476,17271.0,738,1458,400,86,29,142,50,14928,41159,57689,0,0,0
36000,1865,0.5796,17429.7,611,1312,415,138,48,146,88,14521,40356,59006,0,0,0
37000,2523,0.5882,25873.2,583,1337,778,408,83,134,125,11790,35130,55820,0,0,0
38000,4506,0.5209,39360.0,439,1905,1585,1016,144,173,165,11511,27372,47706,0,0,0
39000,5442,0.5277,56599.7,476,1973,1915,1554,122,175,144,9458,19625,35976,0,0,0
40000,6975,0.4737,64603.2,459,2537,2433,2005,194,183,205,7222,15133,28556,0,0,0
41000,9702,0.4063,62808.5,315,3419,3542,2741,248,284,331,6531,12261,24225,0,0,0
42000,11822,0.3535,49812.1,188,4175,4270,3377,276,299,358,7730,13080,23477,0,0,0
43000,11512,0.3977,54338.6,242,4024,4016,3472,266,283,353,7997,13193,23251,0,0,0
44000,11263,0.4105,53622.1,261,3821,3902,3540,272,282,309,8847,12476,20403,0,0,0
45000,9009,0.4101,53127.5,277,3096,3157,2756,218,268,293,8493,11999,16606,0,0,0
46000,8426,0.4161,53601.1,304,3147,2870,2409,212,247,250,8784,11220,16363,0,0,0
47000,8303,0.4041,52761.0,278,3115,2836,2352,201,241,252,8315,10723,15624,0,0,0
48000,7944,0.3936,50333.0,287,3210,2612,2122,229,213,241,8505,12717,17214,0,0,0
49000,8309,0.3698,49021.0,232,3309,2796,2204,194,249,259,10684,14538,19376,0,0,0
50000,7102,0.4395,51707.5,318,2907,2255,1940,180,191,217,11839,17507,20885,0,0,0
51000,6014,0.4563,45871.2,375,2575,1890,1549,158,193,221,15171,22446,25332,0,0,0
52000,5012,0.4828,42167.7,400,2285,1445,1282,142,156,170,17848,26147,29818,0,0,0
53000,3607,0.5173,31529.1,472,1842,1106,659,105,142,155,19566,33655,37741,0,0,0
54000,2546,0.5460,19637.2,508,1759,496,291,60,140,118,21422,39884,46068,0,0,0
55000,1838,0.5180,13982.0,494,1479,290,69,35,140,44,22801,42523,50739,0,0,0
56000,1851,0.5343,16438.2,498,1473,285,93,53,134,75,19071,41953,52606,0,0,0
57000,2547,0.4425,21717.7,416,1603,543,401,75,119,124,16106,36860,49925,0,0,0
58000,3940,0.4510,34926.6,391,1883,1250,807,129,161,169,13832,28314,43118,0,0,0
59000,4743,0.4413,42524.4,388,1980,1583,1180,157,187,202,12391,21144,32899,0,0,0
60000,5540,0.4643,57424.8,437,2110,1863,1567,193,190,205,9047,14708,24956,0,0,0
61000,5806,0.5229,72241.6,558,2139,1979,1688,189,204,260,6757,10748,19380,0,0,0
62000,6708,0.5154,74986.8,577,2335,2332,2041,213,209,262,5201,8870,16299,0,0,0
63000,6570,0.5499,80329.1,650,2313,2150,2107,214,164,207,3960,6939,13792,0,0,0
64000,6804,0.5494,82576.6,671,2354,2355,2095,214,215,210,3584,6506,13064,0,0,0
65000,6936,0.5526,84967.6,695,2351,2399,2186,219,218,239,3652,6020,11807,0,0,0
66000,7004,0.5771,86929.0,709,2292,2391,2321,208,203,230,3682,5758,11291,0,0,0
67000,6968,0.5857,85210.9,747,2450,2334,2184,236,198,215,3953,6101,11047,0,0,0
68000,6720,0.5708,85379.5,759,2201,2458,2061,202,210,234,4177,6299,12217,0,0,0
69000,6376,0.5847,81505.7,762,2242,2211,1923,176,216,204,4042,7474,14304,0,0,0
70000,5809,0.5815,77670.6,774,2098,1989,1722,190,194,237,5265,9876,17272,0,0,0
71000,5121,0.5888,71135.3,813,2057,1790,1274,217,197,168,5573,12245,21801,0,0,0
72000,4378,0.5911,58923.9,826,1947,1502,929,174,170,150,7610,18220,30735,0,0,0
73000,2945,0.6628,43265.1,921,1544,911,490,150,156,133,11048,26330,40629,0,0,0
74000,2062,0.6828,27381.8,991,1362,427,273,99,121,89,14261,34347,48185,0,0,0
75000,1549,0.6307,18297.1,883,1206,283,60,42,111,39,17106,38518,52493,0,0,0
76000,1393,0.5793,18095.8,786,1152,181,60,23,101,42,16835,38234,52463,0,0,0
77000,2327,0.5114,26062.5,578,1367,541,419,77,107,110,13574,33872,49219,0,0,0
78000,3457,0.4686,45380.2,531,1559,1102,796,127,143,151,11944,24258,39529,0,0,0
79000,3802,0.5011,68898.1,690,1555,1301,946,161,152,143,7522,14601,26317,0,0,0
80000,4366,0.5135,83041.2,757,1562,1474,1330,194,192,184,5966,10037,18217,0,0,0
81000,5058,0.4955,79300.9,667,1747,1796,1515,203,211,189,6027,9678,16092,0,0,0
82000,4980,0.5209,86619.1,761,1675,1725,1580,246,202,213,4993,7183,13031,0,0,0
83000,5337,0.5454,91469.3,807,1843,1810,1684,252,216,235,4768,6391,11228,0,0,0
84000,5228,0.5509,84360.3,806,1681,1888,1659,226,204,187,4840,5812,10245,0,0,0
85000,5232,0.5910,90162.8,853,1813,1802,1617,243,227,208,4254,5568,9447,0,0,0
86000,5390,0.5616,90016.7,845,1866,1907,1617,234,219,206,4493,5337,9888,0,0,0
87000,5224,0.5555,87205.9,840,1833,1810,1581,237,225,223,4615,5691,9859,0,0,0
88000,5196,0.5660,88558.0,846,1891,1717,1588,225,223,216,4938,5951,10282,0,0,0
89000,4915,0.5607,86618.9,869,1660,1750,1505,187,216,162,5879,7026,11508,0,0,0
90000,4693,0.5395,81207.8,840,1701,1676,1316,175,193,168,7440,9313,14493,0,0,0
91000,4228,0.5435,77827.7,852,1568,1426,1234,180,184,177,8372,11924,17402,0,0,0
92000,3769,0.5917,67281.6,886,1469,1311,989,193,170,148,12036,16587,23491,0,0,0
93000,2935,0.6095,49399.2,944,1322,1031,582,149,160,130,15524,24776,34008,0,0,0
94000,2063,0.6428,32955.4,993,1237,559,267,130,103,82,18180,32673,44047,0,0,0
95000,1565,0.5834,22532.5,863,1211,299,55,69,105,46,19372,37620,50970,0,0,0
96000,1447,0.5432,19816.3,726,1106,256,85,50,118,71,19903,37703,52762,0,0,0
97000,2367,0.5184,30818.7,566,1255,656,456,114,138,191,16313,32372,48978,0,0,0
98000,3299,0.4926,47071.9,579,1244,1132,923,154,180,150,14615,23095,37880,0,0,0
99000,3711,0.4842,67167.1,690,1339,1208,1164,158,162,180,10894,15085,24889,0,0,0
100000,4330,0.5104,81765.7,745,1620,1330,1380,189,185,200,7211,10461,16652,0,0,0
